Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Florida A&M,W,32,73,0.438,6,19,0.316,6,10,0.6,17,55,19,12,5,13,18,,15,65,0.231,2,21,0.095,5,13,0.385,13,38,3,6,1,15,10
11/15/2010,,Troy,W,32,64,0.5,5,20,0.25,10,13,0.769,12,36,19,10,6,9,15,,23,59,0.39,5,20,0.25,9,12,0.75,11,30,12,1,6,17,12
11/19/2010,N,Seton Hall,L,31,58,0.534,10,14,0.714,6,9,0.667,12,31,12,10,6,21,26,,27,49,0.551,10,13,0.769,19,30,0.633,10,24,13,11,7,15,17
11/20/2010,N,Iowa,L,19,56,0.339,2,16,0.125,7,9,0.778,11,29,8,6,5,14,20,,15,42,0.357,5,12,0.417,20,32,0.625,9,32,5,7,2,16,14
11/22/2010,N,St. Peter's,L,13,40,0.325,4,11,0.364,19,25,0.76,9,24,11,8,3,16,12,,20,47,0.426,8,18,0.444,2,4,0.5,8,19,10,10,8,13,18
11/27/2010,,Alabama A&M,W,31,60,0.517,6,17,0.353,8,13,0.615,12,40,17,13,2,17,13,,19,54,0.352,5,16,0.313,7,11,0.636,8,26,9,7,3,21,13
12/1/2010,,South Alabama,W,28,52,0.538,4,10,0.4,12,20,0.6,12,38,15,10,8,22,16,,20,62,0.323,2,14,0.143,8,15,0.533,15,32,8,9,3,19,14
12/4/2010,@,Purdue,L,20,50,0.4,0,9,0,7,8,0.875,6,25,8,8,3,17,17,,22,56,0.393,9,24,0.375,13,14,0.929,9,30,13,5,5,11,13
12/11/2010,@,Providence,L,28,67,0.418,2,13,0.154,12,15,0.8,15,37,12,11,3,16,26,,28,60,0.467,5,16,0.313,21,31,0.677,10,32,11,9,3,16,17
12/15/2010,,Southeastern Louisiana,W,21,50,0.42,6,17,0.353,11,19,0.579,11,41,12,7,8,10,17,,12,59,0.203,4,18,0.222,10,11,0.909,11,35,9,3,2,12,18
12/18/2010,N,Oklahoma State,L,19,48,0.396,2,12,0.167,20,23,0.87,9,29,10,7,4,13,26,,18,43,0.419,6,16,0.375,26,32,0.813,7,24,16,5,0,12,18
12/21/2010,,Lipscomb,W,30,63,0.476,6,17,0.353,5,10,0.5,6,38,19,11,10,13,14,,19,66,0.288,5,25,0.2,8,13,0.615,10,34,9,6,5,15,9
12/28/2010,,Pepperdine,W,34,66,0.515,7,19,0.368,8,13,0.615,15,38,22,9,10,13,18,,23,65,0.354,5,17,0.294,9,14,0.643,18,36,11,6,2,14,12
1/3/2011,,Toledo,W,29,54,0.537,10,22,0.455,15,18,0.833,9,31,21,13,4,12,19,,14,36,0.389,4,17,0.235,9,18,0.5,4,20,5,0,1,25,13
1/8/2011,@,Mississippi State,W,32,65,0.492,1,8,0.125,10,16,0.625,7,41,10,9,3,11,20,,21,62,0.339,5,24,0.208,10,20,0.5,11,39,9,5,4,15,18
1/12/2011,,South Carolina,W,23,53,0.434,0,3,0,11,18,0.611,10,37,6,11,6,16,17,,16,56,0.286,6,18,0.333,9,15,0.6,11,30,8,4,9,19,14
1/15/2011,@,Arkansas,L,23,53,0.434,2,10,0.2,17,22,0.773,9,35,11,4,7,14,23,,22,52,0.423,2,9,0.222,24,35,0.686,8,25,8,9,4,9,19
1/18/2011,,Kentucky,W,25,56,0.446,7,14,0.5,11,17,0.647,16,37,10,7,5,19,17,,23,61,0.377,7,21,0.333,13,22,0.591,16,29,11,9,8,12,18
