Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/18/2010,,Grambling,W,27,57,0.474,9,24,0.375,12,18,0.667,11,33,18,11,8,16,23,,15,43,0.349,3,14,0.214,19,25,0.76,3,21,11,11,4,20,16
11/22/2010,,Florida Gulf Coast,W,35,63,0.556,14,30,0.467,6,11,0.545,8,39,23,14,8,21,19,,15,59,0.254,2,19,0.105,15,21,0.714,8,30,6,10,1,24,14
11/24/2010,,Southeast Missouri State,W,23,57,0.404,6,18,0.333,14,20,0.7,11,29,12,12,10,13,21,,19,57,0.333,2,7,0.286,16,25,0.64,20,44,4,5,4,23,19
11/26/2010,N,Alabama-Birmingham,L (1 OT),25,66,0.379,3,21,0.143,12,20,0.6,11,32,7,11,3,9,22,,24,50,0.48,7,12,0.583,15,24,0.625,5,33,17,2,1,16,17
12/1/2010,,Oklahoma,W,28,55,0.509,5,11,0.455,23,26,0.885,5,21,11,11,8,12,17,,29,62,0.468,7,20,0.35,9,12,0.75,15,39,16,4,5,22,22
12/4/2010,,Troy,W,22,57,0.386,8,25,0.32,23,28,0.821,8,40,14,5,9,12,12,,25,67,0.373,8,22,0.364,2,6,0.333,6,33,14,4,2,13,24
12/8/2010,N,Seton Hall,W,27,62,0.435,6,15,0.4,11,17,0.647,13,43,11,6,10,10,17,,23,65,0.354,7,19,0.368,9,14,0.643,7,33,10,8,4,12,18
12/15/2010,,Mississippi Valley State,W,33,74,0.446,5,17,0.294,16,23,0.696,19,44,17,8,9,11,17,,23,62,0.371,5,21,0.238,13,19,0.684,11,36,14,4,5,18,23
12/18/2010,N,Texas A&M,L (1 OT),19,47,0.404,8,24,0.333,16,28,0.571,8,30,7,11,11,24,27,,22,55,0.4,3,13,0.231,24,31,0.774,11,37,11,9,1,18,24
12/22/2010,,Texas Southern,W,25,55,0.455,6,22,0.273,11,16,0.688,8,26,15,11,5,12,15,,20,50,0.4,4,16,0.25,15,17,0.882,12,33,11,6,3,20,17
12/29/2010,,North Carolina A&T,W,31,68,0.456,15,33,0.455,10,15,0.667,12,42,22,11,10,14,13,,20,72,0.278,6,22,0.273,13,17,0.765,15,41,10,4,4,16,18
12/31/2010,,Texas-Arlington,W,27,55,0.491,10,22,0.455,23,39,0.59,12,32,15,8,3,13,20,,27,59,0.458,5,16,0.313,15,20,0.75,11,33,13,4,4,16,25
1/4/2011,@,Texas,L,17,49,0.347,3,13,0.231,9,12,0.75,6,28,5,8,5,23,17,,32,70,0.457,9,18,0.5,6,13,0.462,13,37,15,13,8,10,13
1/8/2011,,Tennessee,W,25,50,0.5,6,13,0.462,12,18,0.667,6,20,15,9,4,14,20,,25,56,0.446,6,16,0.375,9,14,0.643,17,37,11,5,3,18,17
1/12/2011,@,LSU,L,19,57,0.333,2,20,0.1,13,16,0.813,4,26,9,7,3,10,25,,19,48,0.396,1,13,0.077,17,31,0.548,10,43,14,6,3,14,14
1/15/2011,,Alabama,W,22,52,0.423,2,9,0.222,24,35,0.686,8,25,8,9,4,9,19,,23,53,0.434,2,10,0.2,17,22,0.773,9,35,11,4,7,14,23
1/19/2011,@,South Carolina,L (1 OT),24,49,0.49,3,10,0.3,23,34,0.676,7,35,13,8,5,17,26,,27,67,0.403,7,23,0.304,20,30,0.667,13,34,9,6,8,16,24
1/22/2011,@,Florida,L,15,51,0.294,2,14,0.143,11,17,0.647,6,26,5,4,1,13,14,,30,60,0.5,5,16,0.313,10,14,0.714,10,41,18,6,5,7,17
1/25/2011,,Auburn,W,22,46,0.478,3,11,0.273,26,34,0.765,9,36,14,5,9,17,17,,24,68,0.353,3,11,0.273,13,18,0.722,14,31,10,8,2,11,25
1/29/2011,@,Vanderbilt,W,31,54,0.574,7,16,0.438,20,28,0.714,7,26,9,5,2,7,24,,23,49,0.469,7,20,0.35,25,26,0.962,6,21,12,2,4,8,22
2/2/2011,,Georgia,L,22,51,0.431,4,12,0.333,11,20,0.55,3,24,8,6,12,8,15,,25,63,0.397,4,8,0.5,6,9,0.667,11,38,13,3,7,12,18
2/5/2011,,Ole Miss,L,18,50,0.36,3,10,0.3,21,30,0.7,8,24,10,4,5,9,14,,25,56,0.446,6,18,0.333,13,14,0.929,13,38,11,2,12,12,22
2/9/2011,@,Mississippi State,L,20,60,0.333,7,20,0.35,9,14,0.643,9,27,8,7,5,13,17,,22,47,0.468,7,16,0.438,16,18,0.889,7,36,8,5,5,21,14
2/12/2011,,LSU,W,24,50,0.48,7,12,0.583,25,29,0.862,6,27,12,6,2,13,18,,22,51,0.431,3,11,0.273,14,18,0.778,6,24,11,4,3,17,19
2/16/2011,,Florida A&M,W,36,67,0.537,11,24,0.458,11,21,0.524,7,44,21,8,7,10,11,,22,65,0.338,6,22,0.273,5,12,0.417,4,26,12,7,2,10,14
2/19/2011,@,Alabama,L,18,46,0.391,7,15,0.467,13,17,0.765,8,28,9,2,6,18,13,,28,59,0.475,4,15,0.267,9,13,0.692,12,31,13,11,6,9,14
2/23/2011,,Kentucky,W (1 OT),28,73,0.384,7,21,0.333,14,18,0.778,14,35,7,3,6,8,18,,30,71,0.423,3,19,0.158,13,15,0.867,17,43,10,4,11,8,16
2/26/2011,@,Auburn,W,19,48,0.396,6,16,0.375,13,18,0.722,9,31,10,4,4,17,17,,19,53,0.358,3,12,0.25,14,18,0.778,8,24,10,9,5,10,20
3/2/2011,,Mississippi State,L,26,57,0.456,11,22,0.5,15,20,0.75,9,29,14,4,2,12,17,,29,59,0.492,9,22,0.409,21,26,0.808,12,31,15,6,2,8,15
3/5/2011,@,Ole Miss,L,27,62,0.435,10,18,0.556,10,16,0.625,11,24,12,4,3,9,17,,30,55,0.545,14,22,0.636,10,13,0.769,8,26,20,4,11,11,15
3/10/2011,N,Tennessee,L,21,46,0.457,8,25,0.32,18,25,0.72,7,24,12,3,3,15,19,,30,62,0.484,2,15,0.133,12,16,0.75,13,29,10,8,3,10,19
11/11/2011,,South Carolina Upstate,W,30,58,0.517,3,9,0.333,20,27,0.741,12,36,16,10,4,23,18,,25,68,0.368,5,19,0.263,8,15,0.533,14,31,14,11,3,18,27
11/16/2011,,Oakland,W,37,69,0.536,8,20,0.4,9,12,0.75,7,35,21,10,8,11,16,,25,72,0.347,12,36,0.333,6,8,0.75,17,39,14,3,1,18,15
11/18/2011,N,Houston,L,28,65,0.431,4,17,0.235,18,29,0.621,10,27,10,12,7,10,22,,31,59,0.525,7,16,0.438,18,23,0.783,11,38,15,1,7,20,23
11/22/2011,,Utah Valley,W,20,60,0.333,7,21,0.333,20,24,0.833,12,37,9,10,5,15,15,,25,72,0.347,3,16,0.188,6,12,0.5,22,49,15,5,3,17,21
11/26/2011,,Grambling,W,34,77,0.442,8,25,0.32,10,14,0.714,18,41,25,16,9,9,17,,15,55,0.273,6,14,0.429,8,12,0.667,10,32,10,4,10,27,10
11/30/2011,,Mississippi Valley State,W,35,59,0.593,11,23,0.478,16,28,0.571,11,38,17,5,7,11,19,,20,63,0.317,7,25,0.28,17,24,0.708,13,31,11,2,1,13,21
12/3/2011,@,UConn,L,24,77,0.312,8,22,0.364,6,14,0.429,23,40,12,4,2,12,17,,28,49,0.571,5,8,0.625,14,21,0.667,4,33,17,6,11,14,14
12/10/2011,@,Oklahoma,L,20,58,0.345,7,27,0.259,16,20,0.8,8,22,10,7,5,13,20,,26,50,0.52,8,16,0.5,18,23,0.783,10,35,16,6,4,16,16
12/17/2011,,Southeastern Louisiana,W,23,49,0.469,5,12,0.417,11,23,0.478,6,28,14,11,8,15,17,,18,55,0.327,4,13,0.308,15,22,0.682,14,39,11,8,3,20,19
12/20/2011,,Eastern Kentucky,W,18,57,0.316,6,18,0.333,29,35,0.829,15,37,12,5,4,9,20,,17,50,0.34,8,25,0.32,15,24,0.625,11,31,10,5,2,17,28
12/22/2011,,Louisiana Tech,W,31,64,0.484,6,17,0.353,9,11,0.818,7,30,13,2,5,8,10,,26,69,0.377,5,23,0.217,6,8,0.75,9,29,9,3,5,8,17
12/28/2011,,Charlotte,W,26,60,0.433,6,20,0.3,22,31,0.71,13,45,20,9,7,16,21,,22,63,0.349,5,24,0.208,18,32,0.563,13,37,9,7,1,17,23
12/30/2011,,Texas Southern,W,25,61,0.41,6,25,0.24,21,33,0.636,12,40,21,14,11,18,20,,18,56,0.321,3,15,0.2,10,20,0.5,12,35,4,7,4,25,24
1/3/2012,,Savannah State,W,24,48,0.5,4,8,0.5,31,39,0.795,12,40,13,9,10,22,18,,25,65,0.385,7,22,0.318,9,20,0.45,11,23,15,13,3,15,25
1/7/2012,,Mississippi State,W,35,62,0.565,6,15,0.4,22,28,0.786,7,26,22,9,5,9,23,,27,52,0.519,9,20,0.45,25,31,0.806,8,31,9,6,2,18,19
1/11/2012,@,Ole Miss,L,24,61,0.393,6,19,0.316,9,17,0.529,10,22,13,13,1,13,27,,26,52,0.5,0,7,0,19,26,0.731,18,46,15,2,4,23,17
1/14/2012,,LSU,W,22,52,0.423,9,18,0.5,16,28,0.571,7,33,10,12,9,14,16,,24,69,0.348,3,18,0.167,9,13,0.692,16,41,9,6,5,16,27
1/17/2012,@,Kentucky,L,23,57,0.404,5,15,0.333,12,18,0.667,5,23,5,4,3,11,19,,32,56,0.571,3,11,0.273,19,25,0.76,9,38,13,5,13,12,13
1/21/2012,,Michigan,W,24,48,0.5,5,11,0.455,13,21,0.619,5,28,15,6,5,8,13,,25,61,0.41,8,28,0.286,6,7,0.857,11,33,15,2,1,10,18
1/25/2012,,Auburn,W,19,54,0.352,6,19,0.316,12,19,0.632,13,29,14,13,4,11,18,,21,52,0.404,5,17,0.294,6,10,0.6,14,42,10,2,2,21,17
1/28/2012,@,Alabama,L,24,56,0.429,6,17,0.353,12,17,0.706,9,26,13,12,2,16,20,,25,50,0.5,2,15,0.133,20,25,0.8,9,33,12,11,8,17,12
1/31/2012,,Vanderbilt,W,28,61,0.459,9,23,0.391,17,24,0.708,11,32,13,5,4,8,21,,26,52,0.5,6,21,0.286,16,23,0.696,6,28,15,1,7,11,18
2/4/2012,@,LSU,L,23,57,0.404,3,13,0.231,16,23,0.696,5,31,8,7,5,19,24,,24,58,0.414,2,13,0.154,21,33,0.636,12,39,10,9,12,16,17
2/8/2012,@,Georgia,L,18,49,0.367,9,25,0.36,14,17,0.824,4,20,7,5,3,8,17,,30,57,0.526,9,20,0.45,12,18,0.667,13,42,15,4,2,11,20
2/11/2012,,South Carolina,W,30,59,0.508,5,13,0.385,11,14,0.786,9,31,16,13,5,17,18,,23,55,0.418,5,25,0.2,14,21,0.667,12,29,7,9,5,21,18
2/15/2012,@,Tennessee,L,24,56,0.429,3,12,0.25,7,10,0.7,10,28,10,9,2,18,16,,28,50,0.56,11,23,0.478,10,17,0.588,6,27,19,10,4,13,13
2/18/2012,,Florida,L,21,57,0.368,8,22,0.364,18,29,0.621,7,21,14,6,4,6,27,,28,48,0.583,13,23,0.565,29,34,0.853,6,38,14,3,4,11,22
2/23/2012,,Alabama,L,22,45,0.489,8,17,0.471,16,25,0.64,5,24,13,7,2,18,24,,27,49,0.551,6,11,0.545,19,28,0.679,5,27,10,6,3,14,19
2/25/2012,@,Auburn,W,26,48,0.542,7,16,0.438,18,23,0.783,6,21,16,5,2,13,22,,26,53,0.491,6,20,0.3,13,24,0.542,10,25,18,6,6,14,18
2/28/2012,,Ole Miss,L,28,67,0.418,9,22,0.409,10,14,0.714,10,30,15,5,5,9,23,,26,61,0.426,5,9,0.556,20,32,0.625,14,41,8,5,7,12,15
3/3/2012,@,Mississippi State,L,23,56,0.411,8,23,0.348,5,7,0.714,8,26,9,2,2,10,14,,29,56,0.518,6,20,0.3,15,17,0.882,10,34,17,6,4,6,9
3/8/2012,N,LSU,L,19,53,0.358,4,16,0.25,12,18,0.667,7,24,7,8,4,11,24,,25,50,0.5,6,12,0.5,14,25,0.56,15,40,15,4,6,14,17
11/9/2012,,Sam Houston State,W,22,51,0.431,3,13,0.231,26,32,0.813,7,21,16,9,8,9,14,,28,60,0.467,8,23,0.348,4,6,0.667,10,31,13,3,4,19,25
11/18/2012,,Longwood,W,43,82,0.524,5,21,0.238,21,32,0.656,22,47,27,16,5,14,20,,21,53,0.396,4,17,0.235,17,24,0.708,9,30,7,5,6,27,25
11/20/2012,,Florida A&M,W,31,77,0.403,7,17,0.412,20,29,0.69,16,44,15,10,8,9,19,,20,63,0.317,7,20,0.35,13,23,0.565,12,40,11,4,7,22,24
11/23/2012,N,Arizona State,L,25,63,0.397,4,20,0.2,14,21,0.667,9,31,8,7,2,11,27,,28,50,0.56,7,20,0.35,20,36,0.556,6,40,14,4,5,12,18
11/24/2012,N,Wisconsin,L,25,61,0.41,3,8,0.375,17,25,0.68,12,31,7,5,1,6,29,,22,49,0.449,8,19,0.421,25,38,0.658,12,37,13,3,5,11,18
11/30/2012,,Syracuse,L,24,62,0.387,5,24,0.208,29,36,0.806,8,32,11,10,2,14,21,,33,68,0.485,11,26,0.423,14,24,0.583,10,37,17,8,6,19,25
12/4/2012,,Oklahoma,W,30,57,0.526,9,22,0.409,12,16,0.75,8,24,21,6,3,13,16,,31,56,0.554,6,15,0.4,10,14,0.714,10,30,14,7,2,17,14
12/8/2012,@,Michigan,L,27,61,0.443,10,17,0.588,3,4,0.75,5,20,14,8,7,11,19,,29,62,0.468,7,18,0.389,15,18,0.833,16,39,14,5,6,12,8
12/15/2012,,Alcorn State,W,37,79,0.468,10,24,0.417,13,20,0.65,21,41,24,16,10,11,13,,22,53,0.415,3,10,0.3,12,18,0.667,8,26,10,8,5,24,19
12/20/2012,,Robert Morris,W,31,59,0.525,4,18,0.222,13,26,0.5,9,39,17,9,6,14,26,,20,55,0.364,9,26,0.346,25,36,0.694,7,30,12,9,0,16,22
12/22/2012,N,Alabama A&M,W,36,70,0.514,5,18,0.278,18,25,0.72,18,36,22,12,9,9,14,,25,59,0.424,6,14,0.429,12,17,0.706,12,28,9,1,2,17,16
12/29/2012,,Northwestern State,W,32,71,0.451,5,19,0.263,10,13,0.769,14,53,16,9,7,14,26,,17,62,0.274,1,14,0.071,26,42,0.619,14,35,9,9,5,13,13
1/5/2013,,Delaware State,W,32,55,0.582,10,19,0.526,12,15,0.8,8,27,17,8,2,10,13,,18,47,0.383,5,18,0.278,10,17,0.588,10,26,8,4,3,15,15
1/9/2013,@,Texas A&M,L,22,52,0.423,3,15,0.2,4,15,0.267,6,25,10,3,6,12,24,,21,58,0.362,5,16,0.313,22,27,0.815,16,47,11,2,3,9,18
1/12/2013,,Vanderbilt,W,22,52,0.423,3,18,0.167,9,10,0.9,7,30,9,14,5,16,16,,10,40,0.25,2,15,0.133,11,17,0.647,8,28,7,6,2,25,12
1/16/2013,,Auburn,W (2 OT),30,66,0.455,8,24,0.333,20,33,0.606,8,34,18,8,3,8,15,,31,62,0.5,11,25,0.44,7,17,0.412,8,39,19,3,4,18,24
1/19/2013,@,Ole Miss,L,26,66,0.394,5,19,0.263,7,12,0.583,13,38,17,8,7,18,20,,28,70,0.4,6,20,0.3,14,23,0.609,15,41,15,11,6,16,11
1/23/2013,,Mississippi State,W,33,67,0.493,9,27,0.333,21,26,0.808,10,31,27,14,11,12,17,,22,54,0.407,9,19,0.474,17,21,0.81,8,30,11,5,3,28,21
1/26/2013,@,South Carolina,L,21,61,0.344,2,16,0.125,10,15,0.667,12,26,13,10,5,9,19,,30,52,0.577,7,12,0.583,8,17,0.471,11,36,17,2,5,17,13
1/31/2013,@,Alabama,L,21,55,0.382,3,19,0.158,11,14,0.786,12,27,9,8,6,13,23,,19,46,0.413,3,11,0.273,18,25,0.72,14,34,9,7,5,19,11
2/2/2013,,Tennessee,W,29,60,0.483,4,15,0.267,11,15,0.733,6,28,17,13,3,7,23,,21,48,0.438,2,10,0.2,16,24,0.667,11,38,8,1,2,19,19
2/5/2013,,Florida,W,28,57,0.491,8,18,0.444,16,21,0.762,6,30,19,6,1,8,17,,23,56,0.411,10,27,0.37,13,19,0.684,8,31,15,5,1,16,19
2/9/2013,@,Vanderbilt,L,16,52,0.308,6,18,0.333,11,17,0.647,10,24,7,11,2,11,19,,21,42,0.5,9,22,0.409,16,23,0.696,6,33,15,6,7,15,17
2/13/2013,@,Auburn,W,27,58,0.466,9,21,0.429,20,29,0.69,6,29,16,5,3,8,24,,23,53,0.434,6,13,0.462,23,32,0.719,6,33,12,4,5,16,24
2/16/2013,,Missouri,W,26,61,0.426,7,23,0.304,14,24,0.583,7,28,16,7,2,11,25,,23,58,0.397,2,14,0.143,23,31,0.742,11,45,12,7,3,17,25
2/21/2013,,Georgia,W,22,57,0.386,10,26,0.385,8,12,0.667,7,28,14,9,8,13,23,,17,46,0.37,6,14,0.429,20,27,0.741,8,32,12,3,5,15,16
2/23/2013,@,Florida,L,21,58,0.362,6,27,0.222,6,15,0.4,10,30,11,3,4,13,16,,29,62,0.468,8,23,0.348,5,11,0.455,12,38,14,7,3,8,12
2/27/2013,@,LSU,L,20,56,0.357,6,25,0.24,14,23,0.609,13,39,8,10,6,19,21,,22,52,0.423,7,18,0.389,14,22,0.636,5,31,13,10,3,18,18
3/2/2013,,Kentucky,W,24,69,0.348,6,25,0.24,19,29,0.655,19,43,13,11,1,7,21,,20,43,0.465,3,14,0.214,17,27,0.63,7,36,5,3,4,18,24
