Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,North Carolina-Asheville,L (1 OT),22,59,0.373,6,16,0.375,19,34,0.559,18,47,8,8,8,20,29,,20,58,0.345,7,21,0.333,23,33,0.697,12,37,14,10,5,15,24
11/19/2010,,Samford,L,25,59,0.424,8,19,0.421,10,15,0.667,11,32,11,5,0,10,19,,26,45,0.578,18,33,0.545,9,15,0.6,1,24,22,5,2,10,15
11/20/2010,,Campbell,L,19,53,0.358,8,19,0.421,8,10,0.8,12,32,13,3,3,24,21,,21,49,0.429,2,11,0.182,17,25,0.68,7,27,8,9,5,14,14
11/21/2010,,Middle Tennessee,W,24,53,0.453,4,13,0.308,16,28,0.571,10,38,16,3,4,10,21,,21,50,0.42,9,21,0.429,15,21,0.714,5,24,10,2,0,9,22
11/27/2010,,Jacksonville,L,19,51,0.373,3,13,0.231,14,26,0.538,13,35,10,10,1,22,18,,27,58,0.466,6,18,0.333,9,19,0.474,11,34,13,14,1,19,23
11/30/2010,,Georgia Southwestern,W,31,60,0.517,2,10,0.2,14,18,0.778,10,31,14,14,3,11,18,,16,49,0.327,8,21,0.381,10,16,0.625,9,29,6,3,4,23,18
12/5/2010,,Arkansas-Pine Bluff,W,25,55,0.455,6,17,0.353,20,27,0.741,17,32,18,8,3,12,20,,25,45,0.556,9,20,0.45,13,17,0.765,5,22,21,8,1,18,21
12/11/2010,N,Rutgers,L,16,53,0.302,6,23,0.261,16,20,0.8,7,27,10,6,7,9,17,,20,59,0.339,7,22,0.318,16,19,0.842,16,40,13,3,5,10,18
12/15/2010,@,South Florida,L,17,50,0.34,7,18,0.389,8,14,0.571,7,28,10,6,2,14,30,,17,39,0.436,5,18,0.278,22,39,0.564,11,39,13,7,3,14,14
12/18/2010,,Presbyterian,L,23,56,0.411,3,16,0.188,10,14,0.714,5,18,11,15,1,5,17,,23,38,0.605,10,20,0.5,6,11,0.545,4,31,13,1,3,20,17
