Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2011-11-11,@,Minnesota,L,16,46,.348,7,16,.438,19,23,.826,6,29,8,2,1,12,28,,22,55,.400,3,15,.200,23,35,.657,11,35,13,7,6,10,21
2011-11-15,@,Vanderbilt,L,24,51,.471,4,10,.400,16,20,.800,2,27,10,3,2,8,19,,31,68,.456,10,30,.333,8,15,.533,13,36,13,2,3,5,16
2011-11-19,,Saint Francis (PA),W,29,59,.492,3,13,.231,12,20,.600,13,40,20,6,2,13,16,,16,50,.320,2,14,.143,8,12,.667,4,23,7,4,3,15,20
2011-11-22,@,Marist,W,33,62,.532,4,12,.333,4,6,.667,8,31,16,7,4,9,19,,23,50,.460,11,25,.440,11,18,.611,7,26,15,2,5,12,15
2011-11-25,,Princeton,W,22,45,.489,2,6,.333,16,26,.615,7,33,8,2,3,11,15,,19,51,.373,9,32,.281,9,14,.643,6,26,11,3,1,10,23
2011-11-26,,West Alabama,W,30,59,.508,17,34,.500,10,15,.667,8,41,23,3,8,14,15,,17,62,.274,5,19,.263,11,19,.579,11,29,6,7,1,10,14
2011-11-27,,Morehead State,W,15,46,.326,10,22,.455,14,18,.778,9,34,14,3,5,9,10,,18,50,.360,9,20,.450,5,6,.833,3,26,10,7,0,8,15
2011-11-30,@,George Mason,L,22,54,.407,5,18,.278,8,12,.667,10,35,12,5,3,13,17,,20,50,.400,2,12,.167,19,25,.760,7,29,12,4,2,8,16
2011-12-03,@,La Salle,L,20,61,.328,4,17,.235,8,10,.800,13,34,13,4,4,14,12,,29,59,.492,12,27,.444,8,8,1.000,2,27,16,10,2,8,14
2011-12-06,@,Binghamton,W,27,44,.614,6,10,.600,17,31,.548,5,34,14,8,1,15,18,,17,51,.333,9,23,.391,20,26,.769,6,23,13,7,0,12,20
2011-12-17,,Richmond,W,26,44,.591,6,14,.429,21,21,1.000,4,31,16,3,2,16,14,,22,57,.386,9,25,.360,12,15,.800,7,19,11,6,3,7,13
2011-12-20,@,Syracuse,L,22,59,.373,7,22,.318,10,12,.833,9,23,19,6,2,12,16,,28,53,.528,8,17,.471,16,21,.762,10,35,19,10,7,11,10
2011-12-22,@,Boston University,W,26,48,.542,5,14,.357,18,21,.857,8,30,11,4,2,11,19,,22,44,.500,6,13,.462,11,20,.550,2,15,9,5,2,9,19
