Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-13,,Navy,W,35,74,.473,11,31,.355,7,15,.467,18,50,21,15,11,19,17,,15,57,.263,4,21,.190,12,16,.750,5,25,7,11,3,25,17
2010-11-16,@,Youngstown State,L,21,55,.382,2,15,.133,9,27,.333,5,29,10,9,3,13,23,,21,54,.389,6,18,.333,16,25,.640,11,42,10,7,3,20,24
2010-11-20,,Towson,W,28,64,.438,7,18,.389,24,35,.686,16,36,12,15,3,9,20,,26,55,.473,8,17,.471,16,23,.696,11,35,14,7,2,18,25
2010-11-23,@,Canisius,W,29,51,.569,6,13,.462,17,26,.654,11,35,17,10,5,17,17,,24,57,.421,6,20,.300,10,14,.714,8,24,12,6,1,16,22
2010-11-27,@,Indiana State,L,18,50,.360,3,13,.231,15,17,.882,9,29,11,8,2,20,23,,21,49,.429,6,13,.462,10,20,.500,9,31,12,10,7,15,19
2010-12-01,@,Army,W,20,47,.426,6,15,.400,10,18,.556,13,36,9,6,10,23,24,,13,55,.236,6,17,.353,22,30,.733,20,40,7,8,2,17,16
2010-12-04,@,St. Bonaventure,L,27,53,.509,6,10,.600,14,23,.609,9,26,9,6,3,11,19,,28,52,.538,11,17,.647,9,14,.643,8,30,22,4,1,16,20
2010-12-08,,Niagara,W,29,60,.483,6,18,.333,18,25,.720,12,36,18,11,9,13,15,,24,61,.393,4,14,.286,12,17,.706,10,29,16,7,6,14,20
2010-12-11,,Green Bay,W,27,45,.600,7,12,.583,17,21,.810,6,28,18,6,9,20,16,,23,64,.359,8,17,.471,10,14,.714,13,26,12,9,0,12,21
2010-12-18,,Houghton,W,29,53,.547,6,15,.400,15,19,.789,12,41,16,9,6,17,13,,19,55,.345,6,22,.273,3,8,.375,9,20,11,6,0,17,22
2010-12-30,,BYU,L,33,59,.559,7,14,.500,9,14,.643,8,30,17,6,4,20,21,,30,62,.484,8,20,.400,22,29,.759,11,33,17,10,5,12,18
2011-01-03,@,Cornell,W,25,47,.532,6,22,.273,22,32,.688,7,35,18,5,4,15,21,,22,66,.333,10,24,.417,12,21,.571,14,33,15,7,0,10,24
2011-01-08,,Bowling Green State,L (2 OT),28,71,.394,8,25,.320,7,10,.700,10,37,20,7,6,12,20,,31,60,.517,1,5,.200,11,24,.458,8,43,15,11,3,15,15
2011-01-13,@,Miami (OH),L,26,52,.500,3,9,.333,12,18,.667,9,23,10,9,2,18,19,,24,45,.533,4,13,.308,18,23,.783,7,22,11,8,3,20,15
2011-01-16,,Akron,W,25,53,.472,9,17,.529,14,24,.583,10,32,17,11,4,19,17,,27,53,.509,9,16,.563,7,13,.538,7,25,15,9,3,20,21
2011-01-19,,Kent State,W,26,50,.520,6,15,.400,21,25,.840,13,38,19,9,10,20,19,,18,54,.333,4,12,.333,14,21,.667,9,22,8,11,0,19,19
2011-01-22,@,Ohio,W,25,48,.521,8,19,.421,15,19,.789,10,27,14,8,8,16,24,,23,49,.469,6,20,.300,16,25,.640,9,22,14,6,1,15,19
2011-01-25,@,Western Michigan,W,27,48,.563,7,15,.467,18,25,.720,7,27,13,5,4,17,23,,22,50,.440,5,15,.333,19,34,.559,13,26,10,8,2,16,22
2011-01-29,,Northern Illinois,W,20,49,.408,6,16,.375,17,24,.708,8,31,12,4,1,10,22,,15,42,.357,2,12,.167,20,25,.800,7,27,9,1,1,17,19
2011-02-03,,Toledo,W,31,52,.596,9,16,.563,10,14,.714,11,31,23,8,7,18,16,,19,46,.413,7,17,.412,13,17,.765,7,15,14,11,2,18,14
2011-02-05,@,Ball State,L,26,48,.542,5,14,.357,14,18,.778,8,21,17,10,3,14,17,,23,43,.535,8,15,.533,18,22,.818,9,22,15,9,0,15,16
2011-02-08,,Central Michigan,W,23,50,.460,9,21,.429,17,24,.708,10,36,12,8,9,9,19,,15,55,.273,1,12,.083,12,18,.667,14,32,3,2,1,12,17
2011-02-12,@,Eastern Michigan,L,25,58,.431,6,14,.429,9,12,.750,9,29,13,7,2,16,27,,24,47,.511,6,18,.333,24,35,.686,5,27,15,4,6,13,14
2011-02-15,,Ohio,L,29,57,.509,5,17,.294,6,10,.600,12,32,15,0,7,16,20,,27,53,.509,6,13,.462,16,22,.727,6,20,14,10,1,9,13
2011-02-19,,Milwaukee,W,29,49,.592,8,14,.571,14,23,.609,9,30,18,10,5,13,17,,23,57,.404,7,24,.292,12,19,.632,11,26,14,3,1,14,18
2011-02-24,@,Kent State,L,28,65,.431,7,20,.350,6,14,.429,14,35,17,11,4,10,15,,27,53,.509,6,13,.462,12,15,.800,6,28,16,6,6,15,14
2011-02-26,@,Akron,L,24,54,.444,5,13,.385,7,14,.500,8,29,9,6,1,13,21,,22,47,.468,8,18,.444,17,19,.895,4,25,18,4,2,11,17
2011-03-02,,Miami (OH),W,21,60,.350,6,17,.353,11,15,.733,17,44,12,7,9,11,9,,19,57,.333,7,23,.304,4,8,.500,8,29,11,7,3,10,13
2011-03-05,@,Bowling Green State,L,27,61,.443,3,15,.200,6,12,.500,13,31,13,6,6,11,19,,27,57,.474,5,13,.385,14,19,.737,12,36,15,5,0,12,16
2011-03-08,,Central Michigan,W,25,57,.439,7,18,.389,7,9,.778,11,32,10,7,8,9,15,,18,53,.340,5,14,.357,9,16,.563,12,30,9,7,2,14,16
2011-03-10,N,Kent State,L,23,54,.426,2,10,.200,14,25,.560,13,40,8,5,3,18,25,,26,62,.419,3,17,.176,18,31,.581,14,35,12,12,5,9,18
2011-03-14,@,Quinnipiac,W,25,62,.403,6,19,.316,19,26,.731,13,40,12,7,6,12,18,,25,68,.368,7,17,.412,11,20,.550,16,42,21,5,2,15,21
2011-03-19,@,Western Michigan,W,20,52,.385,2,12,.167,7,23,.304,14,33,5,9,4,15,17,,20,49,.408,3,12,.250,5,10,.500,11,32,13,4,3,18,21
2011-03-22,@,Iona,L,25,55,.455,6,16,.375,7,12,.583,10,28,13,8,5,20,17,,27,57,.474,11,23,.478,13,18,.722,9,28,21,13,2,13,17
2011-11-11,,St. Peter's,W,23,54,.426,5,18,.278,21,33,.636,14,32,15,7,7,12,16,,24,62,.387,5,18,.278,12,18,.667,16,35,10,8,3,12,23
2011-11-16,,Cornell,W,23,50,.460,4,16,.250,18,22,.818,8,38,17,7,6,20,16,,24,64,.375,7,27,.259,4,8,.500,9,25,16,14,4,16,21
2011-11-19,@,Princeton,L,20,60,.333,2,11,.182,11,19,.579,11,38,5,12,2,15,23,,18,49,.367,7,24,.292,18,26,.692,8,37,11,8,2,16,18
2011-11-22,,Canisius,W,31,59,.525,7,18,.389,25,31,.806,12,39,20,14,5,17,16,,22,52,.423,6,21,.286,9,20,.450,3,22,9,10,1,20,27
2011-11-30,@,Dayton,W,27,54,.500,10,23,.435,20,30,.667,14,46,22,3,5,15,22,,16,57,.281,6,23,.261,17,25,.680,8,27,10,9,1,10,22
2011-12-03,,St. Bonaventure,L,21,58,.362,7,22,.318,11,15,.733,11,32,14,7,4,16,15,,24,50,.480,4,11,.364,14,19,.737,6,31,17,9,5,13,18
