Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/13/2010,,Marian (IN),W,31,58,0.534,8,24,0.333,13,16,0.813,9,31,16,9,4,6,13,,20,48,0.417,7,17,0.412,7,13,0.538,5,17,9,2,1,15,19
11/16/2010,@,Louisville,L,21,60,0.35,6,25,0.24,25,36,0.694,10,38,10,10,1,17,31,,27,59,0.458,6,23,0.261,28,43,0.651,10,44,18,11,7,14,28
11/20/2010,,Ball State,W,29,61,0.475,8,24,0.333,22,30,0.733,11,42,11,5,3,8,26,,17,52,0.327,2,5,0.4,19,29,0.655,10,30,6,4,2,10,21
11/23/2010,@,Siena,W,26,57,0.456,8,19,0.421,10,19,0.526,11,39,13,9,0,11,14,,24,53,0.453,2,11,0.182,7,15,0.467,6,30,12,8,2,15,17
11/27/2010,,Evansville,L (1 OT),20,60,0.333,5,14,0.357,23,31,0.742,16,41,8,1,2,17,22,,24,54,0.444,5,15,0.333,18,28,0.643,7,30,14,5,1,13,28
12/1/2010,@,Loyola (IL),W,24,51,0.471,9,18,0.5,8,10,0.8,9,31,14,2,3,10,17,,23,56,0.411,5,18,0.278,12,18,0.667,12,30,13,3,6,6,9
12/4/2010,N,Duke,L,26,58,0.448,8,15,0.533,10,20,0.5,10,31,15,10,0,15,24,,25,53,0.472,8,26,0.308,24,29,0.828,7,32,11,9,1,15,19
12/9/2010,@,Xavier,L,15,48,0.313,3,18,0.167,16,18,0.889,5,29,9,9,0,12,18,,17,53,0.321,2,18,0.111,15,19,0.789,13,39,9,8,3,13,15
12/11/2010,,Mississippi Valley State,W,27,60,0.45,8,26,0.308,29,32,0.906,12,31,17,3,3,6,17,,27,53,0.509,5,15,0.333,12,16,0.75,5,23,12,2,5,15,25
12/18/2010,,Stanford,W,26,57,0.456,9,23,0.391,22,26,0.846,11,36,14,3,1,8,20,,16,51,0.314,3,17,0.176,15,24,0.625,9,27,5,2,4,13,22
12/22/2010,N,Utah,W,24,65,0.369,4,22,0.182,22,32,0.688,10,36,10,7,2,6,19,,21,53,0.396,6,22,0.273,14,25,0.56,8,33,11,5,7,14,29
12/23/2010,N,Florida State,W,19,50,0.38,11,27,0.407,18,23,0.783,11,23,11,5,1,11,18,,21,53,0.396,10,28,0.357,12,15,0.8,15,35,6,4,3,18,24
12/25/2010,N,Washington State,W,28,56,0.5,11,27,0.407,17,24,0.708,4,33,16,3,0,11,22,,24,59,0.407,7,24,0.292,13,18,0.722,5,28,10,3,2,9,20
1/1/2011,,Valparaiso,W,25,51,0.49,7,20,0.35,19,20,0.95,6,26,12,9,1,11,14,,22,49,0.449,10,22,0.455,5,11,0.455,4,19,15,7,2,16,19
1/3/2011,@,Milwaukee,L,21,54,0.389,5,15,0.333,5,10,0.5,10,22,7,6,0,11,18,,26,47,0.553,11,23,0.478,13,20,0.65,9,35,15,4,2,12,13
1/7/2011,,Cleveland State,W,26,54,0.481,5,14,0.357,22,28,0.786,9,36,12,12,0,13,16,,19,56,0.339,5,18,0.278,13,20,0.65,7,28,5,5,3,18,21
