Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/10/2010,@,Maryland,L,25,56,0.446,8,20,0.4,16,19,0.842,10,35,12,8,8,22,19,,34,66,0.515,2,7,0.286,5,18,0.278,13,31,17,11,3,18,18
11/13/2010,@,Holy Cross,W,35,55,0.636,9,16,0.563,14,17,0.824,4,25,20,5,1,15,20,,33,64,0.516,5,17,0.294,13,22,0.591,14,31,16,8,1,17,19
11/16/2010,,Coastal Carolina,W,29,56,0.518,12,26,0.462,13,19,0.684,6,31,16,5,5,12,15,,27,66,0.409,4,15,0.267,9,14,0.643,13,36,10,9,2,13,17
11/19/2010,N,Rhode Island,L,26,63,0.413,5,23,0.217,9,14,0.643,9,30,16,8,2,14,19,,27,59,0.458,7,18,0.389,14,19,0.737,13,42,13,4,1,14,14
11/20/2010,@,UIC,W,30,54,0.556,6,15,0.4,12,15,0.8,10,31,10,9,1,18,17,,24,57,0.421,5,14,0.357,13,19,0.684,10,26,15,8,2,15,14
11/21/2010,@,Toledo,W,24,52,0.462,8,28,0.286,8,10,0.8,10,34,14,9,2,14,19,,18,45,0.4,4,14,0.286,11,21,0.524,4,21,12,7,0,13,12
11/28/2010,@,UNC,L,27,71,0.38,9,30,0.3,6,12,0.5,19,38,10,4,3,14,20,,28,60,0.467,2,8,0.25,16,27,0.593,14,40,15,5,4,14,14
12/2/2010,,Davidson,W,31,61,0.508,7,21,0.333,13,17,0.765,8,35,14,6,6,8,20,,23,57,0.404,9,20,0.45,18,25,0.72,10,34,15,5,3,11,18
12/4/2010,,Georgia Southern,W,31,57,0.544,9,25,0.36,21,26,0.808,8,29,17,9,6,14,10,,36,79,0.456,9,21,0.429,3,7,0.429,21,38,14,11,1,18,21
12/7/2010,,ETSU,W,26,64,0.406,10,32,0.313,17,25,0.68,18,42,13,12,10,14,10,,26,61,0.426,3,17,0.176,4,7,0.571,11,34,12,5,2,16,19
12/15/2010,N,Charleston Southern,W,31,74,0.419,7,21,0.333,8,11,0.727,19,40,11,7,3,11,5,,29,64,0.453,8,17,0.471,3,6,0.5,12,34,12,8,5,14,13
12/22/2010,,Clemson,L,21,52,0.404,6,18,0.333,11,18,0.611,13,35,11,3,4,14,13,,24,57,0.421,6,19,0.316,12,14,0.857,10,31,13,9,2,7,19
12/31/2010,@,Tennessee,W,28,49,0.571,14,25,0.56,21,34,0.618,6,33,16,5,3,12,17,,30,80,0.375,5,18,0.278,13,21,0.619,24,42,9,4,0,11,22
1/2/2011,@,Morehead State,L,19,54,0.352,7,29,0.241,4,8,0.5,6,19,10,5,3,14,11,,30,53,0.566,7,17,0.412,2,3,0.667,8,36,18,8,3,17,16
1/6/2011,@,Furman,W,29,52,0.558,7,14,0.5,11,15,0.733,8,31,13,4,3,14,15,,28,63,0.444,7,22,0.318,9,11,0.818,9,24,14,8,1,8,14
1/8/2011,@,Wofford,W,27,53,0.509,7,16,0.438,16,21,0.762,8,29,9,2,3,10,18,,24,54,0.444,3,13,0.231,22,29,0.759,8,24,13,2,0,8,16
1/15/2011,,Citadel,W,30,62,0.484,13,31,0.419,14,17,0.824,10,31,17,9,5,13,16,,25,53,0.472,2,9,0.222,14,19,0.737,5,27,12,5,0,15,15
1/17/2011,@,Chattanooga,L,33,72,0.458,13,37,0.351,9,11,0.818,9,29,22,6,3,9,18,,31,58,0.534,10,22,0.455,19,22,0.864,5,34,21,4,0,14,12
1/20/2011,,Western Carolina,W,40,70,0.571,7,20,0.35,6,8,0.75,8,32,20,12,5,16,12,,25,59,0.424,8,17,0.471,6,13,0.462,9,29,13,13,5,23,11
1/22/2011,,Appalachian State,W,26,58,0.448,6,23,0.261,15,21,0.714,9,35,10,3,2,7,18,,22,56,0.393,3,9,0.333,17,24,0.708,9,32,8,4,2,8,20
