Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-15,,Mount St. Mary's,W,22,57,.386,5,15,.333,20,30,.667,14,36,11,12,4,17,19,,23,55,.418,1,9,.111,12,18,.667,9,29,11,7,2,19,19
2010-11-20,,IPFW,W,23,47,.489,3,17,.176,16,29,.552,12,27,12,9,3,15,14,,22,51,.431,7,19,.368,8,9,.889,7,23,13,12,2,15,22
2010-11-22,,Florida A&M,W,25,59,.424,12,27,.444,14,23,.609,13,43,18,6,4,11,16,,19,56,.339,4,17,.235,9,16,.563,5,23,6,7,5,10,16
2010-11-24,,Savannah State,W,18,53,.340,4,12,.333,14,19,.737,15,34,12,8,3,13,12,,16,42,.381,5,14,.357,4,6,.667,5,26,9,5,1,17,17
2010-11-27,N,Dayton,W,22,54,.407,8,23,.348,16,26,.615,8,40,17,9,7,11,19,,12,60,.200,2,14,.143,8,13,.615,15,38,6,4,1,16,23
2010-12-01,,Wright State,W,28,55,.509,8,19,.421,13,19,.684,10,27,18,7,5,8,12,,26,52,.500,8,16,.500,9,12,.750,5,22,8,3,1,15,18
2010-12-04,@,Toledo,W,31,63,.492,10,29,.345,9,15,.600,12,39,22,10,3,8,19,,15,49,.306,2,9,.222,15,26,.577,12,35,12,3,0,18,11
2010-12-11,,Utah Valley,W,32,67,.478,14,28,.500,14,25,.560,14,37,17,12,4,9,16,,27,57,.474,7,16,.438,11,12,.917,7,28,9,3,4,17,18
2010-12-14,,Georgia Southern,W,35,63,.556,6,12,.500,23,30,.767,11,41,26,8,7,9,16,,23,58,.397,1,8,.125,7,13,.538,8,27,14,6,4,15,24
2010-12-18,N,Oklahoma,W,21,50,.420,3,17,.176,21,30,.700,8,35,10,8,0,13,21,,18,54,.333,4,22,.182,16,22,.727,9,29,9,6,1,13,20
2010-12-21,@,Miami (OH),W,21,54,.389,4,16,.250,18,27,.667,16,39,7,8,4,7,13,,16,44,.364,6,20,.300,10,13,.769,4,25,9,3,3,14,19
2010-12-23,,Saint Francis (PA),W,36,69,.522,12,24,.500,10,20,.500,17,39,23,13,4,13,10,,20,53,.377,6,17,.353,12,13,.923,7,22,13,7,3,22,17
2010-12-28,,DePaul,W,27,63,.429,4,15,.267,18,27,.667,19,38,13,9,5,8,16,,26,66,.394,3,13,.231,5,12,.417,18,34,15,4,1,17,22
2010-12-31,,Seton Hall,W,24,51,.471,6,20,.300,16,20,.800,7,33,15,5,3,12,17,,15,45,.333,5,14,.357,18,25,.720,4,23,9,9,0,14,19
2011-01-06,,Xavier,W,23,55,.418,5,16,.313,15,16,.938,13,34,13,7,6,8,16,,18,46,.391,1,10,.100,9,15,.600,9,24,4,5,4,13,15
2011-01-09,@,Villanova,L,22,61,.361,2,20,.100,15,25,.600,12,30,9,10,1,12,22,,19,42,.452,6,15,.400,28,33,.848,6,34,14,4,8,19,23
2011-01-12,,South Florida,W,21,48,.438,7,20,.350,25,35,.714,6,24,14,10,1,7,19,,21,46,.457,3,11,.273,21,24,.875,8,30,8,5,3,18,24
2011-01-15,@,Syracuse,L,18,59,.305,11,28,.393,5,11,.455,14,25,13,5,0,5,16,,27,48,.563,6,14,.429,7,13,.538,9,35,16,5,10,13,12
2011-01-19,@,Notre Dame,L,23,60,.383,7,16,.438,5,8,.625,8,27,14,4,2,8,22,,20,44,.455,7,14,.500,19,24,.792,6,31,16,4,3,10,14
2011-01-22,@,St. John's (NY),W,21,50,.420,5,17,.294,6,7,.857,9,35,11,4,5,17,23,,17,43,.395,5,9,.556,12,26,.462,6,23,10,8,2,9,14
2011-01-26,,Rutgers,W,22,47,.468,6,18,.333,22,30,.733,8,32,16,6,5,13,15,,23,50,.460,1,11,.091,9,14,.643,5,22,9,6,1,13,22
2011-01-29,,West Virginia,L,21,60,.350,8,29,.276,5,11,.455,13,27,7,10,5,8,23,,19,45,.422,4,13,.308,24,30,.800,11,36,13,3,4,13,15
2011-02-05,@,Pitt,L,21,63,.333,2,13,.154,15,23,.652,22,38,10,8,6,14,25,,22,47,.468,7,15,.467,20,32,.625,10,34,15,8,5,18,20
2011-02-08,@,DePaul,W,28,48,.583,3,8,.375,12,22,.545,11,28,19,5,3,13,14,,26,53,.491,8,15,.533,8,16,.500,9,21,19,8,2,11,22
2011-02-13,,St. John's (NY),L,19,53,.358,11,30,.367,8,15,.533,15,31,13,7,4,13,16,,23,46,.500,4,10,.400,9,12,.750,6,26,13,7,0,13,15
2011-02-16,,Louisville,W,21,47,.447,5,14,.357,16,24,.667,4,25,12,11,3,11,14,,23,49,.469,4,17,.235,4,7,.571,6,26,11,6,6,14,20
2011-02-19,@,Providence,W (1 OT),34,65,.523,6,18,.333,19,26,.731,10,38,22,6,2,14,18,,33,74,.446,6,24,.250,9,20,.450,17,36,19,9,2,16,21
2011-02-23,@,Georgetown,W,21,50,.420,7,14,.500,9,13,.692,8,33,10,9,5,12,16,,12,48,.250,5,23,.217,17,20,.850,12,29,8,5,3,12,18
2011-02-27,,UConn,L,24,54,.444,4,17,.235,7,8,.875,8,25,14,9,3,17,16,,23,46,.500,10,19,.526,11,15,.733,8,22,13,8,2,14,14
2011-03-02,@,Marquette,W,28,56,.500,5,17,.294,6,12,.500,14,30,17,8,2,11,22,,19,49,.388,3,15,.200,19,26,.731,14,28,9,8,2,11,10
2011-03-05,,Georgetown,W,18,42,.429,9,22,.409,24,30,.800,6,33,10,1,4,11,14,,17,53,.321,4,18,.222,9,14,.643,6,22,8,6,2,7,20
2011-03-09,N,South Florida,W,28,49,.571,5,13,.385,26,33,.788,9,32,17,4,7,11,16,,20,55,.364,5,14,.357,16,18,.889,10,24,10,7,1,10,20
2011-03-10,N,Notre Dame,L,19,58,.328,5,22,.227,8,17,.471,13,28,9,2,5,10,21,,32,57,.561,9,19,.474,16,21,.762,9,35,22,4,6,5,12
2011-03-17,N,Missouri,W,29,54,.537,4,11,.364,16,22,.727,11,33,14,3,2,11,15,,24,63,.381,6,19,.316,9,13,.692,11,27,15,7,3,8,17
2011-03-19,N,UConn,L,22,55,.400,4,14,.286,10,14,.714,7,22,12,5,2,7,19,,19,44,.432,6,16,.375,25,30,.833,9,34,10,3,3,8,13
2011-11-13,,Alabama State,W,24,53,.453,3,16,.188,14,20,.700,9,41,12,8,10,16,10,,18,62,.290,3,21,.143,1,3,.333,8,28,9,8,1,17,19
2011-11-15,,Jacksonville State,W,27,56,.482,8,13,.615,11,14,.786,14,39,17,6,9,20,12,,23,62,.371,3,14,.214,10,14,.714,13,26,9,9,1,13,11
2011-11-19,,Presbyterian,L,22,62,.355,6,19,.316,4,10,.400,18,34,8,6,6,9,12,,21,46,.457,5,12,.417,9,11,.818,7,27,10,3,1,11,13
2011-11-21,,Northwestern State,W,25,46,.543,5,11,.455,16,28,.571,11,42,10,6,7,19,11,,15,54,.278,4,16,.250,9,15,.600,9,22,8,13,3,16,22
2011-11-25,,Marshall,L (1 OT),27,61,.443,5,15,.333,10,19,.526,11,27,13,9,4,9,17,,26,61,.426,7,16,.438,14,19,.737,16,40,10,2,2,14,18
2011-11-29,,Miami (OH),W,23,55,.418,6,16,.375,4,10,.400,11,27,9,7,2,10,10,,19,40,.475,5,15,.333,4,10,.400,5,28,9,4,1,15,11
2011-12-02,@,Georgia,W,19,49,.388,9,20,.450,10,19,.526,9,32,10,8,3,12,21,,17,47,.362,3,14,.214,14,20,.700,7,32,8,9,0,13,13
2011-12-10,@,Xavier,L,17,61,.279,1,16,.063,18,23,.783,10,30,8,5,2,10,19,,29,56,.518,5,14,.357,13,18,.722,11,35,16,6,8,12,19
2011-12-14,@,Wright State,W,28,51,.549,14,32,.438,8,18,.444,10,29,15,5,5,12,19,,20,42,.476,5,12,.417,13,17,.765,4,19,8,7,0,13,18
2011-12-17,,Radford,W,38,63,.603,10,21,.476,15,20,.750,8,32,20,9,8,11,17,,26,67,.388,7,20,.350,11,21,.524,17,35,12,6,2,16,17
2011-12-21,,Arkansas-Pine Bluff,W,34,67,.507,15,28,.536,18,29,.621,18,40,19,16,3,13,15,,19,50,.380,5,17,.294,10,16,.625,11,28,11,3,4,28,21
2011-12-23,,Chicago State,W,36,69,.522,16,35,.457,7,9,.778,10,33,23,9,10,9,8,,24,66,.364,6,18,.333,6,6,1.000,12,32,13,4,3,18,10
2011-12-29,N,Oklahoma,W,17,61,.279,7,30,.233,15,20,.750,13,35,11,8,3,7,15,,23,60,.383,5,16,.313,4,9,.444,12,43,15,4,2,17,17
2012-01-01,@,Pitt,W,26,65,.400,11,27,.407,3,6,.500,14,28,14,11,5,8,15,,23,56,.411,5,19,.263,12,15,.800,17,39,14,1,5,17,13
2012-01-04,,Notre Dame,W,25,57,.439,8,27,.296,13,18,.722,7,34,13,11,4,7,15,,21,63,.333,5,28,.179,8,11,.727,14,37,11,4,4,13,14
2012-01-07,,St. John's (NY),L,20,76,.263,7,32,.219,8,12,.667,20,40,10,10,3,5,17,,21,49,.429,5,15,.333,10,15,.667,7,39,10,3,6,19,15
2012-01-09,@,Georgetown,W,23,50,.460,4,13,.308,18,22,.818,7,20,7,13,0,9,15,,26,44,.591,6,10,.600,6,10,.600,6,24,14,5,4,17,16
