Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Western Carolina,W,28,47,0.596,6,17,0.353,25,46,0.543,10,31,16,7,4,11,24,,23,57,0.404,8,23,0.348,10,19,0.526,7,24,13,6,1,14,32
11/15/2010,,Wofford,W,26,50,0.52,4,11,0.364,22,30,0.733,9,28,12,9,3,12,25,,22,46,0.478,6,14,0.429,20,26,0.769,6,22,13,4,2,17,26
11/19/2010,N,Long Beach State,W,24,48,0.5,10,17,0.588,11,16,0.688,8,24,16,7,5,18,17,,22,51,0.431,7,13,0.538,4,11,0.364,9,24,11,11,1,21,19
11/21/2010,N,Old Dominion,L,22,51,0.431,5,15,0.333,11,18,0.611,12,27,5,9,2,16,19,,25,53,0.472,2,11,0.182,9,13,0.692,15,36,10,8,2,20,19
11/22/2010,N,Seton Hall,W (1 OT),17,58,0.293,4,19,0.211,26,38,0.684,11,38,7,9,5,12,20,,23,60,0.383,2,21,0.095,10,12,0.833,6,37,11,5,4,20,27
11/26/2010,,South Carolina State,W,23,49,0.469,6,21,0.286,17,21,0.81,8,29,14,8,6,18,14,,20,49,0.408,3,9,0.333,11,14,0.786,4,19,10,9,2,17,17
11/30/2010,,Michigan,L,23,63,0.365,7,29,0.241,8,13,0.615,12,36,9,5,4,11,21,,22,49,0.449,6,20,0.3,19,28,0.679,8,34,13,6,1,13,18
12/5/2010,@,South Carolina,L,22,57,0.386,3,16,0.188,13,18,0.722,12,30,7,6,1,16,19,,25,54,0.463,6,13,0.462,8,15,0.533,6,27,10,10,6,12,17
12/12/2010,@,Florida State,L,22,54,0.407,8,22,0.364,17,20,0.85,9,30,11,8,5,16,18,,27,62,0.435,8,19,0.421,13,17,0.765,13,32,15,8,7,14,16
12/17/2010,,Savannah State,W,20,48,0.417,5,10,0.5,16,27,0.593,13,41,15,8,6,13,16,,11,48,0.229,5,24,0.208,13,19,0.684,7,28,6,7,2,18,20
12/19/2010,,North Carolina-Greensboro,W,27,49,0.551,6,14,0.429,11,20,0.55,11,36,17,11,9,16,12,,22,59,0.373,7,18,0.389,10,13,0.769,8,24,16,5,0,15,22
12/22/2010,@,College of Charleston,W,24,57,0.421,6,19,0.316,12,14,0.857,10,31,13,9,2,7,19,,21,52,0.404,6,18,0.333,11,18,0.611,13,35,11,3,4,14,13
12/27/2010,,Delaware State,W,30,53,0.566,6,16,0.375,10,14,0.714,7,30,20,10,4,10,12,,18,47,0.383,3,15,0.2,2,4,0.5,3,18,10,6,6,15,16
12/29/2010,,East Carolina,W,21,48,0.438,5,21,0.238,24,35,0.686,9,36,13,7,10,11,20,,16,49,0.327,6,18,0.333,21,28,0.75,6,26,10,3,0,15,29
1/2/2011,,Citadel,W,25,54,0.463,7,16,0.438,12,24,0.5,10,32,15,13,8,7,14,,19,57,0.333,6,12,0.5,10,14,0.714,16,41,8,4,0,18,22
1/8/2011,,Miami (FL),W,26,52,0.5,8,21,0.381,19,23,0.826,11,31,14,6,8,10,19,,22,53,0.415,9,23,0.391,19,22,0.864,7,21,9,7,0,8,18
1/12/2011,,Georgia Tech,W,27,39,0.692,11,14,0.786,22,26,0.846,5,26,18,9,8,20,19,,25,62,0.403,6,17,0.353,6,8,0.75,13,22,9,11,3,18,23
1/18/2011,@,UNC,L,25,71,0.352,10,29,0.345,5,10,0.5,14,37,11,7,1,14,19,,27,58,0.466,4,16,0.25,17,25,0.68,9,39,12,10,8,14,12
1/22/2011,@,Maryland,L,29,63,0.46,9,26,0.346,10,16,0.625,13,35,20,5,4,10,23,,24,48,0.5,8,14,0.571,23,35,0.657,9,30,16,3,1,10,13
1/25/2011,,North Carolina State,W,23,54,0.426,4,17,0.235,10,13,0.769,11,34,12,6,5,9,12,,19,48,0.396,5,16,0.313,7,10,0.7,4,24,11,5,2,12,16
1/29/2011,,Florida State,W,19,49,0.388,8,21,0.381,16,20,0.8,12,33,13,11,6,17,15,,16,49,0.327,4,17,0.235,8,12,0.667,11,29,7,12,4,21,22
2/2/2011,@,Virginia,L,19,57,0.333,3,18,0.167,6,11,0.545,13,33,5,7,5,13,17,,17,43,0.395,7,21,0.333,8,11,0.727,4,26,9,7,6,15,14
2/5/2011,@,Georgia Tech,W,21,37,0.568,7,14,0.5,16,22,0.727,4,24,11,6,3,20,20,,21,51,0.412,2,15,0.133,12,17,0.706,9,23,9,8,1,18,22
2/8/2011,,Boston College,W,27,51,0.529,6,18,0.333,17,23,0.739,5,27,16,7,6,7,18,,23,60,0.383,9,30,0.3,14,16,0.875,15,35,13,4,2,10,19
2/12/2011,,UNC,L,21,61,0.344,9,29,0.31,11,17,0.647,13,44,10,7,3,16,23,,20,53,0.377,2,14,0.143,22,32,0.688,7,34,7,10,5,9,17
2/17/2011,@,North Carolina State,L,24,64,0.375,3,20,0.15,10,16,0.625,12,31,5,3,5,5,17,,23,59,0.39,4,10,0.4,19,24,0.792,17,39,12,2,4,8,17
2/20/2011,@,Miami (FL),W,20,47,0.426,5,11,0.455,18,21,0.857,5,22,12,7,3,9,17,,19,39,0.487,6,16,0.375,15,23,0.652,4,27,12,5,5,15,18
2/26/2011,,Wake Forest,W,23,53,0.434,6,18,0.333,11,16,0.688,4,36,18,11,6,14,14,,20,59,0.339,2,12,0.167,7,11,0.636,8,36,11,7,4,15,17
3/2/2011,@,Duke,L,21,69,0.304,4,19,0.211,13,15,0.867,17,37,9,14,3,13,24,,22,52,0.423,7,17,0.412,19,25,0.76,11,35,14,4,8,20,15
3/5/2011,,Virginia Tech,W,24,49,0.49,7,17,0.412,14,19,0.737,8,34,19,6,7,18,22,,18,59,0.305,6,20,0.3,18,23,0.783,15,32,9,14,4,18,19
3/11/2011,N,Boston College,W,23,51,0.451,8,17,0.471,16,23,0.696,8,37,14,7,8,10,14,,17,50,0.34,6,24,0.25,7,10,0.7,5,22,13,4,2,13,17
3/12/2011,N,UNC,L (1 OT),33,66,0.5,12,24,0.5,9,16,0.563,13,31,16,12,1,15,25,,30,62,0.484,8,16,0.5,24,34,0.706,12,32,17,8,4,15,17
3/15/2011,N,Alabama-Birmingham,W,26,50,0.52,4,13,0.308,14,16,0.875,3,25,17,10,2,11,12,,18,48,0.375,12,24,0.5,4,7,0.571,5,27,10,4,3,19,10
3/17/2011,N,West Virginia,L,25,58,0.431,5,21,0.238,21,26,0.808,12,29,15,5,3,9,24,,27,55,0.491,5,13,0.385,25,31,0.806,12,32,15,6,1,11,21
11/11/2011,,Gardner-Webb,W,25,46,0.543,7,15,0.467,8,12,0.667,5,30,17,9,7,17,14,,14,45,0.311,5,16,0.313,11,12,0.917,4,20,8,9,0,18,15
11/16/2011,@,Citadel,W,29,54,0.537,4,9,0.444,11,22,0.5,9,38,14,6,11,15,19,,19,63,0.302,5,19,0.263,7,13,0.538,11,32,7,9,0,15,18
11/19/2011,,College of Charleston,L,28,64,0.438,6,22,0.273,7,9,0.778,14,32,13,6,3,9,15,,30,57,0.526,5,17,0.294,7,14,0.5,10,31,12,6,2,10,8
11/22/2011,,Coastal Carolina,L,23,57,0.404,5,19,0.263,8,13,0.615,10,29,12,7,2,11,16,,22,46,0.478,4,9,0.444,12,15,0.8,7,28,12,6,1,13,17
11/25/2011,,Furman,W,20,48,0.417,4,13,0.308,15,20,0.75,10,31,11,6,4,10,16,,17,41,0.415,5,14,0.357,10,16,0.625,4,22,8,4,1,15,19
11/29/2011,@,Iowa,W,28,54,0.519,11,21,0.524,4,7,0.571,7,41,20,2,3,18,21,,16,56,0.286,3,11,0.273,20,22,0.909,6,23,5,8,3,10,11
12/4/2011,,South Carolina,L,19,50,0.38,5,18,0.278,12,16,0.75,11,32,13,3,1,10,15,,21,50,0.42,5,15,0.333,11,17,0.647,10,30,8,6,5,7,16
12/10/2011,@,Arizona,L,19,60,0.317,4,19,0.211,5,5,1,8,26,9,5,2,12,18,,25,49,0.51,5,15,0.333,8,14,0.571,6,31,14,7,5,13,11
12/17/2011,,Winthrop,W,21,42,0.5,7,14,0.5,11,19,0.579,6,29,15,5,4,12,16,,15,47,0.319,3,15,0.2,7,10,0.7,7,22,5,5,1,13,18
12/19/2011,,Alabama State,W,24,48,0.5,4,14,0.286,18,25,0.72,9,34,16,8,5,16,14,,17,52,0.327,6,17,0.353,5,9,0.556,10,25,11,5,2,16,20
12/22/2011,N,UTEP,L,17,56,0.304,3,21,0.143,11,16,0.688,16,29,6,7,2,10,14,,22,43,0.512,7,20,0.35,10,12,0.833,3,27,13,4,2,16,15
12/23/2011,N,Southern Illinois,W (1 OT),26,61,0.426,5,15,0.333,26,34,0.765,13,40,11,6,1,14,17,,28,66,0.424,8,18,0.444,11,15,0.733,10,31,15,9,4,14,26
12/25/2011,N,Hawaii,L,26,64,0.406,8,16,0.5,8,12,0.667,12,26,13,4,6,7,19,,26,53,0.491,7,15,0.467,16,19,0.842,7,34,17,6,2,11,13
1/1/2012,,ETSU,W,22,50,0.44,7,18,0.389,14,22,0.636,8,28,18,14,8,16,16,,20,44,0.455,4,8,0.5,14,23,0.609,5,25,9,7,3,20,19
1/7/2012,,Florida State,W,24,49,0.49,3,14,0.214,28,33,0.848,8,34,14,8,5,12,17,,22,62,0.355,5,19,0.263,10,13,0.769,12,30,10,9,1,16,24
