Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,Alabama State,W,20,49,.408,7,16,.438,24,28,.857,9,35,10,7,1,11,12,,24,58,.414,9,25,.360,0,4,.000,8,28,14,5,3,15,21
2010-11-14,,Northern Arizona,W,20,55,.364,5,22,.227,29,33,.879,11,33,9,6,1,8,15,,25,56,.446,10,24,.417,10,13,.769,8,26,16,4,6,13,27
2010-11-17,,Louisiana,W,21,58,.362,5,16,.313,16,24,.667,12,45,12,2,5,9,13,,23,68,.338,9,22,.409,3,9,.333,11,39,11,5,5,10,21
2010-11-21,N,Iowa State,L,33,66,.500,14,27,.519,8,10,.800,8,26,18,5,3,8,17,,34,63,.540,13,26,.500,10,18,.556,12,34,17,4,6,10,12
2010-11-26,,Kennesaw State,W,29,56,.518,9,24,.375,8,9,.889,8,30,25,9,2,14,19,,21,52,.404,4,14,.286,11,19,.579,11,28,10,9,3,14,13
2010-11-28,@,Northwestern,L,19,51,.373,4,21,.190,10,15,.667,6,31,12,3,3,12,16,,24,49,.490,7,20,.350,10,17,.588,4,27,12,8,3,11,15
2010-12-01,,BYU,L,24,61,.393,7,25,.280,10,12,.833,9,31,13,4,3,7,15,,31,65,.477,7,19,.368,8,14,.571,12,41,16,7,6,6,14
2010-12-05,@,Nebraska,L,22,60,.367,6,33,.182,4,7,.571,9,37,10,4,2,11,13,,22,59,.373,9,31,.290,6,8,.750,6,35,14,2,3,8,11
2010-12-11,,St. Joseph's,W,27,55,.491,9,24,.375,19,23,.826,11,35,17,3,3,10,17,,26,62,.419,9,21,.429,14,19,.737,12,30,15,6,2,8,22
2010-12-18,,Idaho State,W,23,48,.479,8,21,.381,12,19,.632,6,33,16,1,6,13,13,,23,59,.390,8,16,.500,6,12,.500,9,28,12,12,2,7,21
2010-12-20,,Western Illinois,W,23,52,.442,3,19,.158,11,20,.550,9,32,17,6,5,7,11,,19,51,.373,5,10,.500,4,7,.571,8,32,9,3,1,15,17
2010-12-22,,Samford,W,22,53,.415,8,23,.348,6,10,.600,15,42,14,4,3,15,11,,16,44,.364,6,22,.273,2,4,.500,1,16,13,6,1,12,14
2010-12-29,@,Illinois State,W,22,44,.500,4,11,.364,16,20,.800,5,30,11,4,3,12,14,,19,53,.358,5,18,.278,10,17,.588,11,29,13,5,4,9,18
2011-01-01,,Drake,W,22,48,.458,7,19,.368,22,23,.957,10,44,15,3,4,13,15,,21,59,.356,6,19,.316,9,16,.563,6,20,10,4,2,4,21
2011-01-04,,Missouri State,L,20,51,.392,5,20,.250,10,16,.625,8,31,11,1,0,12,15,,25,47,.532,6,13,.462,11,17,.647,1,24,16,3,3,6,15
2011-01-07,@,Southern Illinois,W (1 OT),23,47,.489,6,16,.375,20,31,.645,5,32,9,5,3,9,13,,28,68,.412,5,20,.250,5,11,.455,14,38,12,3,2,10,24
2011-01-09,@,Evansville,W,25,49,.510,10,22,.455,14,19,.737,7,31,18,2,2,14,14,,28,59,.475,4,11,.364,9,12,.750,7,27,20,7,2,6,20
2011-01-12,,Wichita State,L,18,45,.400,5,13,.385,13,22,.591,3,21,10,6,0,11,17,,24,53,.453,5,24,.208,15,19,.789,9,37,13,2,2,12,20
2011-01-16,@,Indiana State,L,22,48,.458,9,24,.375,6,8,.750,6,29,13,3,7,14,13,,24,66,.364,10,21,.476,3,4,.750,15,31,14,9,1,10,13
2011-01-19,,Bradley,W,27,46,.587,10,18,.556,17,21,.810,6,32,21,3,0,14,17,,26,62,.419,2,13,.154,14,19,.737,10,24,10,7,3,7,19
2011-01-22,@,Missouri State,L,26,52,.500,6,15,.400,8,12,.667,8,28,9,3,7,9,13,,28,66,.424,2,12,.167,9,10,.900,17,36,7,6,5,6,13
2011-01-26,@,Northern Iowa,L,24,48,.500,6,11,.545,12,18,.667,7,32,10,5,2,18,18,,25,55,.455,8,20,.400,13,17,.765,2,19,11,7,2,7,16
2011-01-29,,Indiana State,W,22,47,.468,8,17,.471,31,41,.756,10,32,15,6,2,16,22,,21,56,.375,9,22,.409,18,24,.750,13,29,11,6,2,20,29
2011-02-01,@,Bradley,L,19,58,.328,11,35,.314,12,14,.857,13,38,14,5,4,14,17,,24,58,.414,4,15,.267,17,21,.810,8,32,14,10,4,6,10
2011-02-05,,Evansville,W,27,55,.491,6,19,.316,15,25,.600,13,33,21,8,3,12,14,,28,49,.571,6,14,.429,7,13,.538,3,19,19,3,2,12,25
2011-02-08,@,Drake,L,26,62,.419,4,22,.182,8,12,.667,14,35,8,6,1,12,20,,22,48,.458,4,12,.333,19,25,.760,6,26,7,10,1,10,17
2011-02-13,,Southern Illinois,W,27,54,.500,6,14,.429,9,14,.643,12,35,17,6,0,7,16,,19,44,.432,2,11,.182,10,18,.556,6,21,10,2,5,9,16
2011-02-16,,Illinois State,W,27,43,.628,10,18,.556,11,14,.786,3,26,17,5,3,13,15,,23,55,.418,5,11,.455,8,12,.667,10,25,10,7,1,8,15
2011-02-19,@,Akron,L,23,60,.383,6,18,.333,15,23,.652,12,40,12,3,3,17,19,,26,60,.433,3,9,.333,21,24,.875,5,29,13,8,2,8,16
2011-02-23,@,Wichita State,L,24,45,.533,4,11,.364,13,18,.722,3,23,13,2,4,15,18,,22,54,.407,6,15,.400,17,21,.810,8,27,19,10,0,9,19
2011-02-26,,Northern Iowa,W,23,46,.500,8,14,.571,9,20,.450,5,30,15,5,7,11,14,,21,55,.382,4,12,.333,9,9,1.000,6,30,7,6,2,11,20
2011-03-04,N,Northern Iowa,W,22,52,.423,8,16,.500,8,10,.800,10,38,15,1,2,11,9,,24,56,.429,8,22,.364,1,4,.250,2,20,10,6,6,4,13
2011-03-05,N,Missouri State,L,19,49,.388,7,22,.318,5,6,.833,7,30,11,1,5,12,19,,20,54,.370,3,12,.250,17,25,.680,12,31,6,8,4,3,12
2011-03-15,,San Jose State,W,32,63,.508,13,26,.500,8,11,.727,12,35,21,2,3,8,9,,29,59,.492,8,16,.500,8,13,.615,8,28,11,5,6,6,11
2011-03-21,,Davidson,W,30,58,.517,6,15,.400,36,43,.837,8,30,18,6,5,9,20,,34,64,.531,7,22,.318,17,24,.708,10,27,17,4,2,11,32
2011-03-23,,UCF,W,30,52,.577,7,15,.467,15,19,.789,6,24,23,10,2,13,16,,22,45,.489,2,16,.125,18,25,.720,6,20,7,9,4,19,18
2011-03-28,,Oregon,W,28,51,.549,9,19,.474,19,27,.704,6,32,21,4,5,12,16,,29,64,.453,10,26,.385,8,12,.667,8,26,17,5,1,9,22
2011-03-30,@,Oregon,L,18,43,.419,7,18,.389,15,18,.833,5,26,11,4,4,20,9,,31,58,.534,5,16,.313,4,7,.571,7,24,15,13,1,12,17
2011-04-01,@,Oregon,L,26,54,.481,7,20,.350,10,17,.588,12,32,16,4,4,14,18,,27,56,.482,4,19,.211,13,18,.722,7,23,12,6,1,6,18
2011-11-11,,North Carolina A&T,W,33,68,.485,14,35,.400,17,26,.654,19,49,28,5,5,13,19,,24,63,.381,6,25,.240,11,17,.647,10,32,14,7,3,13,24
2011-11-13,,Chicago State,W,33,58,.569,13,30,.433,16,21,.762,6,26,28,11,3,7,11,,26,51,.510,5,11,.455,4,9,.444,4,23,12,7,4,21,20
2011-11-16,@,Alabama-Birmingham,W,27,63,.429,5,17,.294,11,19,.579,12,36,10,6,2,14,19,,23,55,.418,5,17,.294,9,15,.600,9,32,10,3,10,18,17
2011-11-20,N,Iowa,W,32,58,.552,9,19,.474,9,13,.692,11,42,20,4,2,15,16,,21,59,.356,7,21,.333,10,19,.526,10,27,10,10,3,8,14
2011-11-25,,Campbell,W,38,54,.704,14,21,.667,14,27,.519,4,23,30,10,1,12,21,,29,59,.492,7,13,.538,16,22,.727,12,29,15,5,3,18,20
2011-11-30,@,San Diego State,W,31,66,.470,9,20,.450,14,21,.667,11,37,18,3,1,7,21,,30,64,.469,7,15,.467,16,24,.667,8,34,12,3,1,9,21
2011-12-04,,Nebraska,W,26,51,.510,5,10,.500,19,22,.864,9,29,15,5,0,17,16,,24,56,.429,4,16,.250,14,17,.824,12,25,9,9,3,12,22
2011-12-10,@,St. Joseph's,L,27,61,.443,11,21,.524,6,9,.667,4,24,15,7,1,14,26,,29,59,.492,3,10,.300,19,29,.655,12,37,14,7,7,13,13
2011-12-17,,Houston Baptist,W,31,68,.456,7,28,.250,28,39,.718,20,53,27,12,6,13,19,,25,67,.373,7,19,.368,5,19,.263,11,27,12,8,1,19,26
2011-12-19,@,Tulsa,W,34,58,.586,3,6,.500,12,16,.750,7,32,16,11,6,15,19,,25,58,.431,5,16,.313,9,19,.474,11,27,11,11,1,15,14
2011-12-22,,Northwestern,W,30,57,.526,12,21,.571,15,22,.682,9,32,26,3,0,11,17,,29,58,.500,9,22,.409,12,12,1.000,5,23,22,7,1,10,22
2011-12-28,,Missouri State,L,21,55,.382,9,21,.429,14,20,.700,9,31,14,4,2,12,15,,29,60,.483,7,17,.412,12,14,.857,7,32,17,9,5,6,18
2011-12-31,@,Wichita State,W,23,54,.426,8,15,.533,14,18,.778,5,29,12,4,1,11,17,,19,57,.333,5,26,.192,18,25,.720,10,36,9,5,3,10,17
2012-01-03,,Drake,W,27,45,.600,5,11,.455,17,22,.773,5,30,16,5,5,19,18,,21,57,.368,5,19,.263,12,19,.632,12,26,13,14,1,15,21
2012-01-07,@,Bradley,W,33,54,.611,10,20,.500,16,19,.842,8,33,28,4,2,14,19,,30,61,.492,13,24,.542,10,16,.625,8,22,16,8,5,11,16
2012-01-10,,Northern Iowa,W,24,50,.480,6,15,.400,9,14,.643,7,32,16,2,4,9,11,,22,59,.373,12,26,.462,4,7,.571,10,31,12,6,2,5,11
2012-01-13,@,Illinois State,W,32,56,.571,10,18,.556,13,21,.619,6,38,17,2,1,11,13,,32,69,.464,8,32,.250,6,10,.600,6,26,14,4,2,3,22
2012-01-15,,Southern Illinois,W,27,49,.551,8,18,.444,28,34,.824,5,38,16,2,2,12,17,,28,68,.412,4,14,.286,11,19,.579,8,26,17,7,3,5,23
2012-01-18,@,Missouri State,W,25,45,.556,5,16,.313,11,14,.786,5,31,15,1,2,14,13,,25,64,.391,5,20,.250,10,14,.714,12,28,14,7,1,3,15
2012-01-21,,Indiana State,W,24,55,.436,11,24,.458,16,19,.842,7,35,17,5,3,10,19,,16,49,.327,4,16,.250,13,19,.684,4,25,10,4,3,12,19
2012-01-25,@,Drake,W,25,50,.500,7,15,.467,20,26,.769,9,35,17,5,0,11,19,,25,56,.446,4,18,.222,15,20,.750,5,23,6,6,2,6,22
2012-01-28,,Bradley,W,24,44,.545,8,20,.400,17,23,.739,3,27,20,6,3,19,9,,23,59,.390,6,17,.353,7,8,.875,9,28,12,10,1,17,21
2012-02-01,,Illinois State,W,31,55,.564,13,25,.520,27,33,.818,8,32,22,6,1,9,16,,26,57,.456,9,23,.391,13,15,.867,6,21,14,5,4,11,22
2012-02-04,@,Northern Iowa,L,24,57,.421,5,16,.313,9,12,.750,11,42,5,2,4,11,19,,23,57,.404,11,21,.524,8,15,.533,5,27,11,5,2,2,15
2012-02-07,@,Evansville,L,21,52,.404,4,22,.182,11,15,.733,12,34,14,3,3,16,20,,22,51,.431,3,8,.375,18,22,.818,7,25,14,6,3,9,16
2012-02-11,,Wichita State,L,23,57,.404,5,23,.217,17,22,.773,7,21,14,4,2,6,16,,32,55,.582,8,16,.500,17,17,1.000,8,36,17,0,3,9,18
2012-02-14,@,Southern Illinois,W,31,40,.775,12,14,.857,14,20,.700,5,29,21,3,2,16,14,,30,60,.500,7,18,.389,2,10,.200,9,16,15,8,0,6,16
2012-02-18,,Long Beach State,W,30,60,.500,5,23,.217,16,22,.727,10,30,14,6,2,12,16,,30,51,.588,7,15,.467,12,20,.600,4,24,18,7,1,14,19
2012-02-21,,Evansville,W (1 OT),29,51,.569,10,17,.588,25,36,.694,7,26,19,6,3,16,22,,33,56,.589,8,14,.571,18,25,.720,6,27,25,9,2,12,31
2012-02-25,@,Indiana State,W,22,57,.386,3,14,.214,14,18,.778,9,33,10,3,0,5,15,,21,56,.375,5,12,.417,13,16,.813,9,36,9,5,4,8,13
2012-03-02,N,Drake,W,25,54,.463,5,19,.263,13,19,.684,5,35,13,3,2,9,14,,24,60,.400,1,15,.067,12,16,.750,6,31,6,4,4,6,17
2012-03-03,N,Evansville,W,32,53,.604,12,23,.522,23,28,.821,9,39,22,3,4,12,18,,25,59,.424,4,13,.308,17,25,.680,3,15,13,6,3,5,23
2012-03-04,N,Illinois State,W (1 OT),30,62,.484,7,19,.368,16,22,.727,10,36,16,2,1,8,18,,27,66,.409,12,29,.414,13,15,.867,9,29,13,3,6,6,17
2012-03-16,N,Alabama,W,22,50,.440,9,21,.429,5,13,.385,7,30,14,4,3,7,11,,22,48,.458,7,17,.412,6,12,.500,6,29,9,5,4,9,18
2012-03-18,N,UNC,L,28,68,.412,8,20,.400,9,12,.750,9,34,11,7,3,9,18,,33,65,.508,8,16,.500,13,19,.684,11,43,16,4,9,9,8
2012-11-09,,North Texas,W,24,48,.500,5,18,.278,18,22,.818,5,36,14,4,6,13,12,,22,69,.319,2,16,.125,5,10,.500,14,34,11,6,2,12,20
2012-11-14,,Alabama-Birmingham,W,27,53,.509,10,27,.370,13,17,.765,6,34,15,4,4,10,11,,24,63,.381,8,20,.400,4,5,.800,7,29,16,8,0,9,19
2012-11-18,,Presbyterian,W,32,52,.615,12,24,.500,11,15,.733,8,34,24,4,0,10,14,,21,52,.404,7,21,.333,9,16,.563,8,22,7,6,0,9,13
2012-11-20,,Longwood,W,35,54,.648,7,15,.467,28,38,.737,8,37,27,9,3,11,16,,22,58,.379,3,16,.188,10,18,.556,11,29,14,6,2,19,28
2012-11-23,N,Wisconsin,W,27,58,.466,8,20,.400,22,25,.880,11,35,14,3,2,10,18,,27,66,.409,8,27,.296,12,16,.750,13,33,8,5,4,8,20
2012-11-24,N,Arizona State,W,30,63,.476,8,23,.348,19,25,.760,9,35,12,10,0,15,24,,23,53,.434,6,21,.286,21,28,.750,4,28,9,8,1,18,23
2012-11-28,,Boise State,L,25,52,.481,12,27,.444,8,12,.667,3,18,16,7,1,11,17,,29,48,.604,10,19,.526,15,19,.789,5,31,15,8,1,13,17
2012-12-01,,St. Joseph's,W,30,53,.566,10,21,.476,10,10,1.000,3,29,21,6,1,14,12,,20,53,.377,7,28,.250,4,6,.667,6,22,11,9,6,17,16
2012-12-06,@,Nebraska,W,23,50,.460,8,17,.471,10,18,.556,6,31,16,5,3,12,14,,18,56,.321,4,16,.250,2,6,.333,7,29,9,3,5,12,17
2012-12-09,,Akron,W,30,62,.484,10,22,.455,7,9,.778,11,35,17,6,3,7,16,,24,57,.421,4,17,.235,9,12,.750,6,26,14,3,7,11,15
2012-12-15,@,University of California,W,25,61,.410,8,22,.364,16,21,.762,6,36,13,5,6,7,15,,27,78,.346,3,17,.176,7,13,.538,16,47,12,4,6,8,22
2012-12-19,,Tulsa,W,27,52,.519,9,20,.450,8,14,.571,5,28,19,17,2,17,19,,18,48,.375,5,16,.313,13,18,.722,9,32,10,9,3,24,20
2012-12-29,,Evansville,W,30,61,.492,12,24,.500,15,19,.789,15,43,18,4,3,13,15,,28,65,.431,3,14,.214,11,11,1.000,7,23,17,6,1,7,19
2013-01-02,@,Illinois State,W,28,53,.528,13,25,.520,10,12,.833,3,32,19,4,1,12,16,,27,64,.422,13,28,.464,5,10,.500,8,29,19,4,2,7,13
2013-01-05,,Indiana State,W,27,49,.551,11,22,.500,14,19,.737,8,30,22,4,5,10,18,,22,51,.431,7,14,.500,15,24,.625,7,22,10,6,1,10,16
2013-01-08,,Drake,W,34,53,.642,16,27,.593,7,12,.583,5,38,28,3,2,14,15,,21,59,.356,9,28,.321,10,14,.714,6,22,15,7,0,7,13
2013-01-11,@,Missouri State,W,27,47,.574,9,17,.529,11,13,.846,7,33,14,4,1,12,10,,22,58,.379,5,23,.217,3,4,.750,10,20,10,5,1,8,15
2013-01-15,,Northern Iowa,W,31,56,.554,6,12,.500,11,14,.786,8,31,21,4,2,13,14,,29,59,.492,4,15,.267,6,6,1.000,7,26,13,9,2,13,19
2013-01-19,@,Wichita State,L,23,55,.418,8,20,.400,10,17,.588,12,37,13,3,6,14,16,,27,71,.380,4,23,.174,9,19,.474,15,37,12,5,4,6,16
2013-01-23,@,Drake,L,27,60,.450,5,21,.238,10,13,.769,6,30,13,9,4,9,21,,24,54,.444,8,22,.364,18,30,.600,10,36,13,4,5,14,15
2013-01-27,@,Southern Illinois,W,29,46,.630,12,20,.600,11,15,.733,7,37,20,5,1,17,17,,20,54,.370,5,16,.313,6,15,.400,6,17,8,12,1,8,13
2013-01-30,,Missouri State,W,30,54,.556,15,28,.536,16,23,.696,10,33,24,4,3,10,16,,29,53,.547,11,20,.550,8,11,.727,3,21,14,5,0,9,23
2013-02-02,,Bradley,W,28,55,.509,12,31,.387,7,7,1.000,8,31,20,5,5,10,11,,25,55,.455,5,14,.357,3,4,.750,2,18,11,4,1,9,15
2013-02-06,@,Indiana State,L,20,48,.417,5,18,.278,12,18,.667,6,29,10,2,1,13,25,,25,52,.481,7,17,.412,19,27,.704,6,26,14,8,3,4,16
2013-02-09,,Illinois State,L,25,66,.379,4,23,.174,18,21,.857,19,41,12,4,0,11,19,,30,61,.492,6,18,.333,9,16,.563,9,27,14,6,2,6,16
2013-02-13,@,Northern Iowa,L,21,48,.438,7,23,.304,5,14,.357,8,36,10,2,2,17,20,,21,56,.375,4,15,.267,15,19,.789,8,30,11,11,3,8,16
2013-02-16,@,Evansville,W,24,46,.522,9,18,.500,14,17,.824,2,24,17,3,1,11,19,,24,60,.400,9,21,.429,11,15,.733,13,34,17,4,1,10,18
2013-02-19,,Southern Illinois,W,20,39,.513,2,9,.222,17,22,.773,4,30,16,4,0,15,11,,18,51,.353,3,13,.231,6,10,.600,8,26,9,7,1,12,19
2013-02-23,@,Saint Mary's (CA),L,21,51,.412,5,18,.278,19,24,.792,7,23,14,3,4,6,19,,24,55,.436,8,22,.364,18,22,.818,10,36,13,4,2,9,23
2013-02-27,@,Bradley,W,27,52,.519,5,17,.294,21,26,.808,12,40,18,10,0,14,18,,22,51,.431,5,20,.250,13,18,.722,5,19,13,9,2,12,22
2013-03-02,,Wichita State,W,33,47,.702,11,21,.524,14,16,.875,2,24,21,2,0,13,15,,29,55,.527,7,21,.333,14,18,.778,7,20,19,11,2,9,16
2013-03-08,N,Drake,W,22,47,.468,4,16,.250,17,22,.773,10,38,11,4,8,17,14,,21,60,.350,5,17,.294,6,8,.750,7,24,10,7,3,8,19
2013-03-09,N,Indiana State,W,23,43,.535,9,18,.500,9,11,.818,3,28,17,5,1,13,18,,13,49,.265,1,13,.077,16,19,.842,9,22,6,7,1,11,13
2013-03-10,N,Wichita State,W,22,53,.415,11,24,.458,13,20,.650,11,36,18,2,7,9,16,,23,67,.343,7,21,.333,12,18,.667,18,39,7,6,6,5,16
2013-03-22,N,Cincinnati,W,19,42,.452,7,15,.467,22,25,.880,7,30,16,2,2,16,11,,27,64,.422,5,20,.250,4,9,.444,11,28,12,9,4,9,20
2013-03-24,N,Duke,L,16,53,.302,2,19,.105,16,18,.889,5,30,9,2,2,10,26,,19,49,.388,7,20,.350,21,28,.750,6,36,9,7,4,9,20
2013-11-08,,Alcorn State,W,35,63,.556,11,24,.458,26,36,.722,9,42,25,12,0,6,18,,21,58,.362,9,26,.346,10,15,.667,4,25,9,1,3,18,29
2013-11-11,,UMKC,W,35,68,.515,13,28,.464,13,21,.619,13,48,27,3,5,14,9,,29,77,.377,7,24,.292,5,9,.556,9,32,13,10,2,8,23
2013-11-16,@,St. Joseph's,W,31,56,.554,11,22,.500,10,14,.714,4,25,19,4,2,8,15,,26,55,.473,14,31,.452,13,16,.813,8,26,19,2,4,8,19
2013-11-23,,Tulsa,W,28,54,.519,11,26,.423,15,28,.536,4,32,19,9,0,14,20,,28,65,.431,5,20,.250,11,18,.611,8,33,19,7,5,14,27
2013-11-28,N,Arizona State,W,31,58,.534,12,25,.480,14,16,.875,4,30,15,6,2,9,20,,22,58,.379,7,26,.269,9,20,.450,11,32,11,5,4,13,18
