Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,N,Central Michigan,L,24,46,0.522,8,15,0.533,11,24,0.458,5,24,12,4,1,10,15,,27,65,0.415,9,17,0.529,7,11,0.636,15,35,15,5,3,10,19
11/13/2010,@,Hawaii,L,25,62,0.403,9,32,0.281,11,13,0.846,13,29,11,7,2,16,19,,28,54,0.519,10,24,0.417,18,23,0.783,10,28,15,8,6,14,15
11/15/2010,N,Montana State,L,24,52,0.462,10,27,0.37,18,20,0.9,5,28,14,5,3,13,18,,27,63,0.429,9,30,0.3,17,23,0.739,13,36,15,8,1,9,18
11/21/2010,@,San Diego,W,19,48,0.396,6,20,0.3,18,23,0.783,11,36,10,9,1,18,22,,20,52,0.385,6,15,0.4,13,22,0.591,11,32,12,3,3,15,20
11/24/2010,@,USC,L,20,57,0.351,5,23,0.217,9,14,0.643,5,26,9,9,1,16,21,,29,55,0.527,6,12,0.5,17,24,0.708,9,40,14,8,3,16,12
11/27/2010,,Cal State Bakersfield,W,23,45,0.511,6,13,0.462,33,37,0.892,12,40,16,4,1,14,22,,25,59,0.424,7,15,0.467,18,24,0.75,7,20,10,4,3,6,26
11/30/2010,@,Montana,L,23,63,0.365,5,16,0.313,16,23,0.696,15,39,11,6,1,17,30,,23,58,0.397,1,13,0.077,28,42,0.667,16,42,17,10,11,12,21
12/4/2010,,San Diego,W,27,46,0.587,8,15,0.533,28,38,0.737,6,25,19,3,1,9,22,,21,43,0.488,5,15,0.333,29,35,0.829,5,23,7,1,1,17,27
12/8/2010,@,Arizona,L,24,50,0.48,7,13,0.538,7,13,0.538,5,19,15,6,0,15,23,,26,58,0.448,8,25,0.32,13,18,0.722,16,36,16,2,4,15,14
12/12/2010,@,Portland State,L,34,57,0.596,9,20,0.45,12,17,0.706,10,25,19,5,3,16,22,,32,61,0.525,10,28,0.357,19,23,0.826,10,27,19,6,2,12,18
12/18/2010,,Occidental,W,27,46,0.587,7,19,0.368,15,19,0.789,7,22,20,5,0,9,12,,18,43,0.419,4,11,0.364,8,10,0.8,8,19,7,3,0,18,16
12/22/2010,,Montana,L,19,58,0.328,3,14,0.214,16,23,0.696,11,29,8,2,0,11,24,,22,48,0.458,3,14,0.214,24,29,0.828,8,37,13,4,4,15,20
12/28/2010,,UC-Davis,L,27,62,0.435,3,15,0.2,15,20,0.75,11,35,14,4,1,14,19,,30,60,0.5,13,32,0.406,15,18,0.833,6,32,17,6,2,12,17
12/30/2010,,Pacific,W,21,51,0.412,4,14,0.286,8,12,0.667,9,28,9,5,1,3,14,,16,44,0.364,8,28,0.286,11,16,0.688,7,29,8,1,1,9,13
1/5/2011,@,UC-Irvine,L,27,56,0.482,5,19,0.263,19,22,0.864,10,35,8,5,1,24,28,,26,57,0.456,9,26,0.346,24,38,0.632,10,30,15,15,1,18,20
1/8/2011,@,UC-Riverside,W (1 OT),31,65,0.477,9,18,0.5,12,23,0.522,13,47,8,7,3,21,25,,25,66,0.379,10,30,0.333,17,26,0.654,11,33,13,10,5,15,19
1/13/2011,@,Cal Poly,L,18,55,0.327,2,18,0.111,16,22,0.727,15,37,7,7,2,12,17,,21,53,0.396,8,22,0.364,8,13,0.615,13,33,12,3,9,9,18
1/15/2011,@,Cal State Northridge,L,19,52,0.365,6,19,0.316,21,33,0.636,6,26,12,4,1,14,27,,30,54,0.556,8,16,0.5,21,33,0.636,9,40,27,5,4,12,25
1/19/2011,,Long Beach State,W,31,60,0.517,4,11,0.364,23,33,0.697,13,36,12,9,2,11,20,,32,61,0.525,9,21,0.429,14,19,0.737,10,31,14,1,0,15,22
1/22/2011,,UCSB,W,18,44,0.409,3,12,0.25,24,31,0.774,10,29,11,8,3,17,11,,20,51,0.392,8,23,0.348,10,13,0.769,6,25,15,2,7,21,21
1/25/2011,@,Cal State Bakersfield,L,25,56,0.446,5,14,0.357,20,27,0.741,9,33,13,4,0,15,22,,21,58,0.362,8,27,0.296,27,32,0.844,13,37,18,10,6,11,20
1/29/2011,@,Long Beach State,L,24,63,0.381,5,17,0.294,7,11,0.636,9,30,8,7,2,15,19,,25,57,0.439,7,24,0.292,18,25,0.72,10,41,19,11,4,12,12
2/3/2011,,UC-Irvine,W,27,51,0.529,8,18,0.444,18,22,0.818,5,31,15,3,2,15,18,,24,61,0.393,11,32,0.344,15,18,0.833,9,25,11,3,2,13,23
2/5/2011,,UC-Riverside,L,20,43,0.465,9,21,0.429,20,23,0.87,8,27,7,2,1,19,22,,25,56,0.446,7,16,0.438,13,16,0.813,11,26,13,3,0,14,17
2/10/2011,,Cal State Northridge,L,21,44,0.477,6,13,0.462,20,29,0.69,5,27,15,3,2,17,16,,24,55,0.436,10,25,0.4,12,21,0.571,7,29,13,3,3,15,21
2/16/2011,@,UCSB,L,25,58,0.431,4,9,0.444,17,23,0.739,4,22,16,6,0,13,21,,28,50,0.56,10,20,0.5,20,25,0.8,6,30,26,9,5,16,19
2/19/2011,@,Idaho State,L,27,54,0.5,6,15,0.4,19,26,0.731,12,31,12,7,6,17,22,,24,50,0.48,12,28,0.429,24,31,0.774,8,21,13,10,1,10,21
2/26/2011,,Cal Poly,L,25,60,0.417,9,22,0.409,11,18,0.611,12,31,15,3,1,9,20,,21,50,0.42,12,27,0.444,21,29,0.724,11,34,14,1,0,9,15
3/3/2011,@,Pacific,W,30,56,0.536,11,16,0.688,11,15,0.733,9,32,22,4,1,10,21,,26,57,0.456,7,22,0.318,21,30,0.7,7,25,15,6,8,8,15
3/5/2011,@,UC-Davis,W,28,59,0.475,12,27,0.444,19,23,0.826,8,35,17,5,1,12,17,,27,62,0.435,12,29,0.414,16,23,0.696,8,30,15,6,1,10,15
3/10/2011,N,Cal State Northridge,L,19,56,0.339,4,15,0.267,12,27,0.444,12,30,8,4,0,16,27,,24,48,0.5,5,13,0.385,22,34,0.647,7,40,6,4,8,17,21
11/11/2011,,Redlands,W,41,74,0.554,11,27,0.407,25,39,0.641,17,54,21,17,1,23,21,,22,66,0.333,7,22,0.318,17,25,0.68,8,26,14,9,0,24,24
11/18/2011,N,Nicholls State,W,21,45,0.467,7,21,0.333,24,35,0.686,8,32,15,7,4,21,22,,23,49,0.469,5,13,0.385,12,21,0.571,5,19,8,5,3,17,23
11/19/2011,@,Louisiana,W,22,52,0.423,8,20,0.4,17,29,0.586,11,33,11,4,3,22,32,,24,51,0.471,1,9,0.111,14,27,0.519,7,27,8,6,2,20,26
11/20/2011,N,Houston Baptist,L,28,60,0.467,2,15,0.133,25,39,0.641,19,45,8,2,1,15,21,,32,64,0.5,10,19,0.526,14,17,0.824,8,25,9,2,3,10,23
11/26/2011,,Cal State Bakersfield,L,24,55,0.436,5,18,0.278,13,21,0.619,9,32,12,9,1,21,21,,29,60,0.483,2,13,0.154,13,24,0.542,14,36,10,7,8,15,20
12/1/2011,@,Wichita State,L,24,51,0.471,4,18,0.222,8,15,0.533,4,25,9,13,2,23,19,,27,56,0.482,5,17,0.294,16,23,0.696,10,34,17,9,2,18,15
12/3/2011,@,Southern Illinois-Edwardsville,W,25,50,0.5,10,21,0.476,19,24,0.792,12,38,15,5,0,15,18,,20,52,0.385,5,19,0.263,12,18,0.667,7,22,7,4,0,13,21
12/7/2011,@,Utah,W,29,51,0.569,11,24,0.458,12,15,0.8,10,44,21,3,1,14,18,,18,51,0.353,6,16,0.375,8,16,0.5,3,16,12,7,3,7,14
12/11/2011,,Eastern Washington,W,28,53,0.528,11,20,0.55,24,32,0.75,8,35,20,2,4,13,13,,30,70,0.429,11,29,0.379,5,11,0.455,12,30,13,6,8,10,26
12/17/2011,,La Verne,W,34,59,0.576,6,16,0.375,12,20,0.6,10,40,16,4,4,13,11,,16,63,0.254,8,30,0.267,4,7,0.571,10,27,5,2,1,19,21
12/22/2011,,Portland State,W,33,67,0.493,11,25,0.44,15,18,0.833,10,34,16,3,1,10,15,,34,64,0.531,7,17,0.412,11,13,0.846,7,28,13,1,2,12,17
12/29/2011,,UC-Davis,W,22,56,0.393,5,14,0.357,16,23,0.696,13,29,14,3,3,9,13,,25,53,0.472,8,18,0.444,6,8,0.75,9,33,11,1,1,14,21
1/2/2012,,Pacific,W,27,50,0.54,12,25,0.48,12,14,0.857,8,32,14,4,1,16,17,,27,57,0.474,9,22,0.409,10,16,0.625,9,23,15,0,2,12,14
1/5/2012,@,UCSB,L,23,67,0.343,7,24,0.292,11,18,0.611,16,39,12,5,2,12,23,,25,54,0.463,8,16,0.5,19,29,0.655,12,41,16,9,7,12,18
1/7/2012,@,Cal Poly,L,21,43,0.488,8,17,0.471,17,30,0.567,4,28,12,5,6,15,21,,24,59,0.407,5,14,0.357,20,30,0.667,14,33,8,5,3,7,20
1/14/2012,@,Cal State Bakersfield,L,20,52,0.385,7,23,0.304,18,27,0.667,11,30,14,10,5,19,21,,23,51,0.451,3,11,0.273,18,26,0.692,8,30,13,11,5,14,20
1/18/2012,,UC-Riverside,W,28,54,0.519,8,20,0.4,8,11,0.727,9,32,13,7,3,16,19,,23,54,0.426,6,20,0.3,9,15,0.6,4,17,10,5,3,11,16
1/21/2012,@,UC-Irvine,W,27,52,0.519,13,20,0.65,25,33,0.758,12,34,15,7,4,17,16,,28,63,0.444,14,31,0.452,14,19,0.737,10,26,22,6,3,15,24
1/26/2012,@,Cal State Northridge,W,25,53,0.472,10,26,0.385,10,19,0.526,10,29,17,5,5,15,17,,22,56,0.393,8,16,0.5,16,18,0.889,12,30,15,6,3,12,20
1/28/2012,@,Long Beach State,L,26,57,0.456,5,13,0.385,4,4,1,8,26,7,9,2,21,19,,27,53,0.509,7,18,0.389,14,25,0.56,10,28,15,11,3,18,11
2/2/2012,,Cal Poly,W,31,54,0.574,10,21,0.476,11,17,0.647,7,30,19,8,2,12,16,,23,50,0.46,3,11,0.273,12,19,0.632,8,24,13,2,3,14,17
2/4/2012,,UCSB,W,31,59,0.525,17,26,0.654,20,26,0.769,10,32,22,3,8,10,23,,26,63,0.413,11,18,0.611,23,31,0.742,15,30,16,1,4,9,22
2/9/2012,,UC-Irvine,W,30,56,0.536,9,15,0.6,31,35,0.886,9,29,17,4,3,15,25,,33,61,0.541,9,20,0.45,19,22,0.864,8,25,17,4,3,13,25
2/15/2012,@,UC-Riverside,W,29,63,0.46,9,17,0.529,10,16,0.625,13,37,17,7,1,15,14,,26,54,0.481,3,13,0.231,9,16,0.563,4,26,13,5,4,15,14
2/18/2012,,Montana State,W,30,52,0.577,8,13,0.615,12,12,1,6,23,19,4,2,16,22,,19,47,0.404,8,20,0.4,20,25,0.8,6,18,14,2,3,17,14
2/23/2012,@,Pacific,W,27,57,0.474,10,30,0.333,5,10,0.5,11,35,16,3,2,15,21,,21,52,0.404,6,15,0.4,20,27,0.741,10,31,13,6,1,11,14
2/25/2012,@,UC-Davis,L,27,65,0.415,8,31,0.258,13,23,0.565,10,29,13,9,8,11,22,,25,60,0.417,9,24,0.375,19,25,0.76,13,42,14,6,6,17,16
