Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-13,@,Penn,L,23,52,.442,6,18,.333,12,18,.667,8,28,15,6,0,16,25,,21,45,.467,6,19,.316,21,32,.656,8,31,8,8,5,18,18
2010-11-18,N,West Virginia,L,25,61,.410,2,22,.091,18,29,.621,11,37,6,2,3,16,37,,23,53,.434,7,16,.438,31,49,.633,12,38,9,6,7,14,30
2010-11-19,N,Nebraska,W,23,53,.434,11,28,.393,13,20,.650,6,30,15,5,4,15,24,,21,47,.447,2,11,.182,23,31,.742,6,34,10,10,6,15,22
2010-11-21,N,Western Kentucky,W,26,54,.481,4,15,.267,8,11,.727,13,40,10,6,4,16,13,,21,68,.309,4,15,.267,5,12,.417,17,31,11,7,3,9,15
2010-11-27,@,Rhode Island,L,23,58,.397,5,21,.238,7,11,.636,12,31,12,8,2,14,23,,24,52,.462,7,13,.538,16,23,.696,12,34,17,6,4,15,13
2010-11-29,,Monmouth,W,24,54,.444,8,21,.381,13,17,.765,13,32,16,5,6,14,16,,19,53,.358,5,13,.385,10,16,.625,11,27,7,5,1,15,19
2010-12-02,@,College of Charleston,L,23,57,.404,9,20,.450,18,25,.720,10,34,15,5,3,11,18,,31,61,.508,7,21,.333,13,17,.765,8,35,14,6,6,8,20
2010-12-04,@,Citadel,W,23,50,.460,6,20,.300,16,22,.727,8,30,12,10,5,13,17,,19,58,.328,6,14,.429,9,17,.529,14,34,16,6,0,18,22
2010-12-11,,Charlotte,W,28,61,.459,12,29,.414,14,17,.824,12,37,14,3,3,13,21,,21,54,.389,8,22,.364,18,25,.720,10,31,11,8,2,12,18
2010-12-20,@,St. John's (NY),L,16,47,.340,9,23,.391,16,18,.889,8,24,15,7,2,21,22,,21,45,.467,1,6,.167,19,26,.731,9,29,8,5,5,17,19
2010-12-21,N,St. Francis (NY),W,23,49,.469,4,13,.308,26,31,.839,7,29,10,4,4,16,27,,23,63,.365,3,15,.200,20,26,.769,13,29,7,6,1,12,26
2010-12-30,,Saint Joseph's (ME),W,41,69,.594,12,27,.444,14,16,.875,16,48,23,10,5,6,8,,17,55,.309,5,23,.217,0,2,.000,6,19,5,3,3,15,14
2011-01-02,@,Vanderbilt,L,22,75,.293,5,27,.185,3,5,.600,17,42,10,6,3,13,26,,23,53,.434,6,14,.429,28,34,.824,7,39,14,6,8,9,10
2011-01-05,,Appalachian State,L,25,58,.431,6,21,.286,10,18,.556,13,33,15,1,4,16,22,,27,57,.474,4,13,.308,16,26,.615,11,29,10,5,2,12,20
2011-01-08,@,Western Carolina,L,23,56,.411,7,24,.292,20,32,.625,13,33,13,8,2,13,26,,26,52,.500,6,15,.400,23,31,.742,9,34,15,7,3,13,22
2011-01-12,,Furman,W,22,49,.449,7,16,.438,28,37,.757,9,30,10,4,1,12,25,,20,43,.465,3,10,.300,27,34,.794,3,20,8,3,4,14,28
2011-01-15,,Wofford,L,20,45,.444,4,13,.308,20,23,.870,4,29,11,4,5,16,23,,22,52,.423,7,13,.538,18,28,.643,8,29,10,9,3,9,21
2011-01-17,@,North Carolina-Greensboro,L,26,66,.394,9,26,.346,8,12,.667,15,37,14,8,3,19,22,,27,56,.482,6,15,.400,17,31,.548,9,31,14,7,8,13,16
2011-01-20,@,Elon,L,26,59,.441,8,26,.308,10,17,.588,10,31,10,3,0,16,28,,23,52,.442,9,26,.346,22,34,.647,6,28,14,7,4,9,17
2011-01-26,,Citadel,L,24,58,.414,9,30,.300,18,21,.857,11,25,14,5,2,9,18,,29,45,.644,5,11,.455,22,24,.917,2,22,13,6,2,12,19
2011-01-29,,College of Charleston,W,23,61,.377,9,24,.375,20,25,.800,14,40,10,5,0,13,15,,25,54,.463,4,15,.267,10,15,.667,6,27,9,4,6,14,21
2011-01-31,@,Georgia Southern,W,25,47,.532,7,15,.467,16,22,.727,5,27,11,2,2,19,30,,19,41,.463,4,11,.364,24,34,.706,4,21,10,8,2,18,24
2011-02-03,@,Samford,W,21,54,.389,12,25,.480,8,10,.800,15,40,13,2,4,15,23,,16,44,.364,2,17,.118,15,24,.625,6,20,2,7,5,9,15
2011-02-05,,Chattanooga,W,23,63,.365,11,32,.344,16,21,.762,15,48,12,8,1,15,21,,20,58,.345,6,30,.200,13,22,.591,9,32,6,2,4,12,24
2011-02-09,@,Wofford,W,23,53,.434,9,23,.391,12,17,.706,7,31,13,1,2,11,19,,22,55,.400,1,4,.250,13,20,.650,10,32,10,9,3,9,19
2011-02-12,@,Furman,L,26,67,.388,7,24,.292,20,31,.645,12,28,12,8,1,6,32,,25,44,.568,6,13,.462,32,46,.696,9,40,12,2,4,16,25
2011-02-16,,Georgia Southern,W,29,52,.558,7,16,.438,18,23,.783,13,39,15,6,2,17,21,,19,47,.404,6,10,.600,12,17,.706,6,19,10,5,2,19,25
2011-02-19,@,Presbyterian,W,25,47,.532,8,20,.400,13,19,.684,9,29,4,2,3,13,18,,24,47,.511,7,15,.467,10,13,.769,3,16,5,5,0,9,17
2011-02-24,,Elon,W,25,52,.481,9,23,.391,24,34,.706,11,34,13,1,6,10,24,,23,52,.442,4,13,.308,25,31,.806,8,26,6,3,3,9,28
