Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/14/2010,,Princeton,W,36,65,0.554,14,26,0.538,11,12,0.917,7,27,26,10,5,14,17,,23,50,0.46,6,16,0.375,8,19,0.421,7,26,14,7,3,27,15
11/16/2010,,Miami (OH),W,25,58,0.431,8,20,0.4,21,31,0.677,11,43,15,10,3,9,14,,18,54,0.333,6,25,0.24,3,8,0.375,5,27,7,7,2,15,22
11/19/2010,,Colgate,W,34,72,0.472,12,30,0.4,30,39,0.769,18,43,24,13,7,12,19,,21,68,0.309,4,15,0.267,12,15,0.8,17,38,10,8,3,24,32
11/22/2010,N,Marquette,W,35,64,0.547,6,18,0.333,6,12,0.5,10,36,20,4,10,19,14,,31,70,0.443,4,20,0.2,11,17,0.647,11,33,13,11,1,14,16
11/23/2010,N,Kansas State,W,26,54,0.481,6,12,0.5,24,31,0.774,6,26,13,11,3,14,25,,27,58,0.466,3,17,0.176,11,23,0.478,11,34,10,3,3,21,26
11/27/2010,N,Oregon,W,33,62,0.532,13,27,0.481,19,27,0.704,7,40,14,6,5,19,23,,24,71,0.338,5,14,0.357,18,30,0.6,9,29,13,15,7,11,22
12/1/2010,,Michigan State,W,25,53,0.472,7,16,0.438,27,38,0.711,11,30,13,11,4,15,16,,31,63,0.492,9,17,0.529,8,15,0.533,15,35,16,7,6,20,25
12/4/2010,N,Butler,W,25,53,0.472,8,26,0.308,24,29,0.828,7,32,11,9,1,15,19,,26,58,0.448,8,15,0.533,10,20,0.5,10,31,15,10,0,15,24
12/8/2010,,Bradley,W,30,60,0.5,15,33,0.455,8,10,0.8,8,35,22,3,4,9,13,,20,61,0.328,4,13,0.308,4,8,0.5,11,32,10,7,3,13,13
12/11/2010,,Saint Louis,W,31,58,0.534,6,10,0.6,16,25,0.64,9,30,18,10,6,9,14,,19,49,0.388,1,7,0.143,8,10,0.8,4,27,11,6,2,22,18
12/20/2010,,Elon,W,31,63,0.492,11,23,0.478,25,30,0.833,14,40,21,10,1,14,20,,25,58,0.431,7,19,0.368,15,16,0.938,7,26,12,4,3,18,25
12/29/2010,@,North Carolina-Greensboro,W,39,64,0.609,11,24,0.458,19,25,0.76,7,27,24,13,5,7,16,,23,58,0.397,4,8,0.5,12,16,0.75,12,31,7,2,2,23,21
1/2/2011,,Miami (FL),W,26,60,0.433,8,22,0.364,14,15,0.933,11,37,9,8,8,13,19,,24,65,0.369,3,17,0.176,12,20,0.6,11,32,8,7,4,12,16
1/5/2011,,Alabama-Birmingham,W,31,67,0.463,8,17,0.471,15,20,0.75,12,39,14,11,4,6,15,,23,59,0.39,9,22,0.409,9,12,0.75,9,36,13,3,2,14,22
1/9/2011,,Maryland,W,25,62,0.403,6,21,0.286,15,23,0.652,11,37,10,6,4,16,20,,26,66,0.394,3,14,0.214,9,17,0.529,15,40,17,5,8,16,23
1/12/2011,@,Florida State,L,19,61,0.311,11,35,0.314,12,16,0.75,11,34,9,9,3,15,17,,24,54,0.444,6,13,0.462,12,18,0.667,10,33,7,9,2,15,16
1/15/2011,,Virginia,W,27,58,0.466,5,20,0.25,17,20,0.85,12,40,13,4,6,15,16,,19,55,0.345,6,16,0.375,16,23,0.696,9,25,8,7,1,13,18
1/19/2011,@,North Carolina State,W,34,67,0.507,7,23,0.304,17,22,0.773,16,42,11,4,8,11,21,,25,68,0.368,5,11,0.455,23,30,0.767,17,32,11,7,4,9,18
1/22/2011,@,Wake Forest,W,26,61,0.426,9,26,0.346,22,26,0.846,11,34,14,11,3,9,16,,21,55,0.382,7,16,0.438,10,14,0.714,8,30,13,5,3,17,19
1/27/2011,,Boston College,W,30,60,0.5,10,22,0.455,14,19,0.737,8,31,16,10,6,7,14,,28,61,0.459,7,20,0.35,5,9,0.556,10,31,16,3,0,13,14
1/30/2011,@,St. John's (NY),L,26,62,0.419,5,26,0.192,21,27,0.778,14,28,9,7,7,17,26,,32,55,0.582,3,5,0.6,26,33,0.788,8,27,21,5,2,12,24
2/2/2011,@,Maryland,W,30,57,0.526,10,23,0.435,10,16,0.625,10,33,13,5,0,8,21,,20,50,0.4,2,9,0.222,20,27,0.741,9,28,12,3,1,11,20
2/5/2011,,North Carolina State,W,26,62,0.419,7,14,0.5,17,32,0.531,17,42,13,7,6,9,18,,21,53,0.396,1,10,0.1,9,18,0.5,6,31,16,3,3,16,29
2/9/2011,,UNC,W,28,68,0.412,8,26,0.308,15,23,0.652,15,40,11,5,4,12,16,,29,68,0.426,2,14,0.143,13,22,0.591,14,45,10,5,4,13,23
2/13/2011,@,Miami (FL),W,28,56,0.5,8,19,0.421,17,21,0.81,9,28,17,8,2,9,12,,29,64,0.453,8,22,0.364,5,6,0.833,12,29,16,2,3,13,18
2/16/2011,@,Virginia,W,23,46,0.5,5,16,0.313,5,9,0.556,5,38,12,6,6,18,13,,16,56,0.286,3,12,0.25,6,9,0.667,7,27,8,6,2,12,13
2/20/2011,,Georgia Tech,W,28,62,0.452,6,16,0.375,17,20,0.85,12,38,18,9,2,10,17,,20,60,0.333,3,15,0.2,14,20,0.7,15,35,10,7,7,14,20
2/23/2011,,Temple,W,27,58,0.466,8,17,0.471,16,17,0.941,13,36,14,5,3,11,17,,24,61,0.393,5,12,0.417,8,13,0.615,14,30,15,8,4,12,17
2/26/2011,@,Virginia Tech,L,23,58,0.397,4,20,0.2,10,13,0.769,9,35,6,3,6,5,18,,25,64,0.391,6,19,0.316,8,19,0.421,14,42,12,1,2,5,15
3/2/2011,,Clemson,W,22,52,0.423,7,17,0.412,19,25,0.76,11,35,14,4,8,20,15,,21,69,0.304,4,19,0.211,13,15,0.867,17,37,9,14,3,13,24
3/5/2011,@,UNC,L,22,62,0.355,6,27,0.222,17,22,0.773,10,32,9,4,2,9,21,,33,63,0.524,4,9,0.444,11,21,0.524,10,40,18,3,1,10,18
3/11/2011,N,Maryland,W,31,63,0.492,3,15,0.2,22,27,0.815,14,37,12,6,3,11,23,,26,58,0.448,4,8,0.5,15,28,0.536,13,32,17,5,3,13,22
3/12/2011,N,Virginia Tech,W,25,53,0.472,5,18,0.278,22,26,0.846,9,29,11,5,1,15,22,,21,57,0.368,2,16,0.125,19,24,0.792,14,30,3,4,2,12,20
3/13/2011,N,UNC,W,29,58,0.5,9,20,0.45,8,15,0.533,7,32,14,7,4,12,20,,21,62,0.339,2,8,0.25,14,21,0.667,15,39,8,4,5,16,16
3/18/2011,N,Hampton,W,32,60,0.533,9,19,0.474,14,16,0.875,9,36,17,9,4,9,11,,19,55,0.345,4,14,0.286,3,7,0.429,6,25,4,2,1,17,17
