Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,North Carolina-Wilmington,W,28,57,0.491,6,19,0.316,15,22,0.682,15,31,18,12,1,15,11,,23,48,0.479,6,16,0.375,8,8,1,6,21,11,11,4,20,16
11/16/2010,,Ohio State,L,30,49,0.612,6,14,0.429,9,14,0.643,8,26,11,1,4,18,17,,39,62,0.629,9,21,0.429,6,10,0.6,7,17,22,6,2,8,16
11/18/2010,,North Carolina A&T,W,42,73,0.575,9,22,0.409,12,17,0.706,17,42,26,16,8,11,12,,20,58,0.345,8,18,0.444,7,11,0.636,12,27,13,7,3,23,18
11/21/2010,,Morehead State,W,21,54,0.389,5,19,0.263,14,23,0.609,8,32,14,3,4,11,11,,22,60,0.367,4,20,0.2,7,12,0.583,13,38,8,5,3,11,21
11/23/2010,,Florida Atlantic,W,26,58,0.448,5,15,0.333,22,31,0.71,17,44,11,5,3,13,17,,24,57,0.421,5,15,0.333,13,21,0.619,9,28,14,5,2,11,22
11/28/2010,@,Florida State,W,16,42,0.381,6,16,0.375,17,25,0.68,10,34,8,7,4,17,14,,19,55,0.345,7,17,0.412,6,11,0.545,13,29,12,9,3,14,20
12/1/2010,N,UCF,L,21,50,0.42,2,13,0.154,10,18,0.556,10,37,12,6,4,14,13,,21,55,0.382,5,19,0.263,10,16,0.625,7,30,10,7,3,7,16
12/5/2010,N,American,W,25,51,0.49,6,17,0.353,11,13,0.846,7,27,18,10,3,10,13,,19,44,0.432,4,15,0.267,6,9,0.667,6,24,11,1,3,17,15
12/9/2010,,Kent State,W,30,62,0.484,3,16,0.188,2,6,0.333,13,36,11,7,7,11,10,,19,55,0.345,7,18,0.389,7,12,0.583,12,32,12,5,3,15,12
12/18/2010,N,Kansas State,W,23,43,0.535,3,10,0.3,8,15,0.533,7,26,11,3,7,17,17,,15,55,0.273,3,19,0.158,11,19,0.579,12,28,7,4,2,8,18
12/20/2010,,Jacksonville,L (1 OT),21,60,0.35,3,15,0.2,23,33,0.697,19,42,9,1,3,17,13,,29,65,0.446,5,16,0.313,8,14,0.571,11,30,9,7,2,13,26
12/22/2010,,Radford,W,23,57,0.404,9,25,0.36,11,21,0.524,19,35,16,10,3,16,17,,21,42,0.5,4,10,0.4,9,16,0.563,7,26,12,10,3,24,22
12/31/2010,@,Xavier,W,23,51,0.451,6,13,0.462,19,25,0.76,11,38,17,5,3,16,17,,25,62,0.403,6,20,0.3,11,17,0.647,12,30,12,8,2,8,22
1/3/2011,,Rhode Island,W,31,66,0.47,8,18,0.444,14,21,0.667,15,41,19,6,4,13,11,,24,64,0.375,4,23,0.174,7,8,0.875,11,29,12,5,6,11,17
1/8/2011,,Ole Miss,W,28,59,0.475,9,18,0.5,12,15,0.8,6,28,22,6,3,7,11,,26,55,0.473,9,22,0.409,10,13,0.769,8,33,8,4,7,11,17
1/11/2011,@,Tennessee,W (1 OT),31,59,0.525,8,16,0.5,11,20,0.55,7,31,14,5,5,11,15,,27,57,0.474,7,20,0.35,14,22,0.636,7,31,17,10,7,12,22
1/15/2011,,South Carolina,L,26,58,0.448,5,13,0.385,12,22,0.545,12,32,13,2,5,9,14,,27,61,0.443,7,21,0.333,11,15,0.733,12,36,14,4,7,8,18
1/20/2011,@,Auburn,W,15,53,0.283,5,26,0.192,10,14,0.714,13,34,9,5,5,14,12,,18,48,0.375,3,11,0.273,1,8,0.125,6,27,9,9,2,13,17
1/22/2011,,Arkansas,W,30,60,0.5,5,16,0.313,10,14,0.714,10,41,18,6,5,7,17,,15,51,0.294,2,14,0.143,11,17,0.647,6,26,5,4,1,13,14
1/25/2011,@,Georgia,W (2 OT),35,76,0.461,8,20,0.4,26,36,0.722,14,41,10,12,3,13,19,,34,75,0.453,7,17,0.412,16,24,0.667,16,44,14,8,5,20,24
1/29/2011,@,Mississippi State,L,25,63,0.397,5,21,0.238,9,19,0.474,16,42,10,5,3,8,19,,22,54,0.407,8,23,0.348,19,23,0.826,9,34,11,3,1,8,14
2/1/2011,,Vanderbilt,W (1 OT),22,60,0.367,6,19,0.316,15,26,0.577,12,42,11,3,3,11,19,,21,56,0.375,6,23,0.261,13,18,0.722,6,29,8,3,3,9,22
2/5/2011,,Kentucky,W,23,53,0.434,6,19,0.316,18,22,0.818,6,28,15,6,5,9,11,,25,54,0.463,7,12,0.583,11,13,0.846,3,27,14,6,5,11,19
2/9/2011,@,South Carolina,W,31,56,0.554,8,18,0.444,9,13,0.692,11,27,15,7,0,16,11,,23,55,0.418,8,22,0.364,6,11,0.545,10,25,11,6,2,18,17
2/12/2011,,Tennessee,W,20,42,0.476,5,13,0.385,16,22,0.727,7,24,10,7,3,17,12,,25,51,0.49,6,18,0.333,4,10,0.4,6,21,9,14,2,16,20
2/20/2011,@,LSU,W,25,55,0.455,4,13,0.308,14,20,0.7,15,36,7,9,2,13,13,,25,59,0.424,7,18,0.389,4,7,0.571,8,25,13,6,1,12,20
