Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,North Florida,W,27,63,0.429,6,22,0.273,15,23,0.652,12,38,11,10,7,15,19,,18,53,0.34,5,18,0.278,14,17,0.824,7,34,8,6,2,21,22
11/14/2010,@,North Carolina-Greensboro,W,35,68,0.515,7,18,0.389,20,25,0.8,15,36,12,20,11,20,22,,27,70,0.386,4,15,0.267,15,23,0.652,17,34,12,7,3,26,21
11/16/2010,,Gardner-Webb,W,26,53,0.491,7,15,0.467,19,27,0.704,11,38,15,10,6,16,19,,19,54,0.352,7,24,0.292,8,17,0.471,8,25,9,4,3,18,26
11/18/2010,@,Florida International,W,32,65,0.492,10,24,0.417,15,21,0.714,13,46,18,5,10,17,23,,22,68,0.324,6,22,0.273,16,24,0.667,13,32,8,12,6,12,22
11/23/2010,,Mercer,W,28,51,0.549,4,16,0.25,19,28,0.679,7,42,14,5,13,22,18,,19,76,0.25,3,28,0.107,14,19,0.737,17,32,6,10,3,11,22
11/28/2010,,Florida,L,19,55,0.345,7,17,0.412,6,11,0.545,13,29,12,9,3,14,20,,16,42,0.381,6,16,0.375,17,25,0.68,10,34,8,7,4,17,14
11/30/2010,,Ohio State,L,17,48,0.354,3,17,0.176,7,10,0.7,5,29,6,8,10,22,17,,19,59,0.322,4,20,0.2,16,21,0.762,14,39,6,11,4,15,15
12/5/2010,,Hartford,W,21,56,0.375,5,23,0.217,13,22,0.591,17,54,15,10,6,26,13,,14,65,0.215,8,40,0.2,2,4,0.5,9,27,9,15,0,15,20
12/12/2010,,Clemson,W,27,62,0.435,8,19,0.421,13,17,0.765,13,32,15,8,7,14,16,,22,54,0.407,8,22,0.364,17,20,0.85,9,30,11,8,5,16,18
12/15/2010,,Stetson,W,28,56,0.5,9,23,0.391,32,49,0.653,8,39,18,9,7,13,24,,19,59,0.322,5,26,0.192,20,27,0.741,11,35,7,8,0,20,30
12/18/2010,@,Loyola Marymount,W,28,60,0.467,7,21,0.333,11,15,0.733,13,35,19,6,4,14,13,,25,53,0.472,5,18,0.278,8,14,0.571,6,25,14,8,3,13,15
12/22/2010,@,Hawaii,W,20,62,0.323,10,27,0.37,20,32,0.625,22,44,12,14,7,16,21,,18,51,0.353,11,27,0.407,15,20,0.75,7,27,15,7,1,22,28
12/23/2010,N,Butler,L,21,53,0.396,10,28,0.357,12,15,0.8,15,35,6,4,3,18,24,,19,50,0.38,11,27,0.407,18,23,0.783,11,23,11,5,1,11,18
12/25/2010,N,Baylor,W,24,54,0.444,6,17,0.353,14,24,0.583,10,41,17,7,4,15,22,,18,54,0.333,5,14,0.357,20,32,0.625,8,27,10,4,2,15,18
1/3/2011,@,Auburn,L,21,60,0.35,5,26,0.192,13,26,0.5,15,37,15,10,7,14,17,,22,47,0.468,8,19,0.421,13,18,0.722,3,29,15,9,4,18,24
1/8/2011,@,Virginia Tech,L,22,62,0.355,7,24,0.292,8,14,0.571,15,37,13,8,4,19,30,,18,45,0.4,1,8,0.125,34,37,0.919,5,28,9,10,3,13,16
1/12/2011,,Duke,W,24,54,0.444,6,13,0.462,12,18,0.667,10,33,7,9,2,15,16,,19,61,0.311,11,35,0.314,12,16,0.75,11,34,9,9,3,15,17
1/15/2011,,North Carolina State,W,30,55,0.545,5,13,0.385,19,23,0.826,5,29,11,8,5,11,21,,24,62,0.387,6,15,0.4,17,25,0.68,15,34,9,5,0,16,20
