Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Southern,W,39,72,0.542,13,22,0.591,26,33,0.788,21,54,26,9,1,14,21,,24,58,0.414,12,31,0.387,12,20,0.6,1,11,15,6,5,14,22
11/14/2010,,IUPUI,W,35,58,0.603,5,18,0.278,11,19,0.579,13,36,19,8,3,14,18,,18,52,0.346,4,23,0.174,16,20,0.8,11,25,3,7,1,17,20
11/16/2010,,San Diego State,L,25,52,0.481,5,18,0.278,21,27,0.778,8,26,10,7,2,14,17,,33,65,0.508,5,13,0.385,8,15,0.533,18,33,12,9,1,15,24
11/22/2010,N,Kansas State,L,19,57,0.333,3,13,0.231,23,29,0.793,8,24,9,10,4,17,18,,29,57,0.509,12,26,0.462,11,20,0.55,10,37,16,9,9,22,23
11/23/2010,N,Marquette,W,26,60,0.433,6,17,0.353,8,13,0.615,17,42,9,3,2,16,17,,21,54,0.389,6,21,0.286,15,21,0.714,6,26,12,8,2,10,19
11/30/2010,,Eastern Washington,W,33,57,0.579,11,16,0.688,9,14,0.643,5,34,22,14,5,16,14,,21,62,0.339,8,24,0.333,7,18,0.389,12,29,10,9,3,20,14
12/4/2010,N,Illinois,L,24,59,0.407,3,16,0.188,10,16,0.625,13,35,12,0,1,11,19,,24,54,0.444,12,23,0.522,13,16,0.813,7,24,14,4,6,6,17
12/8/2010,@,Washington State,L,19,48,0.396,4,18,0.222,17,21,0.81,11,36,17,4,3,25,19,,30,60,0.5,11,21,0.524,10,17,0.588,8,24,21,14,3,10,21
12/11/2010,@,Notre Dame,L,29,55,0.527,11,20,0.55,10,12,0.833,3,21,20,3,3,9,27,,24,48,0.5,11,20,0.55,24,36,0.667,6,27,19,6,2,8,17
12/16/2010,,Lewis & Clark,W,37,61,0.607,12,19,0.632,17,23,0.739,7,38,27,9,9,11,17,,20,62,0.323,4,19,0.211,17,23,0.739,12,29,7,3,2,15,22
12/18/2010,N,Baylor,W,22,53,0.415,4,9,0.444,20,24,0.833,7,26,11,7,0,16,25,,18,49,0.367,2,12,0.167,26,33,0.788,8,31,5,7,6,17,24
12/22/2010,,Xavier,W,16,42,0.381,2,8,0.25,30,34,0.882,9,35,8,9,1,23,21,,16,48,0.333,4,18,0.222,18,25,0.72,7,21,5,10,1,18,27
12/29/2010,,Lafayette,W,29,60,0.483,6,18,0.333,19,28,0.679,13,48,19,10,7,15,13,,20,60,0.333,12,31,0.387,3,8,0.375,7,28,13,5,2,19,24
12/31/2010,,Oklahoma State,W,24,53,0.453,7,18,0.389,18,26,0.692,10,43,14,4,3,10,14,,21,58,0.362,5,14,0.357,5,14,0.357,8,30,9,4,2,10,22
1/2/2011,@,Wake Forest,W,26,52,0.5,3,9,0.333,18,22,0.818,8,37,18,5,4,19,25,,19,56,0.339,4,17,0.235,21,27,0.778,6,28,10,6,3,13,19
1/8/2011,,Portland,W,23,55,0.418,9,25,0.36,19,24,0.792,9,24,11,10,3,9,14,,24,46,0.522,7,12,0.583,6,8,0.75,7,29,9,2,4,20,18
1/13/2011,,Pepperdine,W,35,56,0.625,10,18,0.556,12,12,1,6,22,23,10,4,11,16,,28,54,0.519,7,13,0.538,12,18,0.667,8,21,12,7,4,16,12
1/15/2011,,Loyola Marymount,W,32,62,0.516,3,12,0.25,12,22,0.545,11,33,15,8,7,8,22,,15,55,0.273,5,17,0.294,24,30,0.8,13,36,6,3,0,13,20
1/20/2011,@,Santa Clara,L,20,42,0.476,4,13,0.308,27,31,0.871,7,24,11,6,3,18,26,,25,49,0.51,8,20,0.4,27,33,0.818,10,26,12,6,2,15,23
1/22/2011,@,San Francisco,L (1 OT),34,76,0.447,8,21,0.381,15,27,0.556,18,43,22,4,5,9,27,,31,68,0.456,7,22,0.318,27,32,0.844,14,39,9,2,4,10,21
1/27/2011,,Saint Mary's (CA),L,25,56,0.446,5,13,0.385,16,20,0.8,9,29,10,5,2,13,19,,28,58,0.483,8,23,0.348,9,13,0.692,6,26,12,6,4,12,20
1/29/2011,,San Diego,W,32,54,0.593,6,17,0.353,16,25,0.64,10,37,18,14,2,12,19,,17,48,0.354,7,18,0.389,12,19,0.632,5,19,8,8,0,20,22
2/3/2011,@,Portland,W,26,53,0.491,3,12,0.25,12,18,0.667,12,32,13,6,5,13,19,,20,54,0.37,11,21,0.524,13,19,0.684,13,31,10,7,3,12,17
2/5/2011,N,Memphis,L,19,53,0.358,6,20,0.3,14,18,0.778,9,29,12,5,2,11,16,,22,57,0.386,6,22,0.273,12,17,0.706,14,36,9,9,3,10,19
2/10/2011,@,Loyola Marymount,W,20,47,0.426,2,8,0.25,25,34,0.735,11,37,15,13,5,20,16,,19,55,0.345,4,13,0.308,15,19,0.789,6,25,11,10,3,19,24
2/12/2011,@,Pepperdine,W,22,57,0.386,4,17,0.235,15,18,0.833,9,40,17,7,5,9,14,,17,62,0.274,2,15,0.133,8,12,0.667,11,38,10,5,2,12,14
2/17/2011,,Santa Clara,W,29,54,0.537,6,14,0.429,21,31,0.677,9,33,15,6,9,13,23,,21,64,0.328,12,29,0.414,22,28,0.786,13,31,13,7,2,13,28
2/19/2011,,San Francisco,W,28,65,0.431,8,25,0.32,6,8,0.75,10,34,16,7,6,7,15,,20,53,0.377,6,17,0.353,7,10,0.7,5,30,8,4,1,18,13
2/24/2011,@,Saint Mary's (CA),W (1 OT),31,55,0.564,4,11,0.364,23,29,0.793,11,32,16,8,1,12,20,,29,60,0.483,10,23,0.435,17,20,0.85,9,25,18,10,0,12,24
2/26/2011,@,San Diego,W,21,43,0.488,1,7,0.143,25,30,0.833,8,36,12,14,5,14,13,,12,47,0.255,4,19,0.211,3,7,0.429,6,22,6,6,4,21,23
2/28/2011,,Cal State Bakersfield,W,33,66,0.5,11,29,0.379,19,20,0.95,11,43,20,5,7,10,12,,21,61,0.344,4,21,0.19,3,10,0.3,10,30,7,3,2,18,16
3/6/2011,N,San Francisco,W,22,54,0.407,3,14,0.214,24,29,0.828,7,25,8,10,1,8,20,,21,46,0.457,5,17,0.294,20,26,0.769,7,30,9,4,0,16,22
3/7/2011,N,Saint Mary's (CA),W,25,51,0.49,4,9,0.444,21,26,0.808,9,31,9,4,5,10,19,,20,50,0.4,7,15,0.467,16,21,0.762,6,24,7,2,4,9,23
3/17/2011,N,St. John's (NY),W,28,52,0.538,9,15,0.6,21,26,0.808,12,41,20,6,2,15,15,,27,58,0.466,7,15,0.467,10,15,0.667,4,18,9,10,4,10,22
3/19/2011,N,BYU,L,24,57,0.421,2,9,0.222,17,21,0.81,10,34,18,4,5,14,19,,31,59,0.525,14,28,0.5,13,15,0.867,2,23,17,10,6,8,19
11/11/2011,,Eastern Washington,W,19,51,0.373,3,13,0.231,36,51,0.706,16,40,11,7,4,17,11,,23,61,0.377,13,29,0.448,10,11,0.909,8,22,13,8,5,14,33
11/14/2011,,Washington State,W,23,56,0.411,13,29,0.448,30,37,0.811,13,39,17,8,5,13,19,,29,61,0.475,9,20,0.45,14,21,0.667,9,30,15,9,4,13,27
11/19/2011,N,Hawaii,W,24,60,0.4,7,18,0.389,18,28,0.643,14,32,12,7,4,11,11,,20,53,0.377,7,14,0.5,7,8,0.875,12,34,10,3,3,23,27
11/26/2011,N,Western Michigan,W,30,57,0.526,6,14,0.429,12,21,0.571,8,27,18,11,1,9,17,,20,48,0.417,5,15,0.333,13,21,0.619,10,30,7,5,2,22,20
11/30/2011,,Notre Dame,W,28,61,0.459,6,15,0.4,11,15,0.733,11,38,16,10,3,13,17,,20,52,0.385,2,14,0.143,11,18,0.611,8,28,6,8,3,17,16
12/3/2011,@,Illinois,L,26,51,0.51,5,13,0.385,18,27,0.667,7,24,10,9,1,16,17,,32,60,0.533,5,16,0.313,13,17,0.765,7,26,16,9,2,12,21
12/10/2011,,Michigan State,L,19,44,0.432,7,14,0.5,22,28,0.786,8,27,9,6,2,19,22,,26,48,0.542,6,13,0.462,16,25,0.64,5,20,18,10,3,15,20
12/15/2011,,Oral Roberts,W,23,45,0.511,7,21,0.333,14,19,0.737,7,37,17,4,4,17,16,,24,60,0.4,5,15,0.333,8,13,0.615,10,25,9,9,0,9,19
12/17/2011,N,Arizona,W,24,56,0.429,3,20,0.15,20,32,0.625,13,36,14,2,5,5,10,,23,56,0.411,6,20,0.3,8,9,0.889,7,22,12,3,4,8,21
12/20/2011,,Butler,W,24,49,0.49,9,18,0.5,14,21,0.667,8,34,9,4,5,10,14,,24,65,0.369,6,25,0.24,1,4,0.25,13,33,16,4,1,10,15
12/22/2011,,Air Force,W,21,45,0.467,8,18,0.444,20,27,0.741,10,23,12,10,1,8,12,,22,42,0.524,6,16,0.375,10,15,0.667,6,16,8,4,2,13,21
12/28/2011,,Portland,W,29,53,0.547,9,18,0.5,23,36,0.639,8,41,17,9,4,10,15,,19,64,0.297,4,20,0.2,9,15,0.6,11,31,8,8,3,17,27
12/31/2011,@,Xavier,W,26,59,0.441,8,19,0.421,12,17,0.706,12,41,15,7,2,17,15,,25,59,0.424,3,18,0.167,12,19,0.632,6,27,9,12,4,11,20
