Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,@,VCU,L,27,58,0.466,7,16,0.438,25,33,0.758,13,37,20,7,2,21,24,,38,73,0.521,11,31,0.355,14,26,0.538,17,36,28,14,7,15,22
11/14/2010,,Florida State,L,27,70,0.386,4,15,0.267,15,23,0.652,17,34,12,7,3,26,21,,35,68,0.515,7,18,0.389,20,25,0.8,15,36,12,20,11,20,22
11/21/2010,,Virginia Tech,L,23,41,0.561,6,10,0.6,18,29,0.621,4,26,9,4,0,29,28,,29,54,0.537,4,16,0.25,30,41,0.732,8,26,12,20,3,15,26
11/27/2010,@,East Carolina,L,19,54,0.352,4,17,0.235,11,18,0.611,8,23,11,6,0,12,23,,26,48,0.542,8,16,0.5,21,32,0.656,11,34,21,8,2,15,16
11/29/2010,,North Carolina A&T,L,27,71,0.38,9,27,0.333,7,10,0.7,15,38,11,12,4,15,24,,27,53,0.509,7,17,0.412,21,30,0.7,9,33,11,11,3,16,12
12/2/2010,@,Wofford,L,25,55,0.455,4,11,0.364,16,29,0.552,9,24,8,9,2,13,19,,32,59,0.542,13,22,0.591,15,18,0.833,13,35,25,7,3,14,20
12/6/2010,,Furman,L,25,59,0.424,4,11,0.364,14,18,0.778,8,24,9,6,3,16,24,,25,52,0.481,9,17,0.529,22,27,0.815,7,25,14,6,6,13,18
12/8/2010,@,Maryland,L,21,64,0.328,6,20,0.3,8,9,0.889,8,28,10,1,4,16,26,,35,67,0.522,6,14,0.429,23,37,0.622,17,48,24,6,7,15,10
12/15/2010,@,Wake Forest,L,24,59,0.407,6,13,0.462,13,21,0.619,8,23,9,10,1,11,21,,24,48,0.5,3,12,0.25,18,29,0.621,11,38,13,6,5,18,17
12/19/2010,@,Clemson,L,22,59,0.373,7,18,0.389,10,13,0.769,8,24,16,5,0,15,22,,27,49,0.551,6,14,0.429,11,20,0.55,11,36,17,11,9,16,12
12/22/2010,,Richmond,L,20,49,0.408,3,11,0.273,10,17,0.588,10,34,12,5,2,18,21,,18,48,0.375,5,17,0.294,22,28,0.786,7,25,11,8,3,10,16
12/29/2010,,Duke,L,23,58,0.397,4,8,0.5,12,16,0.75,12,31,7,2,2,23,21,,39,64,0.609,11,24,0.458,19,25,0.76,7,27,24,13,5,7,16
1/6/2011,,Samford,L,24,56,0.429,7,21,0.333,9,17,0.529,11,32,10,6,2,13,18,,24,53,0.453,8,23,0.348,12,16,0.75,7,28,16,6,2,11,16
1/8/2011,,Chattanooga,L,19,54,0.352,5,20,0.25,22,33,0.667,8,28,10,7,2,16,24,,22,58,0.379,10,27,0.37,16,30,0.533,15,43,8,5,0,17,27
1/10/2011,,Elon,L,21,65,0.323,6,15,0.4,17,26,0.654,13,31,11,6,5,8,26,,22,51,0.431,7,21,0.333,29,38,0.763,11,39,11,4,1,12,23
1/13/2011,@,Appalachian State,W,29,68,0.426,6,21,0.286,11,18,0.611,13,39,11,6,0,10,19,,27,61,0.443,9,23,0.391,11,17,0.647,10,36,11,5,0,11,16
1/17/2011,,Davidson,W,27,56,0.482,6,15,0.4,17,31,0.548,9,31,14,7,8,13,16,,26,66,0.394,9,26,0.346,8,12,0.667,15,37,14,8,3,19,22
1/20/2011,,Georgia Southern,W,32,55,0.582,9,15,0.6,14,23,0.609,8,29,21,6,5,16,25,,22,45,0.489,5,12,0.417,26,32,0.813,5,19,13,12,3,16,22
1/27/2011,@,Chattanooga,L (2 OT),39,83,0.47,17,43,0.395,15,18,0.833,14,32,22,13,0,13,37,,32,54,0.593,11,23,0.478,36,53,0.679,9,39,17,5,2,19,19
1/29/2011,@,Samford,W,24,46,0.522,12,22,0.545,31,35,0.886,6,27,13,9,1,14,19,,24,50,0.48,7,24,0.292,17,21,0.81,6,23,11,6,4,17,26
2/2/2011,,Appalachian State,L (1 OT),31,68,0.456,4,13,0.308,12,19,0.632,6,36,13,5,5,12,23,,29,67,0.433,4,18,0.222,18,26,0.692,11,41,10,5,2,14,19
2/5/2011,@,Western Carolina,L,21,51,0.412,5,13,0.385,26,30,0.867,5,30,7,10,4,18,15,,31,67,0.463,11,21,0.524,10,13,0.769,11,36,18,10,4,14,20
2/7/2011,,Citadel,W,37,66,0.561,8,20,0.4,4,6,0.667,7,29,19,4,0,9,15,,28,62,0.452,5,21,0.238,13,17,0.765,9,28,12,7,1,11,10
2/12/2011,@,College of Charleston,L,26,52,0.5,7,16,0.438,10,20,0.5,5,25,15,2,2,16,21,,30,68,0.441,8,27,0.296,19,22,0.864,12,34,13,8,4,4,14
2/15/2011,,Miami (FL),L,22,64,0.344,3,20,0.15,11,11,1,10,28,6,7,4,11,17,,25,57,0.439,12,24,0.5,16,21,0.762,14,36,11,9,7,13,12
2/19/2011,@,Elon,L,32,64,0.5,7,18,0.389,19,27,0.704,12,35,7,8,0,15,24,,30,56,0.536,16,34,0.471,23,29,0.793,4,28,17,7,1,13,24
2/21/2011,,Western Carolina,L,25,58,0.431,6,19,0.316,10,15,0.667,13,31,7,5,4,17,15,,27,63,0.429,4,12,0.333,12,18,0.667,14,34,13,11,0,14,16
2/24/2011,@,Georgia Southern,W,18,45,0.4,3,11,0.273,18,23,0.783,8,29,6,8,1,17,20,,21,43,0.488,4,13,0.308,10,19,0.526,4,26,12,8,5,16,21
2/26/2011,@,Davidson,L,26,65,0.4,3,17,0.176,12,13,0.923,7,26,6,11,0,8,15,,28,55,0.509,10,28,0.357,12,15,0.8,8,36,16,3,2,16,11
3/4/2011,N,Davidson,W,23,50,0.46,3,8,0.375,22,29,0.759,8,37,14,6,7,11,20,,18,75,0.24,8,34,0.235,20,25,0.8,24,41,12,3,4,9,21
3/5/2011,N,Western Carolina,L,21,57,0.368,5,18,0.278,19,34,0.559,19,44,7,4,3,20,17,,29,62,0.468,9,17,0.529,10,18,0.556,11,29,17,12,2,10,22
11/11/2011,@,Tennessee,L,27,65,0.415,3,10,0.3,6,15,0.4,16,30,12,8,1,10,20,,31,48,0.646,15,24,0.625,15,22,0.682,6,30,21,7,6,13,19
11/14/2011,@,Georgetown,L,16,54,0.296,5,22,0.227,8,18,0.444,9,27,8,1,3,20,23,,30,67,0.448,9,27,0.333,17,22,0.773,19,42,17,10,2,10,17
11/17/2011,,North Carolina-Pembroke,W,25,61,0.41,8,19,0.421,13,16,0.813,15,32,13,7,4,16,16,,22,47,0.468,7,12,0.583,7,13,0.538,5,23,12,6,2,18,21
11/19/2011,@,Middle Tennessee,L,22,51,0.431,7,21,0.333,9,18,0.5,13,31,10,8,2,23,26,,24,49,0.49,6,13,0.462,28,36,0.778,9,29,14,13,1,14,19
11/20/2011,N,Towson,W,25,66,0.379,10,27,0.37,12,18,0.667,18,33,16,20,3,12,19,,22,40,0.55,3,9,0.333,13,25,0.52,9,30,6,7,1,28,20
11/28/2011,@,North Carolina A&T,L,20,64,0.313,9,31,0.29,16,20,0.8,12,28,9,9,2,19,18,,32,56,0.571,10,21,0.476,13,19,0.684,7,34,21,9,4,18,19
12/1/2011,@,Appalachian State,L,21,67,0.313,5,18,0.278,17,26,0.654,16,35,11,6,1,11,20,,27,55,0.491,10,22,0.455,14,21,0.667,8,38,16,5,7,17,20
12/3/2011,@,Western Carolina,L,24,55,0.436,7,18,0.389,14,20,0.7,7,34,10,3,3,12,20,,24,61,0.393,10,24,0.417,15,20,0.75,14,40,13,5,5,8,20
12/5/2011,,Elon,L,25,67,0.373,8,26,0.308,14,24,0.583,18,35,13,5,3,12,16,,30,60,0.5,8,20,0.4,12,14,0.857,8,32,12,4,3,14,21
12/11/2011,@,Florida State,L,22,62,0.355,5,23,0.217,11,17,0.647,14,28,8,13,0,21,20,,26,50,0.52,8,20,0.4,15,22,0.682,11,33,17,13,9,26,16
12/16/2011,,East Carolina,L,26,69,0.377,5,24,0.208,5,8,0.625,13,31,7,4,4,18,24,,24,56,0.429,5,19,0.263,18,32,0.563,11,37,11,11,4,14,14
12/19/2011,@,Duke,L,24,59,0.407,4,13,0.308,11,22,0.5,9,26,14,10,1,13,21,,29,54,0.537,10,21,0.476,22,32,0.688,13,44,10,8,5,18,19
12/22/2011,,VCU,L,26,65,0.4,6,22,0.273,10,15,0.667,14,25,13,5,1,14,19,,27,48,0.563,5,18,0.278,21,26,0.808,6,27,8,8,3,15,16
12/30/2011,@,Richmond,L,23,66,0.348,6,22,0.273,6,8,0.75,17,42,11,3,2,17,19,,28,62,0.452,10,28,0.357,12,16,0.75,9,33,15,11,6,6,7
1/2/2012,@,Miami (FL),L,32,66,0.485,11,21,0.524,14,18,0.778,10,28,21,13,0,20,28,,31,59,0.525,7,20,0.35,30,38,0.789,12,35,12,11,4,18,17
1/5/2012,,Davidson,L,18,51,0.353,6,16,0.375,21,33,0.636,11,23,11,5,6,16,22,,30,59,0.508,10,25,0.4,22,27,0.815,16,38,17,6,1,16,26
1/12/2012,@,College of Charleston,W,26,59,0.441,7,18,0.389,14,22,0.636,12,43,11,4,4,22,22,,22,60,0.367,6,26,0.231,16,28,0.571,8,31,10,10,3,16,20
1/14/2012,@,Citadel,W,23,50,0.46,3,9,0.333,18,22,0.818,3,22,11,11,1,9,22,,22,44,0.5,8,13,0.615,14,22,0.636,5,29,16,3,1,15,17
1/19/2012,,Chattanooga,W,28,63,0.444,14,34,0.412,11,19,0.579,11,33,13,8,4,8,23,,25,59,0.424,6,18,0.333,16,26,0.615,14,38,7,3,0,16,15
1/22/2012,,Samford,W,23,71,0.324,8,28,0.286,7,9,0.778,13,30,9,8,3,7,22,,21,47,0.447,4,14,0.286,14,19,0.737,9,39,7,4,3,23,14
1/26/2012,,Appalachian State,W (1 OT),27,63,0.429,5,17,0.294,18,27,0.667,13,38,9,6,4,15,24,,22,50,0.44,7,18,0.389,22,32,0.688,8,32,11,8,5,20,25
1/28/2012,,Western Carolina,W (1 OT),26,56,0.464,7,18,0.389,30,37,0.811,5,39,13,10,6,20,25,,26,73,0.356,9,27,0.333,25,33,0.758,13,37,8,13,5,16,25
2/2/2012,,Citadel,W,31,58,0.534,8,20,0.4,12,16,0.75,9,33,15,6,6,16,22,,24,56,0.429,5,12,0.417,18,25,0.72,7,25,14,6,0,13,15
2/4/2012,@,Furman,L,26,62,0.419,6,21,0.286,27,31,0.871,9,33,12,6,3,18,33,,23,51,0.451,10,19,0.526,37,47,0.787,4,31,14,8,4,15,23
2/9/2012,@,Samford,W,23,61,0.377,9,28,0.321,16,20,0.8,15,42,14,4,0,11,16,,26,65,0.4,7,32,0.219,10,16,0.625,15,38,15,5,0,10,15
2/11/2012,@,Chattanooga,W,25,60,0.417,12,25,0.48,15,20,0.75,5,29,18,7,3,14,22,,24,64,0.375,4,23,0.174,24,30,0.8,14,40,11,5,3,15,17
2/15/2012,,College of Charleston,W,30,62,0.484,8,19,0.421,10,14,0.714,8,29,14,12,5,15,17,,21,59,0.356,5,25,0.2,16,21,0.762,15,37,10,9,4,22,15
2/18/2012,@,Georgia Southern,L,24,58,0.414,8,17,0.471,13,17,0.765,10,29,12,8,0,20,19,,30,59,0.508,4,11,0.364,19,24,0.792,8,30,10,12,2,17,17
2/21/2012,,Wofford,L,21,54,0.389,5,19,0.263,9,10,0.9,8,21,8,5,1,15,18,,23,45,0.511,4,11,0.364,18,21,0.857,6,28,14,8,4,15,14
2/25/2012,@,Elon,L,31,75,0.413,4,17,0.235,13,25,0.52,15,41,6,11,2,13,27,,28,61,0.459,10,20,0.5,27,39,0.692,11,43,14,5,4,15,22
3/3/2012,N,Appalachian State,W,23,61,0.377,5,14,0.357,14,24,0.583,13,39,10,9,1,9,16,,21,58,0.362,2,17,0.118,11,13,0.846,11,33,6,4,2,14,18
3/4/2012,N,Western Carolina,L,28,60,0.467,8,19,0.421,13,14,0.929,7,25,9,5,6,13,16,,29,62,0.468,10,21,0.476,14,19,0.737,11,32,9,6,1,13,15
11/9/2012,@,High Point,L,26,60,0.433,8,20,0.4,13,23,0.565,8,32,13,6,1,17,17,,30,68,0.441,5,18,0.278,16,22,0.727,12,35,17,9,4,13,20
11/12/2012,,Winston-Salem,W,31,63,0.492,9,26,0.346,10,14,0.714,7,32,17,5,3,14,19,,25,66,0.379,4,16,0.25,11,23,0.478,14,38,7,7,2,13,16
11/16/2012,@,East Carolina,L,26,59,0.441,11,23,0.478,10,12,0.833,9,33,16,3,3,13,25,,24,49,0.49,7,22,0.318,21,30,0.7,5,29,14,4,4,10,15
11/19/2012,,Virginia Tech,L,32,75,0.427,11,35,0.314,12,17,0.706,11,37,16,5,0,9,25,,24,53,0.453,14,22,0.636,34,42,0.81,6,37,13,4,8,14,15
11/25/2012,,Rutgers,L,29,69,0.42,7,25,0.28,15,24,0.625,20,39,11,8,2,16,20,,31,54,0.574,4,10,0.4,21,25,0.84,5,27,12,12,5,18,21
11/28/2012,,North Carolina A&T,L,22,71,0.31,5,29,0.172,30,40,0.75,22,49,7,11,2,18,32,,24,50,0.48,8,21,0.381,34,47,0.723,6,36,7,9,5,19,28
12/1/2012,,Citadel,W,33,56,0.589,11,21,0.524,7,8,0.875,6,37,18,3,4,12,20,,17,55,0.309,5,17,0.294,15,21,0.714,3,19,9,10,2,7,10
12/16/2012,@,James Madison,L,24,65,0.369,9,25,0.36,16,23,0.696,14,36,15,6,0,15,25,,30,53,0.566,6,13,0.462,19,26,0.731,5,32,18,5,4,13,17
12/19/2012,@,North Carolina-Wilmington,L,25,68,0.368,4,20,0.2,19,32,0.594,13,35,9,7,4,6,22,,30,59,0.508,9,16,0.563,18,31,0.581,13,47,15,3,6,12,18
12/22/2012,,Wake Forest,L,25,59,0.424,8,21,0.381,12,15,0.8,4,29,15,9,0,16,29,,27,51,0.529,7,16,0.438,23,32,0.719,4,31,12,10,4,15,19
12/31/2012,@,North Carolina State,L,29,67,0.433,2,17,0.118,8,13,0.615,15,33,8,9,2,10,16,,32,60,0.533,8,18,0.444,17,22,0.773,10,34,19,5,3,11,10
