Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-16,@,McNeese State,L,21,45,.467,4,13,.308,16,27,.593,10,29,12,6,3,18,24,,20,47,.426,5,10,.500,23,31,.742,10,24,11,8,1,11,19
2010-11-19,,Troy,W,27,56,.482,11,23,.478,15,25,.600,11,38,18,7,2,15,27,,21,53,.396,9,23,.391,19,37,.514,11,29,15,9,4,15,22
2010-11-23,,Utah Valley,W,24,54,.444,6,14,.429,15,22,.682,14,34,12,9,5,15,19,,16,40,.400,6,12,.500,18,22,.818,5,25,9,7,4,20,21
2010-11-27,,Samford,L (1 OT),22,63,.349,8,23,.348,9,17,.529,10,35,13,4,4,11,28,,20,46,.435,7,19,.368,23,30,.767,2,34,13,3,0,12,19
2010-11-30,@,Hampton,L (1 OT),22,57,.386,3,15,.200,9,20,.450,12,36,10,2,4,17,26,,15,45,.333,4,17,.235,26,39,.667,8,32,8,9,4,11,17
2010-12-04,,James Madison,W,26,58,.448,2,9,.222,10,20,.500,11,40,14,13,9,16,23,,19,61,.311,6,18,.333,19,29,.655,13,38,8,5,3,18,16
2010-12-11,,Western Michigan,L,24,55,.436,5,9,.556,6,11,.545,6,32,12,4,6,15,18,,21,58,.362,1,12,.083,18,22,.818,9,30,9,6,4,9,14
2010-12-18,,Florida A&M,W,25,62,.403,6,15,.400,20,35,.571,18,42,13,10,7,16,23,,20,59,.339,5,21,.238,22,25,.880,10,31,7,6,8,20,27
2010-12-22,@,Georgia Southern,L (1 OT),28,55,.509,6,22,.273,10,19,.526,11,31,16,9,2,21,19,,29,52,.558,5,12,.417,11,16,.688,8,25,12,15,3,17,18
2010-12-29,N,Texas A&M-Corpus Christi,W,28,53,.528,9,20,.450,7,13,.538,11,31,20,7,4,12,21,,14,42,.333,1,14,.071,13,27,.481,13,26,8,6,2,17,12
2010-12-30,@,Chattanooga,W,30,55,.545,10,24,.417,11,20,.550,9,33,22,5,2,12,20,,25,58,.431,8,34,.235,18,26,.692,12,33,14,6,0,11,19
2011-01-03,,VCU,W,27,53,.509,1,8,.125,21,30,.700,11,37,13,4,5,17,17,,19,57,.333,6,23,.261,22,26,.846,6,20,10,5,1,13,23
2011-01-05,@,North Carolina-Wilmington,L,21,56,.375,8,18,.444,6,18,.333,12,36,9,4,6,7,17,,20,47,.426,6,19,.316,13,17,.765,7,36,11,3,3,11,15
2011-01-08,,Towson,W,28,56,.500,11,25,.440,6,13,.462,7,29,21,3,5,11,21,,24,53,.453,7,16,.438,10,19,.526,6,27,12,1,4,13,14
2011-01-13,@,James Madison,L,24,67,.358,7,18,.389,12,15,.800,12,30,12,5,4,9,22,,26,44,.591,10,16,.625,17,26,.654,4,29,16,6,6,16,12
2011-01-15,@,George Mason,L,17,49,.347,6,24,.250,11,14,.786,9,24,6,5,0,19,24,,19,41,.463,3,12,.250,25,31,.806,9,31,10,9,3,13,13
2011-01-19,@,VCU,L,15,42,.357,4,14,.286,20,27,.741,10,34,6,8,5,24,22,,23,58,.397,10,28,.357,15,22,.682,11,31,13,13,4,12,23
2011-01-22,,Delaware,L,20,49,.408,3,10,.300,19,26,.731,10,33,9,6,5,8,14,,22,51,.431,9,17,.529,11,16,.688,7,29,15,4,1,12,19
2011-01-24,@,Drexel,L,14,48,.292,4,12,.333,1,4,.250,3,23,7,4,6,11,17,,21,46,.457,4,11,.364,11,23,.478,8,40,9,2,4,12,8
2011-01-26,,Old Dominion,L,17,41,.415,8,19,.421,6,8,.750,8,21,14,5,1,15,21,,16,44,.364,2,14,.143,17,23,.739,10,26,10,9,2,11,12
2011-01-29,@,Northeastern,L,23,62,.371,8,24,.333,11,17,.647,14,29,20,10,6,13,20,,23,47,.489,5,9,.556,19,22,.864,6,31,15,7,3,19,19
2011-02-02,,North Carolina-Wilmington,W (1 OT),22,54,.407,5,21,.238,14,20,.700,11,31,11,12,4,15,17,,18,59,.305,4,23,.174,18,21,.857,17,41,5,10,2,20,17
2011-02-05,@,Towson,W,26,59,.441,2,11,.182,9,15,.600,13,34,15,6,7,8,22,,16,42,.381,5,16,.313,23,26,.885,5,27,12,3,4,10,14
2011-02-09,,Hofstra,L,27,63,.429,5,15,.333,9,13,.692,17,37,16,6,1,16,21,,28,55,.509,9,18,.500,14,19,.737,7,27,19,8,7,10,19
2011-02-12,,Northeastern,W (1 OT),25,54,.463,6,19,.316,18,26,.692,14,37,12,10,8,18,22,,23,52,.442,6,17,.353,19,26,.731,10,24,11,8,2,14,18
2011-02-15,@,Old Dominion,L,17,52,.327,4,14,.286,5,11,.455,14,32,9,4,5,13,24,,17,48,.354,5,15,.333,21,28,.750,15,36,12,8,7,9,11
2011-02-19,@,Louisiana Tech,L,17,50,.340,7,21,.333,4,10,.400,10,31,12,7,5,16,20,,14,38,.368,6,17,.353,17,27,.630,7,31,10,6,0,16,13
2011-02-23,@,William & Mary,L,26,62,.419,9,22,.409,4,9,.444,12,30,12,10,8,12,29,,17,45,.378,6,22,.273,29,37,.784,13,38,14,5,5,14,11
2011-02-26,,George Mason,L,24,55,.436,6,12,.500,4,10,.400,13,32,10,4,8,13,19,,22,53,.415,7,11,.636,14,21,.667,10,27,14,4,6,9,11
2011-03-04,N,North Carolina-Wilmington,W,23,48,.479,3,8,.375,9,17,.529,7,39,18,8,8,13,16,,18,61,.295,6,29,.207,10,20,.500,15,36,7,6,4,9,17
2011-03-05,N,George Mason,L,17,43,.395,2,10,.200,9,17,.529,10,35,10,4,3,21,25,,21,46,.457,5,14,.357,21,29,.724,3,22,11,11,3,6,14
