Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Nicholls State,W (1 OT),21,45,0.467,7,23,0.304,14,20,0.7,13,32,10,12,7,26,20,,23,56,0.411,4,17,0.235,12,12,1,8,21,15,10,0,22,22
11/14/2010,,Alcorn State,W,30,56,0.536,6,15,0.4,22,37,0.595,9,37,20,9,6,13,25,,22,63,0.349,3,11,0.273,21,28,0.75,11,32,4,7,2,14,31
11/17/2010,@,Louisiana Tech,L,21,48,0.438,6,18,0.333,6,14,0.429,7,27,13,1,3,21,21,,22,55,0.4,4,19,0.211,12,17,0.706,10,31,9,6,2,14,20
11/20/2010,,Northwest Oklahoma State,W,29,57,0.509,7,13,0.538,16,25,0.64,9,33,24,4,6,8,10,,22,66,0.333,5,21,0.238,9,12,0.75,16,34,7,6,3,11,19
11/23/2010,,Louisiana,W,22,45,0.489,8,18,0.444,26,33,0.788,6,40,16,5,5,17,21,,24,66,0.364,5,15,0.333,12,21,0.571,16,38,9,7,2,12,28
11/27/2010,@,Texas Christian,L,21,52,0.404,8,19,0.421,13,25,0.52,7,29,11,2,2,19,21,,29,64,0.453,4,14,0.286,17,26,0.654,12,36,11,8,2,11,22
11/30/2010,@,LSU,L,23,58,0.397,6,16,0.375,5,12,0.417,13,27,6,6,3,19,20,,26,52,0.5,5,14,0.357,16,21,0.762,12,31,14,10,5,16,16
12/4/2010,@,Sam Houston State,W (1 OT),24,56,0.429,2,9,0.222,25,32,0.781,11,45,18,9,4,21,23,,23,69,0.333,8,25,0.32,17,23,0.739,14,35,20,9,3,14,27
12/6/2010,,Nevada,W,27,63,0.429,4,16,0.25,6,16,0.375,7,32,15,11,6,9,21,,22,64,0.344,7,19,0.368,10,16,0.625,17,49,6,6,4,17,16
12/11/2010,,UTSA,L,23,66,0.348,3,14,0.214,14,20,0.7,13,36,14,5,5,7,21,,25,54,0.463,8,17,0.471,10,16,0.625,8,39,18,5,5,11,21
12/18/2010,@,Texas A&M-Corpus Christi,L (1 OT),31,64,0.484,7,23,0.304,9,15,0.6,11,27,15,7,2,22,23,,28,54,0.519,5,12,0.417,20,29,0.69,12,34,15,9,6,22,18
