Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,N,Kent State,L,24,54,0.444,7,16,0.438,17,30,0.567,3,26,15,12,6,17,21,,27,52,0.519,6,13,0.462,13,23,0.565,8,34,17,11,5,21,20
11/13/2010,@,Cleveland State,L,23,57,0.404,5,19,0.263,17,23,0.739,9,25,13,7,3,14,21,,25,52,0.481,6,19,0.316,22,23,0.957,8,35,11,10,3,18,19
11/14/2010,N,Bryant,L,24,53,0.453,9,25,0.36,15,24,0.625,8,26,14,9,9,19,19,,24,60,0.4,11,29,0.379,15,19,0.789,14,36,15,8,3,22,22
11/18/2010,,Richmond,W (2 OT),31,69,0.449,6,26,0.231,13,20,0.65,16,46,12,3,3,17,24,,27,61,0.443,10,23,0.435,13,26,0.5,6,27,15,6,3,12,24
11/23/2010,@,Albany (NY),W,31,60,0.517,18,30,0.6,6,13,0.462,10,31,24,5,3,12,15,,24,49,0.49,10,22,0.455,7,12,0.583,5,25,13,5,6,11,16
11/30/2010,@,Norfolk State,W,25,58,0.431,5,17,0.294,18,25,0.72,11,32,14,9,0,15,20,,19,44,0.432,5,15,0.333,21,30,0.7,3,27,11,5,9,20,22
12/3/2010,,Canisius,W,35,74,0.473,7,18,0.389,17,27,0.63,15,37,21,7,2,9,13,,35,69,0.507,7,23,0.304,8,15,0.533,10,35,14,4,1,15,22
12/5/2010,,Niagara,W,32,57,0.561,6,20,0.3,12,22,0.545,9,38,21,10,2,14,13,,20,56,0.357,7,20,0.35,11,15,0.733,7,26,12,5,2,16,18
12/8/2010,@,LIU-Brooklyn,W,34,75,0.453,6,29,0.207,14,22,0.636,16,37,21,12,2,19,22,,29,63,0.46,6,20,0.3,18,26,0.692,10,35,15,7,1,20,22
12/11/2010,,Fairleigh Dickinson,W,33,60,0.55,9,19,0.474,12,23,0.522,12,32,24,12,4,13,17,,23,50,0.46,6,13,0.462,14,20,0.7,8,26,11,7,2,22,24
12/18/2010,@,Syracuse,L,26,58,0.448,11,37,0.297,14,21,0.667,8,30,24,5,3,11,18,,32,54,0.593,4,11,0.364,15,22,0.682,4,29,20,6,2,10,15
