Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,ETSU,W,33,68,.485,13,26,.500,9,23,.391,16,48,18,4,7,10,15,,23,61,.377,5,17,.294,14,19,.737,6,31,12,6,3,10,21
2010-11-19,N,Portland,W,28,51,.549,8,18,.444,15,20,.750,11,37,11,6,9,11,17,,18,59,.305,4,20,.200,8,12,.667,11,26,10,5,2,9,16
2010-11-22,N,Oklahoma,W,29,58,.500,7,20,.350,11,22,.500,10,37,13,7,5,11,17,,26,58,.448,3,11,.273,9,18,.500,8,29,6,2,5,14,20
2010-11-23,N,Washington,W,25,64,.391,3,17,.176,21,34,.618,17,45,7,8,9,15,22,,25,65,.385,3,13,.231,14,22,.636,10,32,9,8,7,14,23
2010-11-24,N,UConn,L,22,60,.367,8,22,.364,15,20,.750,12,28,9,6,6,11,18,,30,52,.577,7,12,.583,17,19,.895,6,29,16,6,5,12,16
2010-11-30,,Boston University,W,32,54,.593,10,16,.625,17,24,.708,10,39,21,5,10,13,15,,18,63,.286,8,22,.364,13,17,.765,13,26,8,3,0,13,16
2010-12-04,@,UNC,L,24,62,.387,9,21,.429,16,21,.762,6,32,12,8,3,11,26,,24,58,.414,1,11,.091,26,37,.703,8,40,13,4,9,12,20
2010-12-08,N,Notre Dame,W,23,57,.404,9,24,.375,17,22,.773,11,40,11,4,2,9,16,,20,55,.364,6,23,.261,12,20,.600,9,33,13,2,3,10,19
2010-12-11,,Indiana,W,22,61,.361,6,17,.353,31,44,.705,17,43,9,8,5,6,17,,23,54,.426,4,16,.250,12,16,.750,5,32,12,3,5,14,31
2010-12-18,,Mississippi Valley State,W,27,59,.458,7,18,.389,24,32,.750,9,37,11,7,11,12,10,,22,67,.328,8,23,.348,8,10,.800,13,37,14,5,3,23,23
2010-12-22,,Winthrop,W,33,63,.524,12,22,.545,11,13,.846,8,40,17,3,5,11,8,,22,69,.319,3,13,.231,5,11,.455,11,32,10,4,3,8,16
