Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,@,UNC,L,22,63,0.349,9,29,0.31,13,21,0.619,12,37,15,9,2,17,25,,30,63,0.476,4,13,0.308,16,29,0.552,12,45,12,6,10,14,20
11/15/2010,,Stillman,W,35,77,0.455,9,22,0.409,24,33,0.727,18,50,24,14,3,16,21,,27,65,0.415,9,26,0.346,15,29,0.517,8,31,8,13,8,17,21
11/18/2010,,Austin Peay,W (1 OT),32,61,0.525,10,29,0.345,30,40,0.75,9,42,21,5,3,22,30,,36,69,0.522,4,19,0.211,25,38,0.658,7,28,15,9,4,13,28
11/22/2010,@,Baylor,L,21,57,0.368,7,20,0.35,11,18,0.611,7,32,14,10,0,16,17,,28,61,0.459,9,22,0.409,7,12,0.583,10,41,18,7,5,19,18
11/27/2010,@,UT-Martin,W,32,66,0.485,3,13,0.231,23,30,0.767,20,52,18,4,2,18,21,,23,62,0.371,7,23,0.304,18,23,0.783,6,21,14,6,1,14,23
12/4/2010,,Mercer,W,27,58,0.466,5,13,0.385,18,28,0.643,11,35,16,10,6,18,22,,22,56,0.393,9,28,0.321,12,19,0.632,8,33,16,3,3,21,23
12/7/2010,@,Austin Peay,W,28,56,0.5,5,17,0.294,12,17,0.706,12,39,13,6,2,19,19,,27,66,0.409,7,24,0.292,9,17,0.529,16,35,17,9,3,12,16
12/11/2010,@,Tennessee Tech,W,35,52,0.673,10,19,0.526,18,23,0.783,7,22,13,6,1,24,16,,35,67,0.522,7,23,0.304,17,24,0.708,16,26,17,13,0,14,21
12/18/2010,,Kennesaw State,W,37,76,0.487,11,27,0.407,14,17,0.824,16,42,18,5,1,7,21,,22,60,0.367,9,23,0.391,20,31,0.645,15,37,14,3,3,10,17
12/21/2010,@,Alabama,L,19,66,0.288,5,25,0.2,8,13,0.615,10,34,9,6,5,15,9,,30,63,0.476,6,17,0.353,5,10,0.5,6,38,19,11,10,13,14
12/30/2010,@,Memphis,L,29,63,0.46,4,21,0.19,8,11,0.727,12,22,19,9,4,14,16,,34,63,0.54,11,22,0.5,9,14,0.643,19,40,21,7,5,18,14
1/3/2011,@,Stetson,L,22,56,0.393,8,30,0.267,14,20,0.7,5,31,15,5,3,16,27,,22,58,0.379,7,25,0.28,25,32,0.781,8,33,13,9,3,11,20
1/5/2011,@,Florida Gulf Coast,W,23,50,0.46,5,19,0.263,24,32,0.75,6,33,16,10,0,16,16,,24,56,0.429,6,20,0.3,7,20,0.35,6,27,12,6,0,16,25
1/8/2011,,Jacksonville,L,18,53,0.34,4,20,0.2,16,20,0.8,8,33,13,3,5,18,19,,21,59,0.356,3,19,0.158,15,24,0.625,13,38,8,6,3,13,23
1/10/2011,,North Florida,W,26,54,0.481,4,11,0.364,24,33,0.727,12,32,10,5,3,8,21,,24,48,0.5,11,22,0.5,17,25,0.68,7,26,16,4,3,12,23
1/13/2011,@,Belmont,L,19,64,0.297,5,20,0.25,9,18,0.5,14,33,10,13,1,18,19,,30,63,0.476,13,31,0.419,15,23,0.652,15,50,17,12,6,17,15
1/17/2011,,Campbell,W,28,43,0.651,6,12,0.5,30,36,0.833,5,25,20,7,1,16,19,,34,61,0.557,4,13,0.308,9,18,0.5,11,23,18,9,3,13,23
1/21/2011,@,ETSU,L,22,50,0.44,4,15,0.267,19,29,0.655,7,31,7,9,0,13,24,,23,50,0.46,2,13,0.154,20,33,0.606,11,32,11,9,3,14,21
1/23/2011,@,South Carolina Upstate,W,30,50,0.6,7,15,0.467,9,14,0.643,8,39,14,7,1,22,20,,20,62,0.323,3,25,0.12,12,19,0.632,14,26,8,7,4,10,13
