Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,Eastern Kentucky,W,23,51,.451,9,18,.500,18,25,.720,12,36,14,5,7,14,15,,19,56,.339,5,20,.250,14,19,.737,8,23,9,8,4,9,18
2010-11-13,,Indiana State,W,29,56,.518,11,23,.478,17,25,.680,12,35,13,4,5,10,17,,27,59,.458,12,26,.462,8,14,.571,8,26,16,8,5,12,19
2010-11-14,,Texas-Rio Grande Valley,W,25,53,.472,9,18,.500,20,26,.769,12,38,17,7,6,12,17,,19,56,.339,5,20,.250,14,19,.737,7,24,9,6,0,14,20
2010-11-18,,Eastern Illinois,W,24,53,.453,7,19,.368,18,23,.783,9,24,14,9,5,10,12,,25,48,.521,3,7,.429,9,14,.643,7,24,15,4,2,15,18
2010-11-20,@,Western Michigan,W,28,53,.528,8,17,.471,18,26,.692,5,27,17,5,2,7,13,,24,58,.414,2,15,.133,14,17,.824,8,30,10,6,1,16,24
2010-11-22,,Alabama State,W,22,47,.468,2,8,.250,28,33,.848,8,34,14,9,2,12,21,,16,47,.340,4,15,.267,10,23,.435,13,28,7,5,4,19,25
2010-11-27,@,San Francisco,W,18,57,.316,9,25,.360,18,20,.900,10,24,10,10,2,11,18,,21,45,.467,8,18,.444,12,19,.632,9,35,13,8,6,21,15
2010-12-01,,Butler,L,23,56,.411,5,18,.278,12,18,.667,12,30,13,3,6,6,9,,24,51,.471,9,18,.500,8,10,.800,9,31,14,2,3,10,17
2010-12-04,,Valparaiso,L,21,61,.344,5,16,.313,9,18,.500,13,29,13,8,3,10,23,,23,47,.489,3,8,.375,17,26,.654,11,35,13,7,5,18,17
2010-12-08,,Southern Illinois-Edwardsville,W,32,71,.451,5,12,.417,9,12,.750,16,46,16,8,3,10,11,,19,56,.339,8,21,.381,4,9,.444,8,26,11,5,7,16,17
2010-12-11,,Kansas State,L,20,64,.313,4,19,.211,16,27,.593,21,42,10,5,5,15,26,,21,50,.420,5,12,.417,21,35,.600,10,34,12,6,6,14,20
2010-12-18,@,DePaul,L,25,57,.439,6,18,.333,18,20,.900,9,29,12,3,2,19,18,,30,55,.545,4,7,.571,17,22,.773,5,23,24,11,6,13,19
2010-12-22,@,Texas-Rio Grande Valley,W,28,55,.509,8,21,.381,20,33,.606,11,29,12,9,3,11,21,,26,47,.553,7,15,.467,17,22,.773,4,29,17,6,4,18,22
2010-12-30,@,Cleveland State,L,18,48,.375,3,14,.214,16,27,.593,8,26,10,2,5,18,17,,29,61,.475,4,15,.267,11,16,.688,13,35,14,11,3,11,25
2011-01-01,@,Youngstown State,W,28,46,.609,6,14,.429,21,26,.808,3,34,17,5,4,12,22,,17,54,.315,4,18,.222,15,23,.652,9,26,11,5,2,12,23
2011-01-06,,Detroit,L,25,57,.439,6,14,.429,15,23,.652,7,24,14,8,4,10,17,,31,58,.534,9,14,.643,12,18,.667,9,37,15,7,6,12,19
2011-01-08,,Wright State,L,16,45,.356,4,18,.222,5,12,.417,5,29,9,4,1,14,11,,21,50,.420,7,21,.333,9,11,.818,6,30,10,7,2,11,14
2011-01-13,@,Green Bay,L,21,56,.375,6,16,.375,20,24,.833,9,30,12,10,5,11,22,,23,48,.479,6,11,.545,19,29,.655,7,32,13,4,6,13,18
2011-01-15,@,Milwaukee,W,27,49,.551,5,14,.357,12,14,.857,5,29,12,4,1,14,18,,25,63,.397,10,28,.357,5,11,.455,11,24,16,5,1,10,13
2011-01-22,,UIC,W,24,59,.407,8,19,.421,12,21,.571,15,31,12,9,1,9,11,,25,51,.490,4,13,.308,5,9,.556,8,32,9,3,2,17,18
2011-01-27,,Youngstown State,W,29,63,.460,7,17,.412,19,20,.950,9,39,17,3,2,11,13,,29,65,.446,7,23,.304,6,12,.500,9,32,17,6,5,11,14
2011-01-29,,Cleveland State,L,25,53,.472,9,17,.529,11,14,.786,9,28,14,4,9,17,19,,30,57,.526,9,18,.500,12,20,.600,8,26,18,7,1,9,15
2011-02-03,@,Wright State,L,24,60,.400,3,16,.188,12,13,.923,13,30,10,5,3,13,16,,28,51,.549,9,17,.529,11,14,.786,5,25,20,5,2,10,19
2011-02-05,@,Detroit,L,25,64,.391,7,24,.292,14,20,.700,10,30,10,11,4,15,25,,27,53,.509,6,15,.400,21,28,.750,11,37,16,7,5,20,19
2011-02-10,,Milwaukee,L,17,51,.333,3,14,.214,20,25,.800,11,30,7,5,2,15,18,,24,52,.462,7,20,.350,11,16,.688,9,33,12,9,2,15,17
2011-02-12,,Green Bay,W,27,62,.435,9,22,.409,16,21,.762,20,48,12,6,2,13,17,,23,56,.411,4,13,.308,12,17,.706,8,25,10,8,5,11,20
2011-02-16,@,UIC,W (1 OT),26,55,.473,7,13,.538,8,12,.667,7,28,8,9,5,16,17,,27,61,.443,3,14,.214,9,18,.500,16,35,11,9,0,14,14
2011-02-19,,St. Peter's,L,24,60,.400,8,23,.348,11,13,.846,8,30,13,4,0,12,23,,24,51,.471,10,23,.435,13,23,.565,6,32,16,5,7,13,14
2011-02-24,@,Valparaiso,W,23,51,.451,7,16,.438,15,19,.789,11,35,12,6,2,11,15,,19,54,.352,2,23,.087,8,10,.800,10,25,9,3,1,12,17
2011-02-26,@,Butler,L,20,47,.426,9,22,.409,7,10,.700,6,29,10,1,2,14,18,,24,58,.414,9,26,.346,6,13,.462,8,27,11,7,3,5,12
2011-03-01,@,Detroit,L,24,73,.329,5,28,.179,16,19,.842,21,39,9,5,7,17,21,,30,58,.517,5,14,.357,25,29,.862,10,34,14,8,3,14,19
2011-11-11,@,Illinois,L,18,51,.353,4,14,.286,9,14,.643,10,24,11,1,0,21,14,,28,59,.475,6,21,.286,5,9,.556,13,31,9,10,13,12,17
2011-11-14,@,Kansas State,L,18,47,.383,2,9,.222,23,29,.793,10,27,9,6,1,19,29,,24,51,.471,7,15,.467,19,32,.594,12,30,13,5,8,17,26
2011-11-16,@,Eastern Illinois,L,21,50,.420,7,17,.412,12,18,.667,6,25,18,3,2,14,15,,26,56,.464,4,14,.286,9,11,.818,7,27,16,7,6,11,17
2011-11-20,@,Furman,L,19,46,.413,4,14,.286,9,12,.750,8,23,11,1,1,10,18,,21,45,.467,7,22,.318,14,17,.824,6,23,12,5,1,4,12
2011-11-26,,Fordham,W,25,48,.521,4,10,.400,10,14,.714,5,30,17,3,0,17,16,,18,65,.277,2,19,.105,12,18,.667,18,33,4,9,9,13,19
2011-12-01,@,Milwaukee,L,15,42,.357,2,8,.250,9,15,.600,3,19,8,5,3,10,16,,24,55,.436,4,17,.235,7,14,.500,14,38,12,4,6,7,13
2011-12-03,@,Green Bay,L,16,42,.381,2,9,.222,13,19,.684,6,26,8,4,3,18,16,,22,53,.415,5,15,.333,8,14,.571,12,31,11,7,5,13,18
2011-12-07,,DePaul,L,22,55,.400,2,11,.182,12,22,.545,10,33,8,8,1,14,20,,24,55,.436,6,22,.273,15,22,.682,12,36,13,6,3,15,20
2011-12-10,@,Toledo,W,20,49,.408,5,15,.333,12,22,.545,10,33,11,4,0,13,13,,20,46,.435,7,20,.350,8,11,.727,3,25,13,6,2,12,17
2011-12-17,,Chicago State,W,18,45,.400,6,16,.375,22,27,.815,8,34,12,3,0,14,16,,18,51,.353,2,15,.133,11,16,.688,9,26,5,6,3,12,22
2011-12-19,,Rockhurst,W,28,55,.509,3,10,.300,10,13,.769,8,33,16,4,2,10,7,,17,49,.347,4,17,.235,8,10,.800,5,25,7,6,3,13,14
2011-12-22,@,Canisius,W,20,51,.392,0,9,.000,19,20,.950,11,31,14,6,2,12,12,,18,57,.316,5,22,.227,4,6,.667,11,30,8,4,2,14,13
2011-12-29,,Wright State,L,13,33,.394,4,13,.308,18,22,.818,8,29,9,3,3,21,16,,21,47,.447,10,25,.400,12,16,.750,5,17,14,8,3,9,23
2011-12-31,,Detroit,L,21,56,.375,4,11,.364,8,12,.667,12,34,11,3,1,13,15,,22,54,.407,3,11,.273,18,21,.857,10,31,15,7,8,8,15
2012-01-05,@,Youngstown State,L (1 OT),25,56,.446,6,17,.353,8,12,.667,8,30,20,1,0,9,22,,26,56,.464,6,19,.316,10,23,.435,9,30,12,5,7,3,12
2012-01-07,@,Cleveland State,L,13,41,.317,1,9,.111,21,30,.700,8,23,5,7,1,15,9,,26,46,.565,10,17,.588,7,8,.875,4,26,20,7,6,16,23
2012-01-14,@,UIC,L,17,42,.405,2,11,.182,15,18,.833,3,22,12,3,3,12,17,,21,47,.447,8,16,.500,8,14,.571,10,27,10,6,4,15,19
2012-01-19,,Valparaiso,L,21,49,.429,3,12,.250,3,8,.375,5,22,14,6,3,8,12,,29,51,.569,8,19,.421,3,8,.375,6,32,17,8,4,13,16
2012-01-21,,Butler,L,19,52,.365,7,14,.500,12,18,.667,7,27,14,5,2,12,18,,22,53,.415,4,21,.190,15,22,.682,12,36,15,5,9,13,17
2012-01-25,@,Detroit,L,17,46,.370,6,13,.462,12,16,.750,10,22,14,7,1,12,19,,23,52,.442,6,13,.462,15,22,.682,16,34,12,5,7,11,16
2012-01-27,@,Wright State,L,15,36,.417,3,13,.231,8,11,.727,5,33,11,4,2,20,18,,16,48,.333,4,16,.250,11,14,.786,5,21,5,12,1,8,17
2012-02-03,,Cleveland State,L,19,47,.404,2,10,.200,7,13,.538,11,23,8,8,1,16,12,,25,37,.676,5,10,.500,10,15,.667,2,22,15,12,6,19,18
2012-02-05,,Youngstown State,L,23,53,.434,4,14,.286,13,17,.765,18,28,10,6,0,18,13,,31,49,.633,9,16,.563,9,10,.900,6,17,13,10,8,16,14
2012-02-11,,UIC,W,27,52,.519,8,14,.571,16,28,.571,9,36,19,4,3,12,19,,25,57,.439,7,16,.438,12,17,.706,5,27,10,4,7,10,24
2012-02-14,@,Butler,L,21,49,.429,4,18,.222,11,16,.688,5,21,10,9,0,14,21,,21,40,.525,5,12,.417,16,24,.667,6,25,14,7,1,15,16
2012-02-18,@,Bradley,W,24,52,.462,1,11,.091,7,11,.636,9,31,13,3,2,14,13,,15,45,.333,4,18,.222,10,13,.769,6,26,9,8,4,15,16
2012-02-21,@,Valparaiso,L (1 OT),24,57,.421,5,15,.333,9,16,.563,11,32,16,6,2,12,19,,21,47,.447,10,23,.435,14,19,.737,3,25,17,6,3,13,16
2012-02-23,,Green Bay,L (1 OT),26,60,.433,4,14,.286,14,18,.778,8,27,16,7,3,9,12,,28,60,.467,9,14,.643,8,12,.667,11,37,17,6,7,12,15
2012-02-25,,Milwaukee,L,26,48,.542,6,12,.500,11,18,.611,7,23,11,1,0,11,20,,26,44,.591,11,20,.550,15,22,.682,5,23,16,3,1,10,16
2012-02-28,@,Detroit,L,21,42,.500,6,14,.429,23,31,.742,4,24,12,5,0,22,24,,23,51,.451,4,14,.286,30,36,.833,6,22,11,15,3,12,23
2012-11-09,,Toledo,W,21,54,.389,6,20,.300,14,15,.933,10,38,13,5,2,15,13,,20,57,.351,4,17,.235,6,10,.600,7,25,5,6,1,11,16
2012-11-12,,Rockhurst,W,27,55,.491,4,12,.333,6,9,.667,8,31,14,4,2,9,8,,17,55,.309,2,10,.200,5,8,.625,9,27,10,3,2,15,16
2012-11-16,N,Western Michigan,L,24,50,.480,11,21,.524,12,15,.800,4,21,19,3,4,10,19,,25,48,.521,11,19,.579,20,29,.690,6,30,15,3,3,9,18
2012-11-17,@,South Florida,L,21,57,.368,6,21,.286,2,5,.400,11,26,13,3,2,15,18,,24,48,.500,7,16,.438,13,18,.722,6,28,15,7,1,11,10
2012-11-18,N,Maryland-Eastern Shore,W,24,51,.471,3,18,.167,11,14,.786,11,33,15,6,1,7,15,,16,43,.372,5,16,.313,9,16,.563,4,20,6,3,1,10,17
2012-11-24,@,Northern Illinois,W,14,35,.400,6,15,.400,19,26,.731,5,31,5,4,4,16,14,,17,57,.298,3,14,.214,9,11,.818,10,26,6,9,1,7,21
2012-11-28,,Tennessee Tech,W,24,49,.490,8,19,.421,25,36,.694,7,23,15,10,6,17,16,,29,58,.500,8,20,.400,12,13,.923,13,28,14,6,3,20,29
2012-12-01,,Furman,W,30,63,.476,11,24,.458,6,8,.750,10,32,19,6,1,11,14,,19,53,.358,7,18,.389,5,9,.556,7,26,8,7,4,18,14
2012-12-08,@,Michigan State,L,19,53,.358,9,23,.391,14,21,.667,10,27,14,7,0,11,20,,22,45,.489,7,16,.438,22,28,.786,8,32,14,4,5,12,16
2012-12-15,,Mississippi State,W,21,51,.412,8,18,.444,9,14,.643,10,33,13,7,4,15,15,,18,48,.375,5,17,.294,10,16,.625,9,27,7,6,8,15,20
2012-12-22,@,St. Peter's,W,15,41,.366,1,10,.100,23,31,.742,3,31,5,4,2,15,14,,21,54,.389,1,8,.125,6,19,.316,10,32,10,12,3,9,26
2012-12-29,@,DePaul,W,25,52,.481,7,17,.412,12,19,.632,10,27,13,8,3,15,15,,24,55,.436,2,10,.200,11,20,.550,10,29,9,9,3,15,16
2013-01-02,@,Valparaiso,W,22,47,.468,6,15,.400,13,18,.722,8,31,17,8,5,14,14,,20,56,.357,4,15,.267,10,12,.833,9,30,8,9,4,13,17
2013-01-05,,Youngstown State,L,23,57,.404,4,17,.235,16,19,.842,5,30,13,2,3,6,15,,25,52,.481,4,11,.364,14,18,.778,4,27,12,2,9,8,18
2013-01-09,@,Green Bay,L,18,57,.316,7,21,.333,2,2,1.000,9,27,10,8,2,16,19,,22,49,.449,5,15,.333,9,16,.563,11,35,16,9,5,17,12
2013-01-11,,Wright State,L,22,51,.431,6,16,.375,11,13,.846,7,27,9,4,4,10,12,,23,51,.451,8,23,.348,8,9,.889,3,23,11,3,8,11,16
2013-01-16,@,UIC,L,19,47,.404,7,18,.389,14,15,.933,4,27,15,2,2,9,14,,24,57,.421,7,21,.333,6,7,.857,3,21,11,6,4,3,12
2013-01-20,@,Chicago State,W (1 OT),25,56,.446,2,11,.182,14,19,.737,12,42,14,3,1,21,14,,23,66,.348,5,18,.278,12,12,1.000,9,27,14,14,4,13,20
2013-01-23,@,Cleveland State,W,22,41,.537,5,14,.357,18,22,.818,8,31,17,5,1,12,13,,21,53,.396,6,17,.353,7,8,.875,8,19,12,7,3,10,20
