Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,West Virginia Tech,W,30,71,0.423,6,23,0.261,26,39,0.667,19,49,18,11,1,10,17,,25,59,0.424,7,18,0.389,12,16,0.75,8,33,15,6,0,24,27
11/15/2010,,Glenville State,W,40,58,0.69,4,13,0.308,9,16,0.563,7,29,23,10,4,13,12,,17,50,0.34,7,22,0.318,7,10,0.7,9,23,11,5,0,23,18
11/20/2010,,Chattanooga,L,28,62,0.452,5,23,0.217,7,15,0.467,7,38,15,1,2,11,23,,21,57,0.368,12,32,0.375,15,25,0.6,11,39,15,4,2,15,20
11/22/2010,,Jackson State,W,19,36,0.528,6,14,0.429,22,39,0.564,4,26,10,10,6,17,23,,21,59,0.356,7,19,0.368,11,22,0.5,17,33,11,6,1,16,32
11/27/2010,@,Louisville,L,24,62,0.387,5,20,0.25,13,29,0.448,21,39,8,5,1,19,17,,30,64,0.469,6,21,0.286,14,20,0.7,15,37,13,11,11,15,26
11/29/2010,,Florida International,W,26,57,0.456,6,15,0.4,30,43,0.698,16,31,12,8,3,13,21,,30,56,0.536,4,15,0.267,15,22,0.682,9,27,10,8,3,16,30
12/4/2010,@,Ohio,W,21,47,0.447,4,13,0.308,19,26,0.731,10,38,8,7,5,20,18,,20,60,0.333,7,24,0.292,10,14,0.714,11,23,13,10,2,18,19
12/7/2010,,James Madison,W,22,56,0.393,5,14,0.357,18,26,0.692,12,37,9,3,3,13,14,,26,64,0.406,5,17,0.294,6,11,0.545,8,28,11,9,2,15,19
12/15/2010,@,Savannah State,W,18,50,0.36,1,6,0.167,19,28,0.679,15,44,6,4,4,19,16,,17,62,0.274,6,25,0.24,7,14,0.5,12,32,7,15,2,10,17
12/19/2010,,Virginia Military Institute,W,37,63,0.587,9,17,0.529,15,28,0.536,14,49,23,5,7,19,15,,25,77,0.325,7,31,0.226,13,20,0.65,15,28,10,7,3,8,22
12/22/2010,@,James Madison,L,21,59,0.356,8,21,0.381,23,28,0.821,5,27,13,6,4,9,31,,23,49,0.469,3,7,0.429,31,43,0.721,9,41,12,3,4,18,27
12/28/2010,,Binghamton,W,30,61,0.492,7,18,0.389,18,22,0.818,13,37,15,6,4,10,14,,23,58,0.397,6,23,0.261,8,11,0.727,10,28,11,4,6,15,21
1/2/2011,@,St. Bonaventure,W,22,46,0.478,5,14,0.357,25,33,0.758,11,34,10,0,1,13,24,,22,51,0.431,3,16,0.188,18,28,0.643,6,18,13,5,2,9,24
1/5/2011,@,UCF,L,21,62,0.339,2,17,0.118,14,17,0.824,10,36,8,5,3,11,26,,23,52,0.442,3,16,0.188,16,28,0.571,7,35,8,6,11,11,19
1/8/2011,,Southern Miss,W,34,63,0.54,7,15,0.467,20,29,0.69,12,41,19,3,10,13,22,,23,66,0.348,1,16,0.063,18,26,0.692,15,36,4,1,3,14,25
1/10/2011,,Savannah State,W,22,44,0.5,6,14,0.429,21,27,0.778,6,39,11,3,7,13,14,,21,62,0.339,7,19,0.368,8,9,0.889,6,22,10,8,2,7,20
1/15/2011,@,Memphis,L,20,54,0.37,4,18,0.222,17,26,0.654,10,27,9,9,4,16,20,,29,57,0.509,3,9,0.333,16,22,0.727,12,37,20,11,4,14,23
1/19/2011,N,West Virginia,W,22,55,0.4,8,23,0.348,23,35,0.657,12,32,7,2,3,12,32,,19,57,0.333,7,24,0.292,26,35,0.743,16,39,6,5,4,13,32
1/22/2011,,East Carolina,L,28,51,0.549,12,21,0.571,13,25,0.52,9,29,21,3,7,14,26,,27,49,0.551,7,15,0.467,21,32,0.656,6,26,15,5,1,11,23
