Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/13/2010,,South Carolina Upstate,W,22,50,0.44,7,22,0.318,15,21,0.714,10,39,12,6,3,12,14,,12,54,0.222,4,24,0.167,7,11,0.636,10,28,3,5,2,12,19
11/18/2010,,Bowling Green State,W,26,54,0.481,8,17,0.471,9,14,0.643,10,40,20,5,2,13,19,,16,54,0.296,2,14,0.143,16,23,0.696,8,28,8,7,3,10,20
11/21/2010,,Gardner-Webb,W,33,63,0.524,8,22,0.364,6,8,0.75,13,40,19,5,1,14,12,,22,56,0.393,8,24,0.333,6,10,0.6,6,21,12,8,3,13,14
11/26/2010,N,Syracuse,L,20,62,0.323,8,32,0.25,2,4,0.5,11,34,11,6,1,7,19,,20,48,0.417,5,14,0.357,8,15,0.533,8,34,11,5,5,14,9
11/27/2010,N,UTEP,L,16,53,0.302,5,29,0.172,19,26,0.731,9,30,5,5,2,12,15,,28,55,0.509,3,14,0.214,6,9,0.667,7,39,20,4,5,16,23
11/30/2010,@,Clemson,W,22,49,0.449,6,20,0.3,19,28,0.679,8,34,13,6,1,13,18,,23,63,0.365,7,29,0.241,8,13,0.615,12,36,9,5,4,11,21
12/4/2010,,Harvard,W,25,53,0.472,10,26,0.385,5,10,0.5,11,32,11,2,1,14,12,,22,54,0.407,9,26,0.346,9,11,0.818,8,29,11,5,1,11,16
12/6/2010,,Concordia (MI),W,35,72,0.486,7,23,0.304,9,16,0.563,15,45,18,6,1,8,10,,27,63,0.429,7,25,0.28,4,8,0.5,5,33,17,4,1,10,17
12/10/2010,,Utah,W,27,59,0.458,8,22,0.364,13,16,0.813,6,30,17,8,4,8,18,,25,55,0.455,7,16,0.438,7,13,0.538,7,33,9,4,2,16,20
12/14/2010,,North Carolina Central,W,23,56,0.411,8,29,0.276,10,14,0.714,14,36,14,1,1,5,17,,14,46,0.304,4,16,0.25,12,15,0.8,11,31,4,0,2,13,14
