Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Eastern Michigan,W,31,59,0.525,6,13,0.462,28,42,0.667,9,48,18,9,10,20,19,,24,76,0.316,11,29,0.379,7,18,0.389,13,35,10,5,3,19,33
11/16/2010,,South Carolina,W,29,53,0.547,7,17,0.412,17,34,0.5,11,38,23,11,5,19,21,,25,70,0.357,11,31,0.355,12,21,0.571,13,33,11,10,1,20,25
11/22/2010,@,Chaminade,W,30,58,0.517,8,14,0.571,14,19,0.737,9,29,13,8,0,12,17,,27,58,0.466,10,27,0.37,10,14,0.714,10,30,14,5,5,16,17
11/23/2010,N,UConn,L,23,57,0.404,6,17,0.353,15,20,0.75,11,35,12,5,8,13,20,,25,62,0.403,6,24,0.25,14,24,0.583,18,36,7,6,5,9,17
11/24/2010,N,Washington,W,25,51,0.49,8,23,0.348,18,25,0.72,9,24,11,8,5,19,22,,25,52,0.481,6,15,0.4,15,25,0.6,7,22,13,7,2,15,19
11/28/2010,,Tennessee Tech,W,27,55,0.491,10,24,0.417,9,16,0.563,7,33,22,6,4,17,15,,20,54,0.37,4,9,0.444,11,16,0.688,5,27,5,9,1,16,17
12/1/2010,@,Duke,L,31,63,0.492,9,17,0.529,8,15,0.533,15,35,16,7,6,20,25,,25,53,0.472,7,16,0.438,27,38,0.711,11,30,13,11,4,15,16
12/4/2010,,Bowling Green State,W,26,57,0.456,12,28,0.429,10,15,0.667,17,48,21,4,3,21,14,,15,55,0.273,5,17,0.294,4,9,0.444,8,24,8,10,2,16,17
12/7/2010,N,Syracuse,L,21,54,0.389,7,24,0.292,9,16,0.563,6,26,14,9,2,16,20,,24,54,0.444,2,11,0.182,22,29,0.759,9,31,13,11,4,11,11
12/11/2010,N,Oakland,W,25,62,0.403,6,15,0.4,21,28,0.75,11,36,16,13,2,8,16,,28,59,0.475,9,19,0.474,11,20,0.55,9,30,10,0,7,13,19
12/18/2010,,Prairie View,W,32,64,0.5,8,17,0.471,18,22,0.818,12,40,18,14,6,10,22,,17,52,0.327,5,19,0.263,12,22,0.545,10,30,9,5,2,21,23
