Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/18/2010,,Western Illinois,W,56,0.411,6,20,0.3,14,27,0.519,10,35,12,7,6,11,15,,24,57,0.421,5,18,0.278,8,11,0.727,8,35,10,5,2,16,20,
11/20/2010,,North Florida,W,70,0.514,6,17,0.353,18,27,0.667,13,39,20,18,8,18,22,,18,47,0.383,6,18,0.333,16,25,0.64,5,27,14,12,1,34,21,
11/23/2010,N,Wyoming,W,67,0.388,10,27,0.37,10,12,0.833,18,43,20,8,4,20,23,,20,51,0.392,3,14,0.214,19,30,0.633,10,32,6,9,4,19,16,
11/24/2010,N,La Salle,W,82,0.39,9,27,0.333,10,14,0.714,18,37,17,10,4,5,20,,28,53,0.528,6,13,0.462,9,16,0.563,9,35,14,2,6,19,15,
11/28/2010,,Arkansas-Pine Bluff,W,58,0.552,7,11,0.636,20,26,0.769,8,31,16,13,6,17,20,,21,51,0.412,6,12,0.5,15,25,0.6,13,30,14,12,3,25,18,
11/30/2010,N,Georgetown,L (1 OT),64,0.563,7,18,0.389,23,31,0.742,8,24,17,14,2,12,18,,39,69,0.565,15,32,0.469,18,18,1,9,32,23,6,3,17,27,
12/2/2010,@,Oregon,W,53,0.547,6,16,0.375,19,24,0.792,6,28,19,5,8,19,24,,25,59,0.424,10,24,0.417,20,25,0.8,12,27,13,7,1,16,21,
12/8/2010,,Vanderbilt,W (1 OT),81,0.383,8,23,0.348,15,22,0.682,17,39,13,8,3,10,21,,31,59,0.525,9,25,0.36,11,22,0.5,7,36,15,8,10,17,18,
12/11/2010,,Presbyterian,W,58,0.466,10,24,0.417,6,8,0.75,7,30,23,9,5,12,20,,19,46,0.413,5,15,0.333,12,15,0.8,4,25,12,3,1,19,8,
12/16/2010,,Oral Roberts,W,64,0.469,5,14,0.357,16,19,0.842,12,29,12,7,5,9,25,,13,49,0.265,4,16,0.25,32,38,0.842,18,37,9,3,3,19,22,
