Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/13/2010,@,Nevada,L,22,57,0.386,4,15,0.267,18,28,0.643,14,39,11,6,1,15,23,,25,50,0.5,10,19,0.526,21,29,0.724,3,29,16,5,4,10,24
11/17/2010,@,Utah,L,24,58,0.414,6,19,0.316,17,26,0.654,11,35,11,6,4,13,25,,24,53,0.453,4,10,0.4,28,36,0.778,8,32,6,7,2,12,21
11/19/2010,,Montana Tech,W,26,47,0.553,4,12,0.333,22,33,0.667,8,34,17,10,4,15,19,,18,42,0.429,6,20,0.3,9,16,0.563,1,17,10,6,0,17,22
11/22/2010,,Idaho,W,29,60,0.483,5,15,0.333,12,16,0.75,13,40,14,7,6,7,21,,6,50,0.12,1,13,0.077,20,29,0.69,15,35,3,1,4,16,17
11/30/2010,,Cal State Fullerton,W,23,58,0.397,1,13,0.077,28,42,0.667,16,42,17,10,11,12,21,,23,63,0.365,5,16,0.313,16,23,0.696,15,39,11,6,1,17,30
12/3/2010,,Portland,L,21,49,0.429,4,18,0.222,8,20,0.4,9,26,13,6,2,9,16,,22,40,0.55,5,8,0.625,9,14,0.643,5,27,6,5,0,13,17
12/5/2010,@,UCLA,W,26,50,0.52,5,15,0.333,9,18,0.5,10,36,12,6,3,16,19,,20,64,0.313,4,18,0.222,13,17,0.765,15,35,9,4,4,16,20
12/9/2010,,Great Falls,W,28,55,0.509,6,20,0.3,23,29,0.793,12,35,15,15,12,16,18,,16,48,0.333,5,14,0.357,13,17,0.765,8,23,6,8,4,21,15
12/12/2010,@,San Francisco,L (1 OT),19,55,0.345,5,25,0.2,5,11,0.455,7,25,8,11,9,13,17,,17,42,0.405,5,15,0.333,11,22,0.5,11,40,6,4,4,25,15
12/15/2010,,Oregon State,W,25,54,0.463,6,17,0.353,15,24,0.625,15,33,16,7,5,11,14,,24,55,0.436,6,18,0.333,12,15,0.8,13,31,4,6,1,13,19
12/18/2010,@,Idaho,W,20,44,0.455,6,15,0.4,18,23,0.783,8,25,10,7,1,14,15,,23,52,0.442,4,15,0.267,13,16,0.813,9,27,11,9,2,13,20
12/22/2010,@,Cal State Fullerton,W,22,48,0.458,3,14,0.214,24,29,0.828,8,37,13,4,4,15,20,,19,58,0.328,3,14,0.214,16,23,0.696,11,29,8,2,0,11,24
12/29/2010,,Northern Arizona,W,28,55,0.509,7,13,0.538,20,32,0.625,8,28,16,5,3,9,15,,31,55,0.564,8,12,0.667,10,13,0.769,5,25,15,3,3,12,26
12/31/2010,,Weber State,W,26,57,0.456,6,19,0.316,17,24,0.708,7,35,16,6,2,6,20,,18,49,0.367,5,15,0.333,15,21,0.714,7,30,8,3,3,11,21
1/6/2011,@,Northern Colorado,L,15,46,0.326,3,12,0.25,12,19,0.632,10,32,9,5,3,14,17,,22,52,0.423,7,19,0.368,12,16,0.75,8,33,9,7,1,10,13
1/8/2011,@,Sacramento State,W,28,51,0.549,6,12,0.5,6,9,0.667,6,28,16,9,8,14,13,,20,49,0.408,5,15,0.333,7,13,0.538,8,26,13,9,6,15,13
1/13/2011,,Eastern Washington,W,25,57,0.439,5,18,0.278,11,18,0.611,10,36,14,8,6,12,17,,16,54,0.296,3,13,0.231,12,17,0.706,13,36,2,8,3,17,17
1/15/2011,,Portland State,W,28,55,0.509,4,10,0.4,17,24,0.708,11,38,17,4,5,10,18,,26,64,0.406,5,19,0.263,13,18,0.722,14,35,15,4,2,9,17
1/20/2011,@,Idaho State,W,28,53,0.528,3,10,0.3,16,20,0.8,10,30,14,5,5,12,16,,21,57,0.368,4,15,0.267,19,22,0.864,12,28,5,5,7,11,14
1/22/2011,,Montana State,W,26,56,0.464,4,10,0.4,19,30,0.633,13,39,12,7,4,7,18,,17,59,0.288,5,18,0.278,22,27,0.815,16,39,8,5,0,12,22
1/29/2011,@,Montana State,W,30,45,0.667,7,12,0.583,12,19,0.632,7,37,16,4,2,15,15,,23,57,0.404,9,26,0.346,3,11,0.273,5,17,13,5,0,9,17
2/3/2011,@,Weber State,L,16,41,0.39,6,15,0.4,14,19,0.737,1,23,8,4,6,17,12,,26,48,0.542,3,11,0.273,13,15,0.867,2,26,9,9,2,9,14
2/5/2011,@,Northern Arizona,L,23,50,0.46,2,12,0.167,5,8,0.625,6,24,11,5,6,13,12,,30,59,0.508,7,14,0.5,3,5,0.6,10,31,19,8,4,10,11
2/10/2011,,Sacramento State,W,22,53,0.415,7,15,0.467,13,21,0.619,14,33,12,9,8,9,13,,16,51,0.314,2,7,0.286,10,14,0.714,18,39,8,5,3,19,17
