Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/15/2010,,ETSU,W,17,45,0.378,6,20,0.3,10,20,0.5,11,28,10,12,4,16,18,,15,45,0.333,1,10,0.1,8,17,0.471,13,32,2,7,5,25,20
11/17/2010,@,Ole Miss,L,16,53,0.302,9,18,0.5,20,22,0.909,8,24,10,11,1,18,25,,25,56,0.446,5,18,0.278,22,23,0.957,11,32,16,6,6,17,20
11/20/2010,,Reinhardt,W,28,51,0.549,6,13,0.462,22,34,0.647,12,34,18,9,5,19,16,,26,59,0.441,5,15,0.333,13,14,0.929,8,21,12,5,2,15,24
11/25/2010,N,Stanford,W,17,42,0.405,3,8,0.375,18,23,0.783,5,25,7,6,1,14,21,,19,46,0.413,4,16,0.25,10,16,0.625,6,26,11,4,2,18,22
11/26/2010,N,UNLV,L,16,46,0.348,6,17,0.353,17,22,0.773,13,27,8,4,3,16,15,,27,46,0.587,7,15,0.467,8,11,0.727,6,23,17,4,4,15,21
11/28/2010,N,Oklahoma State,L,19,50,0.38,4,15,0.267,7,11,0.636,7,25,10,3,2,12,16,,23,47,0.489,8,16,0.5,12,19,0.632,7,30,11,2,2,11,16
12/2/2010,@,Eastern Kentucky,W,23,47,0.489,6,13,0.462,22,26,0.846,10,22,13,10,1,11,20,,23,42,0.548,6,17,0.353,20,23,0.87,6,21,15,6,3,14,24
12/4/2010,@,Morehead State,L,21,42,0.5,8,16,0.5,15,16,0.938,4,21,14,3,2,19,26,,25,42,0.595,7,16,0.438,18,29,0.621,8,21,12,9,2,12,20
12/11/2010,@,Chattanooga,W,25,50,0.5,5,16,0.313,18,21,0.857,9,31,14,10,5,15,22,,23,55,0.418,7,21,0.333,12,22,0.545,11,30,14,7,0,14,16
12/15/2010,,Bethel (TN),W,35,65,0.538,5,14,0.357,19,32,0.594,18,47,15,10,5,15,14,,19,68,0.279,4,15,0.267,10,16,0.625,14,31,14,7,3,19,22
12/18/2010,,Western Kentucky,W,24,53,0.453,8,22,0.364,13,20,0.65,10,27,17,5,0,7,18,,21,42,0.5,6,14,0.429,12,19,0.632,6,26,10,1,3,16,19
12/21/2010,@,UT-Martin,W,27,48,0.563,2,8,0.25,10,15,0.667,9,27,17,8,1,16,18,,18,36,0.5,2,6,0.333,16,20,0.8,4,16,7,4,3,17,20
12/30/2010,,Southern Illinois-Edwardsville,W,22,48,0.458,3,11,0.273,24,35,0.686,8,40,13,10,6,11,18,,17,52,0.327,2,13,0.154,10,18,0.556,5,27,4,6,2,13,23
1/6/2011,,Tennessee State,W,23,46,0.5,6,14,0.429,12,20,0.6,10,29,15,8,6,15,14,,18,47,0.383,5,12,0.417,12,13,0.923,7,22,11,6,2,15,18
1/8/2011,,Austin Peay,L,24,57,0.421,5,17,0.294,11,21,0.524,18,39,10,6,1,13,21,,23,52,0.442,5,10,0.5,15,24,0.625,8,24,12,4,2,10,17
1/13/2011,@,Jacksonville State,W,22,46,0.478,3,11,0.273,24,30,0.8,9,29,17,6,0,13,13,,22,48,0.458,8,15,0.533,10,15,0.667,5,17,16,5,4,11,20
1/15/2011,@,Tennessee Tech,W,33,60,0.55,5,13,0.385,21,27,0.778,7,20,17,9,3,7,19,,31,56,0.554,6,10,0.6,17,21,0.81,12,31,12,3,0,15,19
1/20/2011,,Eastern Illinois,L,18,37,0.486,6,16,0.375,18,32,0.563,10,24,12,11,4,17,16,,22,52,0.423,2,7,0.286,15,19,0.789,16,31,10,7,0,14,22
1/22/2011,,Southeast Missouri State,W,32,68,0.471,7,18,0.389,25,32,0.781,13,42,19,11,3,14,24,,18,52,0.346,4,17,0.235,18,31,0.581,9,33,7,8,5,23,25
1/26/2011,@,Southern Illinois-Edwardsville,W,22,56,0.393,7,14,0.5,16,24,0.667,13,35,14,11,3,15,16,,21,52,0.404,8,21,0.381,11,14,0.786,9,31,11,5,4,18,20
1/29/2011,,UT-Martin,W,30,56,0.536,13,18,0.722,19,31,0.613,9,30,20,10,4,15,27,,20,50,0.4,9,18,0.5,26,34,0.765,10,29,9,7,4,15,23
2/3/2011,@,Tennessee State,W,26,51,0.51,5,14,0.357,17,25,0.68,10,33,13,2,2,19,23,,19,51,0.373,9,25,0.36,18,28,0.643,9,25,12,8,5,13,19
2/5/2011,@,Austin Peay,W,21,51,0.412,5,19,0.263,20,28,0.714,9,30,12,7,0,11,12,,25,50,0.5,2,13,0.154,6,11,0.545,3,24,16,6,3,14,20
2/7/2011,@,Eastern Illinois,W,19,45,0.422,12,26,0.462,16,21,0.762,9,22,15,9,5,15,13,,22,39,0.564,3,6,0.5,6,8,0.75,3,21,14,6,1,20,22
2/10/2011,,Tennessee Tech,W,21,48,0.438,5,15,0.333,8,16,0.5,9,37,15,10,5,21,15,,17,53,0.321,0,7,0,10,17,0.588,8,28,3,14,1,17,19
2/12/2011,,Jacksonville State,W,21,45,0.467,5,22,0.227,13,23,0.565,13,26,11,3,3,13,16,,19,45,0.422,6,15,0.4,15,17,0.882,9,29,8,6,1,13,21
2/16/2011,@,Southeast Missouri State,L,22,56,0.393,4,18,0.222,9,10,0.9,12,34,7,4,6,12,23,,20,43,0.465,3,6,0.5,21,32,0.656,6,26,10,6,2,8,12
2/19/2011,,Evansville,W,27,54,0.5,8,16,0.5,10,14,0.714,8,35,16,6,3,14,22,,17,48,0.354,2,9,0.222,11,18,0.611,5,23,11,6,2,13,17
2/24/2011,,Morehead State,W,20,47,0.426,9,17,0.529,21,29,0.724,5,26,14,8,2,11,15,,23,63,0.365,7,27,0.259,9,14,0.643,15,40,9,7,5,13,23
2/26/2011,,Eastern Kentucky,W,20,38,0.526,7,14,0.5,19,23,0.826,5,27,10,7,3,12,16,,20,53,0.377,4,17,0.235,12,16,0.75,8,22,8,3,2,9,21
3/4/2011,N,Tennessee Tech,L,17,51,0.333,3,18,0.167,22,29,0.759,9,29,14,7,3,10,22,,23,47,0.489,3,6,0.5,15,22,0.682,7,30,16,5,2,15,23
3/15/2011,@,Missouri State,L,29,54,0.537,6,15,0.4,12,23,0.522,6,21,16,6,1,7,22,,27,49,0.551,8,18,0.444,27,33,0.818,6,28,16,3,3,9,19
11/11/2011,,Harris-Stowe,W,30,62,0.484,5,16,0.313,11,15,0.733,17,40,19,9,3,16,18,,18,52,0.346,2,15,0.133,11,18,0.611,10,22,11,7,1,17,14
11/14/2011,@,Morgan State,W,21,47,0.447,6,18,0.333,32,37,0.865,8,26,8,13,3,18,24,,25,45,0.556,4,10,0.4,15,28,0.536,8,25,9,8,4,27,26
