Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Tennessee Tech,W,23,56,0.411,5,18,0.278,31,41,0.756,8,33,15,7,13,8,19,,24,68,0.353,5,16,0.313,16,22,0.727,19,45,9,5,4,19,25
11/18/2010,N,East Carolina,W,32,61,0.525,1,10,0.1,20,29,0.69,10,35,20,9,7,13,27,,21,53,0.396,5,16,0.313,18,30,0.6,12,30,7,5,3,20,21
11/19/2010,N,George Mason,W,31,56,0.554,8,19,0.421,8,13,0.615,10,35,18,9,1,16,19,,23,58,0.397,4,14,0.286,15,18,0.833,9,27,9,7,5,14,12
11/21/2010,N,Georgetown,L,25,63,0.397,4,17,0.235,13,20,0.65,13,33,8,6,4,10,15,,32,71,0.451,8,22,0.364,10,14,0.714,17,42,21,3,8,9,16
11/27/2010,,Fairleigh Dickinson,W,23,59,0.39,7,18,0.389,24,34,0.706,13,34,17,9,10,11,12,,27,68,0.397,3,12,0.25,10,13,0.769,16,41,12,10,2,17,25
12/1/2010,@,Wisconsin,L,18,57,0.316,4,13,0.308,8,13,0.615,10,26,9,5,1,13,21,,28,56,0.5,11,20,0.55,20,26,0.769,13,40,17,5,4,6,11
12/4/2010,@,Syracuse,L,23,51,0.451,8,23,0.348,5,11,0.455,10,34,18,2,4,17,20,,23,60,0.383,2,16,0.125,17,26,0.654,11,29,12,12,3,5,12
12/11/2010,,South Carolina Upstate,W,33,62,0.532,5,9,0.556,8,11,0.727,10,31,20,8,4,7,7,,23,60,0.383,8,22,0.364,6,8,0.75,12,29,9,5,3,12,11
12/16/2010,,Youngstown State,W,18,50,0.36,4,12,0.333,27,40,0.675,17,49,10,6,7,13,12,,21,62,0.339,4,20,0.2,4,12,0.333,11,32,12,7,4,11,25
12/19/2010,,Arizona,L,21,66,0.318,5,14,0.357,15,21,0.714,18,36,13,7,5,14,23,,22,49,0.449,4,16,0.25,24,30,0.8,7,28,13,9,4,10,18
12/22/2010,,Delaware State,W,25,51,0.49,1,12,0.083,21,27,0.778,10,32,14,4,3,13,15,,23,54,0.426,9,22,0.409,15,19,0.789,8,23,14,6,4,10,18
12/28/2010,,Alabama A&M,W,29,51,0.569,6,9,0.667,18,22,0.818,7,36,18,8,7,14,16,,21,66,0.318,0,15,0,9,17,0.529,15,30,6,9,3,13,19
1/1/2011,,San Diego,W,32,58,0.552,3,11,0.273,9,13,0.692,11,44,17,6,4,17,15,,20,59,0.339,5,17,0.294,9,15,0.6,7,22,10,7,1,12,13
1/5/2011,N,Elon,W,30,48,0.625,3,7,0.429,24,36,0.667,10,34,10,10,4,16,21,,20,57,0.351,9,19,0.474,23,24,0.958,10,23,10,5,2,14,26
1/8/2011,,Wake Forest,W,34,66,0.515,5,10,0.5,17,19,0.895,17,43,19,5,3,10,17,,25,59,0.424,3,14,0.214,16,19,0.842,8,20,8,4,4,7,17
1/11/2011,@,Boston College,L,28,63,0.444,5,15,0.333,5,12,0.417,11,34,12,2,4,9,13,,27,61,0.443,9,23,0.391,12,17,0.706,11,38,15,4,3,8,13
1/15/2011,@,Florida State,L,24,62,0.387,6,15,0.4,17,25,0.68,15,34,9,5,0,16,20,,30,55,0.545,5,13,0.385,19,23,0.826,5,29,11,8,5,11,21
1/19/2011,,Duke,L,25,68,0.368,5,11,0.455,23,30,0.767,17,32,11,7,4,9,18,,34,67,0.507,7,23,0.304,17,22,0.773,16,42,11,4,8,11,21
1/23/2011,,Miami (FL),W,27,60,0.45,5,11,0.455,13,16,0.813,9,29,19,7,4,8,9,,29,61,0.475,8,14,0.571,4,5,0.8,7,31,11,5,6,11,14
1/25/2011,@,Clemson,L,19,48,0.396,5,16,0.313,7,10,0.7,4,24,11,5,2,12,16,,23,54,0.426,4,17,0.235,10,13,0.769,11,34,12,6,5,9,12
1/29/2011,@,UNC,L,24,66,0.364,3,12,0.25,13,19,0.684,9,33,12,7,4,15,21,,33,70,0.471,4,16,0.25,14,24,0.583,17,48,19,7,8,15,18
2/2/2011,,Virginia Tech,L,24,60,0.4,3,15,0.2,18,26,0.692,12,33,11,1,8,6,17,,27,66,0.409,4,16,0.25,19,25,0.76,17,41,9,4,3,6,17
2/5/2011,@,Duke,L,21,53,0.396,1,10,0.1,9,18,0.5,6,31,16,3,3,16,29,,26,62,0.419,7,14,0.5,17,32,0.531,17,42,13,7,6,9,18
2/13/2011,@,Wake Forest,W,33,59,0.559,4,10,0.4,10,14,0.714,8,32,22,7,4,11,14,,21,54,0.389,3,11,0.273,10,12,0.833,9,24,9,4,2,15,17
2/17/2011,,Clemson,W,23,59,0.39,4,10,0.4,19,24,0.792,17,39,12,2,4,8,17,,24,64,0.375,3,20,0.15,10,16,0.625,12,31,5,3,5,5,17
2/20/2011,@,Maryland,L,31,63,0.492,7,17,0.412,11,16,0.688,10,24,15,5,2,11,19,,32,55,0.582,0,1,0,23,25,0.92,8,29,20,7,2,11,15
2/23/2011,,UNC,L,28,65,0.431,3,14,0.214,4,10,0.4,10,29,17,7,4,10,17,,28,66,0.424,5,16,0.313,14,18,0.778,15,42,9,6,7,11,12
2/26/2011,,Georgia Tech,W,28,56,0.5,6,15,0.4,17,25,0.68,9,27,16,10,6,10,13,,27,57,0.474,6,16,0.375,14,18,0.778,11,29,13,7,6,13,20
3/1/2011,@,Virginia,L,20,49,0.408,6,16,0.375,12,16,0.75,9,33,10,5,7,15,16,,21,53,0.396,10,21,0.476,17,20,0.85,8,29,12,5,7,9,13
3/6/2011,,Florida State,L,20,52,0.385,5,17,0.294,17,25,0.68,9,29,14,7,4,14,18,,28,59,0.475,4,16,0.25,12,15,0.8,11,36,11,12,6,13,20
3/10/2011,N,Maryland,L,27,80,0.338,2,17,0.118,11,18,0.611,17,42,9,10,1,8,17,,26,58,0.448,4,11,0.364,19,24,0.792,7,43,13,5,5,15,16
11/11/2011,,North Carolina-Asheville,W,29,66,0.439,6,19,0.316,20,28,0.714,13,47,21,10,7,14,18,,23,66,0.348,10,25,0.4,19,26,0.731,13,35,10,7,1,12,21
11/13/2011,,Morehead State,W,33,54,0.611,8,23,0.348,17,22,0.773,11,30,26,4,6,12,20,,19,47,0.404,8,15,0.533,15,24,0.625,8,18,9,6,0,16,22
11/16/2011,,Princeton,W,26,54,0.481,1,8,0.125,7,11,0.636,10,34,15,8,5,14,11,,21,53,0.396,9,19,0.474,7,13,0.538,5,22,13,8,5,10,14
11/19/2011,N,Vanderbilt,L,31,62,0.5,4,11,0.364,13,22,0.591,10,32,16,12,1,13,22,,28,54,0.519,9,25,0.36,21,33,0.636,11,35,14,8,1,15,20
11/21/2011,N,Texas,W,20,44,0.455,4,12,0.333,33,44,0.75,8,28,14,7,3,11,23,,25,53,0.472,5,16,0.313,19,25,0.76,10,31,13,6,3,13,28
11/25/2011,,Elon,W,32,70,0.457,5,11,0.455,13,21,0.619,18,46,14,4,6,11,17,,24,59,0.407,7,22,0.318,12,20,0.6,9,29,11,5,0,12,18
11/30/2011,,Indiana,L,28,66,0.424,3,10,0.3,16,22,0.727,16,37,14,7,10,15,19,,30,62,0.484,7,13,0.538,19,23,0.826,12,34,8,10,4,13,20
12/4/2011,@,Stanford,L,26,55,0.473,7,17,0.412,13,20,0.65,8,27,8,5,5,17,25,,21,58,0.362,5,14,0.357,29,34,0.853,13,33,11,7,2,10,22
12/11/2011,,North Carolina Central,W,20,54,0.37,7,23,0.304,18,22,0.818,12,34,15,7,1,16,15,,24,58,0.414,6,17,0.353,6,8,0.75,8,22,16,8,3,12,17
12/17/2011,,Syracuse,L,30,52,0.577,7,14,0.5,5,8,0.625,8,26,21,3,3,18,15,,35,62,0.565,11,25,0.44,7,13,0.538,11,24,10,5,4,8,9
12/20/2011,N,St. Bonaventure,W,25,58,0.431,6,14,0.429,11,13,0.846,12,34,21,10,7,11,19,,22,54,0.407,5,20,0.25,16,19,0.842,11,32,10,6,2,12,13
12/22/2011,,Northeastern,W,33,64,0.516,11,20,0.55,11,12,0.917,12,38,24,2,6,10,15,,23,60,0.383,4,18,0.222,9,11,0.818,7,26,7,8,5,10,15
12/29/2011,,Campbell,W,28,59,0.475,3,11,0.273,28,31,0.903,14,39,15,5,4,14,18,,29,57,0.509,9,14,0.643,14,19,0.737,6,21,10,8,8,9,22
12/31/2011,,Western Carolina,W,30,52,0.577,6,15,0.4,16,21,0.762,3,35,25,4,4,14,9,,20,65,0.308,7,23,0.304,8,10,0.8,12,31,4,7,0,11,20
1/4/2012,,Delaware State,W,28,62,0.452,7,22,0.318,15,17,0.882,14,48,18,8,5,10,11,,18,61,0.295,3,12,0.25,5,9,0.556,11,32,6,9,3,10,12
1/8/2012,,Maryland,W,28,59,0.475,2,9,0.222,21,24,0.875,11,33,15,4,4,13,18,,26,60,0.433,9,21,0.429,13,21,0.619,11,29,12,5,4,15,18
1/11/2012,,Georgia Tech,L,24,56,0.429,5,19,0.263,18,27,0.667,9,26,12,4,6,12,22,,25,49,0.51,9,15,0.6,23,31,0.742,6,28,9,5,5,14,20
1/14/2012,@,Wake Forest,W,30,67,0.448,8,21,0.381,8,10,0.8,11,42,18,11,4,9,12,,16,55,0.291,2,20,0.1,6,8,0.75,7,30,7,2,5,17,9
1/19/2012,,Boston College,W,33,64,0.516,5,15,0.333,5,10,0.5,13,40,21,16,5,16,12,,25,62,0.403,9,27,0.333,3,7,0.429,7,23,15,9,3,17,12
1/22/2012,@,Miami (FL),W,24,52,0.462,6,10,0.6,24,31,0.774,6,29,14,10,4,15,16,,27,61,0.443,2,20,0.1,17,23,0.739,11,34,10,11,5,14,22
1/26/2012,@,UNC,L,21,57,0.368,9,20,0.45,4,9,0.444,5,21,16,10,0,17,14,,31,64,0.484,5,16,0.313,7,13,0.538,15,48,18,9,8,15,15
1/28/2012,,Virginia,L,23,57,0.404,2,15,0.133,12,21,0.571,16,40,12,10,2,11,17,,19,43,0.442,7,15,0.467,16,23,0.696,4,20,8,5,2,11,14
2/1/2012,@,Boston College,W,19,45,0.422,5,17,0.294,13,17,0.765,8,27,15,8,2,11,10,,19,49,0.388,5,17,0.294,8,13,0.615,9,29,7,7,3,11,15
2/4/2012,,Wake Forest,W,31,59,0.525,8,15,0.533,17,20,0.85,9,30,19,4,6,9,13,,29,58,0.5,10,17,0.588,8,10,0.8,8,25,15,2,3,10,19
2/9/2012,@,Georgia Tech,W,20,49,0.408,6,17,0.353,15,22,0.682,9,29,12,6,2,10,13,,19,59,0.322,1,17,0.059,13,16,0.813,18,38,13,6,3,16,18
2/16/2012,@,Duke,L,26,59,0.441,5,11,0.455,16,24,0.667,11,39,12,3,8,15,24,,25,69,0.362,8,29,0.276,20,28,0.714,9,31,11,8,3,5,21
2/18/2012,,Florida State,L,17,58,0.293,3,12,0.25,25,31,0.806,14,32,12,8,3,17,19,,27,55,0.491,4,13,0.308,18,21,0.857,8,32,14,8,9,14,22
2/21/2012,,UNC,L,29,70,0.414,3,13,0.231,13,23,0.565,17,39,11,6,3,4,20,,29,57,0.509,10,19,0.526,18,24,0.75,10,38,19,3,8,9,14
2/25/2012,@,Clemson,L (1 OT),30,60,0.5,4,16,0.25,5,13,0.385,10,34,16,6,2,13,20,,25,57,0.439,6,20,0.3,16,21,0.762,8,26,16,9,2,11,14
2/29/2012,,Miami (FL),W,28,56,0.5,7,16,0.438,14,26,0.538,11,39,19,3,6,7,16,,26,73,0.356,8,29,0.276,13,19,0.684,16,39,10,3,3,6,19
3/4/2012,@,Virginia Tech,W,23,45,0.511,3,11,0.273,21,27,0.778,9,37,8,4,2,18,19,,22,60,0.367,5,20,0.25,9,18,0.5,10,22,10,3,3,7,20
3/8/2012,N,Boston College,W,29,67,0.433,8,19,0.421,12,20,0.6,14,41,16,11,3,11,16,,22,57,0.386,7,23,0.304,6,11,0.545,7,31,15,5,3,19,21
3/9/2012,N,Virginia,W,27,50,0.54,5,15,0.333,8,18,0.444,6,28,18,8,2,11,16,,23,53,0.434,2,12,0.167,16,20,0.8,9,33,10,8,2,10,16
3/10/2012,N,UNC,L,26,58,0.448,3,11,0.273,12,18,0.667,8,33,10,7,1,16,23,,24,54,0.444,5,20,0.25,16,22,0.727,5,31,19,5,0,15,19
3/16/2012,N,San Diego State,W,31,53,0.585,3,9,0.333,14,21,0.667,4,31,13,3,3,10,13,,23,61,0.377,8,23,0.348,11,14,0.786,5,25,9,3,2,8,17
3/18/2012,N,Georgetown,W,20,54,0.37,7,15,0.467,19,31,0.613,15,33,11,4,3,10,14,,21,51,0.412,8,25,0.32,13,17,0.765,6,29,13,5,4,11,23
3/23/2012,N,Kansas,L,19,67,0.284,6,21,0.286,13,17,0.765,20,43,10,7,6,14,17,,24,64,0.375,1,14,0.071,11,20,0.55,15,42,13,9,11,13,14
11/9/2012,,Miami (OH),W,35,57,0.614,8,19,0.421,19,27,0.704,5,39,23,6,6,11,14,,20,69,0.29,7,26,0.269,12,19,0.632,15,33,12,7,2,10,22
11/15/2012,N,Penn State,W,26,52,0.5,8,16,0.5,12,18,0.667,6,33,12,8,1,13,16,,19,60,0.317,3,19,0.158,14,17,0.824,13,34,4,8,1,13,18
11/16/2012,N,UMass,W,35,62,0.565,8,18,0.444,16,31,0.516,11,37,15,6,0,12,20,,27,67,0.403,9,24,0.375,13,18,0.722,12,35,9,7,3,17,23
11/18/2012,N,Oklahoma State,L,22,62,0.355,4,14,0.286,8,16,0.5,10,27,7,9,1,12,21,,24,57,0.421,8,22,0.364,20,24,0.833,12,42,14,6,8,13,16
11/23/2012,,North Carolina-Asheville,W,29,52,0.558,3,9,0.333,21,32,0.656,10,34,10,5,4,19,13,,32,64,0.5,8,19,0.421,8,9,0.889,6,19,15,14,4,12,22
11/27/2012,@,Michigan,L,32,56,0.571,2,8,0.25,6,9,0.667,8,30,14,5,5,13,18,,27,54,0.5,9,24,0.375,16,20,0.8,6,22,14,3,4,6,9
12/4/2012,N,UConn,W,26,55,0.473,4,9,0.444,13,21,0.619,15,36,12,6,3,12,11,,25,62,0.403,8,23,0.348,7,11,0.636,13,28,10,9,5,10,17
12/8/2012,,Cleveland State,W,29,53,0.547,4,11,0.364,18,23,0.783,9,28,15,6,7,12,10,,25,57,0.439,7,21,0.333,6,10,0.6,13,27,9,3,0,18,19
12/15/2012,,Norfolk State,W,31,54,0.574,4,11,0.364,18,28,0.643,9,41,21,12,7,17,19,,21,64,0.328,3,16,0.188,17,23,0.739,13,28,10,9,1,16,21
12/18/2012,,Stanford,W,32,57,0.561,5,15,0.333,19,27,0.704,10,33,12,3,11,10,12,,34,75,0.453,7,25,0.28,4,6,0.667,13,31,19,5,3,6,21
12/22/2012,,St. Bonaventure,W,32,56,0.571,6,14,0.429,22,35,0.629,7,34,21,8,8,12,19,,26,64,0.406,8,25,0.32,13,21,0.619,13,37,12,6,4,14,24
12/29/2012,,Western Michigan,W,30,55,0.545,4,11,0.364,20,28,0.714,10,31,17,10,6,8,13,,24,67,0.358,4,16,0.25,16,17,0.941,20,36,10,3,2,12,19
12/31/2012,,North Carolina-Greensboro,W,32,60,0.533,8,18,0.444,17,22,0.773,10,34,19,5,3,11,10,,29,67,0.433,2,17,0.118,8,13,0.615,15,33,8,9,2,10,16
1/5/2013,@,Boston College,W,24,50,0.48,5,13,0.385,25,35,0.714,9,31,14,6,2,7,20,,21,51,0.412,7,22,0.318,24,37,0.649,6,29,11,3,1,7,24
1/9/2013,,Georgia Tech,W,28,55,0.509,7,16,0.438,20,29,0.69,8,38,16,4,8,12,16,,27,73,0.37,4,18,0.222,12,16,0.75,12,33,8,5,2,7,20
1/12/2013,,Duke,W,30,59,0.508,4,8,0.5,20,23,0.87,9,33,13,4,4,11,13,,30,67,0.448,6,20,0.3,10,12,0.833,12,31,10,6,4,12,20
1/16/2013,@,Maryland,L,19,61,0.311,5,16,0.313,7,12,0.583,11,37,10,4,4,11,9,,21,61,0.344,3,18,0.167,6,8,0.75,8,37,10,4,3,13,13
1/20/2013,,Clemson,W,23,51,0.451,6,12,0.5,14,23,0.609,9,34,14,3,3,9,12,,26,64,0.406,5,19,0.263,5,7,0.714,11,32,11,4,2,6,17
1/22/2013,@,Wake Forest,L,34,70,0.486,2,9,0.222,14,25,0.56,17,40,19,8,6,13,23,,31,63,0.492,4,10,0.4,20,33,0.606,16,40,13,8,9,12,21
1/26/2013,,UNC,W,32,65,0.492,7,13,0.538,20,23,0.87,8,36,22,9,3,16,9,,33,71,0.465,8,22,0.364,9,10,0.9,8,29,21,6,4,14,16
1/29/2013,@,Virginia,L,20,53,0.377,6,15,0.4,9,13,0.692,7,33,10,5,2,14,12,,22,54,0.407,4,16,0.25,10,15,0.667,5,30,13,4,4,8,14
2/2/2013,,Miami (FL),L,28,52,0.538,4,9,0.444,18,21,0.857,8,29,11,5,3,12,17,,30,61,0.492,3,21,0.143,16,23,0.696,11,26,9,10,2,8,16
2/7/2013,@,Duke,L,35,66,0.53,4,9,0.444,11,19,0.579,9,27,12,2,1,7,22,,28,52,0.538,10,24,0.417,32,41,0.78,6,30,18,3,4,7,21
2/10/2013,@,Clemson,W,23,61,0.377,6,16,0.375,6,10,0.6,9,34,8,5,6,12,12,,22,57,0.386,6,17,0.353,7,10,0.7,7,32,10,5,9,16,12
2/16/2013,,Virginia Tech,W (1 OT),26,55,0.473,7,18,0.389,31,43,0.721,10,36,13,8,4,12,12,,35,80,0.438,11,23,0.478,5,7,0.714,17,37,13,5,3,14,28
2/19/2013,,Florida State,W,27,59,0.458,5,8,0.625,25,31,0.806,18,39,15,9,5,14,17,,22,51,0.431,6,18,0.333,16,20,0.8,5,18,10,6,5,14,19
