Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-13,,Montana,W,25,50,.500,10,19,.526,21,29,.724,3,29,16,5,4,10,24,,22,57,.386,4,15,.267,18,28,.643,14,39,11,6,1,15,23
2010-11-15,N,Pacific,L,21,61,.344,3,13,.231,8,12,.667,10,27,9,6,4,11,18,,20,51,.392,5,22,.227,19,20,.950,7,39,12,5,4,15,15
2010-11-16,N,Pepperdine,L,29,58,.500,9,19,.474,8,15,.533,7,29,18,3,1,13,22,,25,58,.431,7,18,.389,19,27,.704,7,28,16,5,1,8,19
2010-11-22,@,George Washington,L,21,57,.368,4,16,.250,10,15,.667,16,42,11,5,4,19,23,,20,57,.351,6,16,.375,12,21,.571,11,32,12,7,7,12,19
2010-11-23,N,Boston University,L,21,57,.368,4,18,.222,11,18,.611,19,43,8,6,2,18,21,,22,56,.393,8,17,.471,14,22,.636,11,29,9,11,5,9,17
2010-11-30,@,South Dakota State,L,23,47,.489,6,15,.400,13,21,.619,7,31,10,2,4,22,26,,26,60,.433,6,18,.333,24,34,.706,14,32,13,11,2,7,20
2010-12-04,,UNLV,L,23,55,.418,5,20,.250,19,25,.760,14,35,10,2,5,17,25,,29,54,.537,6,13,.462,18,28,.643,9,27,11,7,4,13,24
2010-12-06,@,Houston,L,22,64,.344,7,19,.368,10,16,.625,17,49,6,6,4,17,16,,27,63,.429,4,16,.250,6,16,.375,7,32,15,11,6,9,21
2010-12-11,,San Francisco State,W,23,57,.404,3,12,.250,29,36,.806,12,40,8,6,6,17,23,,22,60,.367,3,17,.176,17,25,.680,10,31,7,7,2,17,29
2010-12-17,,Arizona State,L,23,56,.411,6,18,.333,23,35,.657,13,34,7,5,1,10,20,,24,52,.462,9,21,.429,21,27,.778,7,31,17,5,3,14,27
2010-12-20,,Portland State,W,25,60,.417,10,29,.345,19,23,.826,12,35,15,3,2,19,24,,24,55,.436,4,15,.267,21,27,.778,10,32,12,8,0,20,21
2010-12-22,@,Washington,L,17,60,.283,2,12,.167,24,33,.727,12,40,5,2,4,11,17,,35,83,.422,11,29,.379,9,15,.600,21,55,18,7,7,5,23
2010-12-27,@,Portland,L,23,60,.383,4,17,.235,12,16,.750,14,38,11,5,5,12,21,,20,54,.370,7,23,.304,19,27,.704,11,29,15,9,3,8,14
2010-12-31,,Hawaii,W,30,64,.469,10,26,.385,16,24,.667,12,32,16,5,7,11,21,,23,54,.426,4,14,.286,19,27,.704,12,37,10,3,1,15,23
2011-01-03,@,Fresno State,L,26,52,.500,6,18,.333,16,24,.667,9,28,11,2,2,15,24,,25,57,.439,6,19,.316,24,32,.750,10,30,18,11,0,8,22
2011-01-08,,Utah State,L,20,51,.392,6,19,.316,21,30,.700,8,25,8,4,3,13,25,,31,50,.620,4,12,.333,15,24,.625,6,30,14,5,1,11,24
2011-01-12,@,Idaho,L,25,56,.446,9,21,.429,8,10,.800,9,29,11,2,6,12,17,,25,57,.439,6,17,.353,16,22,.727,10,29,19,5,4,9,11
2011-01-15,@,Boise State,W,22,49,.449,9,28,.321,16,24,.667,10,34,12,4,2,17,25,,19,52,.365,6,19,.316,23,31,.742,8,23,11,7,2,11,21
2011-01-20,,New Mexico State,W,35,62,.565,8,21,.381,12,20,.600,9,38,21,8,5,13,18,,24,60,.400,6,20,.300,17,22,.773,6,26,14,4,2,14,18
2011-01-22,,Louisiana Tech,W,20,42,.476,5,10,.500,21,32,.656,5,31,9,9,3,14,16,,23,64,.359,4,21,.190,8,10,.800,10,32,9,3,1,11,23
2011-01-27,,Fresno State,W,25,51,.490,5,19,.263,24,33,.727,8,32,15,2,1,16,19,,23,55,.418,9,26,.346,21,24,.875,7,25,17,10,2,12,25
2011-02-02,@,Utah State,L,18,55,.327,2,17,.118,7,11,.636,11,32,6,4,9,13,14,,26,63,.413,5,22,.227,10,13,.769,12,38,15,4,4,7,11
2011-02-05,,San Jose State,W,29,56,.518,8,18,.444,23,29,.793,8,32,19,1,4,10,21,,25,64,.391,3,14,.214,16,25,.640,15,35,10,2,1,8,24
2011-02-12,@,San Jose State,W (1 OT),26,63,.413,7,25,.280,25,31,.806,12,36,11,6,5,13,24,,24,61,.393,6,12,.500,22,27,.815,6,28,14,7,3,13,24
2011-02-14,@,Hawaii,L (1 OT),23,62,.371,5,16,.313,16,26,.615,11,34,10,6,3,10,19,,27,65,.415,4,17,.235,11,19,.579,14,40,10,3,8,11,19
2011-02-19,,UC-Irvine,W,25,57,.439,10,24,.417,14,20,.700,14,42,16,6,2,16,13,,23,60,.383,9,24,.375,8,11,.727,9,25,12,6,2,11,15
2011-02-24,,Idaho,L,22,60,.367,8,22,.364,7,14,.500,15,37,9,6,2,15,17,,20,44,.455,10,15,.667,17,20,.850,4,25,12,8,1,14,16
2011-02-26,,Boise State,L,23,54,.426,6,17,.353,14,27,.519,11,35,12,5,2,14,20,,25,50,.500,5,13,.385,17,29,.586,9,33,9,6,1,13,18
2011-03-03,@,Louisiana Tech,W,23,56,.411,7,21,.333,20,31,.645,10,22,7,11,3,13,18,,25,44,.568,8,14,.571,12,17,.706,9,33,7,2,2,26,26
2011-03-05,@,New Mexico State,L,21,49,.429,7,18,.389,19,26,.731,9,24,12,5,3,15,20,,27,50,.540,7,12,.583,16,24,.667,12,34,10,3,5,14,19
2011-03-09,N,Fresno State,W,25,50,.500,12,18,.667,28,40,.700,5,28,13,6,5,12,17,,29,69,.420,7,21,.333,15,21,.714,18,42,12,6,1,16,27
2011-03-10,N,New Mexico State,L,19,51,.373,7,21,.333,15,25,.600,9,28,4,6,4,15,25,,18,48,.375,2,9,.222,28,34,.824,8,29,7,5,4,16,22
2011-11-11,,Missouri State,L,13,50,.260,5,25,.200,15,29,.517,12,36,8,3,2,14,17,,27,62,.435,9,27,.333,5,7,.714,7,37,16,4,2,9,23
2011-11-14,@,UNLV,L,19,59,.322,7,24,.292,22,34,.647,13,33,6,6,5,10,18,,26,63,.413,7,26,.269,12,19,.632,13,45,18,6,8,10,21
2011-11-17,,Pacific,W,28,48,.583,12,18,.667,10,21,.476,10,44,18,8,8,25,16,,21,67,.313,7,27,.259,5,10,.500,10,23,12,14,0,13,22
2011-11-20,,Prairie View,W,18,48,.375,3,15,.200,21,35,.600,10,37,12,9,2,17,16,,19,60,.317,1,12,.083,8,10,.800,9,30,8,9,3,16,24
2011-11-22,,Longwood,W,26,52,.500,10,25,.400,18,27,.667,7,30,20,3,6,10,18,,27,61,.443,11,24,.458,13,19,.684,8,23,16,5,3,7,17
2011-11-25,N,BYU,L,21,56,.375,5,20,.250,8,13,.615,7,26,12,9,3,18,12,,31,57,.544,8,18,.444,6,9,.667,4,30,18,11,3,15,17
2011-11-26,N,Bradley,W,20,46,.435,10,19,.526,14,19,.737,6,26,15,5,10,14,20,,23,51,.451,5,14,.357,8,13,.615,7,24,14,8,8,13,17
2011-12-02,,Washington,W (1 OT),27,64,.422,7,19,.368,15,25,.600,11,27,13,7,5,12,19,,26,58,.448,6,21,.286,15,19,.789,12,38,19,8,6,18,22
2011-12-07,@,Arizona State,W,19,45,.422,6,13,.462,25,33,.758,9,33,13,10,3,16,15,,22,52,.423,6,20,.300,11,18,.611,10,29,13,9,3,16,26
2011-12-10,@,Montana,W,25,56,.446,7,15,.467,13,19,.684,12,39,13,3,7,11,21,,19,51,.373,5,15,.333,21,29,.724,10,33,10,7,3,10,18
2011-12-17,,UC-Riverside,W,23,49,.469,6,16,.375,19,30,.633,9,38,11,3,6,8,10,,18,60,.300,6,18,.333,5,9,.556,11,30,10,4,1,10,20
2011-12-22,,Portland,W,28,56,.500,8,19,.421,14,17,.824,9,28,13,14,3,19,17,,21,51,.412,3,14,.214,15,19,.789,7,27,9,8,0,23,20
2011-12-28,,Cedarville,W,24,51,.471,6,21,.286,17,29,.586,14,33,14,7,6,12,10,,25,55,.455,10,21,.476,1,6,.167,9,24,11,4,2,18,23
2012-01-05,@,Idaho,W,27,50,.540,9,16,.563,10,17,.588,7,28,13,12,5,12,15,,22,53,.415,7,20,.350,4,8,.500,9,27,14,4,4,15,20
2012-01-07,@,Utah State,W,28,58,.483,10,26,.385,12,19,.632,11,32,13,4,0,8,15,,23,46,.500,7,14,.500,18,24,.750,3,23,14,3,1,7,17
2012-01-12,,San Jose State,W,31,57,.544,16,32,.500,3,9,.333,7,35,25,5,8,8,16,,20,63,.317,6,23,.261,11,15,.733,9,26,10,3,0,5,9
2012-01-14,,Hawaii,W,27,59,.458,5,14,.357,18,22,.818,14,34,10,5,5,12,19,,29,58,.500,4,13,.308,12,17,.706,9,29,20,5,9,15,19
2012-01-17,,Nebraska-Omaha,W,30,63,.476,8,21,.381,13,20,.650,12,41,18,4,2,11,12,,27,63,.429,9,25,.360,6,10,.600,6,27,18,7,2,11,17
2012-01-21,,Fresno State,W,25,49,.510,6,19,.316,18,30,.600,9,33,13,4,6,14,14,,21,57,.368,6,21,.286,13,18,.722,11,30,10,7,1,11,24
2012-01-26,@,New Mexico State,W,26,46,.565,7,17,.412,9,16,.563,3,22,11,5,2,16,23,,17,52,.327,5,22,.227,21,31,.677,16,37,8,3,5,16,19
2012-01-28,@,Louisiana Tech,W,21,44,.477,4,13,.308,19,27,.704,11,39,4,2,5,22,24,,19,61,.311,8,30,.267,17,24,.708,12,27,7,8,1,11,23
2012-02-02,,Utah State,W,18,48,.375,8,24,.333,9,15,.600,7,23,9,10,5,10,11,,23,57,.404,5,14,.357,1,4,.250,14,37,14,4,2,16,17
2012-02-04,,Idaho,L,24,56,.429,6,24,.250,14,25,.560,14,35,11,5,1,12,19,,24,46,.522,10,22,.455,14,20,.700,4,23,17,6,1,11,17
2012-02-09,@,Hawaii,W,29,60,.483,7,13,.538,23,39,.590,19,44,13,4,4,14,15,,28,61,.459,7,24,.292,16,19,.842,7,25,19,9,4,13,26
2012-02-11,@,San Jose State,W,28,60,.467,7,19,.368,13,19,.684,13,34,18,1,5,5,15,,26,61,.426,10,25,.400,8,11,.727,8,26,16,2,3,4,19
2012-02-14,,Cal State Bakersfield,W,18,45,.400,2,12,.167,23,29,.793,9,30,10,11,6,14,14,,15,50,.300,4,21,.190,13,15,.867,8,26,8,9,2,18,24
2012-02-18,@,Iona,L,29,62,.468,6,20,.300,20,26,.769,15,29,15,4,3,16,19,,33,53,.623,8,14,.571,16,22,.727,7,24,23,5,1,15,19
2012-02-25,@,Fresno State,W (3 OT),25,60,.417,3,16,.188,26,42,.619,10,40,8,5,8,17,23,,25,71,.352,5,19,.263,21,28,.750,13,44,16,9,2,12,29
2012-03-01,,New Mexico State,W,24,56,.429,7,16,.438,10,15,.667,9,31,16,7,7,16,15,,22,65,.338,7,18,.389,10,17,.588,16,39,17,9,3,15,17
2012-03-03,,Louisiana Tech,W,29,55,.527,6,13,.462,15,23,.652,14,43,17,4,6,19,18,,26,59,.441,8,19,.421,9,17,.529,7,20,13,10,5,7,22
2012-03-08,N,San Jose State,W,18,45,.400,4,16,.250,14,19,.737,6,37,8,4,7,15,13,,19,58,.328,1,16,.063,5,9,.556,10,28,10,8,0,10,21
2012-03-09,N,Louisiana Tech,L,26,63,.413,9,23,.391,12,19,.632,17,32,14,5,4,12,16,,26,49,.531,8,14,.571,18,22,.818,3,25,13,6,3,13,17
2012-03-14,@,Oral Roberts,W,25,58,.431,6,11,.545,12,15,.800,13,41,16,2,6,10,10,,24,60,.400,5,15,.333,6,8,.750,8,27,13,5,8,5,14
2012-03-18,,Bucknell,W,24,48,.500,3,10,.300,24,32,.750,6,32,12,4,2,14,16,,22,55,.400,8,25,.320,15,17,.882,5,27,13,6,1,16,22
2012-03-21,@,Stanford,L,19,49,.388,5,18,.278,13,23,.565,9,28,8,3,4,14,17,,31,58,.534,8,14,.571,14,17,.824,8,33,17,7,5,9,19
2012-11-10,@,UC-Irvine,L,19,55,.345,2,16,.125,24,33,.727,9,34,6,4,4,11,23,,26,66,.394,3,15,.200,23,36,.639,19,48,13,5,9,8,21
2012-11-16,,Cal State Fullerton,W,26,57,.456,6,23,.261,22,30,.733,10,27,15,9,6,15,19,,25,53,.472,9,21,.429,18,22,.818,8,29,15,9,1,17,26
2012-11-17,,Green Bay,W,25,59,.424,7,13,.538,14,21,.667,11,28,10,7,3,13,19,,23,54,.426,6,14,.429,17,25,.680,16,37,15,6,5,17,21
2012-11-18,,Southern Utah,W,22,47,.468,6,16,.375,29,36,.806,4,24,15,9,3,13,21,,21,49,.429,5,12,.417,14,22,.636,8,29,11,6,4,22,31
2012-11-24,@,Marshall,L,28,62,.452,7,23,.304,19,24,.792,9,30,16,5,0,8,27,,33,64,.516,6,18,.333,17,34,.500,13,36,19,4,6,7,19
2012-11-28,,UC-Davis,W,31,60,.517,8,16,.500,14,18,.778,7,25,18,5,5,9,18,,28,51,.549,11,20,.550,16,22,.727,2,25,20,5,3,13,20
2012-11-30,,Drake,L,21,51,.412,6,20,.300,18,23,.783,5,29,14,4,5,15,25,,25,56,.446,9,20,.450,17,28,.607,9,34,16,5,1,11,21
2012-12-04,@,Pacific,L (1 OT),25,57,.439,7,24,.292,15,19,.789,8,35,11,4,6,9,19,,28,54,.519,6,13,.462,16,25,.640,4,29,17,4,1,9,15
2012-12-08,@,Washington,W,28,59,.475,6,17,.353,14,19,.737,9,33,11,8,3,13,16,,27,68,.397,9,22,.409,10,13,.769,16,38,15,4,7,15,18
2012-12-11,,Cal Poly,W,23,51,.451,9,19,.474,14,18,.778,10,41,17,4,5,19,13,,22,67,.328,7,25,.280,5,10,.500,9,24,14,13,4,9,18
2012-12-15,,San Francisco,W,20,57,.351,2,23,.087,17,24,.708,13,41,10,7,4,15,18,,17,50,.340,2,15,.133,15,22,.682,5,27,7,6,1,17,19
2012-12-21,,Cal State San Marcos,W,32,64,.500,5,19,.263,15,18,.833,10,42,20,12,2,19,18,,27,62,.435,7,20,.350,13,15,.867,3,22,16,13,2,16,15
2012-12-28,,Yale,W,28,49,.571,9,20,.450,20,25,.800,6,26,15,8,4,8,22,,22,57,.386,8,22,.364,23,32,.719,14,31,13,3,1,13,17
2012-12-31,@,Oregon,L,16,57,.281,3,23,.130,8,16,.500,6,22,5,8,1,11,19,,17,43,.395,6,18,.333,16,22,.727,6,34,14,6,8,20,16
2013-01-09,@,Air Force,L,22,51,.431,6,19,.316,15,19,.789,7,25,12,6,6,15,20,,24,46,.522,10,17,.588,20,23,.870,2,25,15,8,2,14,15
2013-01-12,,Wyoming,L,18,62,.290,1,15,.067,11,24,.458,18,41,5,5,0,10,20,,22,47,.468,7,19,.368,8,13,.615,2,29,13,6,8,9,23
2013-01-19,@,Fresno State,W,17,45,.378,4,11,.364,30,37,.811,5,27,5,5,6,7,16,,20,54,.370,9,21,.429,12,21,.571,9,33,7,5,6,11,25
2013-01-23,,San Diego State,L,19,55,.345,5,21,.238,14,18,.778,8,24,12,7,2,14,15,,31,57,.544,6,19,.316,10,16,.625,8,34,15,6,4,14,17
2013-01-26,,Boise State,W,23,48,.479,7,23,.304,22,27,.815,1,30,15,5,4,11,19,,22,61,.361,4,21,.190,11,17,.647,9,30,8,5,1,12,22
2013-01-29,@,UNLV,L,19,50,.380,6,24,.250,10,14,.714,5,28,11,5,2,16,16,,23,59,.390,6,22,.273,14,22,.636,14,40,19,11,5,13,13
2013-02-02,@,New Mexico,L,24,59,.407,10,26,.385,4,6,.667,9,32,17,3,1,11,17,,28,50,.560,11,21,.524,8,14,.571,2,29,22,6,7,7,11
2013-02-06,,Colorado State,L,22,55,.400,7,19,.368,18,25,.720,10,27,12,5,4,9,19,,27,63,.429,6,17,.353,13,21,.619,15,39,12,6,1,10,21
2013-02-09,,Air Force,W,24,57,.421,4,22,.182,22,29,.759,12,38,11,7,3,12,15,,25,51,.490,8,20,.400,11,15,.733,3,24,14,5,3,16,23
2013-02-13,@,Wyoming,L,19,43,.442,5,12,.417,5,8,.625,4,18,4,5,1,16,14,,23,43,.535,9,18,.500,13,20,.650,5,26,13,11,4,11,10
2013-02-19,,Fresno State,L (1 OT),19,52,.365,5,20,.250,21,35,.600,11,32,11,3,5,13,25,,22,58,.379,6,23,.261,19,30,.633,14,42,12,8,1,10,24
2013-02-23,@,San Diego State,L,25,54,.463,12,24,.500,13,21,.619,7,23,13,2,0,11,18,,32,55,.582,10,22,.455,14,19,.737,7,30,22,5,7,13,17
2013-02-27,@,Boise State,L,10,38,.263,4,13,.308,23,26,.885,4,18,4,4,1,17,15,,28,57,.491,6,19,.316,11,13,.846,13,33,15,10,4,13,21
2013-03-02,,UNLV,L,25,63,.397,3,15,.200,10,13,.769,10,28,7,3,2,9,14,,28,58,.483,10,18,.556,14,16,.875,9,34,14,3,10,9,15
2013-03-06,,New Mexico,L,21,51,.412,8,21,.381,12,16,.750,7,22,13,3,3,11,17,,27,54,.500,6,17,.353,15,21,.714,9,29,16,8,4,6,15
2013-03-09,@,Colorado State,L,24,44,.545,3,13,.231,15,23,.652,5,22,3,4,6,16,23,,25,57,.439,3,17,.176,24,32,.750,14,31,13,8,1,10,19
2013-03-12,N,Wyoming,L,28,59,.475,10,25,.400,15,25,.600,13,29,13,6,2,12,29,,27,47,.574,7,18,.389,24,37,.649,7,28,18,5,1,12,17
2013-11-08,,Pacific,L,24,58,.414,6,22,.273,24,28,.857,10,25,10,11,3,12,16,,31,58,.534,8,11,.727,10,14,.714,7,27,14,3,0,17,19
2013-11-12,@,Cal Poly,W,21,56,.375,6,16,.375,12,17,.706,10,29,5,9,2,9,15,,22,50,.440,5,21,.238,9,12,.750,7,32,13,5,3,17,17
2013-11-15,@,San Francisco,W,33,58,.569,8,19,.421,18,28,.643,12,37,8,5,7,11,24,,30,63,.476,7,19,.368,23,35,.657,10,25,12,4,2,8,27
2013-11-18,@,Cal State Bakersfield,L,20,45,.444,5,13,.385,21,28,.750,6,23,9,6,2,11,31,,21,43,.488,4,12,.333,28,40,.700,8,26,14,5,6,11,25
