Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,@,Louisiana,W,31,60,0.517,12,25,0.48,18,25,0.72,11,37,22,4,3,15,24,,25,56,0.446,7,18,0.389,19,28,0.679,8,28,11,8,5,17,19
11/15/2010,,Western New Mexico,W,33,63,0.524,8,21,0.381,21,32,0.656,15,52,20,6,6,13,18,,21,64,0.328,7,27,0.259,13,18,0.722,6,25,10,6,2,14,22
11/18/2010,@,Arizona,L,21,54,0.389,5,15,0.333,10,18,0.556,10,20,12,3,2,14,20,,31,58,0.534,5,22,0.227,16,23,0.696,14,40,21,6,3,13,16
11/20/2010,N,UMass,L,17,51,0.333,3,12,0.25,20,29,0.69,12,28,7,5,1,16,24,,26,48,0.542,3,10,0.3,16,26,0.615,6,29,11,9,2,14,25
11/21/2010,N,USC,L,20,56,0.357,4,14,0.286,17,22,0.773,9,33,12,5,4,18,20,,29,58,0.5,7,17,0.412,15,22,0.682,7,28,16,11,2,12,18
11/23/2010,@,UTEP,L,21,58,0.362,3,13,0.231,11,22,0.5,18,44,9,6,2,18,19,,22,52,0.423,12,24,0.5,17,25,0.68,5,24,19,11,6,11,20
11/30/2010,,UTEP,L,25,61,0.41,7,18,0.389,15,26,0.577,17,42,9,8,5,12,17,,27,54,0.5,7,16,0.438,13,21,0.619,6,28,14,4,3,14,18
12/4/2010,,New Mexico,L (1 OT),23,74,0.311,5,26,0.192,27,35,0.771,23,42,7,8,3,13,28,,25,50,0.5,9,24,0.375,25,37,0.676,10,39,18,7,8,20,25
12/11/2010,@,New Mexico,L,18,50,0.36,5,20,0.25,21,30,0.7,7,28,12,8,3,12,17,,30,63,0.476,5,21,0.238,13,24,0.542,14,41,15,9,2,12,20
12/13/2010,,Arkansas-Pine Bluff,W,27,49,0.551,5,15,0.333,24,40,0.6,12,43,13,11,8,23,18,,19,58,0.328,2,18,0.111,9,15,0.6,8,24,8,5,0,21,26
12/16/2010,,Panhandle State,W,25,58,0.431,8,23,0.348,20,31,0.645,13,46,13,11,7,17,18,,16,65,0.246,7,23,0.304,7,21,0.333,19,43,7,5,2,22,22
12/18/2010,,Pacific,W,25,47,0.532,4,13,0.308,15,22,0.682,9,28,12,5,3,10,13,,21,52,0.404,8,22,0.364,14,21,0.667,12,29,13,5,1,9,16
12/21/2010,,Louisiana,W,28,57,0.491,6,14,0.429,20,27,0.741,10,23,15,9,6,12,23,,26,60,0.433,7,14,0.5,17,23,0.739,19,44,12,3,4,22,24
12/23/2010,,Saint Mary's (CA),L,18,40,0.45,2,10,0.2,15,24,0.625,6,26,7,3,6,15,11,,31,66,0.47,7,22,0.318,4,5,0.8,13,30,17,7,4,9,20
12/29/2010,@,Idaho,W,26,58,0.448,5,23,0.217,17,25,0.68,14,34,10,13,4,17,18,,24,52,0.462,4,14,0.286,17,21,0.81,10,32,11,10,4,17,17
12/31/2010,@,Boise State,L,25,47,0.532,11,19,0.579,17,27,0.63,8,27,12,6,2,17,23,,27,58,0.466,6,18,0.333,21,30,0.7,9,27,15,6,2,10,22
1/8/2011,,Fresno State,W,25,43,0.581,4,12,0.333,26,37,0.703,5,30,10,5,3,13,17,,26,64,0.406,8,31,0.258,8,14,0.571,13,28,15,6,1,14,28
1/13/2011,,Hawaii,W,25,51,0.49,6,15,0.4,26,40,0.65,14,42,14,7,5,15,20,,24,63,0.381,4,19,0.211,12,19,0.632,14,33,11,5,3,20,33
1/15/2011,,San Jose State,W,29,61,0.475,11,26,0.423,9,12,0.75,11,41,17,4,3,13,14,,19,58,0.328,2,17,0.118,13,15,0.867,9,28,8,3,0,12,16
1/20/2011,@,Nevada,L,24,60,0.4,6,20,0.3,17,22,0.773,6,26,14,4,2,14,18,,35,62,0.565,8,21,0.381,12,20,0.6,9,38,21,8,5,13,18
1/22/2011,@,Utah State,L,20,53,0.377,4,16,0.25,5,13,0.385,8,28,12,6,3,11,17,,22,53,0.415,5,16,0.313,10,17,0.588,14,44,15,5,1,14,17
1/27/2011,,Boise State,W (1 OT),29,56,0.518,4,14,0.286,34,47,0.723,11,41,9,4,4,20,21,,35,76,0.461,3,20,0.15,14,23,0.609,13,32,15,9,3,15,30
1/29/2011,,Idaho,W,24,49,0.49,6,16,0.375,19,27,0.704,6,26,14,11,3,19,15,,25,51,0.49,6,19,0.316,9,11,0.818,6,28,11,5,4,23,18
2/3/2011,@,Fresno State,L (1 OT),28,58,0.483,6,19,0.316,21,32,0.656,15,36,16,9,3,20,19,,30,61,0.492,6,20,0.3,22,28,0.786,13,33,20,16,3,15,21
2/7/2011,,Louisiana Tech,W,27,52,0.519,6,19,0.316,15,20,0.75,6,26,16,9,6,14,12,,22,53,0.415,9,23,0.391,4,8,0.5,9,28,10,7,0,20,14
2/12/2011,@,Louisiana Tech,W,20,52,0.385,2,14,0.143,8,13,0.615,7,27,12,10,4,12,21,,15,36,0.417,3,11,0.273,16,24,0.667,4,26,8,5,3,18,18
2/19/2011,,Northern Colorado,L,25,44,0.568,9,16,0.563,21,32,0.656,8,31,18,4,3,15,23,,28,58,0.483,9,25,0.36,17,29,0.586,15,34,14,5,0,11,25
2/23/2011,@,San Jose State,L (1 OT),28,70,0.4,5,21,0.238,9,16,0.563,12,38,16,6,4,7,12,,28,67,0.418,8,21,0.381,8,11,0.727,8,35,14,4,4,11,13
2/26/2011,@,Hawaii,L,22,61,0.361,5,18,0.278,21,29,0.724,9,29,12,9,3,9,19,,28,62,0.452,7,17,0.412,13,16,0.813,9,38,12,5,7,15,22
3/2/2011,,Utah State,L,20,45,0.444,4,13,0.308,10,19,0.526,8,30,9,3,1,15,13,,25,50,0.5,3,11,0.273,5,8,0.625,5,27,12,4,2,11,16
3/5/2011,,Nevada,W,27,50,0.54,7,12,0.583,16,24,0.667,12,34,10,3,5,14,19,,21,49,0.429,7,18,0.389,19,26,0.731,9,24,12,5,3,15,20
3/10/2011,N,Nevada,W,18,48,0.375,2,9,0.222,28,34,0.824,8,29,7,5,4,16,22,,19,51,0.373,7,21,0.333,15,25,0.6,9,28,4,6,4,15,25
3/11/2011,N,Boise State,L,19,44,0.432,4,13,0.308,21,27,0.778,5,25,12,5,3,15,19,,23,47,0.489,9,15,0.6,26,32,0.813,8,28,16,5,2,12,19
11/12/2011,@,Northern Colorado,W,29,54,0.537,5,14,0.357,26,41,0.634,10,34,17,7,5,20,20,,29,60,0.483,8,20,0.4,9,15,0.6,6,23,16,10,5,20,29
11/16/2011,@,New Mexico,W,19,45,0.422,3,11,0.273,21,38,0.553,8,32,17,9,3,18,24,,14,50,0.28,7,19,0.368,18,27,0.667,11,33,12,8,3,20,28
11/19/2011,,UTEP,W,26,58,0.448,9,19,0.474,28,39,0.718,20,41,16,7,1,16,21,,25,55,0.455,3,13,0.231,20,27,0.741,10,24,13,3,4,16,28
11/24/2011,N,Central Michigan,W,20,62,0.323,3,13,0.231,35,49,0.714,24,51,13,12,3,12,17,,19,56,0.339,2,10,0.2,9,17,0.529,10,32,10,7,2,21,30
11/25/2011,N,Southern Miss,L,20,48,0.417,2,10,0.2,30,44,0.682,10,24,13,7,2,12,23,,28,57,0.491,7,14,0.5,17,23,0.739,12,36,14,2,1,14,29
11/26/2011,N,San Francisco,W,23,49,0.469,5,12,0.417,30,38,0.789,10,32,15,4,4,12,13,,25,54,0.463,8,22,0.364,13,18,0.722,4,19,24,7,5,12,25
11/29/2011,,Arizona,L,28,73,0.384,4,21,0.19,16,23,0.696,18,38,9,4,3,9,17,,30,58,0.517,9,21,0.429,14,19,0.737,7,37,19,3,0,11,19
12/4/2011,@,Southern Miss,L,26,52,0.5,6,16,0.375,8,14,0.571,7,31,7,7,7,19,24,,24,63,0.381,5,17,0.294,21,30,0.7,16,32,11,8,1,14,16
12/11/2011,@,UTEP,L,21,47,0.447,10,21,0.476,17,32,0.531,7,30,15,8,2,11,25,,26,52,0.5,7,17,0.412,14,27,0.519,10,34,21,5,6,13,22
12/14/2011,,Western New Mexico,W,28,57,0.491,5,17,0.294,31,43,0.721,17,46,11,9,3,17,17,,22,56,0.393,6,19,0.316,15,17,0.882,5,23,13,5,1,19,26
12/19/2011,,Southern,W,31,60,0.517,5,12,0.417,24,35,0.686,15,51,9,6,4,22,18,,23,65,0.354,7,18,0.389,13,20,0.65,8,29,10,6,3,17,25
12/21/2011,,McNeese State,W,29,50,0.58,6,14,0.429,18,33,0.545,10,36,13,8,1,17,14,,24,58,0.414,6,19,0.316,8,14,0.571,11,29,8,4,2,18,21
12/28/2011,,New Mexico,L,23,69,0.333,1,14,0.071,22,35,0.629,24,47,8,4,6,17,16,,30,66,0.455,12,24,0.5,17,20,0.85,14,41,19,9,4,15,26
12/31/2011,,Arkansas-Pine Bluff,W,26,54,0.481,7,16,0.438,22,32,0.688,13,41,13,5,8,13,13,,27,59,0.458,4,11,0.364,7,10,0.7,5,24,10,4,6,12,22
1/2/2012,@,Cal State Bakersfield,W,18,41,0.439,2,13,0.154,35,44,0.795,5,29,11,8,3,16,18,,29,62,0.468,6,19,0.316,8,12,0.667,10,26,18,7,3,13,25
1/7/2012,@,Louisiana Tech,W,32,56,0.571,3,11,0.273,16,26,0.615,7,42,14,7,4,20,22,,26,75,0.347,5,29,0.172,16,30,0.533,14,37,11,11,3,11,22
1/12/2012,,Utah State,W,30,61,0.492,3,12,0.25,17,29,0.586,12,39,14,2,2,6,19,,20,50,0.4,3,16,0.188,17,27,0.63,4,28,8,2,2,10,25
1/14/2012,,Idaho,W,27,46,0.587,3,10,0.3,23,32,0.719,12,36,11,2,3,18,14,,26,59,0.441,7,21,0.333,9,12,0.75,8,20,14,7,1,11,25
1/19/2012,@,San Jose State,W,30,58,0.517,4,11,0.364,15,19,0.789,15,39,13,8,3,16,13,,25,67,0.373,6,29,0.207,7,11,0.636,13,25,8,6,0,13,18
1/21/2012,@,Hawaii,L,33,81,0.407,5,15,0.333,16,24,0.667,19,38,18,16,1,12,23,,29,63,0.46,9,17,0.529,24,30,0.8,13,41,20,7,10,20,20
1/26/2012,,Nevada,L,17,52,0.327,5,22,0.227,21,31,0.677,16,37,8,3,5,16,19,,26,46,0.565,7,17,0.412,9,16,0.563,3,22,11,5,2,16,23
1/28/2012,,Fresno State,W,25,58,0.431,3,12,0.25,7,18,0.389,17,42,14,2,4,17,13,,20,49,0.408,3,15,0.2,13,17,0.765,5,24,11,6,3,9,17
2/1/2012,,Cal State Bakersfield,W,27,49,0.551,4,10,0.4,20,24,0.833,9,34,13,6,6,17,11,,24,63,0.381,3,17,0.176,6,9,0.667,12,26,13,8,1,18,19
2/4/2012,,Louisiana Tech,W,33,64,0.516,2,15,0.133,15,28,0.536,16,37,16,7,1,9,14,,27,56,0.482,8,26,0.308,10,15,0.667,8,32,15,1,2,13,22
2/9/2012,@,Idaho,L,24,56,0.429,1,7,0.143,9,15,0.6,10,29,15,10,3,12,15,,26,52,0.5,1,10,0.1,6,12,0.5,8,30,13,7,10,17,13
2/11/2012,@,Utah State,W,30,54,0.556,7,11,0.636,13,21,0.619,11,33,16,9,4,10,15,,26,52,0.5,10,20,0.5,7,13,0.538,6,20,20,4,4,10,16
2/14/2012,,Northern New Mexico,W,41,68,0.603,5,15,0.333,13,18,0.722,16,42,22,6,10,15,8,,25,64,0.391,7,24,0.292,11,12,0.917,8,19,14,4,0,14,13
2/18/2012,,Drake,W,24,50,0.48,7,13,0.538,16,24,0.667,9,40,13,8,5,14,21,,18,53,0.34,7,22,0.318,12,23,0.522,9,29,8,5,1,13,18
2/23/2012,,Hawaii,W,41,68,0.603,5,14,0.357,28,43,0.651,16,41,26,11,8,13,21,,25,58,0.431,4,14,0.286,19,27,0.704,8,28,14,3,3,24,28
2/25/2012,,San Jose State,W,27,55,0.491,5,15,0.333,20,31,0.645,15,45,14,4,8,14,24,,23,62,0.371,5,20,0.25,17,24,0.708,10,30,9,3,2,7,26
3/1/2012,@,Nevada,L,22,65,0.338,7,18,0.389,10,17,0.588,16,39,17,9,3,15,17,,24,56,0.429,7,16,0.438,10,15,0.667,9,31,16,7,7,16,15
3/3/2012,@,Fresno State,W (1 OT),27,62,0.435,7,18,0.389,22,28,0.786,8,37,13,4,4,15,18,,30,65,0.462,7,21,0.333,11,23,0.478,9,31,14,11,7,12,20
3/8/2012,N,Fresno State,W,19,51,0.373,2,14,0.143,25,36,0.694,19,42,9,5,5,11,17,,16,51,0.314,4,21,0.19,13,18,0.722,12,27,6,6,1,11,24
3/9/2012,N,Hawaii,W,34,64,0.531,7,17,0.412,17,24,0.708,14,30,21,9,8,16,12,,33,58,0.569,3,10,0.3,12,13,0.923,6,19,20,8,4,16,20
3/10/2012,N,Louisiana Tech,W,33,59,0.559,3,10,0.3,13,20,0.65,13,45,17,6,6,12,20,,20,61,0.328,3,18,0.167,14,20,0.7,10,25,5,3,3,10,18
3/15/2012,N,Indiana,L,27,49,0.551,4,12,0.333,8,10,0.8,6,22,7,5,6,17,13,,32,54,0.593,7,13,0.538,8,10,0.8,7,21,15,12,0,12,12
11/11/2012,@,Oregon State,L,21,58,0.362,1,11,0.091,19,32,0.594,14,37,5,5,3,14,17,,25,59,0.424,4,12,0.333,17,21,0.81,5,29,14,10,7,10,23
11/15/2012,,Southeastern Louisiana,W,28,54,0.519,4,8,0.5,21,26,0.808,13,37,15,4,5,12,13,,23,63,0.365,5,21,0.238,5,11,0.455,14,28,7,1,3,11,20
11/17/2012,N,Bucknell,L,14,48,0.292,6,17,0.353,15,26,0.577,7,23,10,9,4,10,17,,24,49,0.49,3,9,0.333,11,14,0.786,3,30,14,6,5,9,19
11/18/2012,@,Niagara,L,28,53,0.528,6,15,0.4,21,27,0.778,11,34,18,2,5,23,21,,28,56,0.5,7,21,0.333,23,28,0.821,7,24,14,8,4,15,23
11/21/2012,,Northern New Mexico,W,28,61,0.459,3,17,0.176,8,14,0.571,19,51,13,7,3,15,11,,13,52,0.25,3,21,0.143,8,8,1,5,23,5,8,0,17,19
11/23/2012,,Louisiana,W,25,53,0.472,7,18,0.389,22,36,0.611,14,49,12,6,9,26,13,,19,64,0.297,9,26,0.346,10,13,0.769,8,27,12,10,4,17,26
11/28/2012,@,UTEP,L,19,43,0.442,3,11,0.273,13,17,0.765,8,28,10,9,2,20,18,,19,41,0.463,1,8,0.125,16,21,0.762,5,20,13,6,1,13,17
12/1/2012,,Southern Miss,W,22,39,0.564,1,5,0.2,23,32,0.719,10,32,11,3,6,19,13,,20,57,0.351,5,18,0.278,15,17,0.882,10,22,5,9,1,11,26
12/4/2012,@,South Alabama,W,24,50,0.48,1,8,0.125,9,18,0.5,6,34,8,6,2,17,15,,19,60,0.317,5,17,0.294,9,17,0.529,12,32,7,13,5,14,18
12/15/2012,@,New Mexico,L,19,58,0.328,4,16,0.25,16,19,0.842,10,31,12,4,4,8,23,,20,47,0.426,7,13,0.538,26,35,0.743,6,34,15,4,11,6,17
12/19/2012,,New Mexico,L,21,55,0.382,10,17,0.588,11,20,0.55,16,35,13,2,4,13,21,,23,55,0.418,6,20,0.3,16,22,0.727,10,31,9,5,6,9,17
12/22/2012,,Missouri State,W,26,48,0.542,4,13,0.308,15,22,0.682,5,37,17,5,2,16,13,,19,57,0.333,2,14,0.143,11,18,0.611,10,30,4,3,1,12,16
12/29/2012,@,Texas-Arlington,L,17,51,0.333,2,18,0.111,11,23,0.478,14,35,9,6,8,14,12,,27,61,0.443,6,19,0.316,8,15,0.533,15,41,12,8,5,9,21
12/31/2012,@,Louisiana Tech,L,24,54,0.444,1,12,0.083,23,37,0.622,7,33,9,5,4,14,17,,28,63,0.444,11,22,0.5,14,17,0.824,8,26,13,6,6,6,26
1/3/2013,,UTSA,W,35,51,0.686,1,6,0.167,11,19,0.579,6,35,21,8,11,16,20,,20,48,0.417,6,17,0.353,16,24,0.667,2,17,6,3,0,12,16
1/5/2013,,Texas State,W,29,54,0.537,5,16,0.313,15,17,0.882,7,35,17,4,5,14,13,,24,56,0.429,8,21,0.381,11,15,0.733,6,25,13,3,2,10,21
1/10/2013,@,Seattle,W (2 OT),30,74,0.405,3,10,0.3,20,31,0.645,19,43,12,15,6,18,14,,32,80,0.4,7,25,0.28,11,17,0.647,23,48,15,9,6,25,25
1/12/2013,@,Idaho,W,25,52,0.481,4,11,0.364,17,25,0.68,5,23,8,5,5,4,13,,25,48,0.521,6,14,0.429,14,15,0.933,4,27,8,2,2,11,18
1/17/2013,,Utah State,W,26,45,0.578,2,8,0.25,10,16,0.625,11,33,11,7,7,14,10,,22,56,0.393,6,14,0.429,1,4,0.25,10,20,9,4,0,14,15
1/19/2013,,San Jose State,W,24,56,0.429,4,11,0.364,18,27,0.667,20,42,11,6,7,14,16,,19,50,0.38,6,15,0.4,9,16,0.563,7,20,10,8,2,12,23
1/23/2013,,Denver,W,19,52,0.365,3,11,0.273,12,18,0.667,17,40,7,6,3,13,8,,18,44,0.409,3,18,0.167,3,4,0.75,4,24,6,4,7,14,18
1/31/2013,@,Texas State,W,30,54,0.556,6,11,0.545,20,28,0.714,10,40,15,4,2,13,19,,24,66,0.364,7,20,0.35,17,24,0.708,12,26,14,9,1,10,24
2/2/2013,@,UTSA,W,27,55,0.491,5,14,0.357,16,23,0.696,13,37,18,2,12,10,13,,22,66,0.333,9,26,0.346,9,14,0.643,18,37,10,8,2,10,21
2/7/2013,,Idaho,W,30,56,0.536,8,18,0.444,8,12,0.667,9,32,17,2,4,15,14,,25,54,0.463,7,12,0.583,17,21,0.81,8,27,10,4,1,11,14
2/9/2013,,Seattle,W,16,47,0.34,4,14,0.286,24,36,0.667,8,30,6,5,8,9,13,,23,59,0.39,3,8,0.375,8,13,0.615,13,42,10,3,3,15,24
2/14/2013,@,San Jose State,W,24,56,0.429,4,14,0.286,15,24,0.625,15,42,10,5,10,15,13,,20,55,0.364,3,11,0.273,14,19,0.737,9,24,9,6,2,13,18
2/16/2013,@,Utah State,L,26,64,0.406,4,15,0.267,13,19,0.684,13,29,12,5,4,6,16,,28,59,0.475,5,16,0.313,12,16,0.75,13,37,18,3,5,10,16
2/23/2013,,UTEP,W,18,47,0.383,6,14,0.429,13,22,0.591,11,35,10,5,6,14,10,,21,50,0.42,5,14,0.357,4,6,0.667,3,23,7,3,2,14,19
3/2/2013,@,Denver,L,20,41,0.488,3,6,0.5,17,21,0.81,6,28,12,4,7,18,20,,20,46,0.435,8,14,0.571,18,28,0.643,8,18,17,11,6,8,18
3/7/2013,,Louisiana Tech,W,29,53,0.547,4,11,0.364,16,24,0.667,15,39,12,7,8,17,8,,24,60,0.4,6,15,0.4,6,9,0.667,11,25,6,7,3,17,19
3/9/2013,,Texas-Arlington,W,20,44,0.455,4,13,0.308,25,35,0.714,8,35,10,5,6,20,20,,22,58,0.379,9,21,0.429,13,21,0.619,11,32,13,7,2,17,31
3/14/2013,N,Idaho,W,27,45,0.6,4,9,0.444,7,16,0.438,6,25,5,5,2,11,14,,18,45,0.4,3,19,0.158,10,13,0.769,9,23,9,5,1,16,17
3/15/2013,N,Texas State,W,24,49,0.49,4,11,0.364,22,37,0.595,5,34,10,7,5,7,19,,19,55,0.345,5,17,0.294,22,29,0.759,8,31,7,3,0,9,25
3/16/2013,N,Texas-Arlington,W,20,47,0.426,4,13,0.308,20,33,0.606,12,41,5,9,7,15,15,,22,56,0.393,3,13,0.231,8,11,0.727,5,25,10,6,1,10,25
3/21/2013,N,Saint Louis,L,17,61,0.279,2,16,0.125,8,13,0.615,21,41,10,9,7,16,12,,25,54,0.463,4,11,0.364,10,14,0.714,8,30,17,10,3,9,15
11/8/2013,N,Western Michigan,L,19,55,0.345,1,11,0.091,25,40,0.625,21,45,9,4,3,9,17,,22,53,0.415,10,25,0.4,16,20,0.8,8,28,8,2,4,9,26
11/9/2013,N,Tennessee State,W,22,47,0.468,4,14,0.286,22,28,0.786,10,38,11,3,7,16,15,,21,55,0.382,3,7,0.429,10,19,0.526,4,16,7,7,4,8,19
11/12/2013,@,Hawaii,W,30,52,0.577,6,14,0.429,29,40,0.725,8,38,13,4,6,18,22,,30,70,0.429,7,20,0.35,21,30,0.7,8,23,12,9,6,9,26
11/15/2013,,UTEP,W,25,44,0.568,4,11,0.364,32,47,0.681,12,34,10,5,5,17,23,,23,50,0.46,4,10,0.4,23,34,0.676,10,22,11,7,0,14,30
11/20/2013,,Northern Colorado,W,26,54,0.481,1,11,0.091,14,25,0.56,9,38,11,5,8,12,13,,25,66,0.379,6,18,0.333,7,10,0.7,10,35,7,2,1,10,23
11/23/2013,@,UTEP,W,21,45,0.467,6,11,0.545,29,43,0.674,7,25,16,8,3,12,26,,22,51,0.431,3,10,0.3,21,30,0.7,7,27,14,3,4,14,30
11/25/2013,,Bethune-Cookman,W,28,50,0.56,6,14,0.429,17,22,0.773,14,33,18,3,3,11,9,,24,53,0.453,5,10,0.5,3,4,0.75,9,20,7,4,0,11,19
11/27/2013,,Prairie View,W,28,57,0.491,4,17,0.235,31,44,0.705,11,43,13,8,14,7,11,,21,70,0.3,4,14,0.286,14,18,0.778,15,39,6,1,0,15,30
11/30/2013,@,Colorado State,L,30,58,0.517,10,17,0.588,13,21,0.619,8,34,17,3,8,21,24,,30,73,0.411,4,14,0.286,21,29,0.724,16,41,13,13,5,9,22
12/4/2013,,New Mexico,L,24,62,0.387,4,19,0.211,18,20,0.9,14,36,5,2,3,14,21,,22,51,0.431,6,12,0.5,29,37,0.784,10,34,13,3,6,13,15
12/7/2013,@,Gonzaga,L,25,59,0.424,6,17,0.353,12,18,0.667,10,26,13,6,6,11,14,,33,68,0.485,4,10,0.4,10,16,0.625,17,43,13,6,1,8,18
12/11/2013,@,Arizona,L,15,46,0.326,2,11,0.182,16,22,0.727,8,19,8,6,2,16,16,,29,56,0.518,4,10,0.4,12,19,0.632,10,31,16,5,7,13,16
12/14/2013,@,Drake,W (1 OT),29,64,0.453,7,15,0.467,16,32,0.5,13,43,13,6,5,14,19,,21,69,0.304,3,15,0.2,24,29,0.828,13,40,5,12,0,12,25
12/17/2013,@,New Mexico,W,21,56,0.375,7,17,0.412,18,21,0.857,13,31,10,6,8,9,19,,18,52,0.346,0,7,0,25,29,0.862,12,30,6,6,4,11,17
12/21/2013,,Northern New Mexico,W,33,51,0.647,14,24,0.583,17,21,0.81,5,34,19,7,9,14,9,,19,70,0.271,2,10,0.2,7,11,0.636,16,30,5,6,2,16,20
