Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Lipscomb,W,30,63,0.476,4,13,0.308,16,29,0.552,12,45,12,6,10,14,20,,22,63,0.349,9,29,0.31,13,21,0.619,12,37,15,9,2,17,25
11/18/2010,N,Hofstra,W,40,71,0.563,12,17,0.706,15,26,0.577,20,49,29,8,5,12,16,,26,63,0.413,5,13,0.385,6,14,0.429,10,27,11,6,4,16,20
11/19/2010,N,Minnesota,L,24,65,0.369,4,18,0.222,15,25,0.6,15,39,13,5,5,16,24,,23,55,0.418,7,25,0.28,19,31,0.613,12,44,13,8,1,18,21
11/21/2010,N,Vanderbilt,L,22,54,0.407,3,11,0.273,18,27,0.667,13,33,8,8,3,22,25,,22,47,0.468,7,18,0.389,21,27,0.778,9,31,14,5,4,21,20
11/23/2010,,North Carolina-Asheville,W,27,58,0.466,3,9,0.333,23,31,0.742,16,48,14,5,8,20,15,,27,73,0.37,6,21,0.286,9,13,0.692,8,27,9,13,3,10,24
11/28/2010,,College of Charleston,W,28,60,0.467,2,8,0.25,16,27,0.593,14,40,15,5,4,14,14,,27,71,0.38,9,30,0.3,6,12,0.5,19,38,10,4,3,14,20
11/30/2010,@,Illinois,L,27,58,0.466,5,15,0.333,8,17,0.471,9,33,15,6,1,18,15,,32,63,0.508,8,12,0.667,7,9,0.778,7,31,19,10,2,14,17
12/4/2010,,Kentucky,W,24,58,0.414,1,11,0.091,26,37,0.703,8,40,13,4,9,12,20,,24,62,0.387,9,21,0.429,16,21,0.762,6,32,12,8,3,11,26
12/8/2010,@,Evansville,W,23,54,0.426,4,18,0.222,26,36,0.722,9,38,13,8,9,12,14,,19,60,0.317,3,20,0.15,8,9,0.889,11,34,11,6,2,22,24
12/11/2010,,Long Beach State,W,36,64,0.563,11,23,0.478,13,22,0.591,7,34,22,6,0,11,13,,37,73,0.507,10,31,0.323,7,13,0.538,9,33,21,5,0,12,21
12/18/2010,N,Texas,L,29,65,0.446,3,10,0.3,15,20,0.75,10,33,13,3,2,12,19,,30,68,0.441,5,14,0.357,13,19,0.684,15,39,13,3,1,10,22
12/21/2010,,William & Mary,W,32,73,0.438,7,23,0.304,14,21,0.667,17,45,20,14,6,12,15,,23,62,0.371,6,26,0.231,8,12,0.667,12,35,14,6,3,21,18
12/28/2010,N,Rutgers,W,29,62,0.468,11,23,0.478,9,18,0.5,10,43,16,9,7,16,14,,20,59,0.339,5,22,0.227,10,16,0.625,6,30,10,11,4,16,21
1/2/2011,,Saint Francis (PA),W,39,66,0.591,8,17,0.471,17,27,0.63,12,41,22,9,10,10,12,,22,67,0.328,1,15,0.067,9,11,0.818,11,28,13,5,0,15,22
1/8/2011,@,Virginia,W,20,54,0.37,3,11,0.273,19,27,0.704,10,37,7,7,3,8,13,,21,51,0.412,6,17,0.353,8,12,0.667,4,30,8,5,4,11,22
1/13/2011,,Virginia Tech,W,26,63,0.413,5,21,0.238,7,17,0.412,15,39,17,6,6,17,17,,21,53,0.396,11,23,0.478,8,15,0.533,5,30,9,13,3,18,21
1/16/2011,@,Georgia Tech,L,16,58,0.276,2,12,0.167,24,32,0.75,11,35,9,5,3,18,18,,32,65,0.492,7,21,0.333,7,12,0.583,10,37,15,13,5,13,21
1/18/2011,,Clemson,W,27,58,0.466,4,16,0.25,17,25,0.68,9,39,12,10,8,14,12,,25,71,0.352,10,29,0.345,5,10,0.5,14,37,11,7,1,14,19
1/26/2011,@,Miami (FL),W,28,58,0.483,6,16,0.375,12,14,0.857,12,30,15,4,6,11,14,,26,57,0.456,13,28,0.464,6,10,0.6,12,29,13,5,3,11,15
