Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,North Carolina A&T,W,37,76,0.487,5,22,0.227,23,30,0.767,28,55,24,6,8,14,22,,21,55,0.382,5,16,0.313,14,18,0.778,4,17,8,4,3,18,23
11/16/2010,@,Florida,W,39,62,0.629,9,21,0.429,6,10,0.6,7,17,22,6,2,8,16,,30,49,0.612,6,14,0.429,9,14,0.643,8,26,11,1,4,18,17
11/20/2010,,North Carolina-Wilmington,W,29,64,0.453,10,29,0.345,13,18,0.722,16,47,16,9,6,12,10,,18,57,0.316,3,16,0.188,2,6,0.333,7,24,7,3,3,19,15
11/23/2010,,Morehead State,W,26,49,0.531,6,17,0.353,6,11,0.545,5,29,17,9,3,16,12,,17,46,0.37,6,19,0.316,5,9,0.556,8,28,9,12,2,23,16
11/26/2010,,Miami (OH),W,25,48,0.521,8,15,0.533,8,14,0.571,8,29,16,9,3,13,12,,15,51,0.294,5,19,0.263,10,13,0.769,12,29,7,3,1,14,15
11/30/2010,@,Florida State,W,19,59,0.322,4,20,0.2,16,21,0.762,14,39,6,11,4,15,15,,17,48,0.354,3,17,0.176,7,10,0.7,5,29,6,8,10,22,17
12/9/2010,,IUPUI,W,26,51,0.51,5,11,0.455,18,26,0.692,9,31,16,7,1,8,14,,26,51,0.51,8,17,0.471,4,5,0.8,3,20,15,3,2,10,20
12/12/2010,,Western Carolina,W,28,54,0.519,7,15,0.467,22,30,0.733,5,24,19,8,3,6,9,,24,57,0.421,7,15,0.467,5,7,0.714,12,37,14,2,0,20,21
12/15/2010,,Florida Gulf Coast,W,32,66,0.485,13,28,0.464,6,9,0.667,12,35,23,11,4,12,16,,20,46,0.435,8,21,0.381,7,13,0.538,4,24,15,5,1,22,11
12/18/2010,,South Carolina,W,27,63,0.429,4,16,0.25,21,28,0.75,13,43,14,6,7,8,11,,23,60,0.383,8,21,0.381,3,7,0.429,9,31,10,3,5,15,21
12/21/2010,,North Carolina-Asheville,W,39,69,0.565,11,24,0.458,7,14,0.5,15,42,20,12,1,11,12,,21,56,0.375,4,15,0.267,3,6,0.5,7,25,11,4,2,21,15
12/23/2010,,Oakland,W,33,71,0.465,10,18,0.556,16,24,0.667,14,39,21,11,6,5,13,,23,61,0.377,9,24,0.375,8,12,0.667,10,37,12,2,3,20,20
12/27/2010,,UT-Martin,W,41,70,0.586,6,22,0.273,12,13,0.923,13,44,26,13,3,9,8,,17,63,0.27,4,25,0.16,2,3,0.667,11,26,6,4,0,19,11
12/31/2010,@,Indiana,W,23,38,0.605,13,19,0.684,26,38,0.684,5,26,15,4,4,14,20,,25,50,0.5,9,24,0.375,8,14,0.571,4,20,13,4,1,14,30
1/4/2011,@,Iowa,W,31,56,0.554,7,19,0.368,4,9,0.444,10,29,20,8,8,15,17,,25,59,0.424,7,15,0.467,11,14,0.786,13,30,15,5,6,15,14
1/9/2011,,Minnesota,W,22,56,0.393,8,22,0.364,15,23,0.652,9,26,14,6,2,12,20,,19,45,0.422,2,14,0.143,24,27,0.889,8,32,13,8,6,15,22
1/12/2011,@,Michigan,W,22,42,0.524,7,14,0.5,17,25,0.68,7,24,12,1,1,10,15,,24,46,0.522,11,24,0.458,5,7,0.714,4,21,12,4,2,12,18
1/15/2011,,Penn State,W,25,51,0.49,10,20,0.5,9,13,0.692,4,15,19,5,2,5,14,,25,45,0.556,4,17,0.235,12,13,0.923,7,25,15,3,0,14,16
1/19/2011,,Iowa,W,26,55,0.473,6,21,0.286,12,15,0.8,10,30,18,11,2,20,12,,22,55,0.4,1,7,0.143,3,4,0.75,8,25,12,5,3,22,18
1/22/2011,@,Illinois,W,21,53,0.396,7,15,0.467,24,27,0.889,8,29,12,3,4,7,14,,28,65,0.431,4,17,0.235,8,10,0.8,9,32,17,3,4,9,21
1/25/2011,,Purdue,W,32,58,0.552,11,19,0.579,12,22,0.545,9,39,20,5,0,12,16,,24,63,0.381,6,16,0.375,10,13,0.769,7,26,11,6,5,10,23
1/29/2011,@,Northwestern,W,21,37,0.568,2,8,0.25,14,20,0.7,2,18,7,4,3,5,13,,20,51,0.392,9,30,0.3,8,11,0.727,8,22,16,1,2,6,19
2/3/2011,,Michigan,W,21,47,0.447,5,15,0.333,15,25,0.6,8,32,10,7,3,14,11,,23,55,0.418,6,19,0.316,1,4,0.25,5,26,10,4,0,13,23
2/6/2011,@,Minnesota,W,32,71,0.451,8,20,0.4,10,20,0.5,20,36,18,9,3,8,21,,25,49,0.51,5,13,0.385,14,18,0.778,6,29,16,5,6,19,23
2/12/2011,@,Wisconsin,L,25,46,0.543,3,9,0.333,14,16,0.875,4,25,12,5,2,7,14,,25,49,0.51,12,24,0.5,9,13,0.692,5,23,11,2,2,8,17
2/15/2011,,Michigan State,W,21,49,0.429,6,17,0.353,23,29,0.793,5,19,10,9,1,7,12,,27,47,0.574,2,5,0.4,5,6,0.833,7,29,12,3,4,19,26
2/20/2011,@,Purdue,L,18,47,0.383,4,15,0.267,23,29,0.793,9,29,9,12,2,18,17,,28,55,0.509,7,20,0.35,13,18,0.722,8,27,16,9,4,14,23
2/22/2011,,Illinois,W,35,66,0.53,7,15,0.467,12,15,0.8,12,29,11,9,1,3,9,,28,54,0.519,11,21,0.524,3,3,1,9,28,18,1,8,16,14
2/27/2011,,Indiana,W,24,49,0.49,7,18,0.389,27,36,0.75,8,34,17,8,2,10,22,,20,52,0.385,6,21,0.286,15,20,0.75,7,28,11,2,0,13,25
3/1/2011,@,Penn State,W,31,56,0.554,13,24,0.542,7,10,0.7,10,31,21,7,1,12,18,,24,49,0.49,4,13,0.308,9,15,0.6,5,18,10,6,1,13,16
3/6/2011,,Wisconsin,W,32,47,0.681,14,15,0.933,15,20,0.75,4,29,18,2,0,7,12,,25,60,0.417,9,24,0.375,6,9,0.667,12,25,10,1,5,6,17
3/11/2011,N,Northwestern,W (1 OT),19,59,0.322,3,15,0.2,26,32,0.813,17,41,3,4,7,6,16,,19,51,0.373,7,21,0.333,16,18,0.889,5,24,7,2,6,5,23
3/12/2011,N,Michigan,W,25,54,0.463,5,14,0.357,13,23,0.565,9,34,11,5,6,9,13,,22,59,0.373,9,29,0.31,8,10,0.8,7,27,10,4,2,9,20
3/13/2011,N,Penn State,W,26,51,0.51,7,16,0.438,12,20,0.6,7,27,14,2,8,7,9,,22,56,0.393,7,18,0.389,9,9,1,5,25,8,3,2,8,17
3/18/2011,N,UTSA,W,29,52,0.558,12,24,0.5,5,8,0.625,11,34,26,5,3,13,9,,18,53,0.34,4,17,0.235,6,7,0.857,10,24,6,7,0,13,12
3/20/2011,N,George Mason,W,36,59,0.61,16,26,0.615,10,18,0.556,10,31,23,8,1,9,11,,26,60,0.433,8,18,0.444,6,7,0.857,13,28,13,5,3,17,17
3/25/2011,N,Kentucky,L,19,58,0.328,6,16,0.375,16,22,0.727,10,30,7,6,1,7,14,,22,48,0.458,6,17,0.353,12,14,0.857,7,31,11,3,11,11,17
11/11/2011,,Wright State,W,21,47,0.447,5,14,0.357,26,38,0.684,6,33,14,10,3,14,18,,13,41,0.317,6,18,0.333,10,15,0.667,2,24,7,1,0,23,27
11/15/2011,,Florida,W,25,53,0.472,4,15,0.267,27,34,0.794,5,25,16,8,2,7,18,,25,56,0.446,11,22,0.5,13,21,0.619,10,34,11,3,4,16,22
11/18/2011,,Jackson State,W,34,71,0.479,3,15,0.2,14,22,0.636,22,41,22,15,3,12,8,,17,49,0.347,2,9,0.222,5,5,1,10,25,6,9,6,24,21
11/21/2011,,North Florida,W,28,60,0.467,4,17,0.235,25,40,0.625,12,43,17,10,1,11,19,,18,46,0.391,4,20,0.2,10,20,0.5,4,31,6,3,2,23,28
11/23/2011,,Virginia Military Institute,W,46,68,0.676,5,10,0.5,10,17,0.588,9,44,30,9,4,19,19,,25,65,0.385,9,30,0.3,15,24,0.625,5,23,11,9,1,16,18
11/25/2011,,Valparaiso,W,31,60,0.517,6,16,0.375,12,21,0.571,9,35,23,12,1,6,11,,19,56,0.339,8,23,0.348,1,2,0.5,9,29,11,1,3,18,17
11/29/2011,,Duke,W,35,59,0.593,8,14,0.571,7,10,0.7,7,32,18,4,2,10,15,,26,55,0.473,3,15,0.2,8,14,0.571,5,23,10,4,2,12,14
12/3/2011,,Texas-Rio Grande Valley,W,25,63,0.397,3,13,0.231,11,15,0.733,20,41,14,4,3,8,9,,13,40,0.325,6,18,0.333,3,4,0.75,4,21,10,2,1,18,12
12/10/2011,@,Kansas,L,24,62,0.387,5,17,0.294,14,18,0.778,12,27,12,8,0,15,22,,28,48,0.583,9,17,0.529,13,20,0.65,5,30,18,6,2,18,16
12/14/2011,,South Carolina Upstate,W,29,51,0.569,4,12,0.333,20,24,0.833,4,19,19,13,3,13,17,,20,44,0.455,5,13,0.385,13,20,0.65,8,27,7,3,1,25,23
12/17/2011,@,South Carolina,W,27,53,0.509,5,15,0.333,15,20,0.75,14,33,16,7,3,13,19,,23,49,0.469,6,16,0.375,14,18,0.778,8,20,9,3,4,14,18
12/20/2011,,Lamar,W,28,62,0.452,6,17,0.353,8,19,0.421,11,39,19,4,4,9,14,,20,57,0.351,0,12,0,10,14,0.714,9,35,6,3,2,14,17
12/22/2011,N,Miami (OH),W,26,58,0.448,4,15,0.267,13,17,0.765,5,30,18,9,2,5,12,,15,46,0.326,2,14,0.143,8,9,0.889,4,32,5,1,4,18,20
12/28/2011,,Northwestern,W,29,61,0.475,10,20,0.5,19,30,0.633,14,48,15,4,3,9,17,,17,53,0.321,7,20,0.35,13,19,0.684,5,28,10,3,1,11,22
