Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Coppin State,W,25,49,0.51,9,21,0.429,18,24,0.75,6,34,17,3,4,9,12,,20,58,0.345,7,23,0.304,10,14,0.714,9,29,9,5,1,7,18
11/15/2010,,North Carolina Central,W (1 OT),22,67,0.328,4,22,0.182,23,27,0.852,21,45,12,13,3,13,15,,22,50,0.44,8,18,0.444,11,17,0.647,7,30,10,10,8,20,19
11/18/2010,,Texas Southern,W,28,48,0.583,13,24,0.542,13,16,0.813,7,34,20,6,1,20,19,,17,52,0.327,5,20,0.25,13,20,0.65,4,17,8,5,1,13,19
11/22/2010,N,Kentucky,L,26,58,0.448,3,11,0.273,9,18,0.5,8,29,6,2,5,14,20,,29,58,0.5,7,20,0.35,11,22,0.5,10,37,13,7,5,11,17
11/23/2010,N,Virginia,L,20,45,0.444,6,17,0.353,10,14,0.714,5,30,9,3,5,17,18,,25,52,0.481,7,18,0.389,17,27,0.63,9,31,14,8,1,9,16
11/24/2010,@,Chaminade,L,25,53,0.472,6,22,0.273,8,14,0.571,7,23,10,4,2,8,14,,26,56,0.464,6,16,0.375,10,11,0.909,10,29,9,3,1,9,12
12/1/2010,@,Arkansas,L,29,62,0.468,7,20,0.35,9,12,0.75,15,39,16,4,5,22,22,,28,55,0.509,5,11,0.455,23,26,0.885,5,21,11,11,8,12,17
12/5/2010,@,Arizona,L,22,45,0.489,7,20,0.35,9,13,0.692,2,17,13,3,0,16,19,,29,52,0.558,11,16,0.688,14,21,0.667,9,30,20,6,2,10,11
12/9/2010,,Gardner-Webb,W,24,49,0.49,9,19,0.474,14,17,0.824,5,27,17,7,3,10,17,,19,46,0.413,9,18,0.5,11,15,0.733,5,24,6,5,3,14,17
12/11/2010,,Oral Roberts,W,27,53,0.509,7,14,0.5,12,17,0.706,8,32,16,9,4,18,18,,18,50,0.36,9,21,0.429,15,20,0.75,7,22,12,7,4,17,17
12/18/2010,N,Cincinnati,L,18,54,0.333,4,22,0.182,16,22,0.727,9,29,9,6,1,13,20,,21,50,0.42,3,17,0.176,21,30,0.7,8,35,10,8,0,13,21
