Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/13/2010,,Davidson,W,21,45,0.467,6,19,0.316,21,32,0.656,8,31,8,8,5,18,18,,23,52,0.442,6,18,0.333,12,18,0.667,8,28,15,6,0,16,25
11/17/2010,@,Manhattan,L,20,48,0.417,10,32,0.313,4,8,0.5,4,25,14,1,2,12,19,,23,55,0.418,3,9,0.333,10,13,0.769,10,36,11,4,2,6,15
11/20/2010,,Drexel,L,20,49,0.408,5,17,0.294,11,20,0.55,6,17,12,8,5,13,15,,29,52,0.558,7,12,0.583,12,18,0.667,14,39,15,4,4,19,20
11/23/2010,,Lafayette,W,26,46,0.565,4,13,0.308,18,27,0.667,7,27,17,4,3,11,13,,24,51,0.471,8,19,0.421,9,11,0.818,5,21,19,6,1,13,22
11/27/2010,@,Pitt,L,19,43,0.442,7,19,0.368,13,17,0.765,6,18,14,1,3,13,18,,30,57,0.526,6,19,0.316,16,19,0.842,13,33,19,6,1,7,15
11/30/2010,,UMBC,W,19,36,0.528,5,14,0.357,28,36,0.778,3,21,11,9,2,16,14,,20,48,0.417,7,23,0.304,12,12,1,4,18,15,6,0,20,25
12/4/2010,N,Army,W,24,47,0.511,7,18,0.389,13,18,0.722,8,34,17,6,4,20,20,,19,52,0.365,9,25,0.36,5,8,0.625,7,24,11,4,0,15,20
12/8/2010,,Villanova,L,20,48,0.417,6,19,0.316,7,15,0.467,4,20,13,8,0,14,17,,22,45,0.489,5,17,0.294,16,19,0.842,8,32,16,10,4,16,14
12/22/2010,@,Delaware,W,22,49,0.449,5,18,0.278,29,39,0.744,9,30,6,6,0,4,17,,27,54,0.5,7,19,0.368,7,14,0.5,9,30,14,2,4,10,28
12/29/2010,@,Marist,L,22,60,0.367,7,22,0.318,6,13,0.462,9,31,10,5,2,13,24,,19,48,0.396,4,22,0.182,24,27,0.889,5,34,7,8,4,17,17
1/3/2011,@,Kentucky,L,20,49,0.408,8,12,0.667,14,16,0.875,6,15,14,7,1,12,17,,32,56,0.571,8,17,0.471,14,17,0.824,14,36,20,6,11,12,10
