Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/13/2010,,Dartmouth,W,33,59,0.559,8,19,0.421,13,21,0.619,10,51,15,10,8,19,21,,16,63,0.254,3,20,0.15,17,25,0.68,11,24,8,8,3,14,23
11/15/2010,,Yale,W,19,49,0.388,2,14,0.143,18,29,0.621,8,38,10,9,6,16,15,,19,57,0.333,9,26,0.346,8,13,0.615,9,31,11,4,3,17,23
11/18/2010,,Morgan State,W,28,71,0.394,1,16,0.063,20,28,0.714,17,46,18,9,11,10,15,,19,62,0.306,1,9,0.111,16,21,0.762,12,38,7,1,3,18,23
11/20/2010,,Prairie View,W,27,58,0.466,4,17,0.235,20,27,0.741,16,51,14,4,4,14,10,,24,71,0.338,7,28,0.25,7,11,0.636,11,29,10,3,4,6,18
11/23/2010,N,La Salle,L,23,66,0.348,8,32,0.25,19,35,0.543,13,31,7,9,7,7,23,,32,64,0.5,5,10,0.5,15,23,0.652,14,47,15,2,3,19,23
11/24/2010,N,Wyoming,W,27,57,0.474,8,20,0.4,22,30,0.733,13,27,12,5,4,11,17,,29,54,0.537,4,16,0.25,15,17,0.882,9,25,11,3,3,16,25
11/29/2010,,Central Connecticut,W,35,68,0.515,8,21,0.381,14,15,0.933,16,39,15,10,7,10,14,,23,57,0.404,3,18,0.167,8,12,0.667,10,28,12,6,2,19,14
12/1/2010,,Northeastern,W,28,62,0.452,5,12,0.417,16,21,0.762,19,43,10,6,10,15,12,,29,65,0.446,6,18,0.333,8,11,0.727,10,23,15,11,5,8,18
12/4/2010,,Rhode Island,W,28,59,0.475,5,18,0.278,26,34,0.765,11,39,17,8,10,11,16,,28,72,0.389,9,26,0.346,9,14,0.643,14,33,11,6,5,14,23
12/6/2010,,Brown,W,36,72,0.5,11,26,0.423,8,13,0.615,18,44,22,13,5,13,9,,24,57,0.421,9,25,0.36,7,11,0.636,8,26,13,7,4,18,9
12/8/2010,@,Boston College,L,27,71,0.38,11,33,0.333,21,29,0.724,16,44,16,5,3,12,23,,30,58,0.517,12,24,0.5,16,28,0.571,5,31,18,4,6,12,19
12/11/2010,,Alabama,W,28,60,0.467,5,16,0.313,21,31,0.677,10,32,11,9,3,16,17,,28,67,0.418,2,13,0.154,12,15,0.8,15,37,12,11,3,16,26
12/21/2010,,Sacred Heart,W,28,53,0.528,8,23,0.348,20,31,0.645,13,36,16,13,6,19,7,,33,69,0.478,7,18,0.389,3,6,0.5,10,24,15,14,1,18,20
12/28/2010,@,Syracuse,L,25,63,0.397,8,30,0.267,16,24,0.667,11,32,13,5,2,10,20,,25,52,0.481,9,22,0.409,22,30,0.733,7,35,18,6,4,9,18
1/1/2011,,St. John's (NY),L,25,57,0.439,6,21,0.286,9,13,0.692,8,29,11,8,5,13,11,,29,55,0.527,4,11,0.364,5,6,0.833,6,31,15,3,3,16,13
1/4/2011,,Pitt,L,29,65,0.446,8,24,0.333,13,19,0.684,12,27,15,14,2,15,21,,27,51,0.529,10,19,0.526,19,25,0.76,10,32,18,2,3,22,22
1/8/2011,@,Rutgers,L,20,65,0.308,6,22,0.273,26,35,0.743,14,32,9,10,2,12,20,,31,57,0.544,3,8,0.375,20,27,0.741,9,36,18,7,10,15,25
1/13/2011,@,West Virginia,L,24,77,0.312,5,18,0.278,10,15,0.667,25,44,5,6,4,15,20,,35,72,0.486,5,16,0.313,18,27,0.667,20,48,22,10,9,11,14
1/16/2011,@,South Florida,L,29,66,0.439,4,15,0.267,10,19,0.526,13,35,19,5,5,11,20,,28,67,0.418,4,12,0.333,19,23,0.826,20,45,19,4,3,11,19
1/22/2011,,Louisville,W,24,52,0.462,8,20,0.4,16,24,0.667,4,20,10,12,0,11,16,,25,56,0.446,4,23,0.174,13,17,0.765,10,31,17,9,3,18,23
1/26/2011,,Villanova,W,22,59,0.373,8,26,0.308,31,38,0.816,9,39,12,7,3,7,14,,25,77,0.325,4,22,0.182,14,18,0.778,21,48,10,4,4,11,26
1/30/2011,@,Seton Hall,L,25,54,0.463,4,19,0.211,17,31,0.548,6,33,8,7,8,19,20,,30,70,0.429,3,18,0.167,18,22,0.818,11,33,18,9,5,10,22
2/2/2011,,South Florida,W,22,52,0.423,5,16,0.313,19,28,0.679,8,27,9,8,5,10,15,,24,59,0.407,6,21,0.286,9,12,0.75,12,32,11,4,7,15,19
2/5/2011,@,Georgetown,L,29,71,0.408,7,21,0.333,16,26,0.615,16,37,12,3,1,7,20,,30,65,0.462,8,26,0.308,15,27,0.556,16,41,16,5,5,9,23
2/13/2011,@,UConn,L,20,60,0.333,3,20,0.15,14,22,0.636,12,32,10,5,4,11,15,,29,62,0.468,7,16,0.438,10,14,0.714,12,38,19,4,4,11,18
2/17/2011,,DePaul,L,28,57,0.491,6,16,0.375,14,24,0.583,11,35,11,8,4,19,21,,28,62,0.452,8,15,0.533,15,20,0.75,9,31,14,12,2,16,18
2/19/2011,,Cincinnati,L (1 OT),33,74,0.446,6,24,0.25,9,20,0.45,17,36,19,9,2,16,21,,34,65,0.523,6,18,0.333,19,26,0.731,10,38,22,6,2,14,18
2/23/2011,,Notre Dame,L,37,68,0.544,11,21,0.524,8,14,0.571,12,27,15,6,1,4,22,,32,57,0.561,9,22,0.409,21,30,0.7,11,32,20,3,4,10,12
2/27/2011,@,Marquette,L,23,73,0.315,6,21,0.286,10,17,0.588,14,29,11,11,3,13,19,,31,59,0.525,4,11,0.364,20,24,0.833,11,46,19,7,7,17,17
3/2/2011,@,Louisville,L,24,73,0.329,4,17,0.235,8,10,0.8,20,43,7,3,1,18,11,,37,79,0.468,7,26,0.269,6,10,0.6,20,47,21,9,8,9,14
3/5/2011,,Rutgers,W,24,53,0.453,10,25,0.4,17,21,0.81,11,25,10,8,3,10,14,,31,52,0.596,6,12,0.5,6,9,0.667,6,26,15,5,1,14,17
3/8/2011,N,Marquette,L,24,68,0.353,13,30,0.433,5,12,0.417,9,31,10,5,3,9,20,,32,68,0.471,7,15,0.467,16,27,0.593,17,49,20,7,2,12,11
11/12/2011,,Fairleigh Dickinson,W,27,61,0.443,6,14,0.429,12,22,0.545,16,36,13,5,5,9,20,,21,57,0.368,4,18,0.222,15,20,0.75,14,31,8,5,3,12,22
11/14/2011,@,Fairfield,W,30,54,0.556,3,8,0.375,17,20,0.85,12,28,10,7,1,14,15,,30,61,0.492,8,26,0.308,4,7,0.571,13,27,21,7,3,15,20
11/19/2011,,Florida A&M,W,26,49,0.531,6,14,0.429,29,46,0.63,11,43,20,14,6,20,21,,23,70,0.329,7,15,0.467,12,20,0.6,14,32,8,10,1,20,30
11/22/2011,,Southern,W,13,49,0.265,1,4,0.25,32,47,0.681,15,43,6,9,2,17,14,,20,59,0.339,4,20,0.2,9,12,0.75,8,36,8,6,3,19,31
