Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-14,,Howard,W,25,58,.431,13,28,.464,13,22,.591,12,45,21,4,9,11,19,,15,61,.246,1,7,.143,9,16,.563,12,30,8,6,4,12,18
2010-11-17,,Alcorn State,W,41,79,.519,7,19,.368,14,21,.667,17,51,30,13,2,14,19,,17,59,.288,3,12,.250,11,22,.500,7,27,8,10,8,28,20
2010-11-21,,Oakland,W,33,65,.508,11,25,.440,5,9,.556,11,26,22,14,4,13,16,,25,57,.439,7,17,.412,10,14,.714,13,31,15,4,3,21,15
2010-11-23,,Austin Peay,W,32,69,.464,9,28,.321,14,24,.583,16,37,24,11,2,9,17,,27,53,.509,1,10,.100,10,16,.625,9,31,10,4,1,18,22
2010-11-26,N,Southern Illinois,W,25,57,.439,5,13,.385,24,30,.800,12,30,8,4,3,14,24,,18,39,.462,5,12,.417,19,27,.704,3,24,9,7,2,25,24
2010-11-27,N,Richmond,L,16,53,.302,4,16,.250,18,25,.720,7,31,6,1,3,11,19,,24,57,.421,5,15,.333,12,18,.667,13,41,11,4,2,11,19
2010-12-01,@,Virginia Tech,W (1 OT),21,58,.362,5,21,.238,11,19,.579,8,28,12,4,2,9,20,,19,55,.345,2,14,.143,15,21,.714,12,40,10,4,4,13,18
2010-12-04,,Alabama,W,22,56,.393,9,24,.375,13,14,.929,9,30,13,5,5,11,13,,20,50,.400,0,9,.000,7,8,.875,6,25,8,8,3,17,17
2010-12-07,@,Valparaiso,W,28,54,.519,6,12,.500,14,22,.636,6,33,16,9,5,14,22,,20,52,.385,6,19,.316,12,21,.571,8,27,14,10,4,16,19
2010-12-11,,North Florida,W,29,52,.558,6,15,.400,13,24,.542,12,34,22,6,4,19,19,,22,49,.449,2,11,.182,11,17,.647,6,21,10,8,1,21,24
2010-12-18,N,Indiana State,W,19,57,.333,3,16,.188,24,30,.800,8,34,12,5,6,7,20,,20,58,.345,5,21,.238,7,13,.538,9,37,11,2,5,18,27
2010-12-21,,IPFW,W,31,58,.534,10,22,.455,5,7,.714,7,30,26,11,3,11,14,,18,52,.346,9,24,.375,7,9,.778,8,23,13,7,0,17,14
2010-12-28,@,Michigan,W,29,59,.492,10,18,.556,12,15,.800,9,33,19,5,4,8,15,,21,55,.382,9,23,.391,6,8,.750,6,26,12,2,7,14,19
2010-12-31,,Northwestern,W,25,54,.463,9,24,.375,23,33,.697,12,35,18,5,3,10,16,,26,57,.456,8,17,.471,9,16,.563,7,25,15,6,5,10,22
2011-01-05,@,Penn State,W,26,55,.473,6,13,.462,25,41,.610,13,43,14,4,6,12,23,,25,61,.410,5,18,.278,13,20,.650,6,28,15,9,3,11,28
2011-01-09,,Iowa,W,30,61,.492,8,21,.381,7,9,.778,10,35,21,6,9,12,15,,19,52,.365,2,7,.286,12,16,.750,8,28,11,5,6,16,14
2011-01-13,@,Minnesota,L,23,60,.383,8,23,.348,13,13,1.000,15,34,18,3,3,8,17,,27,51,.529,6,14,.429,10,16,.625,6,24,19,6,9,8,13
2011-01-16,@,West Virginia,L,28,58,.483,3,11,.273,5,7,.714,7,28,12,7,3,12,22,,23,50,.460,5,13,.385,17,26,.654,11,34,11,8,0,17,14
2011-01-19,,Penn State,W,24,54,.444,6,15,.400,9,10,.900,5,14,18,6,2,3,13,,24,46,.522,6,16,.375,8,8,1.000,7,26,16,0,4,13,13
2011-01-22,,Michigan State,W,29,50,.580,6,12,.500,22,30,.733,5,24,14,5,4,9,9,,28,63,.444,10,20,.500,10,13,.769,14,28,18,7,4,11,24
2011-01-25,@,Ohio State,L,24,63,.381,6,16,.375,10,13,.769,7,26,11,6,5,10,23,,32,58,.552,11,19,.579,12,22,.545,9,39,20,5,0,12,16
2011-01-29,,Minnesota,W,23,53,.434,10,23,.435,17,22,.773,14,35,15,4,4,10,18,,23,52,.442,3,9,.333,12,19,.632,9,30,15,7,4,11,19
2011-02-01,@,Wisconsin,L,23,48,.479,5,13,.385,8,9,.889,4,23,10,6,5,13,19,,23,55,.418,7,18,.389,13,16,.813,11,31,10,8,1,7,11
2011-02-08,,Indiana,W,20,49,.408,4,12,.333,23,28,.821,7,34,13,8,8,11,15,,22,62,.355,2,13,.154,7,7,1.000,8,28,9,9,2,13,22
2011-02-13,@,Illinois,W,25,60,.417,7,20,.350,24,31,.774,11,37,14,5,3,11,21,,24,55,.436,5,16,.313,17,22,.773,4,25,11,8,2,14,25
2011-02-16,,Wisconsin,W,24,56,.429,5,16,.313,17,19,.895,9,26,11,4,5,4,13,,24,59,.407,3,19,.158,11,13,.846,11,35,10,1,1,6,16
2011-02-20,,Ohio State,W,28,55,.509,7,20,.350,13,18,.722,8,27,16,9,4,14,23,,18,47,.383,4,15,.267,23,29,.793,9,29,9,12,2,18,17
2011-02-23,@,Indiana,W,25,50,.500,8,23,.348,14,24,.583,11,34,16,6,2,10,21,,19,50,.380,8,19,.421,15,20,.750,11,31,7,7,0,11,22
2011-02-27,@,Michigan State,W,25,57,.439,7,19,.368,10,15,.667,8,33,14,7,7,9,15,,19,57,.333,1,11,.091,8,11,.727,8,32,11,5,6,12,14
2011-03-01,,Illinois,W,25,58,.431,11,26,.423,14,19,.737,8,30,16,5,4,7,15,,27,54,.500,5,15,.333,8,11,.727,5,31,18,1,3,13,20
2011-03-05,@,Iowa,L,25,69,.362,5,25,.200,10,17,.588,10,32,13,9,2,7,21,,26,60,.433,3,10,.300,12,19,.632,12,47,15,2,2,13,16
2011-03-11,N,Michigan State,L,19,51,.373,3,16,.188,15,25,.600,2,25,11,4,1,4,20,,21,49,.429,7,13,.538,25,31,.806,8,39,13,2,8,8,19
2011-03-18,N,St. Peter's,W,23,54,.426,5,15,.333,14,17,.824,9,40,12,7,3,16,13,,17,58,.293,5,21,.238,4,6,.667,8,26,9,10,2,14,19
2011-03-20,N,VCU,L,30,67,.448,8,25,.320,8,11,.727,12,31,20,3,6,7,15,,37,65,.569,8,21,.381,12,14,.857,6,26,26,4,2,4,13
