Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-13,,Emory & Henry,W,21,57,.368,0,15,.000,15,25,.600,12,31,12,9,3,17,14,,20,44,.455,6,17,.353,8,11,.727,5,32,12,7,2,30,23
2010-11-14,,Methodist,W,24,56,.429,5,14,.357,30,48,.625,19,48,15,6,5,15,15,,29,68,.426,9,24,.375,7,17,.412,11,33,14,9,3,10,29
2010-11-19,@,South Carolina,L,19,56,.339,5,15,.333,13,22,.591,10,30,13,6,2,20,22,,29,69,.420,11,31,.355,16,23,.696,19,48,15,9,8,14,19
2010-11-24,@,George Mason,L,20,53,.377,6,22,.273,9,14,.643,4,23,10,10,2,15,12,,30,55,.545,13,26,.500,8,11,.727,6,32,22,8,4,16,17
2010-11-27,@,Charlotte,L,19,56,.339,5,20,.250,9,11,.818,6,24,11,4,2,10,16,,25,49,.510,6,15,.400,17,21,.810,8,37,15,4,2,9,10
2010-12-02,,North Carolina-Asheville,L,14,51,.275,8,15,.533,14,24,.583,10,33,10,8,3,19,30,,22,48,.458,2,8,.250,24,39,.615,10,40,12,10,2,17,22
2010-12-04,,Gardner-Webb,L,21,49,.429,2,12,.167,8,18,.444,12,35,13,3,2,17,19,,21,51,.412,5,16,.313,12,20,.600,10,29,15,5,2,11,19
2010-12-07,@,Virginia,L,17,44,.386,4,10,.400,6,8,.750,3,25,6,5,1,18,20,,13,47,.277,8,21,.381,20,24,.833,11,31,8,8,7,13,15
2010-12-11,,James Madison,L,16,48,.333,4,14,.286,21,31,.677,6,27,6,7,7,14,22,,25,60,.417,11,28,.393,17,30,.567,16,43,19,9,7,13,25
2010-12-18,@,North Carolina-Wilmington,L,16,43,.372,3,9,.333,15,23,.652,9,27,11,10,1,17,17,,22,45,.489,8,19,.421,12,16,.750,8,28,13,5,3,18,16
2010-12-22,@,Florida,L,21,42,.500,4,10,.400,9,16,.563,7,26,12,10,3,24,22,,23,57,.404,9,25,.360,11,21,.524,19,35,16,10,3,16,17
2010-12-29,,Dickinson College,W,26,52,.500,3,15,.200,31,43,.721,15,37,14,16,3,22,19,,17,45,.378,7,21,.333,18,25,.720,8,23,11,12,1,28,30
2010-12-31,@,Coastal Carolina,L,21,60,.350,7,23,.304,10,15,.667,8,31,9,6,3,21,22,,30,62,.484,2,11,.182,15,23,.652,11,39,20,10,3,17,15
2011-01-02,@,Charleston Southern,L,16,40,.400,4,10,.400,22,35,.629,10,28,7,6,3,18,15,,29,62,.468,10,27,.370,5,9,.556,14,35,13,11,1,13,23
2011-01-08,,High Point,W,17,41,.415,2,12,.167,28,38,.737,7,26,5,9,3,15,24,,18,50,.360,6,17,.353,17,27,.630,16,36,9,4,0,20,31
2011-01-13,,Virginia Military Institute,L,25,68,.368,5,23,.217,16,24,.667,12,37,14,4,2,17,17,,37,69,.536,15,30,.500,16,25,.640,13,38,20,10,7,12,21
2011-01-15,,Liberty,L,17,53,.321,5,14,.357,14,28,.500,9,30,9,11,2,8,21,,22,53,.415,5,20,.250,12,24,.500,14,48,16,5,7,16,24
2011-01-20,@,Winthrop,L,20,55,.364,5,16,.313,13,22,.591,9,30,11,7,5,15,20,,28,58,.483,4,11,.364,14,24,.583,14,40,18,8,4,13,19
2011-01-22,@,Presbyterian,L,26,52,.500,3,13,.231,6,14,.429,11,26,6,5,1,15,16,,23,47,.489,8,22,.364,13,14,.929,8,22,14,5,1,16,14
2011-01-27,,Charleston Southern,L (1 OT),19,51,.373,7,21,.333,17,24,.708,9,28,12,15,4,18,22,,20,58,.345,4,25,.160,26,29,.897,12,34,11,10,3,21,20
2011-01-29,,Coastal Carolina,L,24,70,.343,5,19,.263,10,16,.625,13,35,12,4,5,8,22,,28,57,.491,9,18,.500,21,33,.636,11,42,18,5,6,8,17
2011-02-01,,Winthrop,W,21,45,.467,8,12,.667,17,28,.607,6,31,11,5,4,17,14,,25,55,.455,4,15,.267,12,25,.480,9,29,14,7,2,11,23
2011-02-05,@,High Point,L,23,51,.451,7,14,.500,17,25,.680,10,37,7,10,4,17,20,,23,54,.426,7,22,.318,19,31,.613,12,30,16,8,3,14,20
2011-02-10,@,Liberty,L,27,62,.435,7,22,.318,10,19,.526,14,34,11,6,5,15,23,,24,53,.453,9,23,.391,22,31,.710,10,32,15,11,4,14,21
2011-02-12,@,Virginia Military Institute,L,20,59,.339,3,11,.273,15,20,.750,12,41,5,14,3,22,20,,23,63,.365,10,30,.333,15,24,.625,15,38,15,13,2,17,14
2011-02-15,,Presbyterian,L (1 OT),21,59,.356,6,26,.231,1,4,.250,7,33,12,8,6,11,17,,19,57,.333,9,27,.333,5,9,.556,13,40,16,4,4,15,10
2011-02-19,@,William & Mary,L,21,68,.309,2,17,.118,8,17,.471,15,38,8,6,2,13,22,,31,59,.525,9,22,.409,13,22,.591,9,39,22,6,7,10,15
2011-02-24,@,Gardner-Webb,L,27,55,.491,4,13,.308,5,11,.455,5,25,13,9,2,16,19,,27,55,.491,7,20,.350,10,16,.625,9,33,16,8,4,15,15
2011-02-26,@,North Carolina-Asheville,L,19,64,.297,5,14,.357,15,22,.682,15,35,9,10,0,17,18,,34,58,.586,5,16,.313,8,15,.533,7,34,25,10,7,17,18
2011-11-11,,Delaware,W,19,58,.328,8,27,.296,12,21,.571,8,43,7,6,4,11,25,,15,52,.288,2,14,.143,22,36,.611,8,37,8,3,5,12,19
2011-11-12,,Shenandoah,W,29,59,.492,7,21,.333,14,26,.538,15,39,16,8,3,18,9,,18,46,.391,9,22,.409,5,6,.833,3,21,12,11,1,23,21
2011-11-14,@,Penn State,L,16,47,.340,9,26,.346,5,8,.625,3,17,9,3,3,16,16,,24,53,.453,7,25,.280,7,12,.583,14,35,11,7,4,12,15
2011-11-16,,Central Pennsylvania College,W,30,77,.390,6,20,.300,12,23,.522,20,52,18,17,1,15,22,,18,53,.340,2,18,.111,11,22,.500,6,35,7,7,1,25,21
2011-11-19,N,LIU-Brooklyn,L,24,68,.353,4,18,.222,7,10,.700,17,31,9,10,2,20,18,,31,52,.596,7,14,.500,12,19,.632,9,34,16,7,3,22,13
2011-11-20,N,Marist,L,19,55,.345,3,15,.200,6,10,.600,10,23,7,6,2,12,24,,19,36,.528,3,7,.429,19,28,.679,6,28,8,4,6,17,17
2011-11-23,@,Kentucky,L,17,65,.262,2,25,.080,4,5,.800,8,26,8,8,2,17,20,,31,62,.500,5,15,.333,21,24,.875,13,48,11,11,10,16,11
2011-12-01,@,Charleston Southern,L,25,55,.455,11,22,.500,12,20,.600,8,37,5,1,0,17,22,,26,64,.406,8,22,.364,23,33,.697,12,38,11,8,4,7,16
2011-12-03,@,Presbyterian,L,26,68,.382,5,13,.385,7,11,.636,15,35,5,2,6,6,25,,23,49,.469,3,10,.300,23,32,.719,8,36,9,1,2,6,13
2011-12-06,,Charlotte,L,18,62,.290,1,19,.053,12,18,.667,12,33,7,12,4,14,17,,19,51,.373,4,16,.250,15,22,.682,12,42,11,8,8,17,14
2011-12-10,,George Mason,L,18,55,.327,5,17,.294,20,24,.833,9,29,10,4,5,12,22,,27,60,.450,5,13,.385,17,26,.654,15,39,16,4,6,13,20
2011-12-17,@,Cincinnati,L,26,67,.388,7,20,.350,11,21,.524,17,35,12,6,2,16,17,,38,63,.603,10,21,.476,15,20,.750,8,32,20,9,8,11,17
2011-12-20,,Eastern Michigan,L,17,53,.321,8,27,.296,6,7,.857,10,25,10,4,2,10,13,,16,39,.410,7,15,.467,13,17,.765,6,28,12,6,1,13,8
2011-12-23,@,Maryland,L,18,56,.321,8,27,.296,16,21,.762,12,34,8,4,6,8,25,,21,57,.368,3,13,.231,20,32,.625,18,40,14,2,9,7,19
2011-12-31,,Gardner-Webb,L,22,62,.355,8,25,.320,3,3,1.000,12,38,13,6,5,15,19,,21,56,.375,6,16,.375,13,23,.565,11,35,8,10,2,10,7
2012-01-02,,North Carolina-Asheville,L,22,61,.361,4,23,.174,8,11,.727,11,26,13,6,3,11,22,,21,47,.447,2,10,.200,22,31,.710,13,36,10,8,4,16,11
2012-01-05,@,Winthrop,L,17,52,.327,10,30,.333,10,14,.714,5,17,10,12,3,12,14,,29,51,.569,4,7,.571,8,11,.727,8,36,16,8,4,17,15
2012-01-12,@,Liberty,L,22,58,.379,11,26,.423,9,17,.529,6,26,11,5,2,9,29,,19,52,.365,1,4,.250,30,36,.833,14,43,8,2,3,13,19
2012-01-14,@,Virginia Military Institute,L,29,56,.518,5,14,.357,13,17,.765,14,33,9,6,1,18,22,,25,56,.446,10,25,.400,20,27,.741,10,23,11,9,7,10,15
2012-01-17,,High Point,W,27,42,.643,10,15,.667,21,33,.636,6,30,18,11,6,16,15,,23,53,.434,12,25,.480,8,14,.571,7,19,14,6,3,19,25
2012-01-19,,Campbell,L,21,53,.396,8,22,.364,15,22,.682,9,25,13,11,1,13,23,,24,48,.500,7,13,.538,18,29,.621,11,35,11,9,7,15,14
2012-01-21,@,Coastal Carolina,L,22,57,.386,6,23,.261,12,18,.667,7,20,9,12,0,11,23,,29,44,.659,3,7,.429,21,28,.750,5,33,13,5,1,18,14
2012-01-26,,Virginia Military Institute,L,20,47,.426,4,16,.250,16,30,.533,7,30,9,14,3,22,21,,21,48,.438,3,14,.214,20,30,.667,6,27,7,11,1,20,22
2012-01-28,,Liberty,L,25,56,.446,6,20,.300,9,16,.563,7,27,15,6,1,7,25,,22,53,.415,1,7,.143,22,26,.846,9,34,8,2,1,11,16
2012-02-02,,Winthrop,L,24,59,.407,6,20,.300,9,15,.600,10,21,10,10,4,17,19,,27,52,.519,6,11,.545,17,21,.810,11,29,12,10,7,18,17
2012-02-09,@,Gardner-Webb,W,21,50,.420,3,14,.214,13,22,.591,6,25,14,8,1,9,22,,15,37,.405,5,10,.500,19,30,.633,9,33,10,8,4,17,19
2012-02-11,@,North Carolina-Asheville,L,21,54,.389,6,18,.333,14,22,.636,8,23,16,5,0,18,32,,23,47,.489,4,13,.308,38,42,.905,8,35,17,7,3,15,16
2012-02-14,@,High Point,L,21,56,.375,8,25,.320,12,18,.667,5,25,10,6,2,9,20,,22,49,.449,7,15,.467,20,26,.769,7,33,12,3,6,14,17
2012-02-18,,Binghamton,W,23,55,.418,5,17,.294,13,23,.565,7,31,11,10,0,12,19,,22,54,.407,3,10,.300,12,18,.667,11,37,13,5,2,18,19
2012-02-23,,Presbyterian,L,23,54,.426,6,16,.375,12,15,.800,8,18,14,4,3,12,22,,24,43,.558,4,9,.444,25,29,.862,10,30,10,5,3,19,14
2012-02-25,,Charleston Southern,L,21,54,.389,4,19,.211,13,20,.650,12,34,10,7,1,16,28,,17,48,.354,6,15,.400,25,36,.694,13,38,10,10,5,17,17
2012-02-27,@,Virginia Military Institute,L,16,48,.333,8,19,.421,13,23,.565,10,36,8,4,2,15,19,,16,47,.340,7,20,.350,16,25,.640,6,31,9,13,3,11,17
