Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/8/2010,@,Pitt,L,24,60,0.4,14,32,0.438,13,16,0.813,9,29,16,7,6,16,25,,29,64,0.453,3,15,0.2,22,30,0.733,14,41,19,8,6,14,18
11/16/2010,,Brown,W,38,66,0.576,7,21,0.333,9,12,0.75,5,27,19,15,3,9,20,,22,55,0.4,6,23,0.261,17,25,0.68,11,29,15,5,0,20,16
11/19/2010,N,College of Charleston,W,27,59,0.458,7,18,0.389,14,19,0.737,13,42,13,4,1,14,14,,26,63,0.413,5,23,0.217,9,14,0.643,9,30,16,8,2,14,19
11/20/2010,@,Toledo,W,25,55,0.455,10,26,0.385,16,22,0.727,11,32,12,12,1,16,24,,20,47,0.426,4,15,0.267,21,29,0.724,7,27,13,5,0,17,22
11/21/2010,N,UIC,L,26,62,0.419,7,20,0.35,9,11,0.818,9,29,7,6,4,14,18,,28,56,0.5,5,14,0.357,13,24,0.542,12,39,15,7,1,17,16
11/24/2010,,Drexel,W,27,54,0.5,4,15,0.267,16,25,0.64,10,33,9,5,4,14,21,,28,67,0.418,1,11,0.091,11,24,0.458,17,38,6,8,0,13,24
11/27/2010,,Davidson,W,24,52,0.462,7,13,0.538,16,23,0.696,12,34,17,6,4,15,13,,23,58,0.397,5,21,0.238,7,11,0.636,12,31,12,8,2,14,23
12/4/2010,@,Providence,L,28,72,0.389,9,26,0.346,9,14,0.643,14,33,11,6,5,14,23,,28,59,0.475,5,18,0.278,26,34,0.765,11,39,17,8,10,11,16
12/8/2010,@,Northeastern,W,24,52,0.462,5,15,0.333,26,30,0.867,13,34,9,7,3,11,22,,22,48,0.458,5,17,0.294,18,33,0.545,8,26,16,5,5,15,28
12/11/2010,@,Quinnipiac,L,24,57,0.421,5,17,0.294,13,24,0.542,11,35,8,3,1,10,16,,29,67,0.433,6,17,0.353,9,11,0.818,11,33,21,5,3,10,20
