Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/13/2010,@,Long Beach State,W,33,65,0.508,9,25,0.36,6,7,0.857,10,41,18,6,3,12,16,,24,64,0.375,5,23,0.217,12,19,0.632,12,32,11,6,0,9,11
11/16/2010,@,Gonzaga,W,33,65,0.508,5,13,0.385,8,15,0.533,18,33,12,9,1,15,24,,25,52,0.481,5,18,0.278,21,27,0.778,8,26,10,7,2,14,17
11/20/2010,N,Green Bay,W,29,48,0.604,0,7,0,21,36,0.583,11,35,12,4,4,15,18,,24,64,0.375,6,15,0.4,16,20,0.8,13,25,12,6,4,11,28
11/21/2010,N,IUPUI,W,25,50,0.5,7,17,0.412,4,4,1,11,25,11,8,2,14,18,,15,36,0.417,5,13,0.385,11,15,0.733,6,15,7,7,2,17,8
11/22/2010,@,Miami (OH),W,28,56,0.5,7,16,0.438,14,18,0.778,11,30,13,7,4,12,16,,18,49,0.367,8,21,0.381,12,15,0.8,8,24,8,3,2,19,16
11/26/2010,,San Diego Christian,W,38,63,0.603,8,15,0.533,4,9,0.444,11,35,19,6,4,12,10,,25,59,0.424,10,28,0.357,9,9,1,8,22,17,5,1,12,8
12/1/2010,,Saint Mary's (CA),W,27,60,0.45,5,13,0.385,10,15,0.667,10,33,10,9,10,9,9,,22,56,0.393,9,18,0.5,2,4,0.5,6,32,9,5,1,16,19
12/4/2010,,Wichita State,W,30,59,0.508,4,14,0.286,19,30,0.633,9,34,15,10,5,8,17,,26,56,0.464,9,18,0.5,8,12,0.667,5,25,13,6,6,13,25
12/8/2010,@,University of California,W,28,59,0.475,10,22,0.455,11,19,0.579,8,27,16,6,7,8,21,,18,48,0.375,0,9,0,21,28,0.75,12,34,13,4,0,18,18
12/11/2010,,San Diego,W,28,60,0.467,5,16,0.313,16,20,0.8,11,33,15,6,4,4,10,,20,52,0.385,3,15,0.2,6,9,0.667,7,28,6,1,1,10,17
12/13/2010,,Cal Poly,W,16,46,0.348,0,18,0,19,24,0.792,11,33,12,6,10,14,17,,14,48,0.292,8,22,0.364,9,13,0.692,9,24,7,10,1,13,24
12/18/2010,,UCSB,W,32,57,0.561,12,24,0.5,14,17,0.824,11,32,19,1,4,9,15,,25,64,0.391,5,17,0.294,9,10,0.9,17,32,16,2,0,13,17
12/21/2010,N,San Francisco,W,24,47,0.511,5,17,0.294,9,13,0.692,8,27,10,6,6,15,13,,21,50,0.42,6,16,0.375,8,14,0.571,8,26,11,10,0,14,19
12/22/2010,N,IUPUI,W,23,49,0.469,3,20,0.15,7,9,0.778,7,23,11,7,2,11,12,,21,44,0.477,4,12,0.333,8,11,0.727,7,24,8,2,1,16,10
12/31/2010,,Occidental,W,36,59,0.61,8,18,0.444,13,17,0.765,14,40,19,8,3,11,10,,22,53,0.415,5,13,0.385,1,2,0.5,1,9,15,7,2,12,15
