Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,@,Temple,L,19,64,0.297,5,17,0.294,13,16,0.813,8,31,11,8,3,12,15,,26,61,0.426,2,12,0.167,8,13,0.615,13,47,13,4,9,18,17
11/14/2010,,Cornell,W,28,65,0.431,10,28,0.357,26,30,0.867,15,43,17,6,5,15,24,,22,61,0.361,5,24,0.208,19,27,0.704,10,28,13,4,4,15,24
11/19/2010,N,Alabama,W,27,49,0.551,10,13,0.769,19,30,0.633,10,24,13,11,7,15,17,,31,58,0.534,10,14,0.714,6,9,0.667,12,31,12,10,6,21,26
11/21/2010,N,Xavier,L,19,56,0.339,5,20,0.25,9,16,0.563,7,28,8,6,2,8,19,,19,44,0.432,5,14,0.357,14,20,0.7,5,33,7,4,7,15,15
11/22/2010,N,Clemson,L (1 OT),23,60,0.383,2,21,0.095,10,12,0.833,6,37,11,5,4,20,27,,17,58,0.293,4,19,0.211,26,38,0.684,11,38,7,9,5,12,20
11/29/2010,,St. Peter's,W,27,67,0.403,7,27,0.259,8,17,0.471,15,39,16,4,2,5,19,,17,50,0.34,1,10,0.1,14,18,0.778,7,34,7,1,6,14,18
12/8/2010,N,Arkansas,L,23,65,0.354,7,19,0.368,9,14,0.643,7,33,10,8,4,12,18,,27,62,0.435,6,15,0.4,11,17,0.647,13,43,11,6,10,10,17
12/11/2010,@,UMass,W,36,60,0.6,11,22,0.5,21,25,0.84,4,34,25,5,10,18,26,,26,75,0.347,9,22,0.409,18,27,0.667,17,34,9,11,2,10,22
12/13/2010,,Longwood,W,29,70,0.414,6,26,0.231,14,18,0.778,12,39,16,10,3,9,15,,20,50,0.4,5,21,0.238,6,9,0.667,2,27,15,4,2,21,16
12/19/2010,,NJIT,W,26,52,0.5,7,22,0.318,9,22,0.409,5,39,19,8,2,11,18,,17,56,0.304,5,14,0.357,6,15,0.4,7,29,8,6,0,13,20
