Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Howard Payne,W,37,75,0.493,8,19,0.421,32,46,0.696,26,58,23,15,3,10,31,,14,51,0.275,1,18,0.056,20,36,0.556,9,26,7,3,3,21,32
11/15/2010,,Longwood,W,28,59,0.475,6,18,0.333,18,26,0.692,10,36,18,12,2,15,23,,17,46,0.37,4,20,0.2,16,27,0.593,4,30,11,2,1,24,24
11/19/2010,@,Texas Tech,L,24,58,0.414,3,11,0.273,7,15,0.467,13,36,10,4,1,13,17,,29,56,0.518,3,16,0.188,9,16,0.563,6,27,13,8,8,7,15
11/23/2010,@,Louisiana-Monroe,W,22,44,0.5,6,13,0.462,15,19,0.789,3,17,16,4,2,12,16,,23,51,0.451,6,16,0.375,12,15,0.8,13,31,11,7,2,16,18
11/27/2010,,Science and Arts of Oklahoma,W,34,61,0.557,2,8,0.25,16,22,0.727,14,43,15,7,3,11,16,,16,53,0.302,7,24,0.292,8,12,0.667,5,17,14,2,3,15,19
12/2/2010,@,Texas A&M,L,18,51,0.353,3,16,0.188,14,19,0.737,9,24,10,8,0,10,18,,21,45,0.467,8,17,0.471,12,16,0.75,8,33,14,3,5,16,17
12/10/2010,,Grambling,W,23,57,0.404,1,8,0.125,15,22,0.682,13,42,17,13,3,14,11,,18,55,0.327,2,11,0.182,3,9,0.333,11,31,5,4,5,22,18
12/11/2010,,Chicago State,W,29,53,0.547,10,19,0.526,26,31,0.839,11,29,20,15,0,10,14,,16,46,0.348,4,12,0.333,2,3,0.667,9,21,9,3,2,26,24
12/18/2010,,Jarvis Christian,W,28,62,0.452,1,13,0.077,19,26,0.731,12,43,10,9,5,11,10,,17,59,0.288,6,20,0.3,5,6,0.833,6,31,10,9,2,18,26
12/20/2010,@,UTEP,L,21,55,0.382,5,19,0.263,5,13,0.385,7,29,15,6,0,16,27,,19,41,0.463,2,10,0.2,21,32,0.656,3,31,12,8,4,18,19
12/29/2010,,Louisiana-Monroe,W,23,50,0.46,7,17,0.412,7,14,0.5,12,34,15,5,2,16,16,,15,41,0.366,1,10,0.1,5,11,0.455,5,22,4,8,3,16,18
1/3/2011,,Wiley,W,30,56,0.536,4,11,0.364,22,26,0.846,13,37,18,12,2,18,14,,19,53,0.358,2,7,0.286,9,12,0.75,7,18,8,12,2,23,20
1/8/2011,@,Southeastern Louisiana,L,19,54,0.352,3,15,0.2,13,18,0.722,16,31,5,8,1,15,22,,19,40,0.475,6,16,0.375,20,29,0.69,9,25,10,8,3,14,18
1/12/2011,,Central Arkansas,W,26,51,0.51,3,8,0.375,20,26,0.769,15,42,16,4,3,16,22,,22,52,0.423,4,12,0.333,15,25,0.6,8,20,11,10,2,10,20
1/15/2011,@,UTSA,W,23,49,0.469,2,11,0.182,20,26,0.769,10,28,10,6,1,12,23,,21,46,0.457,4,10,0.4,13,19,0.684,8,23,10,4,3,17,25
1/22/2011,,Texas-Arlington,L,21,56,0.375,7,20,0.35,3,7,0.429,13,23,13,7,0,14,15,,20,41,0.488,8,19,0.421,14,16,0.875,6,26,9,5,1,16,12
1/26/2011,@,Sam Houston State,W,25,42,0.595,4,8,0.5,9,11,0.818,8,26,19,9,0,19,21,,17,42,0.405,0,11,0,15,19,0.789,9,20,13,11,0,17,18
1/29/2011,,Texas A&M-Corpus Christi,L,18,50,0.36,1,10,0.1,8,11,0.727,13,28,13,10,0,11,16,,20,36,0.556,3,7,0.429,3,11,0.273,5,22,12,5,3,19,17
2/2/2011,@,Texas State,L,24,49,0.49,4,14,0.286,9,11,0.818,5,24,15,0,1,17,23,,20,48,0.417,3,10,0.3,23,29,0.793,8,24,8,9,2,10,15
2/5/2011,,McNeese State,W,26,49,0.531,4,12,0.333,9,13,0.692,12,36,18,2,0,14,9,,20,54,0.37,5,21,0.238,5,8,0.625,9,18,12,5,3,10,19
2/9/2011,@,Nicholls State,W,21,43,0.488,3,7,0.429,19,25,0.76,9,38,15,5,0,19,15,,18,50,0.36,11,29,0.379,10,18,0.556,3,15,11,14,2,6,17
2/12/2011,,UTSA,W,23,43,0.535,4,10,0.4,20,21,0.952,4,20,14,6,3,17,21,,21,49,0.429,4,20,0.2,20,22,0.909,9,22,11,4,1,15,20
2/16/2011,@,Texas-Arlington,L (1 OT),26,60,0.433,4,11,0.364,9,15,0.6,13,41,20,2,1,14,18,,26,60,0.433,8,23,0.348,6,14,0.429,8,30,10,4,5,10,22
2/19/2011,,Texas State,W (1 OT),25,57,0.439,2,12,0.167,21,31,0.677,11,35,16,3,1,9,17,,27,59,0.458,4,18,0.222,12,17,0.706,6,28,17,4,2,8,25
2/23/2011,,Lamar,W,21,49,0.429,3,7,0.429,15,19,0.789,6,24,17,8,3,13,18,,22,56,0.393,1,8,0.125,10,13,0.769,12,33,5,4,4,17,19
2/27/2011,@,Texas A&M-Corpus Christi,W,28,50,0.56,1,10,0.1,18,21,0.857,9,25,13,6,1,9,15,,24,47,0.511,6,14,0.429,14,20,0.7,8,20,10,2,3,13,18
3/2/2011,,Sam Houston State,L,17,43,0.395,2,12,0.167,4,7,0.571,2,19,13,5,0,14,7,,26,50,0.52,2,18,0.111,1,2,0.5,7,33,15,10,0,15,11
3/5/2011,@,Northwestern State,L,24,63,0.381,4,11,0.364,13,21,0.619,15,37,9,6,1,17,21,,24,51,0.471,8,22,0.364,14,20,0.7,7,30,10,9,8,12,19
3/9/2011,N,Sam Houston State,L,19,47,0.404,5,10,0.5,2,4,0.5,6,22,11,3,1,8,15,,24,42,0.571,5,12,0.417,8,13,0.615,4,25,15,5,2,8,9
11/11/2011,,Centenary (LA),W,31,62,0.5,3,15,0.2,19,27,0.704,16,32,13,17,3,12,18,,13,38,0.342,3,12,0.25,14,15,0.933,4,22,3,2,4,32,21
11/14/2011,@,San Diego,L,22,45,0.489,6,14,0.429,11,21,0.524,2,25,10,7,3,17,19,,22,48,0.458,8,21,0.381,14,20,0.7,6,27,13,7,4,16,18
11/20/2011,@,Texas Tech,L,18,50,0.36,4,19,0.211,14,25,0.56,10,24,6,7,1,15,24,,22,35,0.629,6,11,0.545,16,24,0.667,3,25,13,5,2,20,28
11/26/2011,@,UTEP,W,23,47,0.489,2,7,0.286,5,12,0.417,9,29,17,3,0,8,13,,13,42,0.31,3,11,0.273,6,8,0.75,4,20,8,3,7,9,12
11/30/2011,,Wiley,W,26,59,0.441,8,16,0.5,12,17,0.706,16,41,16,10,3,16,14,,25,56,0.446,7,14,0.5,9,14,0.643,8,25,13,10,3,17,18
12/3/2011,@,Texas A&M,L,15,52,0.288,1,14,0.071,11,15,0.733,4,23,9,5,6,6,15,,20,48,0.417,4,12,0.333,11,18,0.611,11,39,11,3,3,12,14
12/10/2011,,Alabama State,W,29,58,0.5,2,9,0.222,14,19,0.737,16,42,24,8,1,10,14,,19,48,0.396,6,15,0.4,4,14,0.286,8,20,12,6,2,14,16
12/11/2011,,Florida International,L,21,47,0.447,4,12,0.333,10,16,0.625,12,23,14,7,3,12,15,,21,36,0.583,4,7,0.571,12,15,0.8,6,18,11,7,2,17,22
12/17/2011,,Texas College,W,21,53,0.396,4,15,0.267,18,27,0.667,16,38,17,9,3,21,15,,21,50,0.42,2,12,0.167,13,18,0.722,7,20,7,15,4,17,20
12/20/2011,N,Prairie View,L,22,49,0.449,0,8,0,6,14,0.429,4,26,14,5,0,15,17,,20,49,0.408,6,18,0.333,7,14,0.5,8,27,7,7,1,16,21
12/21/2011,N,North Carolina Central,L,19,51,0.373,2,16,0.125,17,20,0.85,9,34,8,3,0,15,20,,23,51,0.451,8,24,0.333,11,20,0.55,4,20,15,7,2,9,16
12/22/2011,@,Oregon,L,19,52,0.365,1,12,0.083,6,9,0.667,9,27,10,7,2,12,20,,18,43,0.419,5,18,0.278,14,23,0.609,6,30,6,6,2,14,12
12/30/2011,,Texas-Tyler,W,31,64,0.484,4,11,0.364,27,40,0.675,16,43,17,17,2,9,16,,13,41,0.317,2,16,0.125,8,13,0.615,5,28,7,3,1,33,26
1/4/2012,@,Texas State,W,20,49,0.408,5,12,0.417,21,27,0.778,7,28,11,7,4,10,12,,26,50,0.52,9,19,0.474,4,6,0.667,2,22,16,5,4,11,20
1/7/2012,,Southeastern Louisiana,W,23,43,0.535,5,12,0.417,12,18,0.667,7,26,12,11,0,16,16,,14,38,0.368,1,4,0.25,7,10,0.7,6,18,8,8,3,23,17
1/11/2012,@,Central Arkansas,W,25,49,0.51,2,6,0.333,15,28,0.536,8,36,13,4,3,13,16,,22,58,0.379,4,17,0.235,8,20,0.4,11,25,11,4,3,10,22
1/14/2012,,UTSA,L,21,48,0.438,2,13,0.154,8,13,0.615,12,32,10,6,5,16,13,,22,49,0.449,7,13,0.538,8,10,0.8,7,23,12,9,4,13,15
1/21/2012,@,Texas-Arlington,L,23,50,0.46,4,15,0.267,4,9,0.444,7,28,17,7,1,23,23,,19,44,0.432,4,13,0.308,21,27,0.778,6,26,10,9,3,17,16
1/25/2012,,Sam Houston State,W (1 OT),24,51,0.471,4,12,0.333,15,24,0.625,5,30,16,5,4,9,20,,21,51,0.412,7,15,0.467,17,25,0.68,7,27,9,3,2,10,17
1/28/2012,@,Texas A&M-Corpus Christi,W,24,55,0.436,4,9,0.444,12,19,0.632,12,36,7,7,3,10,17,,19,47,0.404,4,14,0.286,7,16,0.438,5,26,11,6,7,14,17
2/1/2012,,Texas State,W,26,43,0.605,3,6,0.5,16,25,0.64,7,39,21,7,3,23,16,,23,59,0.39,8,27,0.296,9,11,0.818,2,11,10,11,2,15,20
