Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,Chattanooga,W,28,63,.444,5,20,.250,21,31,.677,10,43,13,10,2,10,24,,18,55,.327,9,34,.265,17,24,.708,5,30,8,3,2,19,23
2010-11-16,,Belmont,W,25,47,.532,3,11,.273,32,40,.800,11,36,16,4,0,27,28,,25,57,.439,7,26,.269,19,28,.679,9,21,14,12,2,15,32
2010-11-17,,Missouri State,W,19,47,.404,4,14,.286,18,28,.643,8,28,8,8,4,13,11,,21,59,.356,6,26,.231,8,10,.800,15,35,10,9,1,15,22
2010-11-24,N,VCU,W,28,70,.400,3,14,.214,18,28,.643,14,45,17,9,7,14,25,,21,68,.309,11,31,.355,19,27,.704,11,34,13,9,7,14,26
2010-11-26,N,Villanova,W,25,55,.455,6,16,.375,22,35,.629,12,36,14,9,6,13,27,,20,58,.345,4,21,.190,24,36,.667,13,31,10,6,4,13,26
2010-11-30,,Middle Tennessee,W,26,52,.500,11,24,.458,23,34,.676,13,37,18,9,6,17,19,,20,49,.408,5,10,.500,11,16,.688,5,17,9,11,4,19,26
2010-12-11,N,Pitt,W,27,48,.563,7,11,.636,22,30,.733,10,32,14,5,7,20,32,,22,54,.407,7,17,.412,25,42,.595,15,28,17,8,2,15,24
2010-12-14,,Oakland,L,28,63,.444,4,18,.222,22,31,.710,13,33,16,6,2,9,25,,30,56,.536,7,18,.389,22,28,.786,10,34,13,5,4,13,22
2010-12-17,N,Charlotte,L,22,63,.349,2,17,.118,2,7,.286,15,38,8,3,2,11,14,,16,53,.302,5,19,.263,12,13,.923,8,31,10,6,4,9,11
2010-12-21,,USC,L,18,47,.383,4,15,.267,24,29,.828,13,37,11,7,3,18,12,,25,53,.472,9,21,.429,6,9,.667,6,20,18,11,1,13,23
2010-12-23,,Belmont,W,20,53,.377,4,14,.286,22,37,.595,10,35,13,11,7,13,14,,25,70,.357,8,35,.229,7,10,.700,13,40,18,6,1,15,22
2010-12-29,,UT-Martin,W,24,49,.490,5,16,.313,15,20,.750,8,29,13,4,6,10,12,,22,56,.393,9,26,.346,9,11,.818,10,31,12,7,1,13,20
2010-12-31,,College of Charleston,L,30,80,.375,5,18,.278,13,21,.619,24,42,9,4,0,11,22,,28,49,.571,14,25,.560,21,34,.618,6,33,16,5,3,12,17
2011-01-05,,Memphis,W,36,67,.537,12,21,.571,20,30,.667,13,41,25,5,8,12,19,,30,65,.462,10,22,.455,14,26,.538,8,30,16,8,7,16,23
