Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Alcorn State,W,25,56,0.446,4,20,0.2,34,48,0.708,14,48,13,6,2,20,34,,17,57,0.298,3,12,0.25,19,37,0.514,9,29,7,7,5,19,36
11/15/2010,@,Texas A&M-Corpus Christi,W,31,60,0.517,7,21,0.333,17,21,0.81,7,26,19,16,1,12,26,,21,45,0.467,3,13,0.231,20,30,0.667,7,24,9,7,2,20,21
11/19/2010,,Texas A&M-International,W,30,65,0.462,6,17,0.353,11,17,0.647,17,44,17,7,1,10,9,,17,48,0.354,6,19,0.316,6,8,0.75,5,23,11,5,3,15,15
11/25/2010,N,Boston College,L,22,49,0.449,7,19,0.368,14,17,0.824,13,29,13,3,2,14,16,,22,45,0.489,9,19,0.474,14,17,0.824,5,14,14,6,1,8,18
11/26/2010,N,Manhattan,W,23,55,0.418,10,26,0.385,18,24,0.75,15,40,17,8,1,13,18,,17,55,0.309,2,16,0.125,9,16,0.563,14,28,6,8,5,14,19
11/28/2010,N,Temple,W,17,51,0.333,2,11,0.182,18,27,0.667,15,44,6,4,2,14,19,,15,48,0.313,4,16,0.25,17,23,0.739,7,28,9,5,4,10,24
12/2/2010,,Stephen F. Austin,W,21,45,0.467,8,17,0.471,12,16,0.75,8,33,14,3,5,16,17,,18,51,0.353,3,16,0.188,14,19,0.737,9,24,10,8,0,10,18
12/4/2010,,Pacific,W,30,62,0.484,10,18,0.556,9,13,0.692,14,35,21,5,2,11,12,,24,58,0.414,5,15,0.333,6,6,1,9,27,13,6,0,12,12
12/8/2010,,Prairie View,W,30,61,0.492,11,24,0.458,16,25,0.64,13,44,20,6,4,13,16,,24,65,0.369,9,29,0.31,6,14,0.429,11,29,12,7,3,11,23
12/11/2010,,Washington,W,23,56,0.411,0,8,0,17,25,0.68,15,35,11,10,5,18,20,,20,53,0.377,6,22,0.273,16,16,1,8,28,11,9,3,20,24
12/18/2010,N,Arkansas,W (1 OT),22,55,0.4,3,13,0.231,24,31,0.774,11,37,11,9,1,18,24,,19,47,0.404,8,24,0.333,16,28,0.571,8,30,7,11,11,24,27
