Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Jackson State,W,31,54,0.574,11,20,0.55,13,22,0.591,3,26,24,10,2,9,21,,21,50,0.42,6,19,0.316,14,20,0.7,9,29,14,4,1,18,19
11/16/2010,,SMU,W,35,65,0.538,11,18,0.611,3,4,0.75,8,31,19,9,2,11,15,,25,52,0.481,6,22,0.273,8,14,0.571,3,25,16,7,1,17,13
11/20/2010,N,Rider,L,22,60,0.367,4,19,0.211,13,22,0.591,11,30,11,8,2,12,18,,28,49,0.571,7,18,0.389,13,21,0.619,5,33,14,7,6,16,19
11/21/2010,N,Bradley,W,26,54,0.481,6,16,0.375,16,19,0.842,4,22,17,10,5,13,20,,23,53,0.434,5,16,0.313,17,23,0.739,11,33,14,5,1,17,17
11/22/2010,N,UMass,L,17,57,0.298,3,20,0.15,11,17,0.647,9,29,5,5,2,17,21,,27,57,0.474,4,15,0.267,9,18,0.5,10,34,11,8,4,13,18
11/27/2010,,Houston,W,29,64,0.453,4,14,0.286,17,26,0.654,12,36,11,8,2,11,22,,21,52,0.404,8,19,0.421,13,25,0.52,7,29,11,2,2,19,21
11/29/2010,,USC,W,30,59,0.508,5,19,0.263,16,20,0.8,11,39,15,6,3,13,23,,27,60,0.45,4,17,0.235,11,23,0.478,9,29,15,7,1,10,19
12/1/2010,,Prairie View,W,31,60,0.517,7,18,0.389,9,19,0.474,10,40,18,5,4,17,12,,24,64,0.375,8,23,0.348,5,9,0.556,10,36,11,6,3,18,17
12/4/2010,,Northern Iowa,L,21,50,0.42,6,19,0.316,12,15,0.8,7,30,13,3,2,9,20,,22,47,0.468,6,17,0.353,14,22,0.636,3,26,13,6,3,8,15
12/8/2010,@,Texas Tech,W,30,69,0.435,5,17,0.294,16,25,0.64,18,42,13,6,4,14,22,,26,65,0.4,2,16,0.125,23,24,0.958,12,33,12,8,9,10,21
12/11/2010,@,Nebraska,L,22,58,0.379,11,28,0.393,1,5,0.2,7,22,13,9,1,12,15,,24,48,0.5,10,17,0.588,12,15,0.8,7,37,9,5,3,17,14
12/21/2010,,Northwestern State,W,32,56,0.571,7,16,0.438,25,32,0.781,10,35,19,4,2,19,24,,28,60,0.467,7,21,0.333,16,26,0.615,8,19,18,6,3,18,28
12/28/2010,,Chicago State,W,35,61,0.574,12,22,0.545,17,24,0.708,7,36,25,11,2,15,24,,25,59,0.424,2,11,0.182,20,28,0.714,8,29,17,5,2,16,23
12/30/2010,@,Tulsa,L,22,62,0.355,6,19,0.316,16,20,0.8,10,36,7,5,1,5,18,,22,62,0.355,7,20,0.35,18,24,0.75,11,41,13,1,4,8,18
1/2/2011,@,Rice,L,23,47,0.489,7,20,0.35,8,15,0.533,3,24,14,7,2,16,22,,21,50,0.42,2,16,0.125,26,30,0.867,6,31,12,7,2,11,16
1/5/2011,,San Diego State,L,20,55,0.364,5,21,0.238,8,12,0.667,11,34,11,3,1,12,13,,29,65,0.446,4,22,0.182,4,6,0.667,13,38,17,8,5,9,12
1/8/2011,@,UNLV,L,16,51,0.314,7,22,0.318,10,13,0.769,10,29,10,1,1,23,23,,30,59,0.508,3,16,0.188,20,29,0.69,12,36,17,13,4,10,16
1/12/2011,,Wyoming,W,29,55,0.527,10,21,0.476,10,13,0.769,8,28,21,7,3,10,17,,22,48,0.458,4,18,0.222,12,17,0.706,5,22,12,4,1,14,10
1/15/2011,@,Colorado State,L,25,54,0.463,5,17,0.294,14,21,0.667,5,29,11,6,1,15,19,,32,53,0.604,4,12,0.333,11,24,0.458,3,30,22,10,2,11,16
1/18/2011,@,BYU,L,25,65,0.385,8,18,0.444,9,14,0.643,10,33,16,5,2,11,20,,27,55,0.491,8,18,0.444,21,26,0.808,6,40,14,6,3,13,16
1/22/2011,,Utah,L,27,63,0.429,3,13,0.231,5,12,0.417,9,25,12,4,6,7,17,,29,53,0.547,7,17,0.412,10,16,0.625,8,34,12,2,6,15,12
1/26/2011,@,New Mexico,L,19,56,0.339,4,18,0.222,4,7,0.571,10,28,12,6,0,11,15,,27,56,0.482,10,28,0.357,7,7,1,9,34,21,5,3,12,9
1/29/2011,,Air Force,L (1 OT),25,58,0.431,8,27,0.296,7,8,0.875,10,36,17,3,2,14,17,,25,51,0.49,10,22,0.455,6,15,0.4,3,25,19,4,1,11,12
2/5/2011,@,San Diego State,L,21,53,0.396,5,16,0.313,6,9,0.667,5,22,11,1,4,6,20,,20,51,0.392,2,9,0.222,18,24,0.75,12,36,11,3,2,7,9
2/9/2011,,UNLV,L,27,53,0.509,8,21,0.381,17,21,0.81,9,24,18,6,0,13,17,,35,57,0.614,11,17,0.647,13,16,0.813,9,27,22,5,6,9,20
2/12/2011,@,Wyoming,L,21,52,0.404,3,16,0.188,22,27,0.815,7,31,8,11,1,18,22,,26,54,0.481,9,25,0.36,16,21,0.762,5,29,16,11,7,19,19
2/16/2011,,Colorado State,L,20,57,0.351,5,15,0.333,10,19,0.526,5,25,14,13,3,12,25,,19,44,0.432,4,17,0.235,27,39,0.692,4,41,12,3,6,19,18
2/19/2011,,BYU,L,24,65,0.369,5,19,0.263,3,6,0.5,9,32,17,5,3,8,21,,22,48,0.458,11,25,0.44,24,32,0.75,6,40,14,2,3,10,10
2/22/2011,@,Utah,L,17,52,0.327,1,8,0.125,13,18,0.722,7,36,8,4,4,9,17,,16,50,0.32,2,13,0.154,16,22,0.727,4,30,6,6,4,8,14
2/26/2011,,New Mexico,L,27,59,0.458,4,17,0.235,12,20,0.6,12,28,17,7,1,10,20,,29,53,0.547,6,19,0.316,16,22,0.727,12,38,16,3,1,12,15
3/2/2011,@,Air Force,L,23,54,0.426,14,29,0.483,5,8,0.625,9,33,15,5,2,14,16,,24,48,0.5,9,18,0.5,13,16,0.813,2,23,20,8,3,7,11
3/9/2011,N,Wyoming,W,29,60,0.483,5,10,0.5,7,12,0.583,9,33,17,10,3,13,18,,21,56,0.375,6,21,0.286,13,18,0.722,13,34,7,8,5,17,17
3/10/2011,N,BYU,L,20,45,0.444,9,19,0.474,9,15,0.6,4,24,15,5,1,12,20,,21,50,0.42,6,23,0.261,16,21,0.762,11,33,13,7,4,12,14
11/11/2011,,Florida Gulf Coast,W,27,55,0.491,4,18,0.222,15,21,0.714,9,22,17,10,5,16,17,,27,44,0.614,6,14,0.429,12,19,0.632,7,28,17,8,3,29,21
11/14/2011,,Austin College,W,39,66,0.591,4,12,0.333,21,31,0.677,13,42,25,15,3,22,21,,15,58,0.259,5,19,0.263,10,20,0.5,11,30,6,9,0,33,24
11/18/2011,N,Virginia,W,19,43,0.442,5,13,0.385,14,17,0.824,5,27,8,3,0,19,23,,15,40,0.375,6,15,0.4,19,29,0.655,6,25,11,7,1,19,18
11/20/2011,N,Norfolk State,L,15,59,0.254,1,18,0.056,22,34,0.647,11,26,7,12,3,13,21,,20,42,0.476,4,11,0.364,22,30,0.733,8,41,9,5,5,23,26
11/21/2011,N,Ole Miss,L,25,59,0.424,4,16,0.25,15,25,0.6,15,32,12,5,0,19,26,,30,50,0.6,2,6,0.333,18,28,0.643,8,31,10,8,4,18,19
11/26/2011,@,Houston,W,30,64,0.469,9,20,0.45,12,22,0.545,14,33,16,10,4,12,17,,30,55,0.545,8,14,0.571,12,16,0.75,8,31,16,3,7,15,17
11/30/2011,,Lamar,W,26,65,0.4,5,15,0.333,20,29,0.69,15,38,13,7,4,12,20,,25,65,0.385,3,13,0.231,19,22,0.864,15,39,11,3,4,12,22
12/3/2011,@,Evansville,W (1 OT),26,54,0.481,5,17,0.294,13,18,0.722,11,38,13,5,4,22,27,,18,51,0.353,3,15,0.2,29,37,0.784,5,23,11,4,1,13,20
12/6/2011,,Texas Tech,W,19,51,0.373,11,25,0.44,26,34,0.765,9,23,14,8,3,11,19,,24,44,0.545,2,8,0.25,19,24,0.792,3,24,19,3,2,20,23
12/10/2011,,Nebraska,L,18,50,0.36,5,13,0.385,16,20,0.8,10,28,7,6,0,11,17,,24,47,0.511,6,14,0.429,15,18,0.833,6,29,12,3,3,11,17
12/19/2011,@,USC,L,20,49,0.408,7,15,0.467,12,14,0.857,8,30,14,0,1,20,22,,28,55,0.509,8,17,0.471,19,30,0.633,9,28,17,8,3,4,14
