Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-13,@,Drake,L,16,41,.390,1,12,.083,13,18,.722,7,37,7,3,4,22,16,,20,58,.345,9,25,.360,11,16,.688,10,29,16,14,1,9,16
2010-11-16,@,Wichita State,L,24,57,.421,6,18,.333,13,18,.722,7,24,15,9,1,10,16,,26,50,.520,11,26,.423,16,22,.727,7,33,20,4,4,16,13
2010-11-18,@,Oklahoma,L,17,52,.327,5,20,.250,13,20,.650,4,17,8,5,1,13,19,,28,48,.583,13,24,.542,13,16,.813,7,34,20,6,1,20,19
2010-11-21,@,Oregon State,W,25,47,.532,10,26,.385,6,8,.750,5,23,17,4,1,17,14,,22,53,.415,5,24,.208,11,14,.786,12,29,10,12,0,15,14
2010-11-23,@,Oregon,L,17,43,.395,5,19,.263,13,20,.650,6,19,6,6,3,21,21,,29,55,.527,5,15,.333,12,18,.667,12,31,12,12,0,13,19
2010-11-26,@,Kansas State,L,26,58,.448,5,18,.278,3,11,.273,8,21,15,9,2,17,22,,32,65,.492,7,21,.333,13,19,.684,18,42,18,9,6,19,13
2010-12-04,,North Texas,L,24,62,.387,4,16,.250,12,19,.632,13,29,12,4,2,5,22,,20,44,.455,6,18,.333,24,31,.774,6,25,12,4,0,11,16
2010-12-12,@,Iowa State,L,19,54,.352,6,22,.273,10,15,.667,10,38,6,6,2,14,16,,22,60,.367,7,28,.250,14,17,.824,12,38,15,7,5,8,15
2010-12-16,N,Texas State,W,26,46,.565,5,14,.357,21,33,.636,6,30,20,11,3,23,22,,22,62,.355,4,19,.211,16,28,.571,18,33,11,12,2,24,23
2010-12-22,@,Arkansas,L,20,50,.400,4,16,.250,15,17,.882,12,33,11,6,3,20,17,,25,55,.455,6,22,.273,11,16,.688,8,26,15,11,5,12,15
2011-01-02,@,Baylor,L,20,51,.392,7,14,.500,13,19,.684,7,31,9,6,5,21,24,,22,52,.423,7,19,.368,17,30,.567,11,35,9,12,8,13,19
2011-01-04,@,Southern,W (1 OT),26,55,.473,8,18,.444,21,27,.778,16,45,13,8,10,20,22,,24,68,.353,8,27,.296,18,25,.720,13,28,16,5,1,11,17
2011-01-06,@,Alcorn State,W,22,59,.373,2,17,.118,33,40,.825,18,40,8,9,2,15,19,,23,54,.426,7,15,.467,13,23,.565,7,25,7,5,1,19,27
2011-01-08,@,Prairie View,W,16,41,.390,5,17,.294,21,31,.677,7,38,6,7,3,18,18,,17,51,.333,6,21,.286,11,21,.524,10,27,8,9,4,15,25
2011-01-15,,Jackson State,W,20,40,.500,8,14,.571,18,26,.692,6,27,13,11,5,17,18,,23,57,.404,4,19,.211,12,16,.750,11,28,13,10,2,13,23
2011-01-17,,Grambling,W,25,57,.439,6,29,.207,10,23,.435,11,37,17,11,5,14,11,,17,50,.340,2,13,.154,5,12,.417,6,30,9,4,0,21,18
2011-01-22,@,Arkansas-Pine Bluff,W,12,34,.353,3,16,.188,23,40,.575,4,27,9,9,3,19,21,,15,45,.333,4,18,.222,9,19,.474,9,33,14,6,2,22,29
2011-01-24,@,Mississippi Valley State,L,24,51,.471,6,22,.273,22,33,.667,6,35,7,6,3,14,17,,33,63,.524,12,29,.414,11,19,.579,6,31,22,8,2,9,25
2011-01-29,,Alabama A&M,W,24,53,.453,4,17,.235,13,29,.448,15,37,17,9,8,23,17,,25,62,.403,4,15,.267,7,16,.438,13,31,15,18,4,19,27
