Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Louisiana-Monroe,W,34,62,0.548,5,15,0.333,13,23,0.565,11,31,18,11,5,9,19,,23,56,0.411,8,17,0.471,13,16,0.813,9,32,9,2,1,16,21
11/16/2010,@,North Texas,L (1 OT),32,75,0.427,8,18,0.444,11,19,0.579,10,34,19,8,9,17,23,,32,65,0.492,5,19,0.263,23,29,0.793,7,40,12,10,4,18,19
11/19/2010,,Stephen F. Austin,W,29,56,0.518,3,16,0.188,9,16,0.563,6,27,13,8,8,7,15,,24,58,0.414,3,11,0.273,7,15,0.467,13,36,10,4,1,13,17
11/21/2010,,Liberty,W,30,62,0.484,6,18,0.333,13,19,0.684,10,31,19,6,6,14,20,,28,69,0.406,5,15,0.333,10,18,0.556,16,40,14,8,3,11,17
11/23/2010,,Georgia Southern,W,34,64,0.531,12,27,0.444,23,28,0.821,8,35,23,8,1,14,16,,28,67,0.418,5,11,0.455,18,26,0.692,14,38,8,9,0,18,24
11/26/2010,N,Saint Mary's (CA),L,22,51,0.431,3,11,0.273,21,28,0.75,7,19,6,7,1,12,20,,32,54,0.593,7,14,0.5,17,20,0.85,9,30,15,4,5,15,20
11/27/2010,N,South Florida,L,20,57,0.351,4,18,0.222,17,20,0.85,9,30,12,14,3,13,23,,19,44,0.432,3,16,0.188,23,33,0.697,5,34,12,6,3,19,21
11/30/2010,,Oral Roberts,W,27,63,0.429,4,11,0.364,28,34,0.824,13,38,14,5,4,12,22,,32,63,0.508,6,16,0.375,12,22,0.545,9,30,11,6,2,13,29
12/4/2010,@,Washington,L,29,63,0.46,3,10,0.3,18,25,0.72,10,26,11,4,3,20,20,,41,73,0.562,9,17,0.529,17,23,0.739,16,36,21,9,8,14,19
12/8/2010,,Texas Christian,L,26,65,0.4,2,16,0.125,23,24,0.958,12,33,12,8,9,10,21,,30,69,0.435,5,17,0.294,16,25,0.64,18,42,13,6,4,14,22
12/18/2010,@,UTEP,L,27,68,0.397,4,14,0.286,13,19,0.684,10,35,15,4,3,8,25,,28,59,0.475,6,15,0.4,20,36,0.556,7,33,12,5,5,10,17
12/22/2010,,Texas-Arlington,W,21,57,0.368,6,14,0.429,25,35,0.714,12,41,13,8,3,20,20,,17,58,0.293,5,22,0.227,17,19,0.895,9,32,8,7,3,19,25
12/29/2010,,New Mexico,L,24,47,0.511,5,13,0.385,7,16,0.438,4,19,10,1,6,14,22,,19,45,0.422,4,8,0.5,19,27,0.704,9,28,7,3,2,12,23
1/2/2011,,Texas A&M-Corpus Christi,W,28,56,0.5,5,12,0.417,9,13,0.692,11,34,16,6,8,11,16,,18,52,0.346,4,17,0.235,15,22,0.682,11,26,5,6,3,15,15
1/4/2011,,Delaware State,W,30,51,0.588,5,9,0.556,14,19,0.737,11,32,21,2,3,13,12,,23,51,0.451,5,13,0.385,9,15,0.6,5,16,8,8,1,8,15
1/8/2011,,Baylor,L,19,53,0.358,8,20,0.4,13,15,0.867,11,28,11,3,5,14,14,,25,54,0.463,9,19,0.474,12,15,0.8,8,27,7,9,3,12,15
1/11/2011,,Texas,L,23,59,0.39,0,11,0,6,10,0.6,7,23,2,3,3,13,28,,29,53,0.547,3,12,0.25,22,35,0.629,11,39,14,6,3,14,16
1/15/2011,@,Kansas State,L,20,49,0.408,5,16,0.313,15,22,0.682,4,18,13,5,4,15,15,,34,64,0.531,13,22,0.591,13,16,0.813,14,41,25,8,4,14,20
1/18/2011,@,Oklahoma,L,23,59,0.39,7,13,0.538,21,26,0.808,12,31,11,7,3,20,29,,24,50,0.48,6,19,0.316,29,34,0.853,7,30,14,10,7,16,21
1/22/2011,,Nebraska,W,27,52,0.519,8,17,0.471,10,18,0.556,10,32,11,4,1,17,22,,23,51,0.451,6,16,0.375,19,26,0.731,7,23,11,5,1,13,21
1/26/2011,@,Iowa State,W,35,64,0.547,7,12,0.583,15,20,0.75,10,39,27,6,4,12,22,,28,69,0.406,4,21,0.19,23,25,0.92,12,30,10,7,4,10,18
1/29/2011,,Oklahoma State,W (1 OT),21,48,0.438,4,9,0.444,29,39,0.744,10,28,10,5,10,14,20,,25,74,0.338,6,20,0.3,18,20,0.9,18,37,8,9,2,15,27
2/1/2011,,Kansas,L,23,62,0.371,6,22,0.273,14,18,0.778,7,31,9,2,4,11,16,,36,70,0.514,8,20,0.4,8,15,0.533,11,37,17,8,1,6,15
2/5/2011,@,Texas,L,21,55,0.382,5,11,0.455,13,21,0.619,13,30,8,5,0,17,19,,28,56,0.5,8,16,0.5,12,19,0.632,10,32,15,7,4,16,14
2/12/2011,,Texas A&M,L,23,53,0.434,8,18,0.444,13,20,0.65,9,22,9,4,6,9,20,,27,52,0.519,5,10,0.5,11,21,0.524,12,31,12,8,2,12,16
2/15/2011,@,Missouri,L,31,63,0.492,6,13,0.462,16,26,0.615,13,34,13,8,1,17,21,,36,62,0.581,8,17,0.471,12,20,0.6,9,29,18,9,4,14,21
2/19/2011,@,Baylor,W,28,55,0.509,6,17,0.353,16,19,0.842,8,25,13,8,1,11,20,,23,49,0.469,4,18,0.222,19,26,0.731,11,30,10,7,4,16,16
2/23/2011,,Colorado,L,25,61,0.41,7,18,0.389,11,20,0.55,10,29,16,5,4,12,20,,25,59,0.424,4,14,0.286,17,21,0.81,11,37,12,6,0,11,19
2/26/2011,@,Oklahoma State,L,23,54,0.426,4,11,0.364,18,22,0.818,8,30,9,6,4,13,21,,28,56,0.5,2,15,0.133,12,21,0.571,9,30,15,6,2,10,17
3/2/2011,,Oklahoma,W,27,59,0.458,11,21,0.524,19,23,0.826,13,44,19,8,4,15,17,,21,64,0.328,4,18,0.222,12,23,0.522,13,35,6,8,5,12,21
3/5/2011,@,Texas A&M,L,20,53,0.377,3,16,0.188,11,13,0.846,6,29,7,6,7,15,21,,22,48,0.458,4,15,0.267,18,30,0.6,7,29,14,7,2,12,18
