Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-14,,Virginia Military Institute,L,28,67,.418,6,24,.250,15,23,.652,8,37,17,7,0,12,20,,32,66,.485,14,32,.438,16,23,.696,8,38,16,5,4,15,18
2010-11-17,@,Loyola (MD),L,27,65,.415,4,13,.308,14,21,.667,8,25,11,9,1,11,26,,25,49,.510,4,12,.333,29,35,.829,10,38,15,9,2,18,21
2010-11-20,,Central Connecticut,L,27,62,.435,6,15,.400,14,22,.636,12,32,9,4,0,14,23,,31,61,.508,4,17,.235,16,24,.667,13,35,11,4,8,12,17
2010-11-23,@,Coppin State,L (1 OT),24,65,.369,7,24,.292,14,29,.483,13,45,15,7,6,18,24,,24,63,.381,5,20,.250,18,30,.600,10,37,9,10,4,15,21
2010-11-27,@,Duquesne,L,24,66,.364,7,27,.259,14,16,.875,15,30,11,6,3,20,30,,30,54,.556,11,22,.500,30,43,.698,11,35,22,9,5,12,15
2010-11-30,@,Penn,L,20,48,.417,7,23,.304,12,12,1.000,4,18,15,6,0,20,25,,19,36,.528,5,14,.357,28,36,.778,3,21,11,9,2,16,14
2010-12-03,@,UConn,L,23,71,.324,7,20,.350,8,10,.800,15,28,10,6,2,11,17,,33,59,.559,12,23,.522,16,22,.727,13,41,26,5,10,13,12
2010-12-08,@,Rider,L,16,56,.286,4,19,.211,3,8,.375,8,26,8,6,0,18,16,,27,46,.587,8,18,.444,19,26,.731,5,35,14,11,5,13,10
2010-12-11,,Towson,L,29,58,.500,8,18,.444,11,20,.550,5,22,14,4,1,14,23,,27,57,.474,6,15,.400,26,32,.813,10,38,12,8,2,14,16
2010-12-14,,American,L,16,41,.390,5,14,.357,16,23,.696,3,23,10,6,3,14,22,,20,52,.385,9,23,.391,17,23,.739,12,34,14,4,3,9,19
2010-12-18,@,Morgan State,L,22,53,.415,4,14,.286,14,16,.875,9,20,12,6,3,13,24,,23,38,.605,4,7,.571,25,38,.658,6,24,12,6,5,13,17
2010-12-22,@,Notre Dame,L,22,65,.338,4,22,.182,5,8,.625,9,31,13,8,1,13,17,,32,69,.464,10,29,.345,19,24,.792,19,51,22,6,6,10,8
2010-12-30,,Niagara,W,29,66,.439,7,18,.389,3,7,.429,14,35,12,6,0,11,20,,20,50,.400,8,26,.308,19,24,.792,10,33,13,8,3,15,14
2011-01-02,,Stony Brook,L,21,60,.350,8,23,.348,6,9,.667,11,32,13,7,1,9,18,,22,51,.431,7,25,.280,13,17,.765,8,34,12,6,1,10,13
2011-01-08,,Maine,L,25,59,.424,4,13,.308,13,16,.813,7,23,10,5,1,5,18,,29,54,.537,9,24,.375,15,21,.714,8,35,13,1,4,11,16
2011-01-12,@,Binghamton,L,28,61,.459,9,20,.450,10,12,.833,8,27,8,8,0,16,21,,26,51,.510,13,33,.394,18,27,.667,8,30,20,10,4,17,14
2011-01-15,@,Vermont,L,14,47,.298,2,14,.143,18,21,.857,6,23,4,6,3,20,22,,27,58,.466,6,21,.286,25,32,.781,14,41,17,10,1,15,20
2011-01-17,,Boston University,W,23,47,.489,10,21,.476,15,21,.714,9,28,11,4,1,10,16,,22,56,.393,12,34,.353,11,15,.733,12,24,17,4,2,9,21
2011-01-20,@,Hartford,W (2 OT),23,61,.377,12,24,.500,16,19,.842,9,36,14,4,2,15,16,,25,69,.362,10,38,.263,10,13,.769,15,37,14,9,6,17,16
2011-01-23,@,New Hampshire,L,22,60,.367,6,18,.333,10,12,.833,9,29,9,5,0,7,17,,26,51,.510,14,27,.519,14,20,.700,7,33,17,4,9,8,17
2011-01-26,,Albany (NY),L,25,63,.397,5,17,.294,8,10,.800,12,38,15,8,7,10,14,,25,65,.385,8,21,.381,8,9,.889,13,35,11,7,1,11,9
2011-01-31,@,Stony Brook,L,18,60,.300,7,28,.250,16,20,.800,12,34,9,8,1,10,23,,21,50,.420,8,21,.381,19,31,.613,11,38,11,5,7,12,17
2011-02-03,,Binghamton,W (1 OT),32,70,.457,7,16,.438,12,16,.750,9,34,10,7,1,7,15,,28,63,.444,12,23,.522,11,15,.733,9,39,13,3,6,13,17
