Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,Bucknell,W,24,57,.421,10,27,.370,10,14,.714,10,38,14,4,4,12,10,,19,56,.339,8,22,.364,6,8,.750,5,24,15,2,2,12,16
2010-11-16,,Marist,W,29,65,.446,8,21,.381,18,21,.857,13,42,19,7,7,9,14,,15,57,.263,5,25,.200,12,15,.800,6,24,9,5,4,15,22
2010-11-17,,Boston University,W,32,58,.552,1,12,.083,17,22,.773,7,29,21,2,4,7,13,,25,62,.403,11,32,.344,5,11,.455,9,24,13,3,2,10,18
2010-11-20,,Lafayette,W,34,67,.507,6,20,.300,12,13,.923,13,46,22,9,6,11,11,,15,59,.254,4,28,.143,7,7,1.000,5,22,11,5,2,14,15
2010-11-24,N,UCLA,W,25,62,.403,4,14,.286,28,34,.824,12,40,11,10,7,7,22,,24,59,.407,4,15,.267,18,24,.750,9,33,12,4,7,13,28
2010-11-26,N,Tennessee,L,20,58,.345,4,21,.190,24,36,.667,13,31,10,6,4,13,26,,25,55,.455,6,16,.375,22,35,.629,12,36,14,9,6,13,27
2010-12-03,,St. Joseph's,W,25,65,.385,7,23,.304,14,19,.737,19,45,19,5,4,11,7,,25,61,.410,8,23,.348,2,7,.286,10,32,9,3,9,10,15
2010-12-08,@,Penn,W,22,45,.489,5,17,.294,16,19,.842,8,32,16,10,4,16,14,,20,48,.417,6,19,.316,7,15,.467,4,20,13,8,0,14,17
2010-12-12,@,La Salle,W,24,53,.453,9,20,.450,27,34,.794,6,27,16,10,5,18,15,,31,66,.470,8,18,.444,11,13,.846,5,28,20,10,3,16,21
2010-12-18,,Delaware,W,22,49,.449,6,16,.375,28,35,.800,6,34,9,7,4,17,17,,18,54,.333,3,20,.150,20,23,.870,5,24,12,8,8,14,28
2010-12-22,@,Monmouth,W,29,58,.500,7,22,.318,11,20,.550,6,41,16,9,4,9,17,,13,51,.255,1,19,.053,9,22,.409,6,30,8,5,1,13,19
2010-12-30,,Temple,W,25,56,.446,5,16,.313,23,29,.793,7,29,12,6,4,9,22,,22,54,.407,10,21,.476,20,30,.667,11,33,14,3,6,11,23
2011-01-02,,Rutgers,W,23,53,.434,8,15,.533,27,35,.771,16,36,17,7,4,13,20,,20,48,.417,3,13,.231,22,28,.786,5,17,13,9,7,14,28
2011-01-06,@,South Florida,W,28,48,.583,9,12,.750,18,27,.667,6,21,21,11,2,9,22,,22,53,.415,5,19,.263,22,30,.733,14,27,13,3,3,13,24
2011-01-09,,Cincinnati,W,19,42,.452,6,15,.400,28,33,.848,6,34,14,4,8,19,23,,22,61,.361,2,20,.100,15,25,.600,12,30,9,10,1,12,22
