Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,William & Mary,W,28,56,.500,12,23,.522,8,11,.727,8,33,17,6,1,8,15,,18,48,.375,7,26,.269,9,16,.563,4,23,8,4,1,8,13
2010-11-15,,South Carolina Upstate,W,25,47,.532,5,15,.333,19,25,.760,8,29,13,6,1,12,14,,19,44,.432,10,23,.435,6,10,.600,2,15,13,7,2,12,19
2010-11-18,@,Stanford,L,20,47,.426,9,24,.375,11,11,1.000,4,24,11,4,2,16,18,,31,57,.544,13,23,.565,6,14,.429,10,29,13,2,2,12,16
2010-11-22,N,Washington,L,22,58,.379,4,16,.250,15,26,.577,13,33,9,4,2,17,17,,40,69,.580,17,26,.654,9,13,.692,10,38,22,8,4,9,21
2010-11-23,N,Oklahoma,W,25,52,.481,7,18,.389,17,27,.630,9,31,14,8,1,9,16,,20,45,.444,6,17,.353,10,14,.714,5,30,9,3,5,17,18
2010-11-24,N,Wichita State,L,22,51,.431,6,13,.462,8,13,.615,8,26,9,4,2,10,20,,22,52,.423,8,16,.500,18,22,.818,9,32,15,6,3,10,16
2010-11-29,@,Minnesota,W,26,55,.473,10,13,.769,25,30,.833,10,32,19,5,1,11,18,,29,58,.500,9,22,.409,12,20,.600,9,30,15,7,7,11,22
2010-12-05,@,Virginia Tech,W,23,49,.469,4,12,.333,7,11,.636,8,27,16,5,6,10,12,,22,51,.431,6,15,.400,4,4,1.000,8,27,8,4,7,11,16
2010-12-07,,Radford,W,13,47,.277,8,21,.381,20,24,.833,11,31,8,8,7,13,15,,17,44,.386,4,10,.400,6,8,.750,3,25,6,5,1,18,20
2010-12-17,,Oregon,W,22,44,.500,5,12,.417,14,19,.737,5,29,7,6,6,11,16,,19,55,.345,3,19,.158,7,9,.778,9,28,8,5,2,13,17
2010-12-20,,Norfolk State,W,19,54,.352,7,22,.318,5,10,.500,9,34,8,3,4,11,16,,17,56,.304,2,16,.125,13,18,.722,13,41,7,6,6,11,15
2010-12-22,,Seattle,L,16,53,.302,2,20,.100,19,23,.826,11,31,6,6,5,9,15,,24,48,.500,5,14,.357,6,13,.462,6,28,5,6,1,14,20
2010-12-30,,Iowa State,L,20,62,.323,3,24,.125,4,7,.571,13,36,9,5,0,9,15,,23,50,.460,8,21,.381,6,13,.462,6,36,14,5,3,10,12
2011-01-02,,LSU,W,21,52,.404,6,19,.316,16,21,.762,12,34,10,6,6,11,15,,18,51,.353,3,13,.231,11,17,.647,9,29,7,3,3,12,15
2011-01-04,,Howard,W,32,48,.667,16,25,.640,4,8,.500,3,14,20,10,0,10,12,,24,45,.533,8,17,.471,7,12,.583,8,21,8,5,1,17,11
2011-01-08,,UNC,L,21,51,.412,6,17,.353,8,12,.667,4,30,8,5,4,11,22,,20,54,.370,3,11,.273,19,27,.704,10,37,7,7,3,8,13
2011-01-15,@,Duke,L,19,55,.345,6,16,.375,16,23,.696,9,25,8,7,1,13,18,,27,58,.466,5,20,.250,17,20,.850,12,40,13,4,6,15,16
2011-01-19,@,Boston College,L,25,57,.439,9,23,.391,8,12,.667,11,33,12,2,5,7,21,,22,54,.407,6,21,.286,20,25,.800,10,32,12,3,3,5,11
2011-01-22,,Georgia Tech,W,20,40,.500,10,15,.667,22,32,.688,6,25,16,6,1,10,17,,25,52,.481,4,10,.400,10,15,.667,10,28,9,5,0,11,26
2011-01-27,,Maryland,L,16,48,.333,4,17,.235,6,13,.462,5,26,8,3,3,15,12,,27,50,.540,7,15,.467,5,8,.625,2,27,14,8,2,11,14
2011-01-29,@,Wake Forest,L,28,56,.500,8,20,.400,7,14,.500,9,30,11,3,0,10,19,,24,50,.480,9,19,.474,19,21,.905,4,26,14,4,4,9,14
2011-02-02,,Clemson,W,17,43,.395,7,21,.333,8,11,.727,4,26,9,7,6,15,14,,19,57,.333,3,18,.167,6,11,.545,13,33,5,7,5,13,17
