Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Campbell,W,22,52,0.423,5,19,0.263,21,31,0.677,14,37,13,3,7,19,20,,20,49,0.408,7,19,0.368,13,20,0.65,5,21,9,5,3,16,26
11/16/2010,@,Kansas State,L,19,55,0.345,5,17,0.294,14,21,0.667,8,33,10,5,7,17,23,,26,64,0.406,7,23,0.304,14,28,0.5,12,42,19,6,5,15,21
11/21/2010,@,North Carolina-Greensboro,W,29,54,0.537,4,16,0.25,30,41,0.732,8,26,12,20,3,15,26,,23,41,0.561,6,10,0.6,18,29,0.621,4,26,9,4,0,29,28
11/25/2010,N,Cal State Northridge,W,29,55,0.527,4,14,0.286,10,15,0.667,6,30,21,2,5,16,22,,17,51,0.333,6,18,0.333,16,28,0.571,11,32,9,6,1,25,21
11/26/2010,N,Oklahoma State,W,17,49,0.347,2,14,0.143,20,31,0.645,10,34,8,2,3,13,19,,17,59,0.288,3,13,0.231,14,20,0.7,16,38,8,3,3,16,25
11/28/2010,N,UNLV,L,20,41,0.488,10,16,0.625,9,21,0.429,9,25,11,4,3,18,17,,31,58,0.534,4,17,0.235,5,11,0.455,10,26,19,5,1,9,21
12/1/2010,,Purdue,L (1 OT),19,55,0.345,2,14,0.143,15,21,0.714,12,40,10,4,4,13,18,,21,58,0.362,5,21,0.238,11,19,0.579,8,28,12,4,2,9,20
12/5/2010,,Virginia,L,22,51,0.431,6,15,0.4,4,4,1,8,27,8,4,7,11,16,,23,49,0.469,4,12,0.333,7,11,0.636,8,27,16,5,6,10,12
12/12/2010,,Penn State,W,30,55,0.545,7,15,0.467,12,19,0.632,10,35,20,2,4,10,17,,24,57,0.421,7,22,0.318,14,16,0.875,9,29,10,2,2,9,18
12/18/2010,N,Mississippi State,W,30,60,0.5,9,25,0.36,19,23,0.826,11,36,17,8,2,10,15,,22,49,0.449,6,19,0.316,7,13,0.538,5,22,10,6,3,16,20
12/23/2010,N,St. Bonaventure,W (1 OT),27,55,0.491,7,20,0.35,15,20,0.75,6,31,15,11,4,13,15,,27,65,0.415,7,18,0.389,7,11,0.636,11,33,14,8,3,14,16
12/30/2010,,South Carolina Upstate,W,24,53,0.453,2,14,0.143,14,21,0.667,9,30,14,7,4,9,12,,21,49,0.429,8,21,0.381,3,10,0.3,8,27,12,4,3,18,19
1/2/2011,,Mount St. Mary's,W,36,52,0.692,6,15,0.4,21,33,0.636,8,38,21,15,9,13,20,,9,53,0.17,5,17,0.294,11,21,0.524,14,28,4,5,3,25,21
1/8/2011,,Florida State,W,18,45,0.4,1,8,0.125,34,37,0.919,5,28,9,10,3,13,16,,22,62,0.355,7,24,0.292,8,14,0.571,15,37,13,8,4,19,30
1/13/2011,@,UNC,L,21,53,0.396,11,23,0.478,8,15,0.533,5,30,9,13,3,18,21,,26,63,0.413,5,21,0.238,7,17,0.412,15,39,17,6,6,17,17
1/15/2011,,Wake Forest,W,34,58,0.586,8,17,0.471,18,21,0.857,6,27,23,8,5,10,18,,20,50,0.4,7,21,0.333,18,21,0.857,7,19,8,4,4,16,19
1/20/2011,@,Maryland,W,30,56,0.536,5,14,0.357,9,13,0.692,8,34,14,7,3,15,15,,20,56,0.357,6,20,0.3,11,15,0.733,9,28,12,4,1,16,16
1/22/2011,,Longwood,W,25,56,0.446,5,19,0.263,15,17,0.882,11,35,16,4,5,11,16,,17,46,0.37,4,16,0.25,14,22,0.636,6,24,6,4,1,11,17
1/25/2011,@,Georgia Tech,L,22,56,0.393,1,11,0.091,12,16,0.75,11,30,9,6,1,18,16,,27,60,0.45,8,24,0.333,10,16,0.625,11,32,19,12,3,11,18
1/30/2011,,Miami (FL),W,23,45,0.511,8,17,0.471,18,29,0.621,3,22,13,2,3,8,17,,24,52,0.462,8,27,0.296,12,19,0.632,10,27,12,2,3,10,23
2/2/2011,@,North Carolina State,W,27,66,0.409,4,16,0.25,19,25,0.76,17,41,9,4,3,6,17,,24,60,0.4,3,15,0.2,18,26,0.692,12,33,11,1,8,6,17
2/5/2011,@,Boston College,L,20,58,0.345,3,14,0.214,13,17,0.765,14,36,6,3,2,6,16,,23,53,0.434,7,20,0.35,5,8,0.625,7,30,11,2,6,8,17
2/13/2011,,Georgia Tech,W,32,58,0.552,8,15,0.533,30,39,0.769,14,38,16,4,3,14,20,,24,56,0.429,12,28,0.429,17,21,0.81,6,18,13,6,2,13,25
2/15/2011,,Maryland,W,29,64,0.453,9,23,0.391,24,32,0.75,11,33,19,8,4,8,18,,29,59,0.492,4,14,0.286,21,24,0.875,4,30,16,4,4,15,21
2/19/2011,@,Virginia,L,21,52,0.404,7,22,0.318,5,7,0.714,5,27,7,9,4,12,16,,21,46,0.457,11,23,0.478,8,13,0.615,4,28,13,4,3,14,13
2/22/2011,@,Wake Forest,W,27,45,0.6,8,12,0.667,14,22,0.636,9,33,14,6,3,17,12,,25,59,0.424,3,18,0.167,9,12,0.75,9,19,12,7,3,10,18
2/26/2011,,Duke,W,25,64,0.391,6,19,0.316,8,19,0.421,14,42,12,1,2,5,15,,23,58,0.397,4,20,0.2,10,13,0.769,9,35,6,3,6,5,18
3/1/2011,,Boston College,L,24,56,0.429,3,17,0.176,10,13,0.769,2,22,6,4,2,6,17,,23,51,0.451,10,22,0.455,20,26,0.769,8,38,15,1,2,10,15
3/5/2011,@,Clemson,L,18,59,0.305,6,20,0.3,18,23,0.783,15,32,9,14,4,18,19,,24,49,0.49,7,17,0.412,14,19,0.737,8,34,19,6,7,18,22
3/10/2011,N,Georgia Tech,W,22,47,0.468,4,15,0.267,11,16,0.688,5,26,8,8,2,13,10,,17,53,0.321,5,23,0.217,4,6,0.667,9,27,5,7,1,12,19
3/11/2011,N,Florida State,W,17,54,0.315,6,22,0.273,12,21,0.571,7,24,12,7,0,10,14,,23,49,0.469,4,15,0.267,1,5,0.2,11,36,13,1,5,20,20
3/12/2011,N,Duke,L,21,57,0.368,2,16,0.125,19,24,0.792,14,30,3,4,2,12,20,,25,53,0.472,5,18,0.278,22,26,0.846,9,29,11,5,1,15,22
3/16/2011,,Bethune-Cookman,W,33,59,0.559,7,20,0.35,6,10,0.6,5,26,21,7,3,6,8,,22,51,0.431,6,20,0.3,4,6,0.667,7,23,13,1,2,13,10
