Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/12/2010,,Oakland,W,32,63,0.508,12,29,0.414,19,24,0.792,16,36,20,10,8,13,20,,25,65,0.385,4,15,0.267,17,22,0.773,18,35,14,6,2,18,25
11/18/2010,N,Davidson,W,23,53,0.434,7,16,0.438,31,49,0.633,12,38,9,6,7,14,30,,25,61,0.41,2,22,0.091,18,29,0.621,11,37,6,2,3,16,37
11/19/2010,N,Vanderbilt,W,20,55,0.364,6,21,0.286,28,39,0.718,14,39,14,3,3,10,27,,19,58,0.328,7,26,0.269,26,34,0.765,14,40,9,4,5,13,26
11/21/2010,N,Minnesota,L,25,58,0.431,8,23,0.348,12,23,0.522,17,33,16,3,5,13,25,,22,50,0.44,4,17,0.235,26,35,0.743,17,36,10,6,4,13,25
11/27/2010,N,Virginia Military Institute,W,31,65,0.477,3,13,0.231,17,22,0.773,11,44,21,1,4,13,14,,23,68,0.338,9,34,0.265,11,16,0.688,9,35,9,6,3,10,21
12/1/2010,,American,W,26,51,0.51,3,13,0.231,16,23,0.696,15,32,13,5,4,11,12,,18,49,0.367,3,15,0.2,11,15,0.733,12,25,9,7,0,11,20
12/4/2010,@,Miami (FL),L,24,55,0.436,7,22,0.318,21,24,0.875,14,31,14,6,3,12,22,,26,55,0.473,8,16,0.5,19,25,0.76,12,25,10,9,0,11,20
12/7/2010,,Robert Morris,W,29,52,0.558,2,11,0.182,22,31,0.71,9,42,21,4,3,14,14,,17,57,0.298,6,27,0.222,9,14,0.643,6,21,12,10,3,12,28
12/12/2010,N,Duquesne,W,24,53,0.453,6,18,0.333,10,16,0.625,10,30,16,2,6,16,21,,20,50,0.4,5,13,0.385,16,24,0.667,10,29,11,7,7,15,17
12/18/2010,,Cleveland State,W,27,57,0.474,8,22,0.364,12,20,0.6,14,37,13,6,5,8,11,,25,60,0.417,7,19,0.368,6,8,0.75,13,29,12,4,1,11,22
12/29/2010,,St. John's (NY),L,25,66,0.379,13,36,0.361,8,11,0.727,13,24,20,6,4,10,26,,25,41,0.61,1,6,0.167,30,39,0.769,6,33,15,8,4,13,14
1/1/2011,@,Marquette,L,29,60,0.483,9,19,0.474,7,7,1,9,24,16,4,4,10,18,,30,57,0.526,5,13,0.385,14,21,0.667,13,32,22,8,5,10,12
1/4/2011,@,DePaul,W,28,54,0.519,4,14,0.286,7,13,0.538,6,28,20,3,3,16,15,,24,60,0.4,6,20,0.3,11,15,0.733,11,27,13,9,4,11,16
1/8/2011,@,Georgetown,W,21,52,0.404,6,15,0.4,17,24,0.708,14,29,14,7,4,13,15,,22,44,0.5,5,17,0.294,10,11,0.909,2,20,10,8,5,18,20
1/13/2011,,Providence,W,35,72,0.486,5,16,0.313,18,27,0.667,20,48,22,10,9,11,14,,24,77,0.312,5,18,0.278,10,15,0.667,25,44,5,6,4,15,20
1/16/2011,,Purdue,W,23,50,0.46,5,13,0.385,17,26,0.654,11,34,11,8,0,17,14,,28,58,0.483,3,11,0.273,5,7,0.714,7,28,12,7,3,12,22
1/19/2011,N,Marshall,L,19,57,0.333,7,24,0.292,26,35,0.743,16,39,6,5,4,13,32,,22,55,0.4,8,23,0.348,23,35,0.657,12,32,7,2,3,12,32
1/23/2011,,South Florida,W,22,66,0.333,2,11,0.182,10,16,0.625,17,38,12,6,5,6,16,,16,51,0.314,1,13,0.077,13,18,0.722,11,38,6,2,2,16,19
1/26/2011,@,Louisville,L,19,55,0.345,5,26,0.192,11,18,0.611,13,34,10,4,4,15,13,,21,56,0.375,8,24,0.333,5,10,0.5,10,31,13,10,0,12,18
1/29/2011,@,Cincinnati,W,19,45,0.422,4,13,0.308,24,30,0.8,11,36,13,3,4,13,15,,21,60,0.35,8,29,0.276,5,11,0.455,13,27,7,10,5,8,23
2/2/2011,,Seton Hall,W,23,56,0.411,3,16,0.188,7,15,0.467,15,46,16,5,4,13,12,,18,61,0.295,2,19,0.105,6,11,0.545,12,32,5,8,1,11,19
2/5/2011,@,Villanova,L,19,53,0.358,7,21,0.333,5,12,0.417,12,24,15,2,4,9,14,,25,46,0.543,7,14,0.5,9,15,0.6,6,26,12,6,1,8,18
2/7/2011,,Pitt,L,23,52,0.442,4,17,0.235,16,19,0.842,6,25,16,4,5,10,22,,26,59,0.441,1,6,0.167,18,26,0.692,18,39,12,3,2,10,18
2/12/2011,,DePaul,W,28,53,0.528,6,13,0.462,20,25,0.8,10,28,23,3,4,11,15,,25,49,0.51,8,18,0.444,13,21,0.619,8,25,14,6,2,13,25
2/14/2011,@,Syracuse,L,17,47,0.362,11,22,0.5,7,12,0.583,8,26,14,4,2,16,15,,23,50,0.46,4,13,0.308,13,19,0.684,8,31,12,13,4,14,14
2/19/2011,,Notre Dame,W,22,54,0.407,8,20,0.4,20,27,0.741,9,35,11,5,5,4,13,,21,60,0.35,8,27,0.296,8,13,0.615,14,37,11,3,3,10,20
2/24/2011,@,Pitt,L,17,51,0.333,7,15,0.467,17,23,0.739,9,25,11,2,4,9,20,,27,47,0.574,5,14,0.357,12,20,0.6,7,31,23,3,8,8,23
2/27/2011,@,Rutgers,W,21,53,0.396,7,22,0.318,16,23,0.696,12,44,16,2,1,12,15,,20,59,0.339,1,13,0.077,13,16,0.813,9,26,8,7,4,6,22
3/2/2011,,UConn,W,22,47,0.468,5,12,0.417,16,24,0.667,9,30,17,4,6,9,14,,22,59,0.373,7,20,0.35,5,7,0.714,7,23,7,6,1,9,15
3/5/2011,,Louisville,W,21,62,0.339,4,24,0.167,26,29,0.897,24,48,12,5,6,16,19,,20,48,0.417,8,20,0.4,22,32,0.688,5,20,14,12,1,10,25
3/9/2011,N,Marquette,L,20,51,0.392,10,22,0.455,11,13,0.846,8,28,15,5,3,12,17,,23,49,0.469,5,11,0.455,16,24,0.667,5,25,10,8,3,10,15
3/17/2011,N,Clemson,W,27,55,0.491,5,13,0.385,25,31,0.806,12,32,15,6,1,11,21,,25,58,0.431,5,21,0.238,21,26,0.808,12,29,15,5,3,9,24
