Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11/16/2010,,Texas Southern,W,26,50,0.52,11,26,0.423,16,22,0.727,7,33,20,4,4,16,13,,24,57,0.421,6,18,0.333,13,18,0.722,7,24,15,9,1,10,16
11/22/2010,N,UConn,L,30,63,0.476,10,24,0.417,9,13,0.692,12,33,17,3,6,17,31,,24,54,0.444,3,12,0.25,32,44,0.727,8,29,7,8,6,10,17
11/23/2010,N,Chaminade,W,33,64,0.516,11,27,0.407,2,3,0.667,12,39,21,5,3,13,14,,21,52,0.404,10,22,0.455,6,14,0.429,4,20,10,9,3,9,8
11/24/2010,N,Virginia,W,22,52,0.423,8,16,0.5,18,22,0.818,9,32,15,6,3,10,16,,22,51,0.431,6,13,0.462,8,13,0.615,8,26,9,4,2,10,20
11/29/2010,,UMKC,W,26,47,0.553,5,13,0.385,14,24,0.583,4,28,21,5,3,11,13,,21,53,0.396,5,21,0.238,5,11,0.455,9,25,5,6,2,17,20
12/1/2010,,Chicago State,W,30,59,0.508,10,26,0.385,21,25,0.84,12,40,21,8,5,16,17,,20,61,0.328,3,12,0.25,8,11,0.727,7,26,8,7,0,17,19
12/4/2010,@,San Diego State,L,26,56,0.464,9,18,0.5,8,12,0.667,5,25,13,6,6,13,25,,30,59,0.508,4,14,0.286,19,30,0.633,9,34,15,10,5,8,17
12/10/2010,,Nicholls State,W,23,54,0.426,5,19,0.263,17,19,0.895,14,37,13,4,1,9,19,,17,42,0.405,6,19,0.316,10,18,0.556,7,23,10,3,0,12,20
12/13/2010,,Alabama A&M,W,23,47,0.489,7,15,0.467,18,27,0.667,15,43,15,1,9,20,15,,20,61,0.328,3,13,0.231,6,10,0.6,11,21,11,8,3,11,25
12/18/2010,N,LSU,W,21,52,0.404,5,17,0.294,23,30,0.767,14,35,4,4,3,15,24,,19,56,0.339,8,21,0.381,23,31,0.742,12,30,6,6,2,11,22
12/21/2010,,Tulsa,W,23,49,0.469,8,24,0.333,28,36,0.778,13,32,13,4,1,8,15,,27,53,0.509,14,27,0.519,11,13,0.846,5,15,11,3,3,9,27
12/29/2010,,Evansville,W,33,53,0.623,11,23,0.478,14,20,0.7,5,35,24,7,5,10,21,,18,52,0.346,5,16,0.313,16,21,0.762,4,20,12,2,2,13,19
1/1/2011,@,Bradley,W,31,67,0.463,8,26,0.308,9,12,0.75,13,40,20,7,3,9,23,,19,50,0.38,5,10,0.5,20,28,0.714,8,30,13,2,2,13,16
1/4/2011,,Drake,W,26,63,0.413,10,23,0.435,20,24,0.833,13,42,18,6,2,10,17,,26,55,0.473,4,15,0.267,7,14,0.5,6,31,10,4,2,14,23
1/7/2011,@,Illinois State,W,28,57,0.491,5,15,0.333,4,7,0.571,6,35,13,7,3,13,10,,20,60,0.333,3,19,0.158,8,11,0.727,9,31,11,4,2,12,11
1/9/2011,,Missouri State,L,21,51,0.412,4,15,0.267,10,19,0.526,11,37,8,10,7,15,16,,22,55,0.4,8,16,0.5,7,13,0.538,6,30,13,5,1,15,19
1/12/2011,@,Creighton,W,24,53,0.453,5,24,0.208,15,19,0.789,9,37,13,2,2,12,20,,18,45,0.4,5,13,0.385,13,22,0.591,3,21,10,6,0,11,17
1/15/2011,@,Drake,W,27,52,0.519,7,20,0.35,7,13,0.538,10,41,15,5,1,16,19,,20,50,0.4,4,12,0.333,10,20,0.5,5,18,6,2,4,9,15
1/19/2011,,Northern Iowa,L,27,48,0.563,10,20,0.5,10,11,0.909,4,22,17,2,2,10,20,,27,47,0.574,7,15,0.467,16,20,0.8,3,18,8,7,2,6,13
1/22/2011,,Indiana State,W (3 OT),31,74,0.419,3,23,0.13,28,40,0.7,12,43,13,12,4,14,23,,29,74,0.392,6,23,0.261,19,22,0.864,11,45,17,7,6,19,30
1/26/2011,@,Southern Illinois,W,27,53,0.509,3,11,0.273,17,26,0.654,7,21,13,10,2,5,16,,23,44,0.523,2,6,0.333,16,21,0.762,8,27,10,0,2,17,22
1/29/2011,,Bradley,W,23,50,0.46,10,22,0.455,5,8,0.625,10,32,17,3,4,7,13,,16,52,0.308,3,13,0.231,6,8,0.75,12,27,6,1,2,8,12
2/1/2011,@,Indiana State,W,25,52,0.481,5,17,0.294,15,16,0.938,7,29,18,4,4,9,18,,20,48,0.417,3,13,0.231,11,15,0.733,6,23,12,5,2,12,15
2/5/2011,,Illinois State,W,25,53,0.472,7,19,0.368,17,24,0.708,10,31,16,6,4,9,16,,18,48,0.375,5,11,0.455,16,21,0.762,6,21,8,4,5,10,18
2/8/2011,,Southern Illinois,L,19,53,0.358,3,15,0.2,12,18,0.667,12,37,6,8,4,14,16,,22,49,0.449,4,9,0.444,8,12,0.667,4,27,12,6,2,13,20
2/12/2011,@,Northern Iowa,W,30,52,0.577,6,19,0.316,7,11,0.636,9,37,18,4,4,9,19,,16,51,0.314,6,18,0.333,17,19,0.895,6,23,5,4,0,8,15
2/15/2011,@,Evansville,W,23,53,0.434,6,21,0.286,28,35,0.8,16,45,13,4,3,18,23,,23,52,0.442,5,13,0.385,23,31,0.742,4,20,16,9,2,6,27
2/18/2011,,VCU,L,23,59,0.39,7,23,0.304,14,18,0.778,17,36,14,7,6,10,15,,27,59,0.458,9,21,0.429,5,8,0.625,15,34,15,5,5,13,16
2/23/2011,,Creighton,W,22,54,0.407,6,15,0.4,17,21,0.81,8,27,19,10,0,9,19,,24,45,0.533,4,11,0.364,13,18,0.722,3,23,13,2,4,15,18
2/26/2011,@,Missouri State,L,22,52,0.423,8,23,0.348,12,13,0.923,3,26,8,6,5,12,23,,23,52,0.442,7,20,0.35,16,30,0.533,8,31,13,6,4,13,15
3/4/2011,N,Bradley,W,26,57,0.456,4,14,0.286,14,19,0.737,10,37,15,7,5,13,15,,20,53,0.377,3,12,0.25,13,16,0.813,5,23,5,7,4,14,19
3/5/2011,N,Indiana State,L,20,59,0.339,7,29,0.241,7,9,0.778,11,36,11,5,5,15,20,,20,50,0.4,5,16,0.313,16,22,0.727,8,32,8,7,4,13,13
3/16/2011,,Nebraska,W,24,52,0.462,11,26,0.423,17,20,0.85,13,34,18,6,6,11,17,,17,50,0.34,2,18,0.111,13,17,0.765,12,29,6,7,1,16,18
3/20/2011,@,Virginia Tech,W (1 OT),31,63,0.492,10,20,0.5,7,12,0.583,10,34,18,6,5,14,23,,21,50,0.42,8,18,0.444,26,34,0.765,6,27,10,8,6,13,16
3/23/2011,,College of Charleston,W,29,53,0.547,5,14,0.357,19,21,0.905,5,27,20,9,3,12,14,,28,59,0.475,12,23,0.522,7,11,0.636,7,21,10,4,3,15,19
3/29/2011,N,Washington State,W,31,65,0.477,3,16,0.188,10,14,0.714,15,46,19,5,4,12,17,,15,51,0.294,0,10,0,14,21,0.667,4,21,7,7,5,9,18
3/31/2011,N,Alabama,W,23,46,0.5,7,15,0.467,13,17,0.765,4,28,15,4,7,18,17,,21,56,0.375,2,14,0.143,13,15,0.867,9,26,7,11,5,11,16
11/13/2011,,Charleston Southern,W,31,58,0.534,11,22,0.5,12,23,0.522,13,39,17,5,9,15,19,,18,62,0.29,5,24,0.208,16,21,0.762,11,25,12,8,0,23,23
11/17/2011,N,Colorado,W,27,60,0.45,8,23,0.348,5,8,0.625,11,38,12,10,3,15,14,,21,49,0.429,5,11,0.455,11,19,0.579,5,27,13,9,2,17,13
11/18/2011,N,Alabama,L,22,65,0.338,7,20,0.35,9,15,0.6,17,40,9,7,5,17,21,,23,53,0.434,1,8,0.125,23,28,0.821,9,36,11,8,14,13,20
11/20/2011,N,Temple,L (1 OT),29,70,0.414,4,20,0.2,12,22,0.545,13,39,15,5,7,10,21,,28,62,0.452,7,18,0.389,15,25,0.6,7,38,14,3,6,12,19
11/25/2011,N,Alabama-Birmingham,W,21,53,0.396,3,14,0.214,23,30,0.767,12,37,12,6,1,13,20,,17,53,0.321,1,16,0.063,11,17,0.647,9,26,5,1,3,16,24
