Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-14,@,Indiana,L,15,46,.326,4,14,.286,10,23,.435,2,17,9,9,1,12,20,,24,40,.600,4,9,.444,15,21,.714,4,38,14,6,5,20,24
2010-11-17,,Northwood (MI),W,27,52,.519,6,14,.429,15,19,.789,7,33,15,6,0,10,11,,21,51,.412,10,26,.385,3,7,.429,2,23,13,2,0,12,19
2010-11-21,,Southern,W,25,51,.490,3,13,.231,13,24,.542,12,30,10,12,0,8,20,,17,42,.405,3,9,.333,6,13,.462,8,25,10,2,3,21,16
2010-11-23,,Oakland,W,25,58,.431,11,23,.478,21,21,1.000,9,33,13,4,1,15,23,,27,54,.500,7,18,.389,18,23,.783,4,26,14,4,7,15,23
2010-11-26,N,Richmond,L,22,55,.400,6,20,.300,11,15,.733,3,21,10,6,2,8,25,,22,42,.524,7,14,.500,20,29,.690,4,33,13,3,4,13,18
2010-11-27,N,Southern Illinois,L,11,51,.216,3,17,.176,25,32,.781,6,29,7,6,2,9,29,,14,41,.341,2,10,.200,26,41,.634,8,39,10,3,5,15,26
2010-12-01,@,Cincinnati,L,26,52,.500,8,16,.500,9,12,.750,5,22,8,3,1,15,18,,28,55,.509,8,19,.421,13,19,.684,10,27,18,7,5,8,12
2010-12-04,@,Detroit,L,24,55,.436,9,24,.375,12,14,.857,4,13,12,7,1,14,25,,23,39,.590,6,9,.667,26,34,.765,9,33,13,8,4,20,20
2010-12-08,,Air Force,W,24,50,.480,11,22,.500,17,21,.810,8,19,13,7,0,12,20,,22,36,.611,1,6,.167,16,21,.762,1,20,10,3,1,19,22
2010-12-11,,Tusculum,W,15,38,.395,4,17,.235,26,31,.839,5,19,5,7,2,10,13,,20,38,.526,4,11,.364,3,3,1.000,4,25,11,4,3,21,22
2010-12-14,@,Central Michigan,W,19,38,.500,3,8,.375,12,22,.545,10,30,8,4,1,17,15,,16,47,.340,7,22,.318,10,14,.714,6,19,11,11,5,10,19
