Date,,Opp,W/L,SFG,SFGA,SFG%,S3P,S3PA,S3P%,SFT,SFTA,SFT%,SORB,STRB,SAST,SSTL,SBLK,STOV,SPF,,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
2010-11-12,,Western Michigan,W,23,54,.426,9,25,.360,13,18,.722,8,27,18,4,2,9,17,,26,61,.426,5,20,.250,8,13,.615,11,32,11,7,2,11,18
2010-11-16,,IPFW,W (1 OT),25,60,.417,3,14,.214,23,33,.697,15,43,14,11,4,13,16,,23,60,.383,10,24,.417,10,17,.588,7,27,19,5,1,18,24
2010-11-19,N,Iowa,W,25,47,.532,6,16,.375,30,37,.811,4,29,15,3,3,10,24,,24,68,.353,5,22,.227,20,28,.714,18,36,11,3,0,10,28
2010-11-21,N,Seton Hall,W,19,44,.432,5,14,.357,14,20,.700,5,33,7,4,7,15,15,,19,56,.339,5,20,.250,9,16,.563,7,28,8,6,2,8,19
2010-11-22,N,Old Dominion,L,20,45,.444,5,20,.250,13,22,.591,3,23,9,5,2,14,22,,24,52,.462,6,15,.400,13,19,.684,8,33,13,6,2,15,21
2010-11-27,,Wofford,W (3 OT),30,61,.492,4,12,.333,30,40,.750,16,47,16,2,11,16,22,,34,73,.466,6,18,.333,16,20,.800,9,28,25,7,3,11,30
2010-12-01,@,Miami (OH),L,21,50,.420,2,11,.182,20,23,.870,6,28,7,5,2,10,19,,25,56,.446,8,21,.381,17,18,.944,9,31,12,2,4,10,24
2010-12-09,,Butler,W,17,53,.321,2,18,.111,15,19,.789,13,39,9,8,3,13,15,,15,48,.313,3,18,.167,16,18,.889,5,29,9,9,0,12,18
2010-12-18,,Wake Forest,W,32,73,.438,6,21,.286,13,23,.565,15,41,22,10,1,11,19,,25,55,.455,10,22,.455,15,22,.682,7,32,11,5,9,16,20
2010-12-22,@,Gonzaga,L,16,48,.333,4,18,.222,18,25,.720,7,21,5,10,1,18,27,,16,42,.381,2,8,.250,30,34,.882,9,35,8,9,1,23,21
2010-12-28,,Albany (NY),W,33,58,.569,14,28,.500,8,12,.667,11,37,24,3,1,13,14,,23,53,.434,9,26,.346,9,14,.643,6,21,13,8,1,9,14
2010-12-31,,Florida,L,25,62,.403,6,20,.300,11,17,.647,12,30,12,8,2,8,22,,23,51,.451,6,13,.462,19,25,.760,11,38,17,5,3,16,17
2011-01-06,@,Cincinnati,L,18,46,.391,1,10,.100,9,15,.600,9,24,4,5,4,13,15,,23,55,.418,5,16,.313,15,16,.938,13,34,13,7,6,8,16
2011-01-09,@,Rhode Island,W,25,47,.532,6,14,.429,16,22,.727,9,38,13,3,3,14,22,,14,57,.246,3,27,.111,14,20,.700,12,28,8,5,4,9,17
2011-01-12,,UMass,W,26,54,.481,8,20,.400,19,30,.633,11,36,16,6,3,7,13,,17,49,.347,6,23,.261,10,15,.667,6,29,8,4,1,17,25
2011-01-15,,Dayton,W,26,49,.531,4,15,.267,25,29,.862,5,24,15,6,1,5,17,,27,53,.509,8,20,.400,14,20,.700,11,30,15,3,1,10,24
2011-01-19,@,St. Bonaventure,W,26,45,.578,7,12,.583,20,28,.714,7,25,11,5,3,17,20,,20,45,.444,7,14,.500,18,24,.750,2,15,9,8,2,12,22
2011-01-22,,Temple,W,31,59,.525,8,13,.615,18,23,.783,8,34,14,4,2,10,17,,28,65,.431,11,25,.440,10,16,.625,10,32,20,4,6,9,21
2011-01-26,,George Washington,W,25,55,.455,9,23,.391,22,28,.786,17,32,17,6,2,10,13,,23,52,.442,10,18,.556,18,19,.947,14,29,10,6,1,16,24
